"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","180,463.00","180,556.00","180,556.00","180,463.00","0.22K","-0.05%"
"07/02/2021","180,370.00","180,463.00","180,463.00","180,370.00","0.32K","-0.05%"
"07/05/2021","181,019.00","180,370.00","181,019.00","180,278.00","0.32K","0.36%"
"07/06/2021","180,926.00","181,019.00","181,019.00","180,926.00","0.22K","-0.05%"
"07/07/2021","180,741.00","180,926.00","180,926.00","180,648.00","1.40K","-0.10%"
"07/08/2021","180,648.00","180,648.00","180,648.00","180,648.00","0.11K","-0.05%"
"07/09/2021","180,648.00","180,648.00","180,648.00","180,648.00","0.11K","0.00%"
"07/12/2021","180,463.00","180,648.00","180,648.00","180,463.00","0.43K","-0.10%"
"07/13/2021","180,278.00","180,463.00","180,463.00","180,278.00","0.32K","-0.10%"
"07/14/2021","180,185.00","180,185.00","180,185.00","180,185.00","0.11K","-0.05%"
"07/15/2021","180,185.00","180,093.00","180,185.00","180,093.00","0.54K","0.00%"
"07/16/2021","180,093.00","180,185.00","180,185.00","180,093.00","1.19K","-0.05%"
"07/19/2021","179,907.00","180,000.00","180,000.00","179,907.00","0.54K","-0.10%"
"07/20/2021","179,815.00","179,815.00","179,815.00","179,815.00","0.22K","-0.05%"
"07/21/2021","179,630.00","179,722.00","179,722.00","179,630.00","0.32K","-0.10%"
"07/22/2021","179,537.00","179,537.00","179,537.00","179,537.00","0.11K","-0.05%"
"07/23/2021","179,352.00","179,444.00","179,444.00","179,352.00","0.22K","-0.10%"
"07/26/2021","180,741.00","179,259.00","180,741.00","179,167.00","0.76K","0.77%"
"07/27/2021","180,648.00","180,648.00","180,648.00","180,648.00","0.22K","-0.05%"
"07/28/2021","180,463.00","180,556.00","180,556.00","180,463.00","0.32K","-0.10%"
"07/29/2021","180,370.00","180,833.00","180,833.00","180,370.00","0.32K","-0.05%"
"07/30/2021","180,278.00","180,370.00","180,370.00","180,278.00","0.22K","-0.05%"
"08/02/2021","180,093.00","180,093.00","180,093.00","180,093.00","0.32K","-0.10%"
"08/03/2021","179,907.00","180,000.00","180,000.00","179,907.00","0.22K","-0.10%"
"08/04/2021","179,815.00","179,907.00","179,907.00","179,815.00","0.22K","-0.05%"
"08/05/2021","179,630.00","179,630.00","179,630.00","179,630.00","0.22K","-0.10%"
"08/06/2021","179,444.00","179,630.00","179,630.00","179,444.00","0.32K","-0.10%"
"08/09/2021","179,259.00","179,259.00","179,259.00","179,259.00","0.22K","-0.10%"
"08/10/2021","181,111.00","179,259.00","181,111.00","179,167.00","0.32K","1.03%"
"08/11/2021","180,926.00","181,019.00","181,019.00","180,926.00","0.22K","-0.10%"
"08/12/2021","180,926.00","180,926.00","180,926.00","180,741.00","0.32K","0.00%"
"08/13/2021","180,741.00","180,833.00","180,833.00","180,741.00","0.22K","-0.10%"
"08/16/2021","180,648.00","180,741.00","180,741.00","180,648.00","0.32K","-0.05%"
"08/17/2021","180,556.00","180,648.00","180,648.00","180,556.00","0.22K","-0.05%"
"08/18/2021","180,463.00","180,556.00","180,556.00","180,463.00","0.22K","-0.05%"
"08/19/2021","180,370.00","180,463.00","180,463.00","180,370.00","0.22K","-0.05%"
"08/20/2021","180,185.00","180,370.00","180,370.00","180,185.00","0.22K","-0.10%"
"08/23/2021","180,000.00","180,093.00","180,093.00","180,000.00","0.22K","-0.10%"
"08/24/2021","179,815.00","179,907.00","179,907.00","179,815.00","0.32K","-0.10%"
"08/25/2021","181,296.00","179,815.00","181,296.00","179,722.00","0.32K","0.82%"
"08/26/2021","181,111.00","181,204.00","181,204.00","181,111.00","0.22K","-0.10%"
"08/27/2021","181,019.00","181,111.00","181,111.00","181,019.00","0.22K","-0.05%"
"08/30/2021","180,833.00","180,926.00","180,926.00","180,833.00","0.22K","-0.10%"
"08/31/2021","180,648.00","180,741.00","180,741.00","180,648.00","0.22K","-0.10%"
"09/01/2021","180,370.00","180,648.00","180,648.00","180,370.00","0.22K","-0.15%"
"09/06/2021","180,093.00","180,185.00","180,185.00","180,093.00","0.22K","-0.15%"
"09/07/2021","179,907.00","179,907.00","179,907.00","179,907.00","0.32K","-0.10%"
"09/08/2021","179,815.00","179,815.00","179,815.00","179,815.00","0.32K","-0.05%"
