"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","52,671.0","50,172.0","53,016.0","50,172.0","272.36K","4.98%"
"07/02/2021","52,154.0","52,671.0","52,671.0","51,465.0","99.88K","-0.98%"
"07/05/2021","52,499.0","51,982.0","53,447.0","51,206.0","143.77K","0.66%"
"07/06/2021","50,085.0","52,499.0","52,499.0","50,085.0","168.41K","-4.60%"
"07/07/2021","49,568.0","50,085.0","50,516.0","47,844.0","104.61K","-1.03%"
"07/08/2021","50,775.0","49,223.0","51,292.0","49,137.0","143.99K","2.44%"
"07/09/2021","49,740.0","50,861.0","51,292.0","49,137.0","67.76K","-2.04%"
"07/12/2021","46,378.0","49,137.0","49,137.0","46,292.0","161.37K","-6.76%"
"07/13/2021","47,241.0","46,465.0","48,275.0","46,465.0","67.43K","1.86%"
"07/14/2021","47,068.0","48,275.0","48,275.0","45,947.0","83.49K","-0.37%"
"07/15/2021","47,585.0","46,465.0","47,585.0","46,465.0","51.15K","1.10%"
"07/16/2021","46,982.0","47,672.0","47,672.0","46,982.0","59.51K","-1.27%"
"07/19/2021","45,430.0","46,465.0","46,465.0","45,258.0","87.12K","-3.30%"
"07/20/2021","46,465.0","45,258.0","46,551.0","45,258.0","47.63K","2.28%"
"07/21/2021","46,810.0","46,551.0","47,068.0","46,465.0","51.04K","0.74%"
"07/22/2021","46,896.0","46,810.0","46,896.0","46,120.0","46.53K","0.18%"
"07/23/2021","45,775.0","46,723.0","46,896.0","45,689.0","94.71K","-2.39%"
"07/26/2021","46,120.0","45,689.0","46,982.0","45,516.0","96.25K","0.75%"
"07/27/2021","46,982.0","46,896.0","47,327.0","46,551.0","51.04K","1.87%"
"07/28/2021","47,672.0","46,982.0","47,672.0","46,637.0","85.80K","1.47%"
"07/29/2021","47,585.0","47,672.0","47,672.0","47,241.0","54.45K","-0.18%"
"07/30/2021","47,672.0","47,413.0","47,844.0","47,413.0","62.37K","0.18%"
"08/02/2021","47,930.0","47,672.0","47,930.0","47,413.0","104.39K","0.54%"
"08/03/2021","49,999.0","48,275.0","50,258.0","48,275.0","165.66K","4.32%"
"08/04/2021","49,137.0","50,172.0","50,172.0","48,965.0","61.93K","-1.72%"
"08/05/2021","48,965.0","49,137.0","49,137.0","48,275.0","83.27K","-0.35%"
"08/06/2021","48,189.0","48,965.0","48,965.0","48,103.0","136.40K","-1.58%"
"08/09/2021","48,706.0","48,103.0","48,706.0","46,723.0","179.85K","1.07%"
"08/10/2021","51,551.0","48,792.0","51,723.0","48,792.0","328.02K","5.84%"
"08/11/2021","50,430.0","51,809.0","51,896.0","50,430.0","133.98K","-2.17%"
"08/12/2021","49,568.0","49,740.0","50,430.0","49,309.0","91.96K","-1.71%"
"08/13/2021","48,878.0","49,999.0","49,999.0","48,447.0","139.15K","-1.39%"
"08/16/2021","49,999.0","48,878.0","50,861.0","48,878.0","135.30K","2.29%"
"08/17/2021","49,568.0","49,999.0","50,172.0","49,482.0","96.03K","-0.86%"
"08/18/2021","49,999.0","49,568.0","50,430.0","49,223.0","72.05K","0.87%"
"08/19/2021","50,689.0","49,999.0","50,861.0","49,827.0","91.85K","1.38%"
"08/20/2021","48,275.0","50,689.0","51,637.0","48,275.0","196.90K","-4.76%"
"08/23/2021","47,068.0","48,275.0","48,706.0","46,982.0","125.07K","-2.50%"
"08/24/2021","46,723.0","46,896.0","47,413.0","46,378.0","101.20K","-0.73%"
"08/25/2021","47,068.0","46,723.0","47,585.0","46,551.0","85.91K","0.74%"
"08/26/2021","47,413.0","47,068.0","47,930.0","47,068.0","82.39K","0.73%"
"08/27/2021","47,844.0","47,413.0","47,844.0","47,154.0","22.55K","0.91%"
"08/30/2021","49,482.0","50,775.0","50,775.0","49,223.0","106.59K","3.42%"
"08/31/2021","50,172.0","49,740.0","50,344.0","49,309.0","172.04K","1.39%"
"09/01/2021","50,689.0","50,172.0","50,689.0","50,085.0","95.04K","1.03%"
"09/06/2021","50,085.0","50,689.0","50,689.0","49,654.0","84.81K","-1.19%"
"09/07/2021","50,258.0","49,913.0","50,689.0","49,568.0","117.15K","0.35%"
"09/08/2021","49,827.0","50,430.0","50,430.0","49,654.0","27.94K","-0.86%"
"09/09/2021","50,258.0","49,827.0","50,344.0","49,568.0","70.29K","0.86%"
"09/10/2021","52,154.0","50,172.0","52,154.0","50,172.0","271.81K","3.77%"
"09/13/2021","51,809.0","52,154.0","52,154.0","51,551.0","89.87K","-0.66%"
"09/14/2021","51,120.0","51,723.0","51,723.0","50,861.0","71.94K","-1.33%"
"09/15/2021","51,120.0","50,947.0","51,206.0","49,568.0","100.76K","0.00%"
"09/16/2021","49,482.0","49,568.0","49,740.0","49,137.0","60.17K","-3.20%"
"09/17/2021","50,172.0","49,223.0","50,516.0","48,965.0","59.84K","1.39%"
"09/20/2021","49,137.0","50,172.0","50,172.0","49,137.0","45.43K","-2.06%"
"09/21/2021","47,930.0","48,275.0","49,051.0","47,413.0","80.52K","-2.46%"
"09/22/2021","47,844.0","48,016.0","48,275.0","47,413.0","52.25K","-0.18%"
"09/23/2021","48,706.0","47,930.0","48,965.0","47,844.0","56.32K","1.80%"
"09/24/2021","48,447.0","48,620.0","48,620.0","47,930.0","28.93K","-0.53%"
"09/27/2021","47,413.0","48,103.0","48,620.0","47,413.0","53.13K","-2.13%"
"09/28/2021","47,413.0","47,413.0","47,413.0","46,896.0","64.57K","0.00%"
"09/29/2021","47,154.0","47,154.0","47,327.0","46,982.0","33.00K","-0.55%"
"09/30/2021","49,137.0","47,413.0","49,999.0","47,327.0","47.96K","4.21%"
"10/01/2021","49,999.0","48,706.0","50,689.0","48,620.0","171.38K","1.75%"
"10/04/2021","49,999.0","50,775.0","50,775.0","49,654.0","26.51K","0.00%"
"10/05/2021","51,292.0","48,965.0","52,240.0","48,965.0","128.81K","2.59%"
"10/06/2021","50,861.0","51,723.0","52,068.0","50,258.0","68.09K","-0.84%"
"10/07/2021","50,085.0","50,430.0","50,430.0","49,999.0","72.60K","-1.53%"
"10/08/2021","49,740.0","49,654.0","50,689.0","49,568.0","47.41K","-0.69%"
"10/11/2021","48,706.0","49,654.0","50,258.0","48,534.0","121.99K","-2.08%"
"10/12/2021","49,309.0","48,706.0","49,309.0","48,103.0","92.29K","1.24%"
"10/13/2021","49,568.0","49,309.0","49,568.0","49,137.0","45.43K","0.53%"
"10/14/2021","49,999.0","49,309.0","50,430.0","49,137.0","56.76K","0.87%"
"10/15/2021","50,603.0","49,999.0","50,861.0","49,999.0","109.34K","1.21%"
"10/18/2021","50,516.0","50,430.0","50,861.0","50,085.0","50.60K","-0.17%"
"10/19/2021","50,430.0","49,827.0","50,430.0","49,568.0","26.51K","-0.17%"
"10/20/2021","49,827.0","49,827.0","50,775.0","49,740.0","49.83K","-1.20%"
"10/21/2021","49,396.0","49,827.0","49,827.0","49,137.0","68.64K","-0.86%"
"10/22/2021","49,482.0","49,223.0","49,999.0","49,051.0","25.63K","0.17%"
"10/25/2021","49,482.0","49,827.0","49,999.0","49,223.0","18.15K","0.00%"
"10/26/2021","49,223.0","49,654.0","49,654.0","49,137.0","36.63K","-0.52%"
"10/27/2021","50,344.0","49,740.0","50,344.0","49,740.0","50.49K","2.28%"
"10/28/2021","51,637.0","50,775.0","51,637.0","50,430.0","132.77K","2.57%"
"10/29/2021","51,292.0","51,637.0","51,637.0","51,206.0","70.18K","-0.67%"
"11/01/2021","51,551.0","51,292.0","52,154.0","51,292.0","75.79K","0.50%"
"11/02/2021","54,051.0","51,723.0","55,085.0","51,551.0","101.64K","4.85%"
"11/03/2021","53,447.0","54,051.0","54,223.0","52,585.0","63.58K","-1.12%"
"11/04/2021","53,361.0","53,447.0","53,706.0","53,016.0","69.63K","-0.16%"
"11/05/2021","54,654.0","53,534.0","54,740.0","53,534.0","69.74K","2.42%"
"11/08/2021","54,482.0","55,085.0","55,085.0","54,482.0","70.29K","-0.31%"
"11/09/2021","54,309.0","54,568.0","54,568.0","51,034.0","69.52K","-0.32%"
"11/10/2021","54,223.0","54,568.0","54,568.0","53,103.0","68.86K","-0.16%"
"11/11/2021","53,878.0","55,171.0","55,171.0","52,585.0","57.53K","-0.64%"
"11/12/2021","54,740.0","53,965.0","54,740.0","53,706.0","34.10K","1.60%"
"11/15/2021","54,999.0","54,740.0","54,999.0","54,568.0","51.37K","0.47%"
"11/16/2021","55,978.0","54,999.0","56,067.0","54,287.0","55.11K","1.78%"
"11/17/2021","55,177.0","55,978.0","55,978.0","54,109.0","20.13K","-1.43%"
"11/18/2021","56,067.0","54,732.0","56,067.0","54,732.0","70.07K","1.61%"
"11/19/2021","55,978.0","56,067.0","56,067.0","54,821.0","30.03K","-0.16%"
"11/22/2021","55,711.0","54,732.0","55,711.0","54,732.0","48.29K","-0.48%"
"11/23/2021","56,423.0","56,067.0","56,423.0","55,800.0","64.46K","1.28%"
"11/24/2021","57,402.0","56,690.0","57,402.0","56,601.0","165.66K","1.74%"
