"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,267","14,392","14,392","14,017","386.48K","-1.16%"
"07/02/2021","14,183","14,100","14,434","14,100","350.33K","-0.59%"
"07/05/2021","13,975","14,184","14,225","13,766","304.91K","-1.47%"
"07/06/2021","13,766","13,975","14,100","13,766","429.43K","-1.50%"
"07/07/2021","13,391","13,433","13,599","13,224","839.26K","-2.72%"
"07/08/2021","13,349","13,391","13,599","13,349","267.35K","-0.31%"
"07/09/2021","13,182","13,182","13,433","12,932","377.44K","-1.25%"
"07/12/2021","12,265","13,057","13,182","12,265","1.02M","-6.96%"
"07/13/2021","12,932","12,932","12,932","12,515","412.53K","5.44%"
"07/14/2021","12,932","12,974","13,099","12,849","259.37K","0.00%"
"07/15/2021","13,307","12,932","13,307","12,849","266.41K","2.90%"
"07/16/2021","13,182","13,099","13,307","13,057","238.95K","-0.94%"
"07/19/2021","12,723","12,932","12,932","12,557","280.97K","-3.48%"
"07/20/2021","12,932","12,515","12,932","12,515","304.20K","1.64%"
"07/21/2021","13,266","12,974","13,433","12,974","371.92K","2.58%"
"07/22/2021","13,474","13,349","13,516","13,182","466.17K","1.57%"
"07/23/2021","13,182","13,474","13,474","13,141","823.42K","-2.17%"
"07/26/2021","13,182","13,266","13,433","13,099","334.25K","0.00%"
"07/27/2021","13,141","13,182","13,349","13,099","417.69K","-0.31%"
"07/28/2021","13,141","13,182","13,266","13,099","322.51K","0.00%"
"07/29/2021","13,224","13,099","13,224","13,099","422.98K","0.63%"
"07/30/2021","13,224","13,182","13,266","13,182","456.89K","0.00%"
"08/02/2021","13,433","13,266","13,558","13,182","492.10K","1.58%"
"08/03/2021","13,349","13,349","13,474","13,307","297.75K","-0.63%"
"08/04/2021","13,474","13,349","13,599","13,266","466.17K","0.94%"
"08/05/2021","13,516","13,349","13,558","13,349","360.66K","0.31%"
"08/06/2021","13,766","13,516","14,184","13,433","1.11M","1.85%"
"08/09/2021","14,183","13,641","14,267","13,641","1.20M","3.03%"
"08/10/2021","14,267","14,434","14,434","13,933","668.50K","0.59%"
"08/11/2021","14,017","14,309","14,309","14,017","733.87K","-1.75%"
"08/12/2021","14,976","14,058","14,976","14,017","2.67M","6.84%"
"08/13/2021","14,893","15,143","15,226","14,517","902.17K","-0.55%"
