"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","19,808.1","19,718.4","19,942.5","19,673.6","5.42M","0.45%"
"07/02/2021","20,435.5","20,032.1","20,435.5","19,808.1","7.50M","3.17%"
"07/05/2021","21,152.5","20,435.5","21,600.6","19,718.4","11.69M","3.51%"
"07/06/2021","20,345.8","21,152.5","21,152.5","20,345.8","7.99M","-3.81%"
"07/07/2021","20,614.7","20,166.6","20,614.7","19,449.5","9.91M","1.32%"
"07/08/2021","20,614.7","20,614.7","20,928.4","20,390.7","10.81M","0.00%"
"07/09/2021","20,345.8","20,569.9","20,838.8","19,718.4","8.06M","-1.30%"
"07/12/2021","19,852.9","19,897.7","20,345.8","18,956.6","12.15M","-2.42%"
"07/13/2021","19,673.6","19,942.5","19,987.3","19,091.0","5.38M","-0.90%"
"07/14/2021","18,911.8","19,315.1","19,539.2","18,777.3","6.98M","-3.87%"
"07/15/2021","19,942.5","18,642.9","19,942.5","18,642.9","4.78M","5.45%"
"07/16/2021","19,673.6","19,942.5","20,166.6","19,584.0","3.42M","-1.35%"
"07/19/2021","18,732.5","18,822.1","19,359.9","18,374.0","5.91M","-4.78%"
"07/20/2021","19,359.9","18,732.5","19,359.9","18,194.7","3.78M","3.35%"
"07/21/2021","19,001.4","19,270.3","19,404.7","18,956.6","3.12M","-1.85%"
"07/22/2021","19,180.7","19,001.4","19,404.7","18,911.8","3.79M","0.94%"
"07/23/2021","19,135.8","19,135.8","19,628.8","19,046.2","3.06M","-0.23%"
"07/26/2021","19,315.1","18,822.1","19,449.5","18,822.1","2.07M","0.94%"
"07/27/2021","19,808.1","19,359.9","20,166.6","19,359.9","4.89M","2.55%"
"07/28/2021","19,763.2","19,718.4","20,121.8","19,718.4","2.08M","-0.23%"
"07/29/2021","19,763.2","19,897.7","19,897.7","19,673.6","2.41M","0.00%"
"07/30/2021","20,345.8","19,763.2","20,435.5","19,584.0","5.73M","2.95%"
"08/02/2021","20,077.0","20,390.7","20,704.4","20,032.1","5.16M","-1.32%"
"08/03/2021","20,166.6","20,077.0","20,256.2","19,808.1","2.74M","0.45%"
"08/04/2021","20,166.6","20,166.6","20,256.2","19,942.5","3.57M","0.00%"
"08/05/2021","20,345.8","20,077.0","20,525.1","20,077.0","3.82M","0.89%"
"08/06/2021","20,077.0","20,435.5","20,480.3","20,077.0","4.21M","-1.32%"
"08/09/2021","21,062.9","19,987.3","21,242.1","19,897.7","13.03M","4.91%"
"08/10/2021","22,048.8","21,242.1","22,183.2","21,242.1","16.32M","4.68%"
"08/11/2021","22,048.8","22,138.4","22,586.6","21,690.3","10.64M","0.00%"
"08/12/2021","21,600.6","21,645.5","22,362.5","21,600.6","7.38M","-2.03%"
"08/13/2021","21,152.5","21,600.6","21,735.1","20,704.4","9.83M","-2.07%"
"08/16/2021","21,466.2","21,331.8","21,914.4","21,242.1","8.68M","1.48%"
"08/17/2021","21,286.9","21,555.8","21,779.9","21,242.1","6.88M","-0.84%"
"08/18/2021","20,883.6","20,928.4","21,242.1","20,704.4","13.24M","-1.89%"
"08/19/2021","21,152.5","20,704.4","21,376.6","20,704.4","11.33M","1.29%"
"08/20/2021","21,511.0","21,152.5","22,407.3","21,152.5","31.15M","1.69%"
"08/23/2021","21,511.0","21,690.3","22,228.1","21,421.4","11.50M","0.00%"
"08/24/2021","20,256.2","21,286.9","21,735.1","20,256.2","12.51M","-5.83%"
"08/25/2021","20,211.4","20,345.8","20,569.9","19,852.9","9.61M","-0.22%"
"08/26/2021","20,435.5","20,345.8","21,062.9","20,256.2","10.09M","1.11%"
"08/27/2021","21,331.8","20,435.5","21,331.8","20,390.7","16.23M","4.39%"
"08/30/2021","21,242.1","21,600.6","21,914.4","21,242.1","10.33M","-0.42%"
"08/31/2021","21,645.5","21,376.6","21,779.9","21,242.1","13.24M","1.90%"
"09/01/2021","21,735.1","21,511.0","22,272.9","21,466.2","10.12M","0.41%"
"09/06/2021","23,214.0","21,959.2","23,214.0","21,824.7","21.11M","6.80%"
"09/07/2021","22,676.2","23,393.2","23,841.4","22,541.8","15.90M","-2.32%"
"09/08/2021","22,676.2","22,676.2","23,169.2","22,362.5","10.33M","0.00%"
