"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","42,560.0","42,080.0","42,800.0","41,680.0","1.08M","2.50%"
"07/02/2021","41,760.0","42,560.0","42,560.0","41,760.0","863.38K","-1.88%"
"07/05/2021","40,480.0","41,600.0","41,600.0","40,400.0","1.27M","-3.07%"
"07/06/2021","37,680.0","40,160.0","41,120.0","37,680.0","1.34M","-6.92%"
"07/07/2021","39,640.0","38,800.0","40,080.0","37,680.0","1.40M","5.20%"
"07/08/2021","40,240.0","40,400.0","41,760.0","39,760.0","801.38K","1.51%"
"07/09/2021","40,400.0","40,400.0","41,440.0","39,840.0","1.09M","0.40%"
"07/12/2021","40,000.0","40,960.0","40,960.0","38,400.0","1.68M","-0.99%"
"07/13/2021","40,000.0","39,920.0","40,400.0","39,200.0","494.63K","0.00%"
"07/14/2021","39,200.0","40,000.0","40,400.0","38,880.0","635.13K","-2.00%"
"07/15/2021","39,640.0","39,120.0","39,920.0","39,120.0","443.00K","1.12%"
"07/16/2021","42,400.0","39,760.0","42,400.0","39,760.0","1.87M","6.96%"
"07/19/2021","44,720.0","42,080.0","45,360.0","42,080.0","2.34M","5.47%"
"07/20/2021","45,760.0","45,200.0","47,280.0","44,960.0","886.25K","2.33%"
"07/21/2021","45,760.0","45,440.0","46,640.0","44,880.0","731.50K","0.00%"
"07/22/2021","46,800.0","45,600.0","46,960.0","45,520.0","965.50K","2.27%"
"07/23/2021","46,480.0","46,800.0","47,600.0","46,480.0","864.25K","-0.68%"
"07/26/2021","46,880.0","46,400.0","47,600.0","46,240.0","1.32M","0.86%"
"07/27/2021","46,400.0","47,440.0","47,520.0","46,000.0","1.24M","-1.02%"
"07/28/2021","44,880.0","46,160.0","46,640.0","44,400.0","2.08M","-3.28%"
"07/29/2021","48,000.0","44,960.0","48,000.0","43,680.0","2.14M","6.95%"
"07/30/2021","47,680.0","48,800.0","49,520.0","47,520.0","1.05M","-0.67%"
"08/02/2021","47,840.0","47,200.0","48,960.0","47,200.0","1.21M","0.34%"
"08/03/2021","49,040.0","47,840.0","50,400.0","47,600.0","1.59M","2.51%"
"08/04/2021","48,640.0","49,600.0","49,760.0","48,400.0","1.08M","-0.82%"
"08/05/2021","49,600.0","48,560.0","49,600.0","48,400.0","914.25K","1.97%"
"08/06/2021","49,600.0","49,600.0","51,200.0","48,800.0","1.72M","0.00%"
"08/09/2021","50,960.0","49,600.0","51,120.0","49,520.0","1.70M","2.74%"
"08/10/2021","51,360.0","51,200.0","52,400.0","50,960.0","1.39M","0.78%"
"08/11/2021","50,400.0","51,600.0","51,920.0","50,400.0","1.18M","-1.87%"
"08/12/2021","50,080.0","50,320.0","51,440.0","50,080.0","889.50K","-0.63%"
"08/13/2021","53,200.0","49,680.0","53,200.0","48,640.0","3.11M","6.23%"
"08/16/2021","53,040.0","53,600.0","53,840.0","52,960.0","766.13K","-0.30%"
"08/17/2021","52,000.0","52,800.0","53,440.0","51,680.0","829.00K","-1.96%"
"08/18/2021","51,920.0","51,600.0","52,800.0","51,360.0","699.00K","-0.15%"
