"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,914","17,583","19,199","17,393","4.01M","9.34%"
"07/02/2021","20,340","19,009","20,625","18,819","3.91M","7.54%"
"07/05/2021","20,055","20,530","20,530","18,059","3.80M","-1.40%"
"07/06/2021","18,629","20,055","20,055","18,629","3.16M","-7.11%"
"07/07/2021","18,249","17,678","18,724","17,678","2.06M","-2.04%"
"07/08/2021","18,249","18,344","18,914","18,059","1.77M","0.00%"
"07/09/2021","17,869","18,249","18,629","17,678","1.55M","-2.08%"
"07/12/2021","16,728","17,964","18,059","15,492","3.52M","-6.38%"
"07/13/2021","16,823","16,443","17,108","16,443","1.48M","0.57%"
"07/14/2021","16,728","16,823","17,108","16,348","1.02M","-0.57%"
"07/15/2021","16,823","16,823","17,013","16,443","814.93K","0.57%"
"07/16/2021","17,773","17,108","18,059","16,823","2.62M","5.65%"
"07/19/2021","16,728","17,203","17,583","16,253","2.05M","-5.88%"
"07/20/2021","16,823","16,633","17,013","16,633","1.32M","0.57%"
"07/21/2021","16,633","16,728","16,918","16,538","1.85M","-1.13%"
"07/22/2021","17,013","16,728","17,108","16,633","1.85M","2.29%"
"07/23/2021","16,728","17,108","17,108","16,633","1.10M","-1.68%"
"07/26/2021","16,348","16,728","16,728","16,063","2.11M","-2.27%"
"07/27/2021","16,538","16,538","16,633","16,348","847.19K","1.16%"
"07/28/2021","16,538","16,538","16,633","16,348","651.17K","0.00%"
"07/29/2021","16,918","16,538","17,488","16,538","2.76M","2.30%"
"07/30/2021","16,728","17,013","17,108","16,633","1.18M","-1.12%"
"08/02/2021","16,918","17,108","17,298","16,728","3.06M","1.14%"
"08/03/2021","16,823","16,918","16,918","16,633","1.64M","-0.56%"
"08/04/2021","16,728","16,823","16,918","16,633","1.44M","-0.57%"
"08/05/2021","16,633","16,728","16,728","16,538","1.40M","-0.57%"
"08/06/2021","17,869","16,633","18,439","16,538","9.04M","7.43%"
"08/09/2021","18,534","17,964","18,724","17,773","4.15M","3.72%"
"08/10/2021","18,249","18,534","18,724","18,249","2.78M","-1.54%"
"08/11/2021","17,869","18,249","18,249","17,678","4.04M","-2.08%"
"08/12/2021","18,629","17,869","18,724","17,678","7.12M","4.25%"
"08/13/2021","18,724","18,629","19,199","18,249","4.68M","0.51%"
"08/16/2021","19,864","18,819","20,245","18,724","11.12M","6.09%"
"08/17/2021","19,294","19,960","20,150","19,104","7.29M","-2.87%"
"08/18/2021","19,199","19,294","19,674","19,009","5.21M","-0.49%"
"08/19/2021","20,150","19,294","20,720","18,724","15.41M","4.95%"
"08/20/2021","19,960","20,150","20,625","19,674","10.10M","-0.94%"
"08/23/2021","19,864","20,150","20,435","19,769","5.88M","-0.48%"
"08/24/2021","18,534","19,864","19,960","18,439","9.41M","-6.70%"
"08/25/2021","18,344","18,819","18,819","17,869","5.35M","-1.03%"
"08/26/2021","19,009","18,344","19,294","18,249","3.20M","3.63%"
"08/27/2021","19,769","19,294","20,150","18,724","7.08M","4.00%"
"08/30/2021","21,005","19,769","21,385","19,769","15.15M","6.25%"
"08/31/2021","20,720","21,100","21,385","20,530","13.52M","-1.36%"
"09/01/2021","21,195","20,720","21,290","20,435","10.01M","2.29%"
"09/06/2021","20,815","21,005","21,860","20,720","14.50M","-1.79%"
"09/07/2021","19,960","20,910","20,910","19,769","10.21M","-4.11%"
"09/08/2021","19,769","19,960","20,435","19,579","6.26M","-0.95%"
"09/09/2021","20,150","19,769","20,530","19,579","4.83M","1.92%"
"09/10/2021","20,150","20,150","20,340","19,960","3.97M","0.00%"
"09/13/2021","19,579","20,435","20,530","19,389","7.41M","-2.83%"
"09/14/2021","19,579","19,674","20,435","19,294","6.27M","0.00%"
"09/15/2021","19,769","19,769","20,150","19,389","6.15M","0.97%"
"09/16/2021","19,864","19,960","19,960","19,674","3.92M","0.48%"
"09/17/2021","20,245","19,864","20,435","19,674","10.60M","1.91%"
"09/20/2021","20,245","20,245","20,910","19,960","10.21M","0.00%"
"09/21/2021","20,150","20,435","20,435","19,484","5.72M","-0.47%"
"09/22/2021","20,530","20,150","20,625","19,864","8.08M","1.89%"
"09/23/2021","20,150","20,625","20,910","19,960","5.66M","-1.85%"
"09/24/2021","19,960","20,340","20,435","19,769","5.37M","-0.94%"
"09/27/2021","18,819","20,055","20,055","18,724","9.46M","-5.71%"
"09/28/2021","18,914","18,819","19,009","18,344","3.99M","0.51%"
"09/29/2021","19,484","18,914","19,674","18,724","3.95M","3.01%"
"09/30/2021","19,389","19,389","19,484","19,104","2.02M","-0.49%"
