"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,968.4","15,002.9","15,313.3","14,761.4","706.89K","0.00%"
"07/02/2021","14,416.5","14,968.4","14,968.4","14,209.6","627.30K","-3.69%"
"07/05/2021","14,347.6","14,347.6","14,623.5","13,864.7","774.88K","-0.48%"
"07/06/2021","13,588.8","14,209.6","14,554.5","13,588.8","771.98K","-5.29%"
"07/07/2021","13,657.8","13,519.8","13,864.7","12,899.0","525.67K","0.51%"
"07/08/2021","13,105.9","13,657.8","13,795.7","12,899.0","666.29K","-4.04%"
"07/09/2021","12,726.6","12,899.0","13,105.9","12,485.1","584.67K","-2.89%"
"07/12/2021","12,243.7","12,692.1","12,692.1","11,864.3","838.23K","-3.79%"
"07/13/2021","12,278.2","12,312.7","12,554.1","11,795.4","653.39K","0.28%"
"07/14/2021","11,933.3","12,278.2","12,554.1","11,795.4","531.90K","-2.81%"
"07/15/2021","12,312.7","11,864.3","12,347.2","11,795.4","784.88K","3.18%"
"07/16/2021","12,278.2","12,312.7","12,657.6","12,140.2","629.32K","-0.28%"
"07/19/2021","11,795.4","12,071.3","12,071.3","11,553.9","497.55K","-3.93%"
"07/20/2021","11,898.8","11,588.4","11,933.3","11,519.4","569.89K","0.88%"
"07/21/2021","11,933.3","11,898.8","12,278.2","11,898.8","613.96K","0.29%"
"07/22/2021","12,243.7","11,933.3","12,347.2","11,933.3","774.59K","2.60%"
"07/23/2021","12,612.8","12,454.1","13,088.7","12,454.1","858.87K","3.01%"
"07/26/2021","12,533.4","12,533.4","12,890.4","12,176.5","500.60K","-0.63%"
"07/27/2021","12,335.1","12,612.8","12,890.4","12,017.8","561.74K","-1.58%"
"07/28/2021","12,057.5","12,295.5","12,295.5","11,819.5","818.40K","-2.25%"
"07/29/2021","12,136.8","12,136.8","12,255.8","11,740.2","527.19K","0.66%"
"07/30/2021","12,136.8","12,136.8","12,374.8","11,978.2","677.59K","0.00%"
"08/02/2021","12,374.8","12,414.4","12,692.1","12,216.1","1.24M","1.96%"
"08/03/2021","12,573.1","12,414.4","12,850.7","12,295.5","1.14M","1.60%"
"08/04/2021","12,493.8","12,612.8","12,692.1","12,374.8","1.03M","-0.63%"
"08/05/2021","12,454.1","12,454.1","12,612.8","12,295.5","776.67K","-0.32%"
"08/06/2021","12,533.4","12,454.1","12,771.4","12,454.1","947.11K","0.64%"
"08/09/2021","12,692.1","12,533.4","12,771.4","12,493.8","1.02M","1.27%"
"08/10/2021","12,811.1","12,811.1","13,406.0","12,731.7","1.19M","0.94%"
"08/11/2021","12,930.1","12,930.1","13,406.0","12,850.7","1.25M","0.93%"
"08/12/2021","12,890.4","12,930.1","13,088.7","12,771.4","706.96K","-0.31%"
"08/13/2021","12,731.7","12,890.4","12,890.4","12,454.1","664.98K","-1.23%"
"08/16/2021","12,771.4","12,692.1","12,969.7","12,374.8","916.22K","0.31%"
"08/17/2021","13,009.4","12,811.1","13,088.7","12,692.1","1.03M","1.86%"
"08/18/2021","12,969.7","13,009.4","13,326.7","12,890.4","625.02K","-0.31%"
"08/19/2021","12,930.1","12,969.7","13,049.0","12,731.7","801.51K","-0.31%"
"08/20/2021","12,533.4","12,930.1","13,049.0","12,216.1","1.08M","-3.07%"
"08/23/2021","12,295.5","12,374.8","12,692.1","12,136.8","638.63K","-1.90%"
"08/24/2021","12,097.1","12,216.1","12,533.4","12,017.8","551.53K","-1.61%"
"08/25/2021","12,295.5","12,097.1","12,295.5","11,898.8","435.04K","1.64%"
"08/26/2021","12,295.5","12,295.5","12,374.8","12,136.8","437.06K","0.00%"
"08/27/2021","12,493.8","12,216.1","12,493.8","12,216.1","417.90K","1.61%"
"08/30/2021","13,009.4","12,533.4","13,009.4","12,533.4","740.49K","4.13%"
"08/31/2021","13,644.0","13,088.7","13,802.6","13,049.0","1.86M","4.88%"
"09/01/2021","13,763.0","13,644.0","14,080.3","13,644.0","802.89K","0.87%"
"09/06/2021","13,882.0","14,119.9","14,199.3","13,802.6","470.21K","0.86%"
"09/07/2021","13,287.0","13,802.6","13,842.3","13,287.0","983.16K","-4.29%"
"09/08/2021","13,525.0","13,247.4","13,802.6","12,930.1","1.27M","1.79%"
"09/09/2021","13,644.0","13,525.0","13,882.0","13,485.3","1.18M","0.88%"
"09/10/2021","13,644.0","13,763.0","13,842.3","13,406.0","1.35M","0.00%"
"09/13/2021","13,525.0","13,644.0","13,842.3","13,326.7","928.71K","-0.87%"
"09/14/2021","13,247.4","13,525.0","13,525.0","13,088.7","1.22M","-2.05%"
"09/15/2021","13,406.0","13,247.4","13,564.7","13,088.7","1.43M","1.20%"
"09/16/2021","13,406.0","13,406.0","13,485.3","13,247.4","1.08M","0.00%"
"09/17/2021","14,318.3","13,485.3","14,318.3","13,485.3","2.57M","6.81%"
"09/20/2021","14,595.9","15,270.2","15,270.2","14,278.6","1.90M","1.94%"
"09/21/2021","14,278.6","14,199.3","14,318.3","13,802.6","1.25M","-2.17%"
"09/22/2021","14,516.6","14,437.2","15,032.2","14,199.3","2.11M","1.67%"
"09/23/2021","14,516.6","14,675.2","14,952.9","14,318.3","1.81M","0.00%"
"09/24/2021","14,278.6","14,516.6","14,595.9","14,159.6","659.56K","-1.64%"
"09/27/2021","13,644.0","14,278.6","14,437.2","13,644.0","1.36M","-4.44%"
"09/28/2021","13,961.3","13,644.0","14,119.9","13,326.7","1.15M","2.33%"
"09/29/2021","14,040.6","13,882.0","14,159.6","13,763.0","547.87K","0.57%"
"09/30/2021","14,159.6","14,040.6","14,357.9","14,040.6","720.70K","0.85%"
"10/01/2021","13,961.3","14,119.9","14,357.9","13,921.6","672.92K","-1.40%"
"10/04/2021","13,802.6","14,001.0","14,001.0","13,604.3","668.01K","-1.14%"
"10/05/2021","14,040.6","13,882.0","14,199.3","13,802.6","686.41K","1.72%"
"10/06/2021","14,556.2","14,119.9","14,754.5","14,119.9","1.14M","3.67%"
"10/07/2021","15,071.8","14,516.6","15,428.8","14,238.9","1.41M","3.54%"
"10/08/2021","14,675.2","15,071.8","15,230.5","14,675.2","726.37K","-2.63%"
"10/11/2021","14,476.9","14,595.9","14,635.6","14,397.6","909.29K","-1.35%"
"10/12/2021","14,357.9","14,437.2","14,437.2","14,159.6","854.71K","-0.82%"
"10/13/2021","14,437.2","14,357.9","14,516.6","14,278.6","627.67K","0.55%"
"10/14/2021","14,635.6","14,437.2","14,833.9","14,437.2","558.96K","1.37%"
"10/15/2021","14,556.2","14,754.5","14,754.5","14,278.6","456.35K","-0.54%"
"10/18/2021","14,318.3","14,516.6","14,556.2","14,278.6","606.36K","-1.63%"
"10/19/2021","14,199.3","14,278.6","14,516.6","14,119.9","448.91K","-0.83%"
"10/20/2021","14,318.3","14,199.3","14,437.2","14,119.9","438.45K","0.84%"
"10/21/2021","14,238.9","14,397.6","14,397.6","14,199.3","336.59K","-0.55%"
"10/22/2021","14,397.6","14,238.9","14,516.6","14,238.9","490.76K","1.11%"
"10/25/2021","14,714.9","14,675.2","15,151.2","14,675.2","788.15K","2.20%"
"10/26/2021","14,595.9","14,516.6","14,714.9","14,397.6","309.48K","-0.81%"
"10/27/2021","14,913.2","14,635.6","15,032.2","14,397.6","717.30K","2.17%"
"10/28/2021","15,944.4","15,944.4","15,944.4","15,865.1","981.02K","6.91%"
"10/29/2021","17,055.0","17,055.0","17,055.0","16,579.0","2.37M","6.97%"
"11/01/2021","16,618.7","17,293.0","17,293.0","16,341.1","1.72M","-2.56%"
"11/02/2021","16,856.7","16,420.4","17,293.0","16,261.7","1.05M","1.43%"
"11/03/2021","15,865.1","16,896.3","16,896.3","15,865.1","1.27M","-5.88%"
"11/04/2021","15,944.4","15,627.1","15,984.1","15,151.2","896.31K","0.50%"
"11/05/2021","16,182.4","15,865.1","16,341.1","15,785.8","553.04K","1.49%"
"11/08/2021","16,222.1","16,420.4","16,579.0","16,103.1","918.37K","0.25%"
"11/09/2021","16,222.1","16,301.4","16,301.4","16,103.1","529.09K","0.00%"
"11/10/2021","16,975.7","16,222.1","17,055.0","16,142.7","1.07M","4.65%"
"11/11/2021","17,729.2","17,411.9","18,006.9","16,975.7","1.06M","4.44%"
"11/12/2021","17,372.3","18,046.6","18,046.6","17,134.3","629.31K","-2.01%"
"11/15/2021","17,134.3","17,451.6","17,451.6","16,817.0","1.08M","-1.37%"
