"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","21,700.0","21,700.0","21,700.0","21,500.0","109.90K","0.00%"
"07/02/2021","22,000.0","21,700.0","22,000.0","21,500.0","121.10K","1.38%"
"07/05/2021","22,000.0","21,900.0","22,000.0","21,500.0","105.70K","0.00%"
"07/06/2021","21,900.0","22,000.0","22,000.0","21,700.0","104.30K","-0.45%"
"07/07/2021","21,850.0","21,700.0","21,850.0","21,500.0","110.80K","-0.23%"
"07/08/2021","21,850.0","21,500.0","21,850.0","21,400.0","109.00K","0.00%"
"07/09/2021","21,650.0","21,850.0","21,850.0","21,500.0","105.60K","-0.92%"
"07/12/2021","21,800.0","21,600.0","21,800.0","21,300.0","103.80K","0.69%"
"07/13/2021","21,750.0","21,750.0","21,750.0","21,400.0","109.60K","-0.23%"
"07/14/2021","21,750.0","21,700.0","21,750.0","21,500.0","124.70K","0.00%"
"07/15/2021","21,750.0","21,650.0","21,750.0","21,300.0","122.10K","0.00%"
"07/16/2021","21,750.0","21,700.0","21,750.0","21,500.0","134.30K","0.00%"
"07/19/2021","21,500.0","21,550.0","21,550.0","21,300.0","129.60K","-1.15%"
"07/20/2021","21,600.0","21,450.0","21,600.0","21,300.0","102.60K","0.47%"
"07/21/2021","21,650.0","21,600.0","21,650.0","21,200.0","138.30K","0.23%"
"07/22/2021","21,600.0","21,600.0","21,600.0","21,350.0","130.10K","-0.23%"
"07/23/2021","21,600.0","21,450.0","21,600.0","21,300.0","91.70K","0.00%"
"07/26/2021","21,400.0","21,300.0","21,450.0","20,900.0","116.30K","-0.93%"
"07/27/2021","21,550.0","21,300.0","21,600.0","21,100.0","124.30K","0.70%"
"07/28/2021","21,550.0","21,450.0","21,550.0","20,400.0","178.70K","0.00%"
"07/29/2021","21,900.0","21,400.0","21,900.0","21,400.0","118.40K","1.62%"
"07/30/2021","21,850.0","21,550.0","21,900.0","21,400.0","109.80K","-0.23%"
"08/02/2021","21,400.0","21,550.0","21,800.0","20,800.0","151.50K","-2.06%"
"08/03/2021","21,500.0","21,350.0","21,500.0","21,200.0","115.80K","0.47%"
"08/04/2021","21,600.0","21,500.0","21,800.0","21,100.0","100.10K","0.47%"
"08/05/2021","21,600.0","21,500.0","21,600.0","20,900.0","106.40K","0.00%"
"08/06/2021","21,600.0","21,500.0","21,600.0","20,800.0","108.70K","0.00%"
"08/09/2021","21,600.0","21,600.0","21,600.0","21,200.0","339.50K","0.00%"
"08/10/2021","21,600.0","21,550.0","21,600.0","21,400.0","100.80K","0.00%"
"08/11/2021","21,400.0","21,450.0","21,550.0","20,900.0","97.80K","-0.93%"
"08/12/2021","21,300.0","21,300.0","21,350.0","20,800.0","113.60K","-0.47%"
"08/13/2021","21,300.0","21,250.0","21,300.0","20,650.0","119.40K","0.00%"
"08/16/2021","21,300.0","21,250.0","21,400.0","21,000.0","127.80K","0.00%"
"08/17/2021","21,250.0","21,200.0","21,300.0","21,000.0","94.70K","-0.23%"
"08/18/2021","21,600.0","21,300.0","21,800.0","21,100.0","116.50K","1.65%"
"08/19/2021","21,600.0","21,300.0","21,600.0","21,000.0","111.90K","0.00%"
"08/20/2021","21,500.0","21,500.0","21,500.0","21,300.0","119.20K","-0.46%"
"08/23/2021","21,500.0","21,300.0","21,500.0","21,000.0","106.00K","0.00%"
"08/24/2021","21,400.0","21,400.0","21,450.0","21,100.0","103.40K","-0.47%"
"08/25/2021","21,400.0","21,350.0","21,400.0","21,050.0","107.20K","0.00%"
"08/26/2021","21,400.0","21,350.0","21,400.0","21,000.0","102.20K","0.00%"
"08/27/2021","21,500.0","21,400.0","21,500.0","21,000.0","110.40K","0.47%"
"08/30/2021","21,500.0","21,400.0","21,500.0","21,300.0","119.60K","0.00%"
"08/31/2021","21,500.0","21,450.0","21,500.0","21,400.0","109.50K","0.00%"
"09/01/2021","21,500.0","21,500.0","21,500.0","21,250.0","108.50K","0.00%"
"09/06/2021","21,600.0","21,450.0","21,600.0","21,300.0","123.00K","0.47%"
"09/07/2021","21,500.0","21,550.0","21,550.0","21,400.0","120.30K","-0.46%"
"09/08/2021","21,500.0","21,400.0","21,500.0","21,300.0","117.20K","0.00%"
"09/09/2021","21,500.0","21,400.0","21,600.0","21,400.0","116.40K","0.00%"
"09/10/2021","21,500.0","21,450.0","21,600.0","21,400.0","120.30K","0.00%"
"09/13/2021","22,500.0","21,500.0","22,500.0","21,500.0","282.50K","4.65%"
"09/14/2021","22,500.0","22,900.0","23,000.0","22,000.0","136.80K","0.00%"
"09/15/2021","22,100.0","22,450.0","22,450.0","22,000.0","122.40K","-1.78%"
"09/16/2021","21,800.0","21,900.0","21,900.0","21,600.0","145.70K","-1.36%"
"09/17/2021","21,800.0","21,750.0","21,800.0","21,500.0","125.10K","0.00%"
"09/20/2021","21,750.0","21,750.0","21,950.0","21,700.0","135.50K","-0.23%"
"09/21/2021","21,600.0","21,700.0","21,750.0","21,600.0","143.60K","-0.69%"
"09/22/2021","22,150.0","21,550.0","22,400.0","21,550.0","158.70K","2.55%"
"09/23/2021","22,100.0","23,200.0","23,200.0","22,000.0","113.30K","-0.23%"
"09/24/2021","22,100.0","22,300.0","22,400.0","21,900.0","131.60K","0.00%"
"09/27/2021","21,700.0","22,100.0","22,150.0","21,600.0","119.90K","-1.81%"
"09/28/2021","22,000.0","21,650.0","22,000.0","21,350.0","131.40K","1.38%"
"09/29/2021","21,900.0","21,850.0","21,900.0","21,400.0","131.50K","-0.45%"
"09/30/2021","21,900.0","21,800.0","22,100.0","21,000.0","133.90K","0.00%"
"10/01/2021","21,800.0","21,850.0","21,900.0","21,400.0","129.20K","-0.46%"
"10/04/2021","21,500.0","21,750.0","21,800.0","21,450.0","143.20K","-1.38%"
"10/05/2021","21,600.0","21,500.0","21,700.0","21,500.0","128.30K","0.47%"
"10/06/2021","21,600.0","21,400.0","21,600.0","21,400.0","141.00K","0.00%"
"10/07/2021","21,600.0","21,500.0","21,650.0","21,350.0","128.80K","0.00%"
"10/08/2021","21,700.0","21,600.0","21,700.0","21,350.0","143.00K","0.46%"
"10/11/2021","21,700.0","21,600.0","21,700.0","21,500.0","138.30K","0.00%"
"10/12/2021","21,700.0","21,600.0","21,800.0","21,450.0","145.70K","0.00%"
"10/13/2021","21,400.0","21,650.0","21,700.0","21,400.0","123.00K","-1.38%"
"10/14/2021","21,400.0","21,450.0","21,500.0","21,350.0","143.40K","0.00%"
"10/15/2021","21,450.0","21,450.0","21,500.0","21,400.0","145.70K","0.23%"
"10/18/2021","21,350.0","21,500.0","21,500.0","21,000.0","177.80K","-0.47%"
"10/19/2021","21,400.0","21,400.0","21,400.0","21,200.0","142.20K","0.23%"
"10/20/2021","21,300.0","21,450.0","21,500.0","21,300.0","147.10K","-0.47%"
"10/21/2021","21,200.0","21,350.0","21,400.0","21,150.0","140.90K","-0.47%"
"10/22/2021","21,400.0","21,300.0","21,400.0","21,200.0","147.90K","0.94%"
"10/25/2021","21,500.0","21,450.0","21,500.0","21,400.0","144.00K","0.47%"
"10/26/2021","21,500.0","21,450.0","21,500.0","21,350.0","136.60K","0.00%"
"10/27/2021","21,800.0","21,550.0","21,800.0","21,500.0","148.20K","1.40%"
"10/28/2021","21,900.0","21,800.0","21,900.0","21,600.0","146.00K","0.46%"
"10/29/2021","21,800.0","21,950.0","22,000.0","21,600.0","169.40K","-0.46%"
"11/01/2021","21,900.0","21,850.0","21,900.0","21,750.0","149.90K","0.46%"
"11/02/2021","22,200.0","21,900.0","22,300.0","21,900.0","162.50K","1.37%"
"11/03/2021","22,200.0","22,200.0","22,400.0","22,000.0","214.20K","0.00%"
"11/04/2021","22,300.0","22,200.0","22,400.0","22,100.0","192.60K","0.45%"
"11/05/2021","22,400.0","22,200.0","22,400.0","22,000.0","198.20K","0.45%"
"11/08/2021","22,500.0","22,450.0","22,500.0","22,400.0","226.00K","0.45%"
"11/09/2021","22,400.0","22,500.0","22,500.0","22,300.0","185.50K","-0.44%"
"11/10/2021","22,500.0","22,400.0","22,500.0","22,250.0","202.00K","0.45%"
"11/11/2021","22,700.0","22,450.0","22,800.0","22,250.0","252.00K","0.89%"
