"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","30,785.0","31,208.0","31,396.0","30,456.0","5.32M","-1.36%"
"07/02/2021","30,691.0","30,785.0","31,208.0","29,704.0","10.22M","-0.31%"
"07/05/2021","28,764.0","30,691.0","30,738.0","28,623.0","8.12M","-6.28%"
"07/06/2021","26,790.0","28,858.0","29,375.0","26,790.0","8.44M","-6.86%"
"07/07/2021","26,790.0","26,837.0","26,978.0","25,380.0","3.54M","0.00%"
"07/08/2021","26,978.0","26,978.0","27,730.0","26,743.0","4.12M","0.70%"
"07/09/2021","25,145.0","26,884.0","27,260.0","25,145.0","6.01M","-6.79%"
"07/12/2021","23,406.0","24,628.0","25,098.0","23,406.0","5.59M","-6.92%"
"07/13/2021","23,500.0","23,500.0","23,876.0","22,090.0","4.71M","0.40%"
"07/14/2021","22,000.0","23,750.0","23,750.0","21,950.0","5.34M","-6.38%"
"07/15/2021","23,500.0","21,600.0","23,500.0","21,600.0","4.24M","6.82%"
"07/16/2021","23,850.0","23,750.0","24,850.0","23,700.0","5.43M","1.49%"
"07/19/2021","22,200.0","22,800.0","23,200.0","22,200.0","5.62M","-6.92%"
"07/20/2021","22,800.0","22,200.0","22,900.0","21,050.0","2.75M","2.70%"
"07/21/2021","22,400.0","22,900.0","23,500.0","22,200.0","3.10M","-1.75%"
"07/22/2021","23,950.0","22,700.0","23,950.0","22,550.0","7.84M","6.92%"
"07/23/2021","23,950.0","24,200.0","24,900.0","23,900.0","7.99M","0.00%"
"07/26/2021","24,800.0","23,700.0","24,950.0","23,200.0","6.26M","3.55%"
"07/27/2021","24,700.0","24,950.0","25,450.0","24,400.0","6.69M","-0.40%"
"07/28/2021","24,600.0","24,400.0","25,100.0","24,400.0","6.45M","-0.40%"
"07/29/2021","24,500.0","24,750.0","24,750.0","24,300.0","5.28M","-0.41%"
"07/30/2021","25,200.0","24,400.0","25,400.0","24,200.0","9.66M","2.86%"
"08/02/2021","24,900.0","25,100.0","25,400.0","24,800.0","5.89M","-1.19%"
"08/03/2021","25,000.0","24,950.0","25,050.0","24,600.0","5.19M","0.40%"
"08/04/2021","25,750.0","25,150.0","26,050.0","25,150.0","10.48M","3.00%"
"08/05/2021","26,100.0","25,700.0","26,150.0","25,300.0","5.04M","1.36%"
"08/06/2021","26,500.0","26,150.0","27,200.0","25,800.0","8.59M","1.53%"
"08/09/2021","27,500.0","26,500.0","27,600.0","26,200.0","6.58M","3.77%"
"08/10/2021","27,400.0","27,600.0","28,000.0","27,000.0","6.74M","-0.36%"
"08/11/2021","26,550.0","27,200.0","27,850.0","26,550.0","8.56M","-3.10%"
"08/12/2021","27,400.0","26,500.0","27,950.0","26,200.0","11.16M","3.20%"
"08/13/2021","27,750.0","27,200.0","27,750.0","26,550.0","9.89M","1.28%"
"08/16/2021","29,000.0","28,350.0","29,450.0","28,350.0","9.78M","4.50%"
"08/17/2021","28,300.0","28,800.0","28,850.0","28,150.0","7.21M","-2.41%"
"08/18/2021","28,500.0","28,350.0","28,900.0","28,250.0","5.18M","0.71%"
"08/19/2021","29,650.0","28,550.0","29,850.0","28,400.0","8.14M","4.04%"
"08/20/2021","27,900.0","29,650.0","29,850.0","27,600.0","10.96M","-5.90%"
"08/23/2021","25,950.0","27,550.0","28,000.0","25,950.0","9.25M","-6.99%"
"08/24/2021","25,150.0","25,750.0","26,450.0","24,550.0","10.02M","-3.08%"
"08/25/2021","26,300.0","25,350.0","26,350.0","25,000.0","3.62M","4.57%"
"08/26/2021","25,950.0","26,300.0","26,800.0","25,850.0","4.31M","-1.33%"
"08/27/2021","27,200.0","25,750.0","27,200.0","25,200.0","6.95M","4.82%"
"08/30/2021","27,350.0","27,600.0","27,950.0","27,150.0","7.38M","0.55%"
"08/31/2021","28,300.0","27,500.0","28,800.0","27,300.0","13.33M","3.47%"
"09/01/2021","28,550.0","28,000.0","28,750.0","27,900.0","7.91M","0.88%"
"09/06/2021","29,050.0","28,900.0","29,850.0","28,600.0","12.76M","1.75%"
"09/07/2021","27,800.0","28,950.0","29,000.0","27,700.0","11.67M","-4.30%"
"09/08/2021","27,700.0","27,600.0","28,150.0","27,500.0","5.62M","-0.36%"
"09/09/2021","28,850.0","28,000.0","28,850.0","27,750.0","5.69M","4.15%"
"09/10/2021","28,350.0","29,200.0","29,200.0","28,350.0","4.91M","-1.73%"
"09/13/2021","28,250.0","28,200.0","28,700.0","27,800.0","5.03M","-0.35%"
"09/14/2021","27,550.0","28,000.0","28,300.0","27,400.0","6.16M","-2.48%"
"09/15/2021","27,700.0","27,200.0","27,900.0","27,200.0","3.24M","0.54%"
"09/16/2021","28,050.0","27,850.0","28,350.0","27,650.0","5.42M","1.26%"
"09/17/2021","29,100.0","28,400.0","29,400.0","28,050.0","14.33M","3.74%"
"09/20/2021","28,300.0","29,600.0","29,700.0","27,900.0","8.30M","-2.75%"
"09/21/2021","28,500.0","27,600.0","28,550.0","27,400.0","7.32M","0.71%"
"09/22/2021","28,800.0","28,500.0","29,100.0","27,900.0","6.22M","1.05%"
"09/23/2021","29,650.0","29,200.0","30,600.0","29,000.0","17.14M","2.95%"
"09/24/2021","28,900.0","29,500.0","29,950.0","28,550.0","6.22M","-2.53%"
"09/27/2021","27,500.0","28,600.0","28,900.0","27,500.0","6.19M","-4.84%"
"09/28/2021","27,850.0","27,000.0","27,900.0","26,600.0","8.40M","1.27%"
"09/29/2021","27,800.0","27,700.0","27,950.0","27,000.0","5.33M","-0.18%"
"09/30/2021","27,850.0","28,150.0","28,400.0","27,850.0","2.54M","0.18%"
"10/01/2021","27,500.0","27,600.0","28,200.0","27,500.0","3.53M","-1.26%"
"10/04/2021","27,750.0","27,500.0","28,350.0","27,200.0","4.62M","0.91%"
"10/05/2021","28,200.0","27,750.0","28,600.0","27,750.0","3.44M","1.62%"
"10/06/2021","28,800.0","28,500.0","28,950.0","28,200.0","5.11M","2.13%"
"10/07/2021","29,400.0","29,000.0","29,800.0","28,900.0","9.63M","2.08%"
"10/08/2021","28,600.0","29,450.0","29,600.0","28,550.0","6.25M","-2.72%"
"10/11/2021","28,700.0","28,750.0","29,000.0","28,450.0","3.95M","0.35%"
"10/12/2021","29,700.0","28,900.0","30,200.0","28,500.0","12.41M","3.48%"
"10/13/2021","30,450.0","29,950.0","30,900.0","29,850.0","10.67M","2.53%"
"10/14/2021","30,400.0","30,800.0","30,800.0","30,400.0","7.16M","-0.16%"
"10/15/2021","30,800.0","30,400.0","31,150.0","30,100.0","9.30M","1.32%"
"10/18/2021","30,400.0","31,100.0","31,200.0","30,300.0","6.83M","-1.30%"
"10/19/2021","30,550.0","30,400.0","30,950.0","29,800.0","5.84M","0.49%"
"10/20/2021","31,300.0","30,900.0","31,900.0","30,500.0","9.43M","2.45%"
"10/21/2021","31,100.0","31,350.0","31,500.0","30,750.0","4.48M","-0.64%"
"10/22/2021","31,950.0","31,500.0","32,450.0","31,200.0","8.44M","2.73%"
"10/25/2021","33,000.0","32,200.0","33,900.0","32,000.0","10.68M","3.29%"
"10/26/2021","32,800.0","32,700.0","33,200.0","32,100.0","6.05M","-0.61%"
"10/27/2021","33,650.0","32,950.0","34,500.0","32,900.0","7.75M","2.59%"
"10/28/2021","33,900.0","33,700.0","34,300.0","33,350.0","6.76M","0.74%"
"10/29/2021","33,400.0","34,100.0","34,300.0","33,200.0","6.82M","-1.47%"
"11/01/2021","32,900.0","33,400.0","34,000.0","32,600.0","9.52M","-1.50%"
"11/02/2021","35,200.0","32,900.0","35,200.0","32,700.0","7.79M","6.99%"
"11/03/2021","32,800.0","37,000.0","37,650.0","32,750.0","16.04M","-6.82%"
"11/04/2021","34,000.0","33,000.0","34,450.0","32,500.0","7.88M","3.66%"
"11/05/2021","34,400.0","34,400.0","34,900.0","33,550.0","6.00M","1.18%"
"11/08/2021","35,350.0","34,600.0","36,150.0","34,000.0","7.22M","2.76%"
"11/09/2021","34,900.0","35,350.0","35,500.0","34,600.0","5.56M","-1.27%"
"11/10/2021","35,600.0","34,900.0","35,900.0","34,300.0","6.77M","2.01%"
"11/11/2021","36,500.0","35,650.0","37,200.0","35,450.0","9.63M","2.53%"
"11/12/2021","36,000.0","36,700.0","36,700.0","35,400.0","4.96M","-1.37%"
"11/15/2021","35,000.0","36,900.0","36,900.0","33,600.0","8.66M","-2.78%"
"11/16/2021","33,250.0","34,300.0","34,700.0","33,000.0","10.71M","-5.00%"
