"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","26,364.0","26,000.0","26,727.0","26,000.0","1.35M","1.40%"
"07/02/2021","25,864.0","26,364.0","26,545.0","25,818.0","1.66M","-1.90%"
"07/05/2021","25,773.0","25,909.0","26,364.0","25,636.0","1.20M","-0.35%"
"07/06/2021","24,100.0","26,500.0","26,900.0","24,100.0","1.16M","-6.49%"
"07/07/2021","24,300.0","24,300.0","25,000.0","23,600.0","989.20K","0.83%"
"07/08/2021","24,450.0","24,100.0","24,800.0","24,100.0","654.60K","0.62%"
"07/09/2021","23,750.0","24,300.0","24,450.0","23,200.0","983.70K","-2.86%"
"07/12/2021","23,750.0","23,200.0","24,400.0","22,100.0","1.68M","0.00%"
"07/13/2021","23,650.0","23,700.0","23,700.0","22,900.0","623.20K","-0.42%"
"07/14/2021","23,200.0","23,650.0","23,650.0","22,800.0","744.30K","-1.90%"
"07/15/2021","23,800.0","23,050.0","23,800.0","22,700.0","847.20K","2.59%"
"07/16/2021","23,700.0","23,500.0","24,150.0","23,500.0","643.20K","-0.42%"
"07/19/2021","23,150.0","22,400.0","23,700.0","22,400.0","1.02M","-2.32%"
"07/20/2021","23,200.0","23,000.0","23,200.0","22,400.0","811.00K","0.22%"
"07/21/2021","23,600.0","23,100.0","24,200.0","23,100.0","1.05M","1.72%"
"07/22/2021","24,200.0","23,950.0","24,350.0","23,750.0","987.50K","2.54%"
"07/23/2021","23,450.0","24,100.0","24,200.0","23,450.0","668.20K","-3.10%"
"07/26/2021","23,750.0","23,100.0","23,900.0","23,100.0","737.60K","1.28%"
"07/27/2021","24,550.0","24,000.0","24,850.0","23,700.0","1.55M","3.37%"
"07/28/2021","24,850.0","24,450.0","25,350.0","24,200.0","1.22M","1.22%"
"07/29/2021","24,900.0","25,250.0","25,250.0","24,800.0","685.60K","0.20%"
"07/30/2021","24,900.0","24,900.0","25,050.0","24,700.0","907.20K","0.00%"
"08/02/2021","25,300.0","24,600.0","25,850.0","24,500.0","1.59M","1.61%"
