"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,650.0","11,650.0","11,650.0","11,600.0","0.40K","0.00%"
"07/02/2021","11,800.0","11,450.0","11,800.0","11,450.0","2.20K","1.29%"
"07/05/2021","11,050.0","11,750.0","11,750.0","11,050.0","1.10K","-6.36%"
"07/06/2021","11,450.0","11,450.0","11,450.0","11,050.0","1.40K","3.62%"
"07/07/2021","11,450.0","11,050.0","11,450.0","11,050.0","0.40K","0.00%"
"07/08/2021","10,700.0","10,700.0","10,800.0","10,700.0","1.00K","-6.55%"
"07/09/2021","10,750.0","11,250.0","11,250.0","10,750.0","1.10K","0.47%"
"07/12/2021","10,900.0","10,500.0","10,900.0","10,000.0","3.10K","1.40%"
"07/14/2021","10,850.0","10,150.0","10,850.0","10,150.0","0.30K","-0.46%"
"07/15/2021","10,800.0","10,750.0","10,800.0","10,750.0","1.20K","-0.46%"
"07/16/2021","11,250.0","10,750.0","11,250.0","10,750.0","1.10K","4.17%"
"07/19/2021","10,500.0","10,500.0","10,500.0","10,500.0","0.10K","-6.67%"
"07/20/2021","10,450.0","10,450.0","10,450.0","10,450.0","0.10K","-0.48%"
"07/21/2021","10,400.0","10,400.0","10,400.0","10,400.0","0.10K","-0.48%"
"07/22/2021","11,000.0","9,680.0","11,000.0","9,680.0","0.80K","5.77%"
"07/23/2021","11,150.0","10,500.0","11,150.0","10,500.0","0.90K","1.36%"
"07/26/2021","11,000.0","10,400.0","11,000.0","10,400.0","4.40K","-1.35%"
"07/27/2021","10,300.0","11,300.0","11,300.0","10,300.0","0.30K","-6.36%"
"07/28/2021","10,850.0","10,300.0","10,900.0","10,300.0","0.60K","5.34%"
"07/30/2021","10,250.0","11,350.0","11,350.0","10,250.0","0.90K","-5.53%"
"08/02/2021","10,300.0","10,300.0","10,300.0","10,200.0","1.20K","0.49%"
"08/03/2021","10,600.0","9,600.0","10,800.0","9,600.0","2.20K","2.91%"
"08/04/2021","10,700.0","10,700.0","10,700.0","10,650.0","0.40K","0.94%"
"08/05/2021","10,600.0","10,900.0","10,900.0","10,600.0","2.10K","-0.93%"
"08/06/2021","10,500.0","10,600.0","10,600.0","10,500.0","2.10K","-0.94%"
"08/09/2021","10,500.0","10,400.0","10,500.0","10,400.0","1.80K","0.00%"
"08/10/2021","11,200.0","10,500.0","11,200.0","10,500.0","3.70K","6.67%"
"08/11/2021","11,500.0","11,750.0","11,800.0","11,000.0","1.40K","2.68%"
"08/13/2021","11,500.0","11,000.0","11,500.0","11,000.0","0.30K","0.00%"
"08/17/2021","11,500.0","11,500.0","11,500.0","11,500.0","1.20K","0.00%"
"08/18/2021","10,800.0","10,700.0","11,600.0","10,700.0","1.80K","-6.09%"
"08/19/2021","10,250.0","11,550.0","11,550.0","10,250.0","0.20K","-5.09%"
"08/20/2021","10,950.0","10,300.0","10,950.0","10,300.0","0.90K","6.83%"
"08/23/2021","11,700.0","11,700.0","11,700.0","11,700.0","3.10K","6.85%"
"08/24/2021","12,500.0","12,500.0","12,500.0","12,500.0","8.30K","6.84%"
"08/25/2021","13,350.0","13,350.0","13,350.0","13,350.0","3.40K","6.80%"
"08/26/2021","14,250.0","14,250.0","14,250.0","14,250.0","2.50K","6.74%"
"08/27/2021","15,200.0","15,200.0","15,200.0","15,200.0","7.00K","6.67%"
"08/30/2021","16,250.0","16,250.0","16,250.0","16,250.0","4.60K","6.91%"
"08/31/2021","15,200.0","17,350.0","17,350.0","15,150.0","16.80K","-6.46%"
"09/01/2021","14,150.0","14,950.0","14,950.0","14,150.0","11.10K","-6.91%"
"09/06/2021","13,400.0","13,400.0","13,400.0","13,200.0","5.40K","-5.30%"
"09/07/2021","14,000.0","13,500.0","14,000.0","12,500.0","9.80K","4.48%"
"09/08/2021","14,300.0","14,850.0","14,850.0","14,000.0","2.20K","2.14%"
"09/09/2021","13,900.0","13,800.0","14,600.0","13,800.0","1.40K","-2.80%"
"09/10/2021","13,000.0","13,900.0","13,900.0","13,000.0","6.60K","-6.47%"
"09/13/2021","13,500.0","13,000.0","13,500.0","13,000.0","0.90K","3.85%"
"09/14/2021","14,200.0","13,700.0","14,200.0","13,700.0","2.40K","5.19%"
"09/15/2021","14,000.0","14,000.0","14,000.0","13,500.0","6.30K","-1.41%"
"09/16/2021","13,050.0","14,400.0","14,500.0","13,050.0","2.40K","-6.79%"
"09/17/2021","13,950.0","13,500.0","13,950.0","13,500.0","3.20K","6.90%"
"09/20/2021","14,900.0","14,900.0","14,900.0","14,900.0","8.00K","6.81%"
"09/21/2021","13,900.0","15,000.0","15,000.0","13,900.0","2.30K","-6.71%"
"09/22/2021","14,100.0","14,000.0","14,100.0","14,000.0","1.60K","1.44%"
"09/23/2021","14,100.0","14,100.0","14,100.0","14,100.0","2.50K","0.00%"
"09/24/2021","13,800.0","13,500.0","13,800.0","13,500.0","4.50K","-2.13%"
"09/27/2021","13,000.0","13,900.0","13,900.0","13,000.0","0.50K","-5.80%"
"09/28/2021","13,000.0","13,000.0","13,000.0","13,000.0","0.70K","0.00%"
"09/29/2021","12,200.0","12,200.0","12,200.0","12,200.0","0.10K","-6.15%"
"10/04/2021","13,000.0","11,350.0","13,000.0","11,350.0","0.40K","6.56%"
"10/05/2021","13,600.0","13,600.0","13,600.0","13,600.0","0.50K","4.62%"
"10/06/2021","13,000.0","13,000.0","13,000.0","13,000.0","0.10K","-4.41%"
"10/07/2021","12,100.0","13,000.0","13,000.0","12,100.0","1.30K","-6.92%"
"10/08/2021","12,200.0","12,200.0","12,800.0","12,200.0","0.60K","0.83%"
"10/11/2021","13,050.0","13,050.0","13,050.0","13,050.0","0.50K","6.97%"
"10/12/2021","13,100.0","13,100.0","13,100.0","13,100.0","1.10K","0.38%"
"10/14/2021","13,100.0","13,000.0","13,100.0","13,000.0","1.40K","0.00%"
"10/15/2021","13,000.0","13,000.0","13,000.0","13,000.0","0.20K","-0.76%"
"10/18/2021","13,000.0","13,000.0","13,000.0","13,000.0","0.30K","0.00%"
"10/21/2021","13,500.0","13,850.0","13,850.0","13,500.0","1.50K","3.85%"
"10/22/2021","12,600.0","12,600.0","12,600.0","12,600.0","0.10K","-6.67%"
"10/25/2021","12,650.0","12,600.0","12,650.0","12,600.0","0.30K","0.40%"
"10/26/2021","12,600.0","12,600.0","12,600.0","12,600.0","0.50K","-0.40%"
"10/27/2021","13,400.0","13,400.0","13,400.0","13,400.0","0.10K","6.35%"
"10/28/2021","14,200.0","13,400.0","14,300.0","13,300.0","1.20K","5.97%"
"10/29/2021","13,250.0","13,550.0","13,550.0","13,250.0","9.00K","-6.69%"
"11/01/2021","13,250.0","13,200.0","13,250.0","13,200.0","1.20K","0.00%"
"11/03/2021","13,400.0","13,300.0","14,150.0","13,250.0","2.20K","1.13%"
"11/04/2021","13,050.0","13,400.0","13,450.0","13,050.0","1.70K","-2.61%"
"11/05/2021","12,600.0","12,600.0","12,600.0","12,600.0","0.30K","-3.45%"
"11/08/2021","13,000.0","13,000.0","13,000.0","13,000.0","0.50K","3.17%"
"11/09/2021","13,700.0","13,850.0","13,900.0","13,700.0","10.20K","5.38%"
"11/10/2021","14,500.0","14,650.0","14,650.0","13,700.0","3.90K","5.84%"
"11/11/2021","15,500.0","15,500.0","15,500.0","14,550.0","3.50K","6.90%"
