"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","52,000.0","52,100.0","54,700.0","51,900.0","2.10K","-6.81%"
"07/05/2021","48,500.0","48,500.0","48,500.0","48,500.0","0.20K","-6.73%"
"07/06/2021","48,500.0","48,500.0","48,500.0","48,500.0","0.40K","0.00%"
"07/07/2021","51,600.0","51,600.0","51,600.0","51,600.0","0.10K","6.39%"
"07/08/2021","51,300.0","48,100.0","51,300.0","48,050.0","0.50K","-0.58%"
"07/09/2021","50,800.0","50,900.0","51,000.0","47,950.0","1.90K","-0.97%"
"07/14/2021","47,250.0","47,250.0","47,250.0","47,250.0","0.10K","-6.99%"
"07/15/2021","50,500.0","49,800.0","50,500.0","49,500.0","2.40K","6.88%"
"07/16/2021","53,400.0","53,400.0","53,400.0","47,100.0","1.60K","5.74%"
"07/29/2021","57,100.0","49,700.0","57,100.0","49,700.0","4.30K","6.93%"
"08/02/2021","57,000.0","57,100.0","57,100.0","57,000.0","0.20K","-0.18%"
"08/04/2021","60,700.0","60,900.0","60,900.0","53,200.0","0.50K","6.49%"
"08/10/2021","60,200.0","56,500.0","60,300.0","56,500.0","0.70K","-0.82%"
"08/16/2021","60,000.0","56,000.0","60,000.0","56,000.0","0.40K","-0.33%"
"08/19/2021","59,000.0","59,000.0","59,000.0","59,000.0","0.20K","-1.67%"
"08/26/2021","63,000.0","63,000.0","63,000.0","63,000.0","0.60K","6.78%"
"08/30/2021","61,900.0","61,900.0","61,900.0","61,900.0","0.60K","-1.75%"
"08/31/2021","60,000.0","61,800.0","61,800.0","57,600.0","0.50K","-3.07%"
"09/07/2021","55,800.0","55,800.0","55,800.0","55,800.0","0.60K","-7.00%"
"09/10/2021","55,800.0","55,800.0","55,800.0","55,800.0","0.10K","0.00%"
"09/15/2021","52,000.0","52,000.0","52,000.0","52,000.0","0.10K","-6.81%"
"09/16/2021","55,400.0","55,400.0","55,400.0","55,400.0","0.10K","6.54%"
"09/20/2021","52,000.0","57,800.0","59,200.0","52,000.0","1.70K","-6.14%"
"09/21/2021","52,000.0","52,000.0","52,000.0","48,400.0","1.00K","0.00%"
"09/28/2021","48,450.0","48,500.0","48,500.0","48,450.0","0.70K","-6.83%"
"09/29/2021","49,100.0","49,100.0","49,100.0","49,100.0","0.50K","1.34%"
"09/30/2021","50,000.0","49,100.0","50,000.0","49,100.0","1.20K","1.83%"
"10/01/2021","46,600.0","50,000.0","50,000.0","46,600.0","0.60K","-6.80%"
"10/04/2021","49,800.0","49,800.0","49,800.0","49,800.0","0.10K","6.87%"
"10/05/2021","52,500.0","52,600.0","52,600.0","52,500.0","0.20K","5.42%"
"10/06/2021","55,500.0","51,800.0","55,500.0","51,800.0","3.10K","5.71%"
"10/07/2021","51,900.0","51,900.0","51,900.0","51,900.0","0.10K","-6.49%"
"10/11/2021","48,550.0","48,300.0","55,400.0","48,300.0","2.50K","-6.45%"
"10/12/2021","51,900.0","51,900.0","51,900.0","51,900.0","0.10K","6.90%"
"10/13/2021","54,900.0","54,900.0","54,900.0","54,900.0","0.10K","5.78%"
"10/14/2021","54,500.0","54,700.0","54,700.0","51,100.0","7.10K","-0.73%"
"10/15/2021","54,300.0","54,300.0","54,300.0","54,300.0","0.30K","-0.37%"
"10/18/2021","58,100.0","58,100.0","58,100.0","58,100.0","0.40K","7.00%"
"10/19/2021","58,100.0","54,100.0","58,100.0","54,100.0","1.30K","0.00%"
"10/20/2021","58,000.0","54,100.0","58,000.0","54,100.0","0.60K","-0.17%"
"10/22/2021","56,900.0","56,900.0","56,900.0","56,900.0","0.20K","-1.90%"
"10/25/2021","56,000.0","53,100.0","56,000.0","53,000.0","2.30K","-1.58%"
