"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","21,172.0","21,641.0","21,641.0","21,094.0","39.04K","0.00%"
"07/02/2021","20,781.0","21,172.0","21,563.0","20,313.0","477.06K","-1.85%"
"07/05/2021","20,703.0","20,313.0","20,703.0","20,000.0","40.32K","-0.38%"
"07/06/2021","20,156.0","20,313.0","20,703.0","20,078.0","126.85K","-2.64%"
"07/07/2021","19,531.0","19,609.0","20,156.0","19,063.0","71.55K","-3.10%"
"07/08/2021","19,609.0","19,531.0","19,648.0","19,531.0","27.14K","0.40%"
"07/09/2021","19,180.0","19,375.0","19,609.0","18,906.0","37.50K","-2.19%"
"07/12/2021","17,852.0","18,672.0","18,672.0","17,852.0","64.00K","-6.92%"
"07/13/2021","18,281.0","18,125.0","18,281.0","17,656.0","25.09K","2.40%"
"07/14/2021","18,203.0","17,813.0","18,203.0","17,695.0","13.31K","-0.43%"
"07/15/2021","18,672.0","18,008.0","18,672.0","17,813.0","22.02K","2.58%"
"07/16/2021","18,633.0","18,672.0","18,672.0","18,203.0","13.44K","-0.21%"
"07/19/2021","18,633.0","18,594.0","18,633.0","18,047.0","12.16K","0.00%"
"07/20/2021","19,063.0","18,672.0","19,063.0","18,594.0","145.54K","2.31%"
"07/21/2021","20,313.0","19,453.0","20,391.0","19,141.0","6.53K","6.56%"
"07/22/2021","20,703.0","20,781.0","20,898.0","20,391.0","9.47K","1.92%"
"07/23/2021","20,703.0","21,719.0","21,719.0","20,703.0","21.63K","0.00%"
"07/26/2021","20,313.0","20,703.0","21,094.0","19,531.0","22.14K","-1.88%"
"07/27/2021","20,664.0","20,313.0","20,703.0","20,313.0","3.97K","1.73%"
"07/28/2021","19,805.0","20,625.0","20,625.0","19,531.0","2.94K","-4.16%"
"07/29/2021","20,938.0","19,844.0","20,938.0","19,844.0","99.33K","5.72%"
"07/30/2021","20,820.0","21,289.0","21,445.0","20,820.0","200.32K","-0.56%"
"08/02/2021","21,094.0","20,820.0","21,367.0","20,820.0","214.53K","1.32%"
"08/03/2021","21,953.0","21,289.0","21,953.0","21,094.0","125.31K","4.07%"
"08/04/2021","21,875.0","21,875.0","21,875.0","21,172.0","96.51K","-0.36%"
"08/05/2021","22,031.0","21,484.0","22,031.0","21,250.0","138.88K","0.71%"
"08/06/2021","22,031.0","22,109.0","22,109.0","21,484.0","85.63K","0.00%"
"08/09/2021","21,875.0","21,563.0","21,875.0","21,367.0","163.97K","-0.71%"
"08/10/2021","21,719.0","21,875.0","21,875.0","21,484.0","204.29K","-0.71%"
"08/11/2021","23,203.0","21,523.0","23,203.0","21,523.0","135.55K","6.83%"
"08/12/2021","24,531.0","23,516.0","24,805.0","23,477.0","342.66K","5.72%"
"08/13/2021","24,492.0","24,766.0","24,766.0","23,281.0","227.07K","-0.16%"
"08/16/2021","24,727.0","24,492.0","24,766.0","23,555.0","192.26K","0.96%"
"08/17/2021","25,000.0","24,063.0","25,000.0","23,906.0","300.16K","1.10%"
"08/18/2021","24,766.0","24,453.0","25,391.0","24,453.0","165.25K","-0.94%"
"08/19/2021","26,484.0","24,609.0","26,484.0","24,609.0","477.70K","6.94%"
"08/20/2021","25,781.0","26,328.0","26,563.0","24,648.0","243.33K","-2.65%"
"08/23/2021","26,016.0","25,781.0","26,445.0","25,469.0","140.67K","0.91%"
"08/24/2021","25,781.0","26,016.0","26,133.0","25,000.0","201.98K","-0.90%"
"08/25/2021","25,703.0","25,781.0","25,781.0","25,156.0","308.35K","-0.30%"
"08/26/2021","25,781.0","25,781.0","25,977.0","25,625.0","182.78K","0.30%"
"08/27/2021","25,781.0","25,859.0","25,859.0","25,391.0","189.06K","0.00%"
"08/30/2021","27,266.0","25,781.0","27,578.0","25,781.0","257.02K","5.76%"
"08/31/2021","27,500.0","27,266.0","27,734.0","27,188.0","102.40K","0.86%"
"09/01/2021","27,500.0","27,500.0","27,578.0","26,953.0","134.27K","0.00%"
"09/06/2021","27,344.0","27,500.0","27,500.0","27,031.0","294.78K","-0.57%"
"09/07/2021","27,422.0","27,344.0","28,125.0","26,563.0","141.31K","0.29%"
"09/08/2021","27,266.0","27,188.0","27,344.0","26,953.0","75.65K","-0.57%"
"09/09/2021","27,266.0","27,188.0","27,461.0","26,953.0","59.14K","0.00%"
"09/10/2021","27,188.0","27,266.0","27,266.0","26,836.0","177.54K","-0.29%"
"09/13/2021","26,484.0","27,188.0","27,188.0","26,484.0","76.93K","-2.59%"
"09/14/2021","25,938.0","26,289.0","26,563.0","25,000.0","100.48K","-2.06%"
"09/15/2021","26,016.0","25,781.0","26,055.0","25,000.0","290.30K","0.30%"
"09/16/2021","27,500.0","26,016.0","27,500.0","26,016.0","183.55K","5.70%"
"09/17/2021","27,500.0","27,500.0","27,734.0","27,188.0","209.41K","0.00%"
"09/20/2021","26,406.0","27,500.0","27,500.0","26,406.0","166.91K","-3.98%"
"09/21/2021","26,406.0","26,367.0","26,406.0","25,391.0","171.39K","0.00%"
"09/22/2021","26,875.0","26,172.0","26,875.0","25,938.0","272.64K","1.78%"
"09/23/2021","27,188.0","26,914.0","27,344.0","26,563.0","195.97K","1.16%"
"09/24/2021","26,875.0","27,031.0","27,109.0","26,211.0","87.04K","-1.15%"
"09/27/2021","26,133.0","27,109.0","27,109.0","25,625.0","90.24K","-2.76%"
"09/28/2021","26,133.0","25,703.0","26,133.0","25,156.0","157.44K","0.00%"
"09/29/2021","27,188.0","25,898.0","27,188.0","25,000.0","366.34K","4.04%"
"09/30/2021","27,188.0","27,188.0","27,344.0","26,016.0","200.45K","0.00%"
"10/01/2021","26,875.0","27,109.0","27,109.0","26,250.0","168.06K","-1.15%"
"10/04/2021","26,680.0","26,328.0","26,719.0","25,938.0","215.68K","-0.73%"
"10/05/2021","26,680.0","26,680.0","26,836.0","26,250.0","207.10K","0.00%"
"10/06/2021","28,516.0","26,484.0","28,516.0","26,250.0","895.87K","6.88%"
"10/07/2021","30,508.0","29,375.0","30,508.0","29,258.0","523.78K","6.99%"
"10/08/2021","32,617.0","31,016.0","32,617.0","31,016.0","610.43K","6.91%"
"10/11/2021","31,953.0","32,031.0","33,594.0","30,352.0","428.03K","-2.04%"
"10/12/2021","29,766.0","30,469.0","31,289.0","29,766.0","311.81K","-6.84%"
"10/13/2021","31,797.0","29,297.0","31,836.0","28,750.0","1.47M","6.82%"
"10/14/2021","29,609.0","31,797.0","33,594.0","29,609.0","2.22M","-6.88%"
"10/15/2021","28,906.0","28,906.0","30,703.0","28,828.0","709.89K","-2.37%"
"10/18/2021","28,945.0","28,750.0","30,078.0","28,672.0","955.39K","0.13%"
"10/19/2021","29,258.0","28,828.0","29,531.0","27,539.0","1.95M","1.08%"
"10/20/2021","31,094.0","29,844.0","31,094.0","29,688.0","876.16K","6.28%"
"10/21/2021","33,242.0","31,172.0","33,242.0","31,094.0","989.57K","6.91%"
"10/22/2021","30,938.0","32,031.0","32,578.0","30,938.0","1.88M","-6.93%"
"10/25/2021","29,922.0","30,156.0","30,313.0","28,906.0","673.15K","-3.28%"
"10/26/2021","28,906.0","28,906.0","29,922.0","28,828.0","4.76M","-3.40%"
"10/27/2021","30,898.0","29,297.0","30,898.0","29,219.0","3.56M","6.89%"
"10/28/2021","33,047.0","33,047.0","33,047.0","33,047.0","417.79K","6.96%"
"10/29/2021","35,352.0","35,313.0","35,352.0","33,594.0","2.54M","6.97%"
"11/01/2021","37,813.0","35,352.0","37,813.0","35,352.0","1.83M","6.96%"
"11/02/2021","51,800.0","43,000.0","55,000.0","42,000.0","2.62M","36.99%"
"11/03/2021","48,200.0","52,500.0","53,600.0","48,200.0","2.40M","-6.95%"
"11/04/2021","48,000.0","44,850.0","48,300.0","44,850.0","1.76M","-0.41%"
"11/05/2021","44,650.0","47,850.0","47,900.0","44,650.0","2.79M","-6.98%"
"11/08/2021","45,000.0","43,000.0","47,750.0","43,000.0","1.57M","0.78%"
"11/09/2021","44,700.0","45,500.0","47,000.0","44,400.0","1.19M","-0.67%"
"11/10/2021","44,000.0","44,700.0","45,400.0","43,700.0","1.54M","-1.57%"
"11/11/2021","42,900.0","44,000.0","45,300.0","42,900.0","2.61M","-2.50%"
"11/12/2021","40,000.0","43,000.0","44,500.0","40,000.0","2.52M","-6.76%"
"11/15/2021","42,800.0","41,000.0","42,800.0","40,950.0","2.85M","7.00%"
"11/16/2021","45,700.0","45,300.0","45,750.0","43,600.0","2.84M","6.78%"
"11/17/2021","47,000.0","46,000.0","47,900.0","44,800.0","1.80M","2.84%"
"11/18/2021","46,700.0","47,000.0","48,500.0","45,250.0","3.03M","-0.64%"
