"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","77,420.0","79,766.0","79,766.0","77,420.0","4.40K","0.61%"
"07/05/2021","76,951.0","77,420.0","77,420.0","76,951.0","0.50K","-0.61%"
"07/07/2021","76,951.0","76,951.0","76,951.0","76,951.0","0.10K","0.00%"
"07/12/2021","77,045.0","76,951.0","77,045.0","76,951.0","1.90K","0.12%"
"07/13/2021","76,482.0","76,482.0","76,482.0","76,482.0","0.10K","-0.73%"
"07/14/2021","77,045.0","77,045.0","77,045.0","77,045.0","0.30K","0.74%"
"07/16/2021","77,889.0","77,889.0","77,889.0","77,889.0","0.20K","1.10%"
"07/19/2021","79,578.0","72,446.0","79,578.0","72,446.0","1.50K","2.17%"
"07/21/2021","81,501.0","81,212.0","81,501.0","81,212.0","1.20K","2.42%"
"07/22/2021","85,249.0","78,810.0","85,249.0","78,810.0","0.50K","4.60%"
"07/26/2021","85,057.0","85,057.0","85,057.0","85,057.0","0.10K","-0.23%"
"07/29/2021","79,386.0","81,693.0","84,480.0","79,386.0","0.90K","-6.67%"
"07/30/2021","83,615.0","79,386.0","83,615.0","79,386.0","2.20K","5.33%"
"08/02/2021","81,693.0","88,901.0","88,901.0","81,693.0","1.60K","-2.30%"
"08/03/2021","82,173.0","82,173.0","82,173.0","82,173.0","0.10K","0.59%"
"08/05/2021","86,498.0","86,498.0","86,498.0","86,498.0","0.10K","5.26%"
"08/06/2021","86,498.0","86,498.0","86,498.0","85,537.0","0.50K","0.00%"
"08/09/2021","88,420.0","88,420.0","88,420.0","88,420.0","0.10K","2.22%"
"08/10/2021","86,498.0","92,265.0","92,265.0","86,498.0","5.10K","-2.17%"
"08/11/2021","86,690.0","88,420.0","88,420.0","86,690.0","5.10K","0.22%"
"08/12/2021","84,672.0","88,228.0","88,324.0","84,672.0","5.30K","-2.33%"
"08/13/2021","84,576.0","84,576.0","84,576.0","84,576.0","0.20K","-0.11%"
"08/16/2021","84,192.0","84,576.0","88,324.0","84,096.0","3.20K","-0.45%"
"08/17/2021","85,537.0","85,537.0","85,537.0","85,537.0","0.10K","1.60%"
"08/18/2021","88,420.0","88,420.0","88,420.0","88,420.0","0.10K","3.37%"
"08/19/2021","86,498.0","86,498.0","86,498.0","86,498.0","0.10K","-2.17%"
"08/23/2021","84,576.0","84,576.0","84,576.0","84,576.0","0.50K","-2.22%"
"08/24/2021","81,789.0","81,789.0","81,789.0","81,789.0","0.10K","-3.30%"
"08/25/2021","83,231.0","82,654.0","87,459.0","82,654.0","2.00K","1.76%"
"08/26/2021","83,807.0","88,997.0","88,997.0","82,942.0","3.00K","0.69%"
"08/30/2021","89,670.0","89,670.0","89,670.0","89,670.0","0.40K","7.00%"
"08/31/2021","84,672.0","84,672.0","84,672.0","84,672.0","0.30K","-5.57%"
"09/01/2021","89,382.0","89,382.0","89,382.0","89,382.0","0.10K","5.56%"
"09/06/2021","89,382.0","89,382.0","89,382.0","89,382.0","1.40K","0.00%"
"09/10/2021","89,285.0","89,285.0","89,285.0","89,285.0","0.10K","-0.11%"
"09/14/2021","89,382.0","83,615.0","89,382.0","83,615.0","0.20K","0.11%"
"09/15/2021","86,690.0","89,285.0","89,382.0","86,690.0","1.20K","-3.01%"
"09/16/2021","86,690.0","86,690.0","86,690.0","86,690.0","0.10K","0.00%"
"09/21/2021","92,745.0","86,498.0","92,745.0","82,654.0","12.50K","6.98%"
"09/22/2021","91,304.0","86,690.0","99,185.0","86,690.0","13.70K","-1.55%"
"09/23/2021","91,304.0","92,457.0","92,457.0","91,304.0","2.20K","0.00%"
"09/24/2021","85,729.0","85,729.0","85,729.0","85,729.0","0.10K","-6.11%"
"09/27/2021","90,727.0","90,823.0","90,823.0","90,727.0","0.60K","5.83%"
"09/29/2021","90,631.0","90,631.0","90,631.0","90,631.0","0.10K","-0.11%"
"10/01/2021","90,535.0","87,459.0","90,535.0","87,459.0","0.90K","-0.11%"
"10/05/2021","91,304.0","90,727.0","91,304.0","90,727.0","0.60K","0.85%"
"10/06/2021","90,343.0","90,343.0","90,343.0","90,343.0","0.10K","-1.05%"
"10/07/2021","89,670.0","89,670.0","89,670.0","89,670.0","0.30K","-0.74%"
"10/08/2021","86,883.0","89,382.0","89,382.0","86,498.0","2.60K","-3.11%"
"10/11/2021","86,979.0","86,498.0","86,979.0","86,498.0","0.20K","0.11%"
"10/12/2021","88,997.0","91,304.0","92,841.0","87,555.0","4.50K","2.32%"
"10/13/2021","91,304.0","91,304.0","91,304.0","91,304.0","0.10K","2.59%"
"10/14/2021","97,647.0","91,208.0","97,647.0","87,652.0","0.60K","6.95%"
"10/19/2021","91,304.0","91,304.0","91,304.0","91,304.0","0.10K","-6.50%"
"10/20/2021","90,343.0","90,343.0","90,343.0","90,343.0","1.30K","-1.05%"
"10/26/2021","95,821.0","95,821.0","95,821.0","95,821.0","0.10K","6.06%"
"10/29/2021","95,148.0","89,478.0","95,148.0","89,382.0","1.20K","-0.70%"
"11/01/2021","96,109.0","96,109.0","96,109.0","96,109.0","0.10K","1.01%"
"11/02/2021","102,837.0","96,109.0","102,837.0","96,109.0","2.80K","7.00%"
"11/05/2021","95,821.0","95,725.0","95,821.0","95,725.0","0.20K","-6.82%"
"11/09/2021","92,553.0","91,400.0","102,452.0","91,400.0","1.00K","-3.41%"
"11/10/2021","90,535.0","90,439.0","98,992.0","90,439.0","0.30K","-2.18%"
"11/15/2021","90,823.0","90,919.0","90,919.0","90,823.0","2.50K","0.32%"
"11/18/2021","96,974.0","90,823.0","96,974.0","90,823.0","1.10K","6.77%"
"11/19/2021","96,109.0","96,974.0","96,974.0","96,109.0","0.30K","-0.89%"
"11/23/2021","102,837.0","102,837.0","102,837.0","102,837.0","0.10K","7.00%"
"11/26/2021","95,821.0","95,821.0","95,821.0","95,821.0","0.40K","-6.82%"
"11/29/2021","90,823.0","90,823.0","90,823.0","90,823.0","0.10K","-5.22%"
"12/06/2021","90,919.0","90,919.0","90,919.0","90,919.0","0.20K","0.11%"
"12/09/2021","90,919.0","96,109.0","97,262.0","84,864.0","13.20K","0.00%"
"12/10/2021","89,478.0","91,304.0","91,304.0","89,478.0","8.00K","-1.58%"
"12/14/2021","89,382.0","89,382.0","89,382.0","89,382.0","0.30K","-0.11%"
"12/15/2021","95,533.0","95,533.0","95,533.0","95,533.0","0.60K","6.88%"
"12/17/2021","96,109.0","96,109.0","96,109.0","96,109.0","0.40K","0.60%"
"12/22/2021","96,109.0","96,109.0","96,109.0","96,109.0","1.00K","0.00%"
"12/28/2021","89,478.0","89,478.0","89,478.0","89,478.0","0.20K","-6.90%"
"12/29/2021","89,478.0","89,478.0","89,478.0","89,478.0","0.10K","0.00%"
