"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","17,102.0","17,102.0","17,102.0","17,060.0","9.40K","-4.52%"
"07/02/2021","18,166.0","18,166.0","18,166.0","18,166.0","0.10K","6.22%"
"07/05/2021","17,826.0","17,868.0","17,868.0","17,826.0","1.30K","-1.87%"
"07/06/2021","18,081.0","17,826.0","18,081.0","17,017.0","2.70K","1.43%"
"07/12/2021","16,932.0","16,932.0","16,932.0","16,932.0","0.20K","-6.35%"
"07/16/2021","16,294.0","16,294.0","16,294.0","16,294.0","0.10K","-3.77%"
"07/19/2021","17,145.0","17,145.0","17,145.0","17,145.0","0.10K","5.22%"
"07/20/2021","17,230.0","16,209.0","17,230.0","16,209.0","0.50K","0.50%"
"07/21/2021","17,230.0","17,187.0","17,230.0","17,187.0","0.60K","0.00%"
"07/22/2021","16,549.0","16,081.0","17,273.0","16,081.0","0.50K","-3.95%"
"07/23/2021","17,017.0","17,017.0","17,017.0","17,017.0","0.10K","2.83%"
"07/26/2021","17,570.0","17,868.0","17,868.0","17,443.0","3.20K","3.25%"
"07/29/2021","17,783.0","17,868.0","17,868.0","17,783.0","0.50K","1.21%"
"07/30/2021","17,868.0","17,868.0","17,868.0","17,868.0","0.10K","0.48%"
"08/02/2021","17,187.0","17,783.0","17,868.0","17,187.0","1.60K","-3.81%"
"08/03/2021","17,570.0","17,868.0","17,868.0","17,570.0","0.30K","2.23%"
"08/06/2021","17,358.0","17,443.0","17,443.0","17,358.0","0.20K","-1.21%"
"08/09/2021","18,166.0","18,166.0","18,166.0","18,166.0","0.10K","4.65%"
"08/10/2021","17,528.0","17,953.0","18,038.0","17,528.0","1.00K","-3.51%"
"08/11/2021","17,528.0","17,528.0","17,528.0","17,528.0","1.40K","0.00%"
"08/12/2021","17,783.0","17,528.0","17,783.0","17,528.0","0.70K","1.45%"
"08/13/2021","17,698.0","18,634.0","18,932.0","17,698.0","1.40K","-0.48%"
"08/17/2021","18,762.0","17,613.0","18,762.0","17,613.0","0.30K","6.01%"
"08/19/2021","17,698.0","17,698.0","17,698.0","17,698.0","0.10K","-5.67%"
"08/20/2021","17,570.0","18,847.0","18,847.0","17,570.0","1.40K","-0.72%"
"08/23/2021","18,166.0","17,570.0","18,166.0","17,187.0","1.10K","3.39%"
"08/26/2021","18,719.0","17,868.0","18,719.0","17,868.0","0.50K","3.04%"
"08/30/2021","18,549.0","18,549.0","18,549.0","18,549.0","0.10K","-0.91%"
"08/31/2021","18,591.0","17,570.0","18,591.0","17,570.0","0.20K","0.23%"
"09/01/2021","17,655.0","17,655.0","18,591.0","17,655.0","1.20K","-5.03%"
