"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","20,500.0","20,500.0","20,500.0","20,500.0","0.10K","0.99%"
"07/02/2021","20,600.0","20,800.0","20,800.0","20,500.0","2.20K","0.49%"
"07/05/2021","20,300.0","20,600.0","20,600.0","20,300.0","1.00K","-1.46%"
"07/06/2021","20,550.0","20,600.0","20,600.0","20,550.0","0.40K","1.23%"
"07/07/2021","20,000.0","20,000.0","20,300.0","20,000.0","0.60K","-2.68%"
"07/08/2021","20,000.0","20,000.0","20,100.0","20,000.0","1.60K","0.00%"
"07/09/2021","19,300.0","20,000.0","20,000.0","19,300.0","0.90K","-3.50%"
"07/12/2021","19,350.0","19,450.0","19,450.0","19,350.0","2.70K","0.26%"
"07/13/2021","19,600.0","20,450.0","20,450.0","19,350.0","1.20K","1.29%"
"07/14/2021","19,500.0","19,350.0","19,500.0","19,350.0","5.60K","-0.51%"
"07/15/2021","19,400.0","19,500.0","19,500.0","19,400.0","0.90K","-0.51%"
"07/16/2021","19,500.0","19,500.0","19,500.0","19,500.0","8.30K","0.52%"
"07/19/2021","20,250.0","19,500.0","20,250.0","18,900.0","3.20K","3.85%"
"07/21/2021","20,000.0","20,000.0","20,000.0","20,000.0","0.10K","-1.23%"
"07/22/2021","20,000.0","20,000.0","20,000.0","20,000.0","1.00K","0.00%"
"07/23/2021","19,500.0","19,400.0","19,500.0","19,400.0","1.40K","-2.50%"
"07/26/2021","19,500.0","20,250.0","20,250.0","19,500.0","0.90K","0.00%"
"07/27/2021","19,200.0","19,300.0","19,300.0","19,100.0","1.10K","-1.54%"
"07/28/2021","20,000.0","19,200.0","20,000.0","19,200.0","0.30K","4.17%"
"07/29/2021","19,000.0","19,100.0","19,200.0","19,000.0","2.90K","-5.00%"
"07/30/2021","19,050.0","19,000.0","19,900.0","19,000.0","2.60K","0.26%"
"08/02/2021","18,850.0","18,800.0","18,900.0","18,800.0","0.30K","-1.05%"
"08/03/2021","19,700.0","19,000.0","19,800.0","19,000.0","3.40K","4.51%"
"08/04/2021","19,900.0","19,700.0","19,900.0","19,700.0","0.60K","1.02%"
"08/05/2021","20,500.0","20,000.0","20,500.0","20,000.0","3.90K","3.02%"
"08/06/2021","20,400.0","20,400.0","20,400.0","20,400.0","1.10K","-0.49%"
"08/09/2021","20,700.0","20,400.0","20,700.0","20,300.0","32.20K","1.47%"
"08/10/2021","20,600.0","20,600.0","20,700.0","20,600.0","1.50K","-0.48%"
"08/12/2021","20,500.0","20,600.0","20,600.0","20,500.0","1.90K","-0.49%"
"08/13/2021","20,000.0","20,000.0","20,000.0","20,000.0","0.20K","-2.44%"
"08/16/2021","20,600.0","20,500.0","20,700.0","20,000.0","8.30K","3.00%"
"08/17/2021","19,600.0","20,700.0","20,700.0","19,600.0","12.60K","-4.85%"
"08/18/2021","19,600.0","19,700.0","19,700.0","19,600.0","4.50K","0.00%"
"08/19/2021","19,600.0","19,700.0","20,450.0","19,500.0","6.10K","0.00%"
"08/20/2021","19,600.0","20,000.0","20,500.0","19,550.0","2.30K","0.00%"
"08/23/2021","19,550.0","19,600.0","19,600.0","19,550.0","1.30K","-0.26%"
"08/24/2021","19,500.0","19,550.0","19,550.0","19,500.0","5.10K","-0.26%"
"08/27/2021","19,500.0","19,200.0","19,500.0","19,200.0","2.00K","0.00%"
"08/30/2021","19,500.0","19,100.0","19,500.0","19,100.0","1.40K","0.00%"
"08/31/2021","19,200.0","19,200.0","19,200.0","19,200.0","0.90K","-1.54%"
"09/01/2021","19,950.0","19,500.0","20,000.0","19,100.0","8.10K","3.91%"
"09/06/2021","19,850.0","20,000.0","20,000.0","19,800.0","4.00K","-0.50%"
"09/07/2021","19,750.0","19,850.0","19,850.0","19,200.0","3.40K","-0.50%"
"09/08/2021","19,700.0","19,500.0","19,800.0","19,500.0","1.20K","-0.25%"
"09/10/2021","19,700.0","19,700.0","19,700.0","19,700.0","2.10K","0.00%"
"09/13/2021","19,500.0","19,200.0","19,500.0","19,000.0","2.20K","-1.02%"
"09/14/2021","19,300.0","19,500.0","20,100.0","19,250.0","21.90K","-1.03%"
"09/15/2021","19,500.0","19,400.0","19,500.0","19,100.0","6.80K","1.04%"
"09/16/2021","19,100.0","19,700.0","19,700.0","19,100.0","1.80K","-2.05%"
"09/17/2021","19,150.0","19,150.0","19,350.0","19,000.0","31.80K","0.26%"
"09/20/2021","19,600.0","19,400.0","19,800.0","19,400.0","9.70K","2.35%"
"09/21/2021","19,750.0","19,900.0","19,900.0","19,150.0","7.50K","0.77%"
"09/22/2021","19,700.0","19,050.0","19,700.0","19,050.0","5.20K","-0.25%"
"09/23/2021","19,100.0","19,800.0","19,800.0","19,100.0","6.40K","-3.05%"
