"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","71,319.0","75,581.0","75,581.0","71,319.0","2.40K","-1.31%"
"07/02/2021","75,770.0","75,676.0","75,770.0","75,676.0","0.20K","6.24%"
"07/06/2021","75,581.0","75,581.0","75,581.0","75,581.0","0.10K","-0.25%"
"07/09/2021","71,603.0","71,603.0","71,603.0","71,603.0","0.40K","-5.26%"
"07/12/2021","68,762.0","71,508.0","71,508.0","68,762.0","2.50K","-3.97%"
"07/13/2021","68,762.0","68,762.0","68,762.0","68,762.0","0.20K","0.00%"
"07/14/2021","73,024.0","72,740.0","73,024.0","72,740.0","1.20K","6.20%"
"07/16/2021","70,088.0","70,088.0","70,088.0","70,088.0","0.10K","-4.02%"
"07/21/2021","70,088.0","70,088.0","70,088.0","70,088.0","0.10K","0.00%"
"07/27/2021","66,394.0","74,823.0","74,823.0","66,394.0","0.70K","-5.27%"
"08/03/2021","66,299.0","66,299.0","66,299.0","66,299.0","0.10K","-0.14%"
"08/04/2021","66,299.0","66,299.0","66,299.0","66,299.0","0.50K","0.00%"
"08/06/2021","70,088.0","64,405.0","70,088.0","64,405.0","2.50K","5.72%"
"08/09/2021","66,394.0","66,394.0","66,394.0","66,394.0","2.00K","-5.27%"
"08/13/2021","69,141.0","69,141.0","69,141.0","69,141.0","0.10K","4.14%"
"08/16/2021","71,982.0","71,982.0","71,982.0","71,982.0","0.10K","4.11%"
"08/17/2021","72,455.0","71,887.0","72,455.0","71,887.0","0.40K","0.66%"
"08/23/2021","72,361.0","72,361.0","72,361.0","72,361.0","0.10K","-0.13%"
"08/27/2021","72,361.0","72,361.0","72,361.0","72,361.0","0.20K","0.00%"
"08/31/2021","72,455.0","72,455.0","72,455.0","72,455.0","0.10K","0.13%"
"09/06/2021","76,718.0","72,455.0","76,718.0","72,455.0","1.50K","5.88%"
"09/15/2021","77,665.0","77,665.0","77,665.0","77,665.0","0.10K","1.23%"
"09/21/2021","76,718.0","76,718.0","76,718.0","76,718.0","0.10K","-1.22%"
"10/01/2021","71,508.0","82,021.0","82,021.0","71,414.0","2.30K","-6.79%"
"10/05/2021","71,508.0","71,508.0","71,508.0","71,508.0","0.50K","0.00%"
"10/06/2021","71,603.0","71,603.0","71,603.0","71,603.0","0.10K","0.13%"
"10/12/2021","71,603.0","71,603.0","71,603.0","71,603.0","0.40K","0.00%"
"10/14/2021","72,740.0","72,740.0","72,740.0","72,740.0","0.10K","1.59%"
"10/25/2021","72,740.0","72,740.0","72,740.0","72,740.0","0.60K","0.00%"
"10/27/2021","77,665.0","77,665.0","77,665.0","77,665.0","0.10K","6.77%"
"11/02/2021","77,570.0","77,570.0","77,570.0","77,570.0","0.20K","-0.12%"
"11/03/2021","77,475.0","77,475.0","77,475.0","77,475.0","0.10K","-0.12%"
"11/05/2021","75,581.0","72,266.0","75,676.0","72,266.0","0.90K","-2.44%"
"11/09/2021","71,035.0","71,035.0","71,035.0","71,035.0","0.10K","-6.01%"
"11/11/2021","71,982.0","71,982.0","71,982.0","71,982.0","0.40K","1.33%"
"11/12/2021","71,982.0","71,982.0","71,982.0","71,982.0","0.10K","0.00%"
"11/16/2021","71,982.0","71,982.0","71,982.0","71,982.0","0.10K","0.00%"
"11/17/2021","72,929.0","72,929.0","72,929.0","72,929.0","0.20K","1.32%"
"11/18/2021","76,718.0","76,718.0","76,718.0","76,718.0","0.10K","5.20%"
"11/19/2021","74,775.0","74,775.0","74,775.0","74,775.0","0.30K","-2.53%"
"11/23/2021","74,775.0","74,775.0","74,775.0","74,775.0","0.10K","0.00%"
"11/25/2021","74,775.0","74,775.0","74,775.0","74,775.0","0.30K","0.00%"
"11/29/2021","72,056.0","77,689.0","77,689.0","72,056.0","2.30K","-3.64%"
"12/02/2021","67,201.0","67,201.0","67,201.0","67,201.0","0.10K","-6.74%"
"12/07/2021","71,862.0","71,862.0","71,862.0","71,862.0","0.60K","6.94%"
"12/27/2021","74,678.0","67,880.0","74,678.0","67,880.0","1.80K","3.92%"
"12/30/2021","69,628.0","69,628.0","69,628.0","69,628.0","0.60K","-6.76%"
"12/31/2021","67,978.0","67,978.0","67,978.0","67,978.0","0.40K","-2.37%"
