"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,724.4","18,917.4","18,917.4","18,579.6","285.50K","-0.51%"
"07/02/2021","18,724.4","18,724.4","18,917.4","18,627.9","349.00K","0.00%"
"07/05/2021","18,676.1","19,013.9","19,013.9","18,434.8","328.80K","-0.26%"
"07/06/2021","18,338.3","18,434.8","18,772.6","18,338.3","413.00K","-1.81%"
"07/07/2021","17,855.7","18,338.3","18,338.3","17,469.6","616.90K","-2.63%"
"07/08/2021","17,904.0","18,145.3","18,145.3","17,662.7","385.50K","0.27%"
"07/09/2021","17,759.2","17,904.0","17,952.2","17,517.9","350.50K","-0.81%"
"07/12/2021","16,601.0","17,180.1","17,759.2","16,552.7","721.90K","-6.52%"
"07/13/2021","16,601.0","16,649.3","16,794.0","15,442.8","176.80K","0.00%"
"07/14/2021","16,504.5","16,745.8","17,180.1","16,311.4","146.80K","-0.58%"
"07/15/2021","16,359.7","15,635.8","16,408.0","15,442.8","223.60K","-0.88%"
"07/16/2021","16,697.5","16,311.4","16,745.8","16,311.4","363.40K","2.06%"
"07/19/2021","16,214.9","16,214.9","16,601.0","16,214.9","370.70K","-2.89%"
"07/20/2021","16,359.7","16,214.9","16,359.7","15,925.4","131.50K","0.89%"
"07/21/2021","16,359.7","16,697.5","16,697.5","16,359.7","159.20K","0.00%"
"07/22/2021","17,083.6","16,504.5","17,180.1","16,408.0","337.50K","4.42%"
"07/23/2021","16,794.0","17,083.6","17,566.2","16,794.0","360.60K","-1.70%"
"07/26/2021","17,035.3","16,697.5","17,131.8","16,552.7","136.00K","1.44%"
"07/27/2021","16,890.5","17,083.6","17,228.4","16,794.0","156.30K","-0.85%"
"07/28/2021","16,794.0","17,083.6","17,083.6","16,745.8","65.10K","-0.57%"
"07/29/2021","16,794.0","16,649.3","16,890.5","16,649.3","130.20K","0.00%"
"07/30/2021","16,890.5","16,890.5","17,035.3","16,745.8","287.40K","0.57%"
"08/02/2021","17,228.4","16,890.5","17,373.1","16,794.0","444.90K","2.00%"
"08/03/2021","17,276.6","17,373.1","17,421.4","17,131.8","315.40K","0.28%"
"08/04/2021","17,855.7","17,373.1","17,855.7","17,373.1","573.70K","3.35%"
"08/05/2021","17,662.7","17,855.7","17,952.2","17,469.6","419.30K","-1.08%"
"08/06/2021","18,241.8","17,855.7","18,579.6","17,662.7","756.30K","3.28%"
"08/09/2021","19,496.5","18,241.8","19,496.5","18,097.0","1.96M","6.88%"
"08/10/2021","19,689.5","20,268.7","20,268.7","19,303.5","1.08M","0.99%"
"08/11/2021","19,110.4","19,689.5","19,689.5","19,110.4","670.30K","-2.94%"
"08/12/2021","19,786.1","18,724.4","20,220.4","18,531.3","1.78M","3.54%"
"08/13/2021","20,847.8","19,882.6","21,040.8","19,786.1","1.75M","5.37%"
"08/16/2021","21,040.8","21,716.4","21,909.4","20,944.3","1.92M","0.93%"
"08/17/2021","20,220.4","21,040.8","21,040.8","19,882.6","1.47M","-3.90%"
"08/18/2021","20,654.7","19,979.1","20,992.5","19,496.5","1.09M","2.15%"
"08/19/2021","20,703.0","20,654.7","20,751.2","19,979.1","932.50K","0.23%"
"08/20/2021","19,786.1","20,944.3","21,716.4","19,303.5","2.13M","-4.43%"
"08/23/2021","18,627.9","20,075.6","20,075.6","18,627.9","1.03M","-5.85%"
"08/24/2021","18,338.3","18,627.9","18,917.4","17,566.2","1.30M","-1.55%"
"08/25/2021","18,338.3","17,952.2","18,338.3","17,662.7","634.70K","0.00%"
"08/26/2021","18,241.8","18,627.9","18,869.2","18,048.8","622.30K","-0.53%"
"08/27/2021","18,820.9","18,241.8","18,917.4","17,952.2","408.50K","3.17%"
"08/30/2021","19,255.2","19,207.0","19,255.2","18,965.7","617.00K","2.31%"
"08/31/2021","20,558.2","19,303.5","20,558.2","19,303.5","2.34M","6.77%"
"09/01/2021","21,378.6","21,137.3","21,909.4","20,944.3","1.70M","3.99%"
"09/06/2021","21,668.2","21,378.6","22,585.1","21,378.6","1.47M","1.35%"
"09/07/2021","20,268.7","21,233.8","21,668.2","20,172.1","2.77M","-6.46%"
"09/08/2021","21,619.9","20,075.6","21,619.9","19,689.5","1.57M","6.67%"
"09/09/2021","21,619.9","21,619.9","21,716.4","20,896.0","836.60K","0.00%"
"09/10/2021","21,812.9","21,812.9","22,585.1","21,764.7","1.43M","0.89%"
"09/13/2021","21,040.8","21,426.9","21,812.9","20,896.0","862.20K","-3.54%"
"09/14/2021","19,882.6","21,040.8","21,040.8","19,882.6","1.05M","-5.50%"
"09/15/2021","20,461.7","19,496.5","20,751.2","19,351.7","764.90K","2.91%"
"09/16/2021","20,461.7","20,654.7","20,703.0","19,786.1","521.10K","0.00%"
"09/17/2021","20,896.0","20,461.7","21,523.4","20,220.4","1.19M","2.12%"
"09/20/2021","20,558.2","20,896.0","21,716.4","20,558.2","782.90K","-1.62%"
"09/21/2021","20,558.2","19,979.1","20,751.2","19,979.1","654.50K","0.00%"
"09/22/2021","21,957.7","20,558.2","21,957.7","20,558.2","2.15M","6.81%"
"09/23/2021","22,681.6","22,681.6","23,453.7","22,199.0","2.06M","3.30%"
"09/24/2021","21,137.3","22,681.6","23,067.7","21,137.3","1.39M","-6.81%"
"09/27/2021","19,882.6","21,137.3","21,137.3","19,882.6","1.41M","-5.94%"
"09/28/2021","20,461.7","19,303.5","20,558.2","19,110.4","1.01M","2.91%"
"09/29/2021","20,944.3","20,268.7","21,330.3","19,930.8","630.60K","2.36%"
"09/30/2021","20,751.2","20,944.3","21,523.4","20,751.2","321.40K","-0.92%"
"10/01/2021","20,268.7","20,654.7","20,847.8","20,268.7","665.50K","-2.33%"
"10/04/2021","20,268.7","20,365.2","20,751.2","20,268.7","560.90K","0.00%"
"10/05/2021","20,461.7","20,268.7","20,751.2","20,268.7","366.30K","0.95%"
"10/06/2021","21,089.1","20,751.2","21,233.8","20,461.7","492.20K","3.07%"
"10/07/2021","21,426.9","21,233.8","21,716.4","21,137.3","1.04M","1.60%"
"10/08/2021","21,040.8","21,426.9","21,668.2","20,992.5","529.80K","-1.80%"
"10/11/2021","21,040.8","21,233.8","21,378.6","20,751.2","279.90K","0.00%"
"10/12/2021","21,475.1","21,040.8","21,668.2","20,703.0","999.10K","2.06%"
"10/13/2021","22,199.0","21,716.4","22,585.1","21,716.4","1.95M","3.37%"
"10/14/2021","21,716.4","22,295.5","23,115.9","21,716.4","1.79M","-2.17%"
"10/15/2021","21,957.7","21,619.9","22,681.6","21,619.9","891.40K","1.11%"
"10/18/2021","22,295.5","22,150.7","22,971.1","21,716.4","1.00M","1.54%"
"10/19/2021","23,839.8","22,874.6","23,839.8","22,440.3","2.66M","6.93%"
"10/20/2021","24,322.4","24,322.4","25,094.5","23,357.2","1.73M","2.02%"
"10/21/2021","25,577.1","24,563.7","25,673.6","23,743.3","1.87M","5.16%"
