"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2021","25,689.0","25,689.0","25,689.0","25,689.0","0.60K","1.06%"
"07/05/2021","25,689.0","25,779.0","25,779.0","25,689.0","0.20K","0.00%"
"07/06/2021","25,689.0","25,689.0","25,689.0","25,689.0","0.10K","0.00%"
"07/08/2021","24,788.0","24,788.0","24,788.0","24,788.0","0.30K","-3.51%"
"07/09/2021","25,689.0","25,509.0","25,689.0","25,509.0","1.30K","3.63%"
"07/12/2021","24,788.0","24,337.0","24,788.0","24,337.0","1.10K","-3.51%"
"07/15/2021","24,788.0","24,788.0","24,788.0","24,788.0","0.90K","0.00%"
"07/20/2021","24,788.0","25,148.0","25,148.0","24,788.0","0.40K","0.00%"
"07/22/2021","24,788.0","24,788.0","24,788.0","24,788.0","0.30K","0.00%"
"07/23/2021","24,968.0","25,238.0","25,238.0","24,968.0","1.60K","0.73%"
"07/26/2021","24,968.0","24,968.0","24,968.0","24,968.0","14.40K","0.00%"
"07/27/2021","24,788.0","24,788.0","24,788.0","24,788.0","0.60K","-0.72%"
"07/28/2021","24,878.0","24,878.0","24,878.0","24,878.0","0.10K","0.36%"
"07/29/2021","24,878.0","25,689.0","25,689.0","24,878.0","0.71K","0.00%"
"07/30/2021","24,878.0","24,878.0","24,878.0","24,878.0","0.14K","0.00%"
"08/02/2021","24,878.0","24,878.0","24,878.0","24,878.0","4.60K","0.00%"
"08/04/2021","24,878.0","24,878.0","24,878.0","24,337.0","0.80K","0.00%"
"08/05/2021","24,337.0","24,337.0","24,337.0","24,337.0","2.20K","-2.17%"
"08/06/2021","24,788.0","24,427.0","24,788.0","24,337.0","4.30K","1.85%"
"08/09/2021","24,788.0","24,788.0","24,788.0","24,427.0","8.10K","0.00%"
"08/10/2021","25,238.0","25,238.0","25,238.0","25,238.0","0.10K","1.82%"
"08/11/2021","25,238.0","25,238.0","25,329.0","25,238.0","2.20K","0.00%"
"08/12/2021","24,788.0","24,788.0","24,788.0","24,788.0","1.00K","-1.78%"
"08/13/2021","25,238.0","25,238.0","25,238.0","25,238.0","0.20K","1.82%"
"08/16/2021","24,607.0","24,878.0","24,878.0","24,607.0","2.00K","-2.50%"
"08/17/2021","24,788.0","24,788.0","24,788.0","24,788.0","0.90K","0.74%"
"08/18/2021","24,878.0","24,968.0","24,968.0","24,878.0","3.70K","0.36%"
