"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","16,573.00","16,823.33","16,823.33","15,821.40","1.16M","0.51%"
"07/02/2021","16,531.00","16,280.64","16,572.86","16,155.40","417.79K","-0.25%"
"07/05/2021","16,448.00","16,447.62","16,489.37","15,821.40","771.02K","-0.50%"
"07/06/2021","16,155.00","16,447.62","16,447.62","15,863.20","651.49K","-1.78%"
"07/07/2021","15,863.00","15,445.74","15,863.19","15,404.00","861.56K","-1.81%"
"07/08/2021","15,529.00","15,779.70","16,030.17","15,445.70","594.63K","-2.11%"
"07/09/2021","15,529.00","15,529.23","15,612.72","14,903.00","1.61M","0.00%"
"07/12/2021","14,861.00","15,445.74","15,445.74","14,443.90","562.96K","-4.30%"
"07/13/2021","14,611.00","14,610.83","14,861.30","14,193.40","502.64K","-1.68%"
"07/14/2021","14,026.00","14,610.83","14,652.58","14,026.40","507.44K","-4.00%"
"07/15/2021","13,776.00","13,608.95","14,026.40","13,483.70","583.37K","-1.78%"
"07/16/2021","14,068.00","13,859.42","14,736.07","13,859.40","356.13K","2.12%"
"07/19/2021","13,859.00","14,026.40","14,026.40","13,483.70","317.55K","-1.49%"
"07/20/2021","14,694.00","13,859.42","14,694.32","13,525.50","655.73K","6.02%"
"07/21/2021","15,028.00","15,070.03","15,111.77","14,652.60","297.48K","2.27%"
"07/22/2021","15,112.00","15,028.28","15,237.01","14,777.80","214.30K","0.56%"
"07/23/2021","14,861.00","15,070.03","15,111.77","14,610.80","378.65K","-1.66%"
"07/26/2021","14,611.00","14,861.30","14,861.30","14,402.10","389.58K","-1.68%"
"07/27/2021","14,778.00","14,527.34","14,777.81","14,360.40","613.70K","1.14%"
"07/28/2021","14,694.00","14,819.56","14,944.79","14,569.10","352.34K","-0.57%"
"07/29/2021","14,694.00","14,736.07","14,903.05","14,276.90","677.36K","0.00%"
"07/30/2021","14,694.00","14,694.32","14,819.56","14,485.60","572.55K","0.00%"
"08/02/2021","14,945.00","14,736.07","15,111.77","14,610.80","606.23K","1.71%"
"08/03/2021","14,945.00","14,944.79","15,028.28","14,694.30","485.92K","0.00%"
"08/04/2021","14,861.00","14,903.05","15,028.28","14,569.10","648.93K","-0.56%"
"08/05/2021","15,696.00","14,861.30","15,696.21","14,485.60","1.19M","5.62%"
"08/06/2021","15,446.00","15,821.44","15,863.19","15,445.70","681.38K","-1.59%"
"08/09/2021","15,446.00","15,445.74","15,445.74","15,195.30","328.70K","0.00%"
"08/10/2021","15,195.00","15,403.99","15,445.74","14,903.00","805.48K","-1.63%"
