"Date","Price","Open","High","Low","Vol.","Change %"
"07/12/2021","23,100","20,200","23,100","20,200","0.60K","-1.70%"
"07/15/2021","23,000","22,800","23,000","22,800","1.10K","-0.43%"
"07/16/2021","23,000","23,000","23,000","23,000","0.30K","0.00%"
"07/20/2021","22,700","20,600","22,800","20,500","1.80K","-1.30%"
"07/21/2021","22,800","21,900","22,800","21,900","0.30K","0.44%"
"07/26/2021","22,500","20,500","22,500","20,500","2.50K","-1.32%"
"07/27/2021","22,700","22,700","22,700","22,700","0.10K","0.89%"
"07/29/2021","22,700","21,100","22,700","21,100","11.10K","0.00%"
"07/30/2021","22,900","22,900","22,900","22,900","0.30K","0.88%"
"08/02/2021","22,500","22,500","22,500","22,500","2.20K","-1.75%"
"08/03/2021","22,400","22,400","22,400","22,400","0.60K","-0.44%"
"08/09/2021","22,400","20,400","22,700","20,200","4.70K","0.00%"
"08/10/2021","22,600","22,600","22,600","22,600","0.10K","0.89%"
"08/12/2021","22,900","22,300","23,000","22,000","5.70K","1.33%"
"08/13/2021","23,900","23,900","23,900","23,900","0.10K","4.37%"
"08/16/2021","23,900","23,500","23,900","21,100","5.30K","0.00%"
"08/17/2021","23,800","23,800","23,800","23,800","0.10K","-0.42%"
"08/18/2021","23,800","23,800","23,800","23,800","5.50K","0.00%"
"08/19/2021","23,600","23,300","23,600","23,300","1.60K","-0.84%"
"08/23/2021","23,100","23,100","23,100","23,100","4.20K","-2.12%"
"08/25/2021","23,000","21,000","23,000","21,000","2.40K","-0.43%"
"08/26/2021","23,000","23,000","23,000","23,000","0.10K","0.00%"
"09/01/2021","24,000","20,100","24,000","20,100","7.30K","4.35%"
"09/06/2021","24,500","24,500","24,500","24,500","0.10K","2.08%"
"09/07/2021","24,500","24,500","24,500","24,500","","0.00%"
"09/09/2021","21,600","21,700","23,400","21,600","8.50K","-11.84%"
"09/10/2021","22,900","22,900","22,900","22,900","0.30K","6.02%"
"09/14/2021","23,300","22,600","23,800","22,100","6.70K","1.75%"
"09/15/2021","23,000","22,900","23,000","22,800","1.70K","-1.29%"
"09/16/2021","25,900","23,500","25,900","22,900","2.31K","12.61%"
"09/17/2021","25,000","25,000","25,000","25,000","0.10K","-3.47%"
"09/20/2021","25,000","25,000","25,000","25,000","","0.00%"
"09/21/2021","27,000","27,500","27,500","22,100","4.20K","8.00%"
"09/22/2021","24,800","25,500","25,500","21,900","7.20K","-8.15%"
"09/23/2021","24,800","24,800","24,800","24,800","0.10K","0.00%"
"10/11/2021","24,100","21,200","24,100","21,200","1.20K","-2.82%"
"10/13/2021","23,300","23,800","23,800","23,300","0.50K","-3.32%"
"10/18/2021","22,800","20,200","22,800","20,200","0.30K","-2.15%"
"10/21/2021","22,800","22,800","22,800","22,800","","0.00%"
"10/25/2021","22,000","20,500","22,000","20,200","6.40K","-3.51%"
"10/26/2021","23,400","23,300","23,400","23,300","0.20K","6.36%"
"11/03/2021","23,400","23,400","23,400","23,400","","0.00%"
"11/04/2021","21,100","20,900","21,100","20,800","0.60K","-9.83%"
"11/05/2021","22,800","22,800","22,800","22,800","0.10K","8.06%"
"11/08/2021","22,800","22,800","22,800","22,800","","0.00%"
"11/09/2021","22,800","22,800","22,800","22,800","0.10K","0.00%"
"11/11/2021","20,800","22,700","22,700","20,800","0.70K","-8.77%"
"11/12/2021","21,000","23,500","23,500","21,000","18.70K","0.96%"
"11/15/2021","21,200","21,200","21,200","21,200","0.50K","0.95%"
"11/16/2021","21,100","21,300","21,300","21,100","47.00K","-0.47%"
"11/17/2021","20,200","22,900","22,900","20,200","57.51K","-4.27%"
"11/18/2021","22,100","22,100","22,100","22,000","1.60K","9.41%"
"11/19/2021","22,000","22,100","22,100","21,000","42.00K","-0.45%"
"11/22/2021","20,700","21,000","21,000","20,500","41.50K","-5.91%"
"11/24/2021","22,000","21,600","22,000","21,600","3.01K","6.28%"
"11/26/2021","22,000","22,000","22,000","22,000","","0.00%"
"11/29/2021","22,000","22,000","22,000","22,000","","0.00%"
"11/30/2021","22,800","21,500","22,800","21,500","1.00K","3.64%"
"12/01/2021","22,500","20,300","22,500","20,300","1.10K","-1.32%"
"12/02/2021","22,500","22,500","22,500","22,500","","0.00%"
"12/06/2021","21,500","20,200","21,500","20,200","1.10K","-4.44%"
"12/07/2021","21,500","21,500","21,500","21,500","","0.00%"
"12/10/2021","22,900","21,300","22,900","21,300","1.50K","6.51%"
"12/13/2021","22,500","20,100","22,800","20,100","5.30K","-1.75%"
"12/14/2021","22,800","22,800","22,800","22,800","0.10K","1.33%"
"12/15/2021","22,800","20,800","22,800","20,800","1.30K","0.00%"
"12/16/2021","22,500","20,100","22,500","20,100","2.10K","-1.32%"
"12/17/2021","22,500","20,400","22,500","20,400","2.20K","0.00%"
"12/21/2021","22,200","22,200","22,200","22,200","0.40K","-1.33%"
"12/23/2021","22,200","22,200","22,200","22,200","0.10K","0.00%"
"12/29/2021","24,900","22,500","24,900","22,500","1.81K","12.16%"
"12/30/2021","24,600","24,900","24,900","24,600","0.30K","-1.20%"
"12/31/2021","25,000","28,000","28,000","25,000","1.10K","1.63%"
