"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","32,451.1","33,083.6","33,326.8","32,207.8","1.19M","-2.49%"
"07/02/2021","31,478.0","32,110.5","32,207.8","31,380.7","1.77M","-3.00%"
"07/05/2021","30,650.9","30,456.3","31,429.4","29,921.2","1.09M","-2.63%"
"07/06/2021","28,899.5","30,505.0","30,505.0","28,899.5","713.00K","-5.71%"
"07/07/2021","28,072.4","27,439.9","28,899.5","27,050.7","1.16M","-2.86%"
"07/08/2021","27,780.5","27,245.3","28,899.5","27,245.3","317.70K","-1.04%"
"07/09/2021","27,829.1","27,342.6","28,704.9","27,342.6","540.90K","0.17%"
"07/12/2021","25,883.0","27,829.1","27,829.1","25,883.0","816.80K","-6.99%"
"07/13/2021","25,980.3","25,883.0","26,272.2","25,299.2","506.40K","0.38%"
"07/14/2021","24,958.6","25,931.7","26,174.9","24,520.8","601.30K","-3.93%"
"07/15/2021","26,223.6","24,958.6","26,272.2","24,812.7","439.30K","5.07%"
"07/16/2021","26,077.6","26,272.2","26,466.9","25,980.3","349.10K","-0.56%"
"07/19/2021","24,326.2","24,326.2","25,299.2","24,277.5","576.50K","-6.72%"
"07/20/2021","25,688.4","23,985.6","25,688.4","23,645.0","460.80K","5.60%"
"07/21/2021","24,910.0","25,785.7","25,785.7","24,618.1","370.20K","-3.03%"
"07/22/2021","26,320.9","24,910.0","26,418.2","24,715.4","891.10K","5.66%"
"07/23/2021","25,785.7","26,223.6","26,758.8","25,785.7","411.40K","-2.03%"
"07/26/2021","27,148.0","25,688.4","27,342.6","25,007.3","484.20K","5.28%"
"07/27/2021","27,099.3","27,148.0","27,537.2","26,758.8","645.90K","-0.18%"
"07/28/2021","27,099.3","26,466.9","27,245.3","26,466.9","302.20K","0.00%"
"07/29/2021","27,099.3","26,515.5","27,099.3","26,466.9","381.60K","0.00%"
"07/30/2021","26,758.8","26,856.1","27,099.3","26,661.5","499.20K","-1.26%"
"08/02/2021","26,272.2","26,710.1","26,710.1","25,493.8","469.70K","-1.82%"
"08/03/2021","26,029.0","25,883.0","26,564.2","25,883.0","476.90K","-0.93%"
"08/04/2021","27,148.0","25,785.7","27,245.3","25,542.5","1.26M","4.30%"
"08/05/2021","28,461.6","27,245.3","28,607.6","27,245.3","1.51M","4.84%"
"08/06/2021","28,023.7","29,094.1","29,094.1","28,023.7","823.00K","-1.54%"
"08/09/2021","29,726.6","27,731.8","29,775.2","27,342.6","1.71M","6.08%"
"08/10/2021","29,726.6","30,067.1","30,213.1","29,191.4","960.80K","0.00%"
"08/11/2021","28,704.9","29,775.2","29,775.2","28,704.9","934.80K","-3.44%"
"08/12/2021","28,607.6","28,121.0","29,191.4","27,829.1","928.90K","-0.34%"
"08/13/2021","30,359.0","28,315.6","30,359.0","28,315.6","1.44M","6.12%"
"08/16/2021","31,040.2","31,137.5","31,624.0","30,650.9","1.21M","2.24%"
"08/17/2021","31,137.5","30,650.9","31,672.6","30,261.7","1.41M","0.31%"
"08/18/2021","31,818.6","30,748.3","32,645.7","30,748.3","1.43M","2.19%"
"08/19/2021","31,867.3","31,818.6","32,305.1","31,332.1","547.00K","0.15%"
"08/20/2021","29,872.5","31,624.0","32,061.9","29,677.9","1.78M","-6.26%"
"08/23/2021","27,829.1","28,899.5","29,483.3","27,829.1","1.41M","-6.84%"
"08/24/2021","27,975.1","27,829.1","28,121.0","26,758.8","854.20K","0.52%"
"08/25/2021","27,829.1","27,731.8","28,218.3","27,245.3","553.60K","-0.52%"
"08/26/2021","29,094.1","28,218.3","29,094.1","27,585.9","1.03M","4.55%"
"08/27/2021","30,164.4","29,094.1","30,164.4","28,218.3","940.60K","3.68%"
"08/30/2021","30,942.9","30,748.3","32,013.2","30,164.4","1.26M","2.58%"
