"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,730.8","10,692.3","10,769.2","10,615.4","1.68M","0.36%"
"07/02/2021","10,653.8","10,846.2","10,846.2","10,615.4","2.21M","-0.72%"
"07/05/2021","10,346.2","10,615.4","10,615.4","10,269.2","3.28M","-2.89%"
"07/06/2021","10,000.0","10,384.6","10,461.5","10,000.0","2.91M","-3.35%"
"07/07/2021","9,692.3","10,000.0","10,076.9","9,615.4","3.44M","-3.08%"
"07/08/2021","9,807.7","9,769.2","10,038.5","9,692.3","1.56M","1.19%"
"07/09/2021","9,423.1","9,846.2","9,846.2","9,269.2","1.90M","-3.92%"
"07/12/2021","8,769.2","9,307.7","9,384.6","8,769.2","5.08M","-6.94%"
"07/13/2021","8,846.2","8,884.6","8,923.1","8,615.4","2.31M","0.88%"
"07/14/2021","8,923.1","8,923.1","9,076.9","8,730.8","2.10M","0.87%"
"07/15/2021","9,307.7","8,884.6","9,346.2","8,846.2","2.12M","4.31%"
"07/16/2021","9,615.4","9,346.2","9,615.4","9,153.8","2.25M","3.31%"
"07/19/2021","9,038.5","9,153.8","9,384.6","8,961.5","2.59M","-6.00%"
"07/20/2021","9,307.7","9,038.5","9,384.6","8,884.6","2.15M","2.98%"
"07/21/2021","9,500.0","9,346.2","9,538.5","9,307.7","2.56M","2.07%"
"07/22/2021","10,153.8","9,846.2","10,153.8","9,615.4","3.43M","6.88%"
"07/23/2021","10,307.7","10,692.3","10,769.2","10,269.2","6.57M","1.52%"
"07/26/2021","10,115.4","10,115.4","10,230.8","9,884.6","2.18M","-1.87%"
"07/27/2021","10,115.4","10,153.8","10,307.7","10,076.9","2.33M","0.00%"
"07/28/2021","9,846.2","10,192.3","10,192.3","9,730.8","2.76M","-2.66%"
"07/29/2021","9,923.1","9,961.5","10,038.5","9,846.2","1.75M","0.78%"
"07/30/2021","9,769.2","9,961.5","10,038.5","9,769.2","5.22M","-1.55%"
"08/02/2021","10,038.5","9,769.2","10,307.7","9,692.3","4.11M","2.76%"
"08/03/2021","10,000.0","10,153.8","10,153.8","9,884.6","2.29M","-0.38%"
"08/04/2021","10,153.8","10,076.9","10,269.2","9,923.1","4.11M","1.54%"
"08/05/2021","10,307.7","10,153.8","10,538.5","10,000.0","4.13M","1.52%"
"08/06/2021","10,230.8","10,307.7","10,384.6","10,192.3","2.83M","-0.75%"
"08/09/2021","10,923.1","10,269.2","10,923.1","10,153.8","11.42M","6.77%"
"08/10/2021","11,076.9","11,153.8","11,384.6","10,884.6","5.59M","1.41%"
"08/11/2021","11,500.0","10,961.5","11,769.2","10,961.5","8.14M","3.82%"
"08/12/2021","11,923.1","11,384.6","12,076.9","11,230.8","9.96M","3.68%"
"08/13/2021","12,000.0","11,730.8","12,153.8","11,538.5","6.56M","0.64%"
"08/16/2021","11,730.8","12,307.7","12,307.7","11,730.8","5.60M","-2.24%"
"08/17/2021","11,846.2","11,692.3","12,076.9","11,538.5","7.13M","0.98%"
"08/18/2021","12,000.0","11,846.2","12,269.2","11,730.8","5.39M","1.30%"
"08/19/2021","12,115.4","12,000.0","12,230.8","11,961.5","4.65M","0.96%"
"08/20/2021","11,346.2","12,038.5","12,230.8","11,269.2","12.47M","-6.35%"
"08/23/2021","10,769.2","11,038.5","11,346.2","10,769.2","5.98M","-5.09%"
"08/24/2021","10,615.4","10,769.2","10,961.5","10,384.6","5.18M","-1.43%"
"08/25/2021","11,038.5","10,538.5","11,076.9","10,461.5","2.77M","3.99%"
"08/26/2021","10,961.5","11,076.9","11,230.8","10,807.7","2.60M","-0.70%"
"08/27/2021","11,692.3","10,961.5","11,692.3","10,807.7","6.38M","6.67%"
"08/30/2021","12,192.3","11,961.5","12,500.0","11,730.8","12.68M","4.28%"
"08/31/2021","12,269.2","12,192.3","12,653.8","11,923.1","9.87M","0.63%"
"09/01/2021","13,115.4","12,230.8","13,115.4","12,076.9","18.85M","6.90%"
"09/06/2021","13,115.4","13,461.5","13,538.5","13,038.5","11.04M","0.00%"
"09/07/2021","12,230.8","12,807.7","13,076.9","12,230.8","12.64M","-6.74%"
"09/08/2021","12,423.1","12,230.8","12,500.0","11,846.2","8.29M","1.57%"
"09/09/2021","12,692.3","12,461.5","12,730.8","12,115.4","7.67M","2.17%"
"09/10/2021","12,576.9","12,461.5","12,923.1","12,423.1","6.77M","-0.91%"
"09/13/2021","12,115.4","12,576.9","12,576.9","12,038.5","8.07M","-3.67%"
"09/14/2021","12,230.8","12,115.4","12,384.6","12,038.5","4.55M","0.95%"
"09/15/2021","12,500.0","12,115.4","12,653.8","12,115.4","4.20M","2.20%"
"09/16/2021","12,500.0","12,538.5","12,730.8","12,192.3","4.95M","0.00%"
"09/17/2021","12,615.4","12,500.0","12,884.6","12,307.7","6.59M","0.92%"
"09/20/2021","12,346.2","12,769.2","12,923.1","12,307.7","6.43M","-2.13%"
"09/21/2021","12,192.3","12,038.5","12,384.6","11,923.1","6.68M","-1.25%"
"09/22/2021","12,692.3","12,192.3","12,807.7","12,192.3","7.33M","4.10%"
"09/23/2021","12,461.5","13,000.0","13,000.0","12,384.6","5.19M","-1.82%"
"09/24/2021","12,192.3","12,461.5","12,538.5","12,153.8","3.97M","-2.16%"
"09/27/2021","11,346.2","12,269.2","12,307.7","11,346.2","11.49M","-6.94%"
"09/28/2021","11,500.0","11,307.7","11,500.0","11,000.0","4.41M","1.36%"
"09/29/2021","11,692.3","11,461.5","11,846.2","11,269.2","3.17M","1.67%"
"09/30/2021","11,692.3","11,730.8","11,846.2","11,615.4","1.61M","0.00%"
"10/01/2021","11,500.0","11,576.9","11,807.7","11,423.1","2.90M","-1.64%"
"10/04/2021","11,846.2","11,615.4","11,923.1","11,307.7","4.24M","3.01%"
"10/05/2021","11,884.6","12,000.0","12,000.0","11,807.7","2.27M","0.32%"
"10/06/2021","12,269.2","12,076.9","12,307.7","12,000.0","4.66M","3.24%"
"10/07/2021","12,538.5","12,384.6","12,846.2","12,307.7","7.01M","2.19%"
