"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","51,800.0","51,000.0","51,800.0","51,000.0","34.00K","1.57%"
"07/02/2021","51,400.0","51,800.0","51,900.0","51,300.0","26.40K","-0.77%"
"07/05/2021","51,600.0","51,100.0","52,200.0","51,000.0","91.10K","0.39%"
"07/06/2021","51,000.0","52,300.0","52,300.0","51,000.0","47.50K","-1.16%"
"07/07/2021","51,000.0","51,000.0","51,000.0","49,000.0","78.30K","0.00%"
"07/08/2021","50,300.0","51,000.0","51,000.0","50,200.0","19.20K","-1.37%"
"07/09/2021","50,200.0","50,200.0","51,000.0","50,000.0","39.10K","-0.20%"
"07/12/2021","48,100.0","50,000.0","50,000.0","46,800.0","117.30K","-4.18%"
"07/13/2021","48,250.0","48,100.0","48,900.0","48,100.0","15.40K","0.31%"
"07/14/2021","48,600.0","48,900.0","48,900.0","48,000.0","30.70K","0.73%"
"07/15/2021","48,800.0","48,950.0","48,950.0","47,700.0","21.20K","0.41%"
"07/16/2021","48,900.0","48,400.0","50,000.0","48,400.0","6.20K","0.20%"
"07/19/2021","50,400.0","48,850.0","50,400.0","46,700.0","52.40K","3.07%"
"07/20/2021","49,000.0","49,500.0","49,850.0","47,200.0","41.90K","-2.78%"
"07/21/2021","50,000.0","49,000.0","50,400.0","48,000.0","35.60K","2.04%"
"07/22/2021","49,000.0","50,000.0","50,000.0","48,800.0","15.40K","-2.00%"
"07/23/2021","48,500.0","48,600.0","48,600.0","48,200.0","38.90K","-1.02%"
"07/26/2021","48,500.0","48,550.0","48,550.0","48,100.0","12.20K","0.00%"
"07/27/2021","48,000.0","48,150.0","48,550.0","47,000.0","39.00K","-1.03%"
"07/28/2021","47,950.0","48,000.0","49,000.0","47,500.0","26.00K","-0.10%"
"07/29/2021","48,000.0","48,000.0","48,050.0","46,700.0","32.00K","0.10%"
"07/30/2021","48,000.0","48,000.0","48,500.0","47,500.0","34.30K","0.00%"
"08/02/2021","48,500.0","48,000.0","49,100.0","48,000.0","34.50K","1.04%"
"08/03/2021","48,550.0","48,600.0","48,750.0","48,300.0","18.70K","0.10%"
"08/04/2021","49,100.0","48,550.0","49,600.0","48,550.0","68.80K","1.13%"
"08/05/2021","49,800.0","48,850.0","50,000.0","48,850.0","28.70K","1.43%"
"08/06/2021","49,850.0","50,000.0","50,000.0","49,500.0","19.70K","0.10%"
"08/09/2021","49,200.0","49,000.0","49,750.0","49,000.0","20.50K","-1.30%"
"08/10/2021","49,200.0","49,500.0","49,700.0","49,100.0","22.00K","0.00%"
"08/11/2021","49,700.0","49,250.0","49,950.0","49,250.0","36.60K","1.02%"
"08/12/2021","49,650.0","49,600.0","49,800.0","49,400.0","31.60K","-0.10%"
"08/13/2021","49,450.0","49,650.0","49,650.0","49,250.0","39.10K","-0.40%"
"08/16/2021","49,200.0","49,450.0","49,450.0","49,000.0","31.50K","-0.51%"
"08/17/2021","49,000.0","49,200.0","49,200.0","48,500.0","31.90K","-0.41%"
"08/18/2021","48,500.0","49,000.0","49,000.0","48,500.0","23.60K","-1.02%"
"08/19/2021","48,850.0","48,600.0","49,000.0","48,400.0","23.90K","0.72%"
"08/20/2021","48,000.0","48,500.0","48,500.0","48,000.0","35.30K","-1.74%"
"08/23/2021","47,700.0","48,300.0","48,450.0","47,550.0","22.60K","-0.63%"
"08/24/2021","47,700.0","47,500.0","48,950.0","47,500.0","8.80K","0.00%"
"08/25/2021","47,600.0","48,650.0","48,650.0","47,100.0","28.80K","-0.21%"
"08/26/2021","48,250.0","47,600.0","49,000.0","47,600.0","18.00K","1.37%"
"08/27/2021","48,750.0","48,000.0","48,750.0","48,000.0","20.60K","1.04%"
"08/30/2021","49,800.0","48,950.0","49,800.0","48,950.0","39.70K","2.15%"
"08/31/2021","49,500.0","49,600.0","49,650.0","49,200.0","33.60K","-0.60%"
"09/01/2021","49,350.0","49,250.0","49,350.0","49,000.0","17.80K","-0.30%"
"09/06/2021","49,300.0","49,300.0","49,500.0","49,000.0","41.30K","-0.10%"
"09/07/2021","49,400.0","49,600.0","49,600.0","49,100.0","23.50K","0.20%"
"09/08/2021","48,500.0","49,400.0","49,400.0","48,500.0","29.80K","-1.82%"
"09/09/2021","51,800.0","49,400.0","51,800.0","49,400.0","97.30K","6.80%"
"09/10/2021","55,400.0","55,400.0","55,400.0","55,200.0","104.50K","6.95%"
"09/13/2021","55,900.0","59,200.0","59,200.0","55,400.0","155.30K","0.90%"
"09/14/2021","54,300.0","55,100.0","55,300.0","54,000.0","67.00K","-2.86%"
"09/15/2021","54,100.0","54,300.0","55,400.0","53,400.0","29.60K","-0.37%"
"09/16/2021","54,100.0","53,400.0","54,100.0","53,300.0","39.70K","0.00%"
"09/17/2021","54,500.0","54,100.0","55,000.0","53,200.0","22.50K","0.74%"
"09/20/2021","54,300.0","54,600.0","55,900.0","54,000.0","44.50K","-0.37%"
"09/21/2021","53,700.0","54,200.0","55,500.0","53,600.0","37.60K","-1.10%"
"09/22/2021","54,000.0","53,700.0","55,100.0","53,700.0","14.50K","0.56%"
"09/23/2021","54,300.0","54,100.0","55,400.0","54,100.0","13.00K","0.56%"
"09/24/2021","54,300.0","54,300.0","55,500.0","53,300.0","30.20K","0.00%"
"09/27/2021","54,200.0","55,800.0","55,800.0","54,000.0","31.20K","-0.18%"
"09/28/2021","57,000.0","54,200.0","57,000.0","54,200.0","68.70K","5.17%"
"09/29/2021","56,500.0","55,500.0","56,900.0","55,500.0","14.90K","-0.88%"
"09/30/2021","56,500.0","56,500.0","56,500.0","55,800.0","11.70K","0.00%"
"10/01/2021","55,600.0","56,500.0","56,500.0","55,600.0","23.60K","-1.59%"
"10/04/2021","55,500.0","55,700.0","55,700.0","55,400.0","16.00K","-0.18%"
"10/05/2021","55,500.0","55,500.0","55,800.0","55,000.0","15.20K","0.00%"
"10/06/2021","56,400.0","56,000.0","56,800.0","55,600.0","16.10K","1.62%"
"10/07/2021","56,600.0","56,500.0","57,000.0","56,000.0","11.10K","0.35%"
"10/08/2021","56,900.0","56,600.0","56,900.0","56,500.0","9.90K","0.53%"
"10/11/2021","57,900.0","55,800.0","59,000.0","55,800.0","47.80K","1.76%"
"10/12/2021","57,600.0","58,000.0","58,000.0","57,300.0","16.90K","-0.52%"
