"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","52,924.0","53,377.0","53,377.0","52,924.0","1.40K","-0.85%"
"07/02/2021","52,924.0","52,472.0","52,924.0","52,472.0","0.92K","0.00%"
"07/05/2021","52,740.0","52,740.0","52,740.0","52,648.0","0.70K","-0.35%"
"07/06/2021","52,740.0","52,740.0","52,740.0","52,740.0","0.10K","0.00%"
"07/07/2021","51,820.0","52,740.0","52,740.0","51,728.0","1.00K","-1.74%"
"07/08/2021","51,820.0","51,820.0","51,820.0","51,820.0","0.50K","0.00%"
"07/09/2021","52,004.0","51,820.0","52,096.0","51,820.0","5.71K","0.36%"
"07/12/2021","51,084.0","52,004.0","52,004.0","51,084.0","2.50K","-1.77%"
"07/13/2021","49,979.0","51,084.0","51,084.0","49,887.0","3.01K","-2.16%"
"07/14/2021","50,808.0","48,967.0","50,808.0","48,967.0","1.50K","1.66%"
"07/15/2021","50,623.0","50,808.0","50,808.0","50,255.0","0.80K","-0.36%"
"07/16/2021","50,623.0","50,623.0","50,623.0","50,623.0","0.60K","0.00%"
"07/19/2021","49,059.0","49,059.0","49,059.0","49,059.0","0.31K","-3.09%"
"07/20/2021","50,623.0","48,783.0","50,623.0","48,230.0","3.92K","3.19%"
"07/21/2021","52,004.0","49,703.0","52,004.0","49,703.0","1.24K","2.73%"
"07/23/2021","50,623.0","50,623.0","50,623.0","50,623.0","0.40K","-2.66%"
"07/26/2021","50,808.0","50,623.0","50,808.0","50,623.0","0.74K","0.37%"
"07/27/2021","51,728.0","50,808.0","51,728.0","50,808.0","1.40K","1.81%"
"07/28/2021","51,728.0","51,728.0","51,728.0","51,728.0","0.10K","0.00%"
"07/29/2021","53,385.0","51,728.0","53,385.0","51,728.0","1.10K","3.20%"
"08/02/2021","52,464.0","50,808.0","52,464.0","50,808.0","0.30K","-1.73%"
"08/03/2021","55,226.0","52,464.0","55,226.0","52,004.0","11.70K","5.26%"
"08/04/2021","55,041.0","55,041.0","55,041.0","55,041.0","0.60K","-0.33%"
"08/05/2021","55,226.0","55,041.0","55,226.0","55,041.0","3.60K","0.34%"
"08/06/2021","59,367.0","54,305.0","59,828.0","54,305.0","10.10K","7.50%"
"08/09/2021","62,497.0","59,828.0","64,430.0","59,828.0","261.01K","5.27%"
"08/10/2021","61,669.0","62,129.0","62,129.0","60,748.0","6.60K","-1.32%"
