"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","15,809.32","15,164.91","15,895.24","15,164.91","3.97M","4.25%"
"07/02/2021","15,551.55","15,895.24","15,895.24","15,465.63","2.23M","-1.63%"
"07/05/2021","15,637.47","15,551.55","16,067.08","15,379.71","3.28M","0.55%"
"07/06/2021","14,563.47","15,637.47","15,895.24","14,563.47","5.83M","-6.87%"
"07/07/2021","14,864.19","14,606.43","15,036.03","14,047.95","2.49M","2.06%"
"07/08/2021","14,735.31","14,692.35","14,864.19","14,563.47","1.73M","-0.87%"
"07/09/2021","14,090.91","14,606.43","14,735.31","13,833.15","2.66M","-4.37%"
"07/12/2021","13,231.71","14,090.91","14,391.63","13,145.79","3.86M","-6.10%"
"07/13/2021","13,618.35","13,661.31","13,833.15","13,231.71","1.47M","2.92%"
"07/14/2021","13,747.23","13,876.11","13,876.11","13,317.63","1.33M","0.95%"
"07/15/2021","14,219.79","13,704.27","14,262.75","13,661.31","1.77M","3.44%"
"07/16/2021","14,090.91","14,348.67","14,391.63","14,090.91","1.83M","-0.91%"
"07/19/2021","13,818.18","13,636.36","14,318.18","13,636.36","1.59M","-1.94%"
"07/20/2021","14,545.46","13,863.64","14,545.46","13,727.27","2.03M","5.26%"
"07/21/2021","14,681.82","14,545.46","14,772.73","14,454.55","1.71M","0.94%"
"07/22/2021","15,090.91","14,545.46","15,090.91","14,545.46","1.78M","2.79%"
"07/23/2021","15,045.46","15,090.91","15,227.27","14,681.82","1.75M","-0.30%"
"07/26/2021","15,545.46","14,772.73","15,636.37","14,772.73","2.02M","3.32%"
"07/27/2021","15,454.55","15,590.91","15,863.64","15,363.64","1.86M","-0.58%"
"07/28/2021","15,272.73","15,454.55","15,545.46","15,181.82","1.55M","-1.18%"
"07/29/2021","15,409.09","15,272.73","15,545.46","15,181.82","1.13M","0.89%"
"07/30/2021","15,636.37","15,545.46","16,090.91","15,500.00","3.08M","1.47%"
"08/02/2021","15,818.18","15,454.55","15,818.18","15,318.18","2.38M","1.16%"
"08/03/2021","16,909.09","16,090.91","16,909.09","15,909.09","9.37M","6.90%"
"08/04/2021","17,045.46","17,545.46","17,545.46","16,909.09","3.17M","0.81%"
"08/05/2021","17,090.91","16,636.37","17,181.82","16,636.37","2.23M","0.27%"
"08/06/2021","17,090.91","17,090.91","17,545.46","16,954.55","4.70M","0.00%"
"08/09/2021","17,272.73","16,954.55","17,545.46","16,909.09","3.12M","1.06%"
"08/10/2021","17,454.55","17,454.55","17,636.37","16,818.18","8.16M","1.05%"
"08/11/2021","17,000.00","17,500.00","17,727.27","17,000.00","7.57M","-2.60%"
"08/12/2021","17,272.73","16,954.55","17,727.27","16,863.64","5.63M","1.60%"
"08/13/2021","18,409.09","17,181.82","18,454.55","17,090.91","6.28M","6.58%"
"08/16/2021","18,363.64","18,772.73","19,090.91","18,000.00","4.63M","-0.25%"
"08/17/2021","18,181.82","18,181.82","18,363.64","17,863.64","4.27M","-0.99%"
"08/18/2021","18,318.18","18,000.00","18,636.37","17,954.55","3.50M","0.75%"
"08/19/2021","19,000.00","18,454.55","19,272.73","18,181.82","3.26M","3.72%"
"08/20/2021","19,454.55","19,090.91","20,000.00","18,000.00","9.29M","2.39%"
"08/23/2021","18,818.18","19,090.91","19,545.46","18,727.27","3.05M","-3.27%"
"08/24/2021","18,818.18","18,863.64","19,136.37","18,318.18","4.13M","0.00%"
"08/25/2021","19,681.82","18,818.18","19,818.18","18,727.27","3.46M","4.59%"
"08/26/2021","20,181.82","20,000.00","20,500.00","19,818.18","4.42M","2.54%"
"08/27/2021","20,454.55","19,818.18","20,545.46","19,727.27","2.83M","1.35%"
"08/30/2021","20,545.46","20,454.55","20,954.55","20,227.27","3.59M","0.44%"
"08/31/2021","20,863.64","20,272.73","21,363.64","20,272.73","3.15M","1.55%"
"09/01/2021","21,818.18","20,681.82","22,090.91","20,681.82","2.87M","4.58%"
"09/06/2021","21,727.27","22,000.00","22,454.55","21,727.27","3.34M","-0.42%"
"09/07/2021","21,136.37","21,772.73","22,000.00","21,000.00","3.96M","-2.72%"
"09/08/2021","21,454.55","20,727.27","21,727.27","20,727.27","2.40M","1.51%"
"09/09/2021","21,954.55","21,500.00","22,181.82","21,500.00","1.68M","2.33%"
"09/10/2021","21,954.55","21,954.55","22,272.73","21,909.09","1.42M","0.00%"
"09/13/2021","21,045.46","21,954.55","22,000.00","20,818.18","3.98M","-4.14%"
"09/14/2021","21,090.91","20,818.18","21,318.18","20,727.27","1.99M","0.22%"
"09/15/2021","22,000.00","21,090.91","22,000.00","20,909.09","2.29M","4.31%"
"09/16/2021","22,181.82","22,000.00","22,500.00","21,818.18","2.02M","0.83%"
"09/17/2021","22,909.09","22,545.46","22,954.55","22,363.64","2.75M","3.28%"
"09/20/2021","22,636.37","22,909.09","23,090.91","22,272.73","1.96M","-1.19%"
"09/21/2021","22,863.64","21,909.09","22,954.55","21,909.09","2.09M","1.00%"
"09/22/2021","22,818.18","22,863.64","23,090.91","22,636.37","1.20M","-0.20%"
"09/23/2021","22,318.18","22,954.55","23,090.91","22,272.73","2.17M","-2.19%"
"09/24/2021","21,909.09","22,272.73","22,363.64","21,909.09","1.37M","-1.83%"
"09/27/2021","21,227.27","21,909.09","22,181.82","20,727.27","3.95M","-3.11%"
"09/28/2021","21,772.73","20,954.55","21,772.73","20,954.55","1.30M","2.57%"
"09/29/2021","22,181.82","21,772.73","22,181.82","21,318.18","1.09M","1.88%"
"09/30/2021","22,090.91","22,181.82","22,272.73","21,818.18","740.30K","-0.41%"
"10/01/2021","21,909.09","22,090.91","22,181.82","21,818.18","879.89K","-0.82%"
