"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","40,465.0","40,465.0","40,465.0","40,465.0","0.10K","0.00%"
"07/05/2021","40,513.0","40,513.0","40,513.0","40,513.0","0.30K","0.12%"
"07/06/2021","38,495.0","38,495.0","38,495.0","38,495.0","0.10K","-4.98%"
"07/08/2021","38,495.0","38,495.0","38,495.0","38,495.0","0.10K","0.00%"
"07/09/2021","40,850.0","35,900.0","41,186.0","35,900.0","0.80K","6.12%"
"07/13/2021","42,628.0","38,110.0","42,628.0","38,110.0","0.20K","4.35%"
"07/14/2021","39,744.0","39,744.0","39,744.0","39,744.0","0.10K","-6.77%"
"07/16/2021","41,330.0","37,341.0","41,330.0","37,341.0","0.20K","3.99%"
"07/19/2021","41,330.0","41,330.0","41,330.0","41,330.0","0.10K","0.00%"
"07/20/2021","41,330.0","41,330.0","41,330.0","41,330.0","0.10K","0.00%"
"07/21/2021","38,447.0","38,447.0","38,447.0","38,447.0","0.10K","-6.98%"
"07/22/2021","41,090.0","41,090.0","41,090.0","41,090.0","0.10K","6.87%"
"07/26/2021","43,541.0","38,254.0","43,541.0","38,254.0","0.20K","5.96%"
"07/30/2021","40,609.0","40,609.0","40,609.0","40,609.0","0.10K","-6.73%"
"08/03/2021","43,204.0","38,831.0","43,204.0","38,831.0","0.30K","6.39%"
"08/04/2021","46,136.0","46,136.0","46,136.0","46,136.0","0.10K","6.79%"
"08/05/2021","43,252.0","43,252.0","43,252.0","43,252.0","1.10K","-6.25%"
"08/06/2021","40,369.0","40,369.0","40,369.0","40,369.0","0.10K","-6.67%"
"08/10/2021","39,264.0","40,369.0","40,369.0","39,264.0","1.10K","-2.74%"
"08/13/2021","39,984.0","39,456.0","39,984.0","39,456.0","0.40K","1.83%"
"08/17/2021","40,033.0","40,033.0","40,033.0","40,033.0","0.70K","0.12%"
"08/18/2021","42,772.0","37,341.0","42,772.0","37,341.0","1.20K","6.84%"
"08/23/2021","39,984.0","39,984.0","39,984.0","39,984.0","0.10K","-6.52%"
"08/30/2021","41,763.0","41,811.0","41,811.0","41,763.0","0.90K","4.45%"
"08/31/2021","41,811.0","41,811.0","41,811.0","41,811.0","0.10K","0.11%"
"09/01/2021","41,811.0","41,811.0","41,811.0","41,811.0","0.50K","0.00%"
"09/06/2021","43,252.0","43,252.0","43,252.0","43,252.0","0.20K","3.45%"
"09/09/2021","42,291.0","42,291.0","42,291.0","42,291.0","0.50K","-2.22%"
"09/17/2021","39,888.0","39,888.0","39,888.0","39,888.0","0.30K","-5.68%"
"09/20/2021","42,291.0","42,291.0","42,291.0","42,291.0","1.30K","6.02%"
"09/29/2021","42,291.0","42,387.0","42,387.0","42,291.0","1.50K","0.00%"
"10/01/2021","39,360.0","45,223.0","45,223.0","39,360.0","3.10K","-6.93%"
"10/04/2021","42,099.0","42,099.0","42,099.0","42,099.0","0.10K","6.96%"
"10/05/2021","42,291.0","42,291.0","42,291.0","42,291.0","0.10K","0.46%"
"10/06/2021","41,667.0","39,888.0","41,667.0","39,888.0","0.20K","-1.48%"
"10/07/2021","40,081.0","40,081.0","40,081.0","40,081.0","0.10K","-3.81%"
"10/08/2021","42,291.0","42,291.0","42,291.0","42,291.0","0.10K","5.51%"
"10/11/2021","42,243.0","42,243.0","42,243.0","42,243.0","0.80K","-0.11%"
"10/12/2021","44,214.0","39,552.0","44,214.0","39,504.0","0.60K","4.67%"
"10/13/2021","46,088.0","41,138.0","46,088.0","41,138.0","0.30K","4.24%"
"10/14/2021","42,868.0","42,868.0","42,868.0","42,868.0","0.40K","-6.99%"
"10/15/2021","42,868.0","42,868.0","42,868.0","42,868.0","1.90K","0.00%"
"10/18/2021","42,868.0","42,868.0","42,868.0","42,868.0","0.30K","0.00%"
"10/19/2021","42,820.0","42,820.0","42,820.0","42,820.0","0.10K","-0.11%"
"10/20/2021","42,820.0","42,820.0","42,820.0","42,820.0","0.10K","0.00%"
"10/21/2021","42,820.0","42,820.0","42,820.0","42,820.0","0.30K","0.00%"
"10/22/2021","42,820.0","42,820.0","42,820.0","42,820.0","0.40K","0.00%"
"10/27/2021","42,724.0","42,724.0","42,724.0","42,724.0","0.10K","-0.22%"
"10/28/2021","42,291.0","42,820.0","42,820.0","42,291.0","0.30K","-1.01%"
"10/29/2021","41,330.0","42,291.0","42,291.0","41,330.0","1.10K","-2.27%"
"11/02/2021","41,426.0","41,330.0","41,426.0","41,330.0","0.30K","0.23%"
"11/08/2021","40,705.0","40,417.0","41,330.0","40,417.0","1.00K","-1.74%"
"11/09/2021","43,252.0","40,561.0","43,349.0","40,561.0","1.50K","6.26%"
"11/10/2021","43,252.0","41,330.0","43,252.0","41,330.0","0.30K","0.00%"
"11/11/2021","43,204.0","40,609.0","43,204.0","40,609.0","0.30K","-0.11%"
"11/17/2021","43,012.0","40,946.0","43,012.0","40,946.0","0.40K","-0.44%"
"11/18/2021","40,561.0","40,465.0","40,561.0","40,465.0","0.30K","-5.70%"
"11/19/2021","40,081.0","40,225.0","40,225.0","40,081.0","0.70K","-1.18%"
"11/23/2021","41,715.0","42,291.0","42,291.0","38,254.0","4.00K","4.08%"
"11/25/2021","39,167.0","39,167.0","39,167.0","39,167.0","0.10K","-6.11%"
"11/26/2021","39,167.0","41,330.0","41,330.0","39,167.0","0.60K","0.00%"
"11/30/2021","41,282.0","40,369.0","41,426.0","38,735.0","0.80K","5.40%"
"12/01/2021","42,724.0","38,927.0","42,724.0","38,927.0","0.20K","3.49%"
"12/02/2021","40,177.0","40,177.0","40,177.0","40,177.0","0.10K","-5.96%"
"12/07/2021","40,369.0","40,369.0","40,369.0","40,369.0","0.10K","0.48%"
"12/09/2021","38,639.0","37,870.0","41,667.0","37,870.0","0.40K","-4.29%"
"12/10/2021","38,783.0","38,591.0","38,783.0","38,591.0","0.50K","0.37%"
"12/13/2021","38,783.0","38,783.0","38,783.0","38,783.0","0.10K","0.00%"
"12/15/2021","41,330.0","38,591.0","41,474.0","38,591.0","1.50K","6.57%"
"12/16/2021","43,685.0","43,685.0","43,685.0","43,685.0","0.10K","5.70%"
"12/20/2021","40,657.0","40,657.0","42,772.0","40,657.0","0.40K","-6.93%"
"12/22/2021","43,252.0","43,445.0","43,445.0","43,156.0","0.50K","6.38%"
"12/23/2021","43,156.0","43,252.0","43,252.0","43,156.0","0.20K","-0.22%"
"12/24/2021","43,060.0","43,060.0","43,060.0","43,060.0","1.00K","-0.22%"
"12/27/2021","40,850.0","41,330.0","41,330.0","40,850.0","0.50K","-5.13%"
"12/28/2021","40,946.0","39,840.0","41,811.0","39,792.0","0.50K","0.24%"
"12/29/2021","43,108.0","43,108.0","43,108.0","43,108.0","0.10K","5.28%"
"12/30/2021","42,435.0","42,435.0","42,435.0","42,435.0","0.10K","-1.56%"
"12/31/2021","40,417.0","43,156.0","43,252.0","40,417.0","0.70K","-4.76%"
