"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,187.0","27,094.0","27,187.0","26,860.0","113.80K","0.00%"
"07/02/2021","27,187.0","27,280.0","27,280.0","27,094.0","88.30K","0.00%"
"07/05/2021","26,626.4","27,187.0","27,234.0","26,253.0","181.80K","-2.06%"
"07/06/2021","25,785.6","26,720.0","27,047.0","24,945.0","200.90K","-3.16%"
"07/07/2021","25,879.0","25,786.0","26,159.0","25,692.0","107.30K","0.36%"
"07/08/2021","25,925.7","25,879.0","26,253.0","25,692.0","112.80K","0.18%"
"07/09/2021","26,719.9","25,926.0","27,280.0","25,645.0","182.30K","3.06%"
"07/12/2021","26,112.6","26,346.0","26,346.0","25,225.0","171.00K","-2.27%"
"07/13/2021","25,785.6","26,113.0","26,113.0","25,505.0","96.00K","-1.25%"
"07/14/2021","25,505.3","25,786.0","25,786.0","25,225.0","154.30K","-1.09%"
"07/15/2021","25,505.3","25,318.0","25,692.0","25,225.0","97.30K","0.00%"
"07/16/2021","25,738.9","25,599.0","25,926.0","25,599.0","36.10K","0.92%"
"07/19/2021","25,038.2","25,225.0","25,832.0","25,038.0","177.00K","-2.72%"
"07/20/2021","25,411.9","25,132.0","25,412.0","25,132.0","110.20K","1.49%"
"07/21/2021","25,458.6","25,599.0","25,599.0","25,365.0","39.70K","0.18%"
"07/22/2021","25,738.9","25,505.0","25,879.0","25,459.0","127.80K","1.10%"
"07/23/2021","27,532.4","25,933.0","27,532.0","25,787.0","682.20K","6.97%"
"07/26/2021","29,422.8","27,969.0","29,423.0","27,969.0","980.10K","6.87%"
"07/27/2021","29,374.3","30,877.0","30,877.0","29,229.0","482.90K","-0.16%"
"07/28/2021","28,550.3","28,502.0","29,374.0","28,308.0","527.00K","-2.81%"
"07/29/2021","29,859.1","28,938.0","29,859.0","28,308.0","678.20K","4.58%"
"07/30/2021","29,519.8","29,956.0","30,150.0","29,277.0","382.50K","-1.14%"
"08/02/2021","31,555.6","29,568.0","31,556.0","29,374.0","1.64M","6.90%"
"08/03/2021","32,282.7","31,604.0","32,961.0","31,604.0","923.50K","2.30%"
"08/04/2021","32,428.1","32,331.0","32,670.0","31,604.0","630.90K","0.45%"
"08/05/2021","32,476.6","31,992.0","32,525.0","31,798.0","522.50K","0.15%"
"08/06/2021","31,846.4","32,816.0","32,816.0","31,798.0","530.20K","-1.94%"
"08/09/2021","33,833.8","31,846.0","33,834.0","31,507.0","606.50K","6.24%"
"08/10/2021","34,415.5","34,319.0","34,900.0","33,737.0","509.70K","1.72%"
"08/11/2021","32,961.3","34,222.0","34,222.0","32,961.0","484.80K","-4.23%"
"08/12/2021","33,106.7","32,961.0","33,979.0","32,283.0","837.60K","0.44%"
"08/13/2021","33,203.7","32,961.0","33,204.0","32,234.0","436.00K","0.29%"
"08/16/2021","33,930.8","33,931.0","34,319.0","33,398.0","439.40K","2.19%"
"08/17/2021","34,318.5","33,737.0","34,609.0","33,494.0","562.10K","1.14%"
"08/18/2021","36,063.5","34,319.0","36,500.0","34,319.0","624.70K","5.08%"
"08/19/2021","38,293.3","36,160.0","38,293.0","36,160.0","483.00K","6.18%"
"08/20/2021","37,808.6","37,809.0","39,166.0","36,064.0","874.90K","-1.27%"
"08/23/2021","39,068.8","37,615.0","39,747.0","36,451.0","722.20K","3.33%"
"08/24/2021","38,002.4","38,293.0","39,844.0","36,839.0","458.30K","-2.73%"
"08/25/2021","37,711.6","38,293.0","38,293.0","36,645.0","416.20K","-0.77%"
"08/26/2021","38,487.2","37,178.0","39,651.0","37,178.0","542.40K","2.06%"
"08/27/2021","40,038.3","38,778.0","40,038.0","37,324.0","620.50K","4.03%"
"08/30/2021","42,607.3","40,232.0","42,656.0","40,232.0","494.80K","6.42%"
"08/31/2021","44,497.8","43,334.0","45,370.0","41,880.0","719.10K","4.44%"
"09/01/2021","45,709.6","44,110.0","46,049.0","43,722.0","416.40K","2.72%"
"09/06/2021","44,691.6","45,807.0","47,212.0","44,692.0","816.60K","-2.23%"
"09/07/2021","43,140.5","44,110.0","44,498.0","42,850.0","808.00K","-3.47%"
"09/08/2021","44,594.7","42,850.0","45,079.0","42,850.0","303.60K","3.37%"
"09/09/2021","44,691.6","44,595.0","45,564.0","44,207.0","213.00K","0.22%"
"09/10/2021","45,079.4","44,643.0","46,437.0","44,401.0","361.10K","0.87%"
"09/13/2021","47,503.1","44,886.0","47,988.0","44,886.0","721.70K","5.38%"
