"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","57,615","56,572","57,776","56,572","463.22K","1.41%"
"07/02/2021","59,220","57,214","59,220","57,214","761.56K","2.79%"
"07/05/2021","59,381","58,578","60,103","58,578","476.11K","0.27%"
"07/06/2021","57,375","59,381","60,183","56,171","513.80K","-3.38%"
"07/07/2021","58,498","57,375","58,498","56,010","748.27K","1.96%"
"07/08/2021","57,776","57,535","58,739","56,973","258.63K","-1.23%"
"07/09/2021","56,973","57,776","58,498","56,813","598.30K","-1.39%"
"07/12/2021","54,566","57,776","57,776","51,757","647.52K","-4.22%"
"07/13/2021","56,010","54,967","57,615","54,566","439.49K","2.65%"
"07/14/2021","55,930","55,689","56,733","54,566","246.99K","-0.14%"
"07/15/2021","57,294","55,368","57,615","55,288","404.01K","2.44%"
"07/16/2021","61,307","56,331","62,751","56,331","3.28M","7.00%"
"07/19/2021","60,183","60,504","61,307","57,856","763.22K","-1.83%"
"07/20/2021","60,103","59,782","60,183","58,979","485.82K","-0.13%"
"07/21/2021","62,109","59,942","63,072","59,702","1.98M","3.34%"
"07/22/2021","63,393","62,109","63,955","62,109","1.38M","2.07%"
"07/23/2021","62,992","63,393","64,998","62,269","1.75M","-0.63%"
"07/26/2021","64,195","63,393","64,276","61,788","1.67M","1.91%"
"07/27/2021","65,479","63,072","66,041","63,072","986.19K","2.00%"
"07/28/2021","64,918","65,479","65,479","64,356","749.41K","-0.86%"
"07/29/2021","64,998","65,880","65,880","64,276","741.24K","0.12%"
"07/30/2021","64,757","64,837","65,720","63,874","1.19M","-0.37%"
"08/02/2021","65,640","64,436","66,522","63,955","1.62M","1.36%"
"08/03/2021","65,640","64,998","65,720","64,918","867.06K","0.00%"
"08/04/2021","67,004","65,319","67,405","65,319","1.15M","2.08%"
"08/05/2021","66,603","66,201","67,405","66,041","886.83K","-0.60%"
"08/06/2021","66,362","66,522","67,405","65,880","793.27K","-0.36%"
"08/09/2021","66,121","65,399","66,603","64,436","1.59M","-0.36%"
"08/10/2021","67,245","65,800","67,405","65,800","1.79M","1.70%"
"08/11/2021","66,843","66,924","67,887","66,201","1.07M","-0.60%"
"08/12/2021","66,282","66,522","66,843","65,800","974.26K","-0.84%"
"08/13/2021","65,800","66,041","66,201","63,794","1.69M","-0.73%"
"08/16/2021","66,041","64,998","66,442","64,998","1.12M","0.37%"
"08/17/2021","66,362","66,041","67,004","65,720","904.33K","0.49%"
"08/18/2021","66,201","66,201","67,325","65,479","1.09M","-0.24%"
"08/19/2021","68,208","66,041","68,930","66,041","2.69M","3.03%"
"08/20/2021","67,325","68,047","68,849","66,121","1.95M","-1.29%"
"08/23/2021","65,800","67,004","67,325","64,998","829.08K","-2.27%"
"08/24/2021","62,751","65,800","66,603","61,788","2.35M","-4.63%"
"08/25/2021","64,998","62,831","64,998","62,590","997.04K","3.58%"
"08/26/2021","64,195","64,998","65,399","63,714","759.16K","-1.24%"
"08/27/2021","64,998","64,195","65,319","63,072","946.12K","1.25%"
"08/30/2021","66,041","64,998","66,522","64,436","836.96K","1.60%"
"08/31/2021","66,603","65,800","67,245","65,800","1.06M","0.85%"
"09/01/2021","66,362","66,522","66,924","65,880","962.74K","-0.36%"
"09/06/2021","66,121","66,282","67,004","65,399","986.78K","-0.36%"
"09/07/2021","65,880","66,201","66,763","65,238","856.40K","-0.36%"
"09/08/2021","65,720","65,961","66,442","65,158","710.63K","-0.24%"
"09/09/2021","65,800","66,041","66,041","64,837","1.15M","0.12%"
"09/10/2021","65,399","65,800","65,800","64,918","567.04K","-0.61%"
"09/13/2021","64,597","65,720","65,720","64,195","1.07M","-1.23%"
"09/14/2021","64,035","64,918","64,998","63,072","1.27M","-0.87%"
"09/15/2021","63,313","63,794","64,115","62,911","1.02M","-1.13%"
"09/16/2021","63,553","63,313","64,276","62,590","1.24M","0.38%"
"09/17/2021","65,640","63,393","65,800","63,393","1.01M","3.28%"
"09/20/2021","65,640","64,436","66,201","64,436","1.31M","0.00%"
"09/21/2021","64,757","65,158","65,158","63,794","657.22K","-1.35%"
"09/22/2021","65,158","64,356","65,479","64,035","807.45K","0.62%"
"09/23/2021","66,603","65,399","67,405","64,998","1.29M","2.22%"
"09/24/2021","66,121","66,603","67,325","65,720","565.59K","-0.72%"
"09/27/2021","64,757","66,442","67,004","64,035","948.68K","-2.06%"
"09/28/2021","65,319","64,195","65,399","63,393","804.34K","0.87%"
"09/29/2021","64,757","65,720","65,720","64,115","362.97K","-0.86%"
"09/30/2021","64,998","64,436","66,041","64,276","488.01K","0.37%"
"10/01/2021","65,800","64,918","66,121","64,436","1.07M","1.23%"
