"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","48,895.0","48,804.0","48,986.0","48,168.0","233.00K","0.19%"
"07/02/2021","48,713.0","48,804.0","49,440.0","48,531.0","122.00K","-0.37%"
"07/05/2021","47,895.0","48,713.0","48,713.0","47,622.0","219.90K","-1.68%"
"07/06/2021","46,168.0","47,713.0","47,713.0","46,168.0","458.20K","-3.61%"
"07/07/2021","46,804.0","46,804.0","46,804.0","45,896.0","201.60K","1.38%"
"07/08/2021","46,259.0","47,077.0","47,077.0","46,077.0","126.60K","-1.16%"
"07/09/2021","46,259.0","46,168.0","47,168.0","45,714.0","155.10K","0.00%"
"07/12/2021","45,623.0","45,986.0","46,259.0","43,987.0","255.50K","-1.37%"
"07/13/2021","46,259.0","45,441.0","46,350.0","45,441.0","93.60K","1.39%"
"07/14/2021","45,805.0","46,441.0","47,259.0","44,941.0","127.80K","-0.98%"
"07/15/2021","46,259.0","45,532.0","46,532.0","45,441.0","42.00K","0.99%"
"07/16/2021","46,441.0","46,350.0","46,804.0","45,441.0","120.10K","0.39%"
"07/19/2021","44,850.0","44,532.0","45,532.0","44,532.0","101.00K","-3.43%"
"07/20/2021","45,986.0","44,805.0","45,986.0","44,714.0","111.60K","2.53%"
"07/21/2021","45,396.0","46,259.0","46,259.0","45,259.0","60.40K","-1.28%"
"07/22/2021","46,168.0","45,259.0","46,350.0","45,259.0","122.70K","1.70%"
"07/23/2021","45,714.0","46,441.0","46,441.0","45,623.0","78.10K","-0.98%"
"07/26/2021","45,986.0","45,532.0","46,168.0","45,441.0","115.20K","0.60%"
"07/27/2021","45,986.0","46,350.0","46,441.0","45,896.0","105.30K","0.00%"
"07/28/2021","46,259.0","45,805.0","46,259.0","45,714.0","77.30K","0.59%"
"07/29/2021","45,986.0","46,350.0","46,350.0","45,805.0","77.20K","-0.59%"
"07/30/2021","46,259.0","45,986.0","46,804.0","45,896.0","120.20K","0.59%"
"08/02/2021","46,350.0","46,168.0","47,259.0","46,168.0","230.90K","0.20%"
"08/03/2021","47,895.0","46,986.0","47,895.0","46,623.0","205.30K","3.33%"
"08/04/2021","47,804.0","48,168.0","48,440.0","47,441.0","114.10K","-0.19%"
"08/05/2021","48,077.0","47,804.0","48,349.0","46,804.0","97.00K","0.57%"
"08/06/2021","48,531.0","48,168.0","49,076.0","47,622.0","285.60K","0.94%"
"08/09/2021","49,258.0","48,531.0","49,531.0","48,440.0","185.50K","1.50%"
"08/10/2021","49,894.0","49,622.0","50,167.0","49,349.0","213.10K","1.29%"
"08/11/2021","49,258.0","49,985.0","49,985.0","49,258.0","149.70K","-1.27%"
"08/12/2021","48,804.0","48,713.0","49,531.0","48,531.0","180.90K","-0.92%"
