"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","16,009.0","15,789.0","16,009.0","15,789.0","0.41K","-5.19%"
"07/02/2021","16,009.0","16,082.0","16,082.0","16,009.0","1.09K","0.00%"
"07/05/2021","14,912.0","16,009.0","16,009.0","14,912.0","8.07K","-6.85%"
"07/06/2021","13,889.0","14,912.0","15,534.0","13,889.0","2.46K","-6.86%"
"07/07/2021","14,693.0","13,962.0","14,693.0","13,889.0","1.09K","5.79%"
"07/08/2021","15,314.0","15,314.0","15,314.0","15,314.0","0.14K","4.23%"
"07/09/2021","15,570.0","16,045.0","16,045.0","14,693.0","2.46K","1.67%"
"07/13/2021","14,620.0","14,620.0","14,620.0","14,620.0","0.14K","-6.10%"
"07/14/2021","14,620.0","14,620.0","14,620.0","14,620.0","0.82K","0.00%"
"07/19/2021","15,095.0","15,205.0","15,205.0","15,095.0","0.27K","3.25%"
"07/21/2021","14,108.0","14,108.0","14,108.0","14,108.0","0.41K","-6.54%"
"07/22/2021","14,108.0","14,108.0","14,108.0","14,108.0","2.87K","0.00%"
"07/23/2021","14,108.0","14,108.0","14,108.0","14,108.0","0.27K","0.00%"
"07/27/2021","13,889.0","14,035.0","14,035.0","13,889.0","1.64K","-1.55%"
"07/30/2021","14,620.0","14,766.0","14,766.0","14,620.0","1.92K","5.26%"
"08/02/2021","15,497.0","15,643.0","15,643.0","15,461.0","1.64K","6.00%"
"08/03/2021","15,643.0","15,497.0","15,643.0","14,474.0","0.96K","0.94%"
"08/05/2021","15,643.0","15,643.0","15,643.0","15,643.0","0.14K","0.00%"
"08/06/2021","15,351.0","15,570.0","15,570.0","15,351.0","0.41K","-1.87%"
"08/09/2021","14,985.0","15,314.0","15,314.0","14,985.0","0.82K","-2.38%"
"08/10/2021","14,620.0","14,985.0","15,058.0","14,620.0","1.37K","-2.44%"
"08/11/2021","15,351.0","14,620.0","15,351.0","14,620.0","0.41K","5.00%"
"08/13/2021","14,620.0","14,620.0","14,620.0","14,327.0","0.82K","-4.76%"
"08/16/2021","14,620.0","14,620.0","14,620.0","14,620.0","0.55K","0.00%"
"08/17/2021","15,058.0","15,058.0","15,058.0","14,985.0","0.96K","3.00%"
"08/18/2021","14,839.0","15,058.0","15,058.0","14,839.0","1.78K","-1.45%"
"08/19/2021","15,863.0","15,863.0","15,863.0","15,863.0","6.43K","6.90%"
"08/20/2021","16,959.0","16,959.0","16,959.0","16,959.0","2.46K","6.91%"
"08/23/2021","18,129.0","18,129.0","18,129.0","18,129.0","2.46K","6.90%"
"08/24/2021","19,371.0","19,371.0","19,371.0","19,371.0","2.60K","6.85%"
"08/25/2021","20,724.0","20,724.0","20,724.0","20,724.0","3.69K","6.98%"
"08/26/2021","22,149.0","22,149.0","22,149.0","22,149.0","6.84K","6.88%"
"08/27/2021","23,684.0","23,684.0","23,684.0","23,684.0","4.51K","6.93%"
"08/30/2021","25,329.0","25,329.0","25,329.0","25,329.0","8.21K","6.95%"
"08/31/2021","23,611.0","27,083.0","27,083.0","23,575.0","42.27K","-6.78%"
"09/01/2021","22,368.0","23,684.0","23,684.0","22,368.0","3.83K","-5.26%"
"09/06/2021","21,345.0","20,833.0","21,564.0","20,833.0","6.02K","-4.57%"
"09/07/2021","22,295.0","20,102.0","22,295.0","19,883.0","10.67K","4.45%"
"09/08/2021","23,099.0","23,026.0","23,611.0","22,953.0","3.42K","3.61%"
"09/09/2021","22,222.0","21,491.0","23,721.0","21,491.0","8.34K","-3.80%"
"09/10/2021","20,687.0","20,687.0","20,687.0","20,687.0","2.87K","-6.91%"
"09/13/2021","22,003.0","20,687.0","22,076.0","20,687.0","5.75K","6.36%"
"09/14/2021","20,468.0","21,199.0","21,893.0","20,468.0","8.48K","-6.98%"
"09/15/2021","21,637.0","21,857.0","21,857.0","21,491.0","3.83K","5.71%"
"09/16/2021","20,175.0","20,468.0","20,541.0","20,175.0","3.42K","-6.76%"
"09/17/2021","20,249.0","20,249.0","20,322.0","20,249.0","1.09K","0.37%"
"09/20/2021","19,079.0","19,006.0","19,079.0","19,006.0","1.37K","-5.78%"
"09/21/2021","20,322.0","19,371.0","20,322.0","19,079.0","0.68K","6.52%"
"09/22/2021","20,760.0","19,006.0","20,760.0","19,006.0","3.69K","2.16%"
"09/23/2021","20,468.0","20,687.0","20,687.0","20,468.0","0.41K","-1.41%"
"09/27/2021","19,079.0","19,115.0","19,115.0","19,042.0","0.82K","-6.79%"
"09/29/2021","19,079.0","18,640.0","19,079.0","18,640.0","0.82K","0.00%"
"09/30/2021","19,956.0","18,275.0","19,956.0","18,275.0","0.41K","4.60%"
"10/01/2021","19,883.0","18,860.0","19,883.0","18,860.0","0.68K","-0.37%"
