"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","19,488.4","20,007.5","20,196.3","19,346.9","4.59M","-1.67%"
"07/02/2021","18,969.4","19,582.8","19,771.6","18,780.6","7.90M","-2.66%"
"07/05/2021","18,403.1","18,780.6","18,875.0","18,308.8","6.02M","-2.99%"
"07/06/2021","17,884.1","18,403.1","18,780.6","17,884.1","3.29M","-2.82%"
"07/07/2021","16,940.3","16,987.5","17,270.6","16,232.5","2.78M","-5.28%"
"07/08/2021","16,657.2","16,798.8","17,317.8","16,562.8","2.35M","-1.67%"
"07/09/2021","16,090.9","16,326.9","16,940.3","16,043.8","3.29M","-3.40%"
"07/12/2021","15,100.0","16,138.1","16,138.1","15,005.6","5.06M","-6.16%"
"07/13/2021","16,138.1","15,288.8","16,138.1","15,194.4","2.66M","6.87%"
"07/14/2021","16,043.8","16,232.5","16,515.6","15,477.5","2.55M","-0.58%"
"07/15/2021","16,232.5","15,619.1","16,374.1","15,619.1","1.77M","1.18%"
"07/16/2021","16,515.6","16,232.5","16,893.1","16,043.8","2.41M","1.74%"
"07/19/2021","15,666.3","15,949.4","16,232.5","15,524.7","2.82M","-5.14%"
"07/20/2021","16,468.4","15,855.0","16,562.8","15,666.3","3.42M","5.12%"
"07/21/2021","16,421.3","16,562.8","16,845.9","16,326.9","1.97M","-0.29%"
"07/22/2021","17,176.3","16,421.3","17,412.2","16,232.5","4.16M","4.60%"
"07/23/2021","17,365.0","17,176.3","17,600.9","16,987.5","3.97M","1.10%"
"07/26/2021","17,884.1","17,176.3","18,120.0","16,987.5","4.97M","2.99%"
"07/27/2021","17,836.9","17,931.3","18,308.8","17,506.6","5.05M","-0.26%"
"07/28/2021","17,695.3","17,695.3","17,931.3","17,553.8","2.28M","-0.79%"
"07/29/2021","18,214.4","17,836.9","18,261.6","17,648.1","5.28M","2.93%"
"07/30/2021","19,063.8","18,261.6","19,205.3","18,214.4","9.06M","4.66%"
"08/02/2021","19,441.3","19,158.1","20,007.5","19,063.8","7.89M","1.98%"
"08/03/2021","19,677.2","19,535.6","19,913.1","19,158.1","6.71M","1.21%"
"08/04/2021","19,441.3","19,677.2","19,724.4","19,063.8","5.57M","-1.20%"
"08/05/2021","20,290.6","19,346.9","20,337.8","19,110.9","7.18M","4.37%"
"08/06/2021","20,007.5","20,337.8","20,479.4","19,913.1","5.65M","-1.40%"
"08/09/2021","21,375.9","19,865.9","21,375.9","19,771.6","8.39M","6.84%"
"08/10/2021","21,564.7","22,178.1","22,650.0","21,328.8","10.35M","0.88%"
"08/11/2021","22,272.5","21,423.1","22,650.0","21,045.6","7.16M","3.28%"
"08/12/2021","20,762.5","21,706.3","22,319.7","20,715.3","10.89M","-6.78%"
"08/13/2021","22,130.9","20,196.3","22,178.1","20,196.3","7.67M","6.59%"
"08/16/2021","22,130.9","22,319.7","23,074.7","21,989.4","6.71M","0.00%"
"08/17/2021","22,366.9","21,611.9","22,697.2","21,281.6","5.91M","1.07%"
"08/18/2021","22,130.9","22,083.8","22,555.6","21,659.1","3.77M","-1.06%"
"08/19/2021","22,083.8","21,706.3","22,319.7","21,706.3","2.74M","-0.21%"
"08/20/2021","22,319.7","22,366.9","22,602.8","21,328.8","9.47M","1.07%"
"08/23/2021","23,121.9","22,461.3","23,357.8","22,414.1","7.78M","3.59%"
"08/24/2021","22,272.5","23,121.9","23,169.1","21,989.4","3.66M","-3.67%"
"08/25/2021","21,895.0","22,272.5","22,319.7","20,998.4","3.92M","-1.69%"
"08/26/2021","22,791.6","21,895.0","23,405.0","21,895.0","8.18M","4.09%"
"08/27/2021","23,216.3","22,366.9","23,216.3","22,225.3","3.19M","1.86%"
"08/30/2021","23,216.3","23,405.0","24,065.6","22,933.1","6.24M","0.00%"
"08/31/2021","23,593.8","23,074.7","23,971.3","22,697.2","7.77M","1.63%"
"09/01/2021","24,537.5","23,405.0","24,820.6","23,310.6","8.21M","4.00%"
"09/06/2021","23,971.3","24,726.3","24,820.6","23,876.9","4.17M","-2.31%"
"09/07/2021","23,263.4","24,065.6","24,065.6","23,169.1","6.36M","-2.95%"
"09/08/2021","23,263.4","22,885.9","23,640.9","22,838.8","3.96M","0.00%"
"09/09/2021","23,405.0","23,546.6","23,546.6","23,027.5","2.09M","0.61%"
"09/10/2021","23,546.6","23,405.0","24,018.4","23,216.3","4.41M","0.60%"
"09/13/2021","23,688.1","23,593.8","24,065.6","23,310.6","3.78M","0.60%"
"09/14/2021","23,829.7","23,971.3","24,490.3","23,829.7","4.51M","0.60%"
"09/15/2021","23,593.8","23,782.5","23,971.3","23,357.8","2.70M","-0.99%"
"09/16/2021","23,405.0","23,688.1","23,735.3","23,169.1","2.92M","-0.80%"
"09/17/2021","23,640.9","23,310.6","23,782.5","22,650.0","6.07M","1.01%"
"09/20/2021","23,357.8","23,971.3","24,207.2","23,216.3","3.26M","-1.20%"
"09/21/2021","23,310.6","22,791.6","23,310.6","22,744.4","3.26M","-0.20%"
"09/22/2021","23,121.9","23,405.0","23,546.6","22,838.8","2.79M","-0.81%"
"09/23/2021","23,310.6","23,169.1","23,593.8","23,027.5","2.56M","0.82%"
"09/24/2021","22,838.8","23,310.6","23,499.4","22,791.6","2.88M","-2.02%"
"09/27/2021","21,517.5","22,838.8","22,838.8","21,517.5","4.17M","-5.79%"
"09/28/2021","21,847.8","21,375.9","21,989.4","20,196.3","3.29M","1.54%"
"09/29/2021","23,357.8","21,847.8","23,357.8","21,375.9","3.99M","6.91%"
"09/30/2021","24,962.2","23,593.8","24,962.2","23,499.4","10.52M","6.87%"
"10/01/2021","26,613.8","25,103.8","26,708.1","25,056.6","9.13M","6.62%"
"10/04/2021","26,802.5","27,180.0","28,170.9","26,613.8","6.32M","0.71%"
"10/05/2021","27,180.0","26,425.0","28,029.4","26,236.3","7.72M","1.41%"
"10/06/2021","27,604.7","27,180.0","28,029.4","26,755.3","6.55M","1.56%"
"10/07/2021","27,510.3","27,604.7","28,973.1","27,510.3","5.66M","-0.34%"
"10/08/2021","26,660.9","27,746.3","27,746.3","26,613.8","5.93M","-3.09%"
"10/11/2021","27,840.6","27,274.4","27,935.0","26,613.8","5.42M","4.42%"
"10/12/2021","27,415.9","28,123.8","28,454.1","27,321.6","6.07M","-1.53%"
"10/13/2021","29,303.4","27,463.1","29,303.4","27,132.8","9.26M","6.88%"
"10/14/2021","30,294.4","30,200.0","31,143.8","29,728.1","4.69M","3.38%"
"10/15/2021","30,860.6","30,671.9","31,474.1","29,822.5","4.79M","1.87%"
"10/18/2021","29,350.6","30,955.0","31,426.9","29,161.9","12.10M","-4.89%"
"10/19/2021","30,671.9","29,397.8","30,671.9","28,784.4","9.62M","4.50%"
"10/20/2021","31,615.6","30,955.0","31,993.1","30,671.9","5.41M","3.08%"
"10/21/2021","31,898.8","31,898.8","32,181.9","31,049.4","4.82M","0.90%"
"10/22/2021","31,332.5","31,993.1","31,993.1","30,813.4","7.16M","-1.78%"
"10/25/2021","29,728.1","30,955.0","31,143.8","29,539.4","7.57M","-5.12%"
"10/26/2021","30,011.3","29,445.0","30,483.1","28,973.1","9.26M","0.95%"
"10/27/2021","29,916.9","30,671.9","30,860.6","29,916.9","5.77M","-0.31%"
"10/28/2021","31,615.6","30,294.4","31,615.6","29,916.9","8.11M","5.68%"
"10/29/2021","31,426.9","31,615.6","32,040.3","30,955.0","6.90M","-0.60%"
"11/01/2021","32,087.5","31,898.8","32,889.7","31,285.3","9.36M","2.10%"
"11/02/2021","31,993.1","32,276.3","32,748.1","31,426.9","7.26M","-0.29%"
"11/03/2021","30,813.4","31,993.1","32,370.6","30,200.0","7.58M","-3.69%"
"11/04/2021","31,002.2","31,049.4","31,615.6","30,483.1","9.33M","0.61%"
"11/05/2021","33,125.6","31,143.8","33,125.6","31,002.2","12.65M","6.85%"
"11/08/2021","34,777.2","34,446.9","35,390.6","33,975.0","7.89M","4.99%"
"11/09/2021","34,682.8","34,777.2","34,918.8","33,975.0","10.33M","-0.27%"
"11/10/2021","36,287.2","35,154.7","36,287.2","34,541.3","8.73M","4.63%"
"11/11/2021","35,107.5","36,287.2","36,287.2","34,965.9","7.67M","-3.25%"
"11/12/2021","35,956.9","35,390.6","36,287.2","34,918.8","6.55M","2.42%"
"11/15/2021","36,617.5","36,334.4","37,514.1","35,390.6","7.64M","1.84%"
"11/16/2021","36,995.0","36,995.0","37,561.3","36,428.8","6.19M","1.03%"
"11/17/2021","36,523.1","36,995.0","37,278.1","36,334.4","4.92M","-1.28%"
"11/18/2021","34,446.9","36,334.4","36,475.9","34,069.4","15.84M","-5.68%"
"11/19/2021","33,880.6","33,975.0","35,390.6","32,087.5","11.08M","-1.64%"
