"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","54,528.5","54,528.5","54,528.5","54,528.5","0.10K","0.17%"
"07/02/2021","54,436.1","54,528.5","54,528.5","54,436.1","0.20K","-0.17%"
"07/06/2021","53,604.3","53,604.3","53,604.3","53,604.3","0.10K","-1.53%"
"07/07/2021","53,049.7","53,604.3","53,604.3","53,049.7","2.30K","-1.03%"
"07/08/2021","54,066.4","53,049.7","54,066.4","53,049.7","0.80K","1.92%"
"07/09/2021","54,066.4","54,066.4","54,066.4","54,066.4","0.10K","0.00%"
"07/12/2021","54,066.4","54,066.4","54,066.4","54,066.4","0.30K","0.00%"
"07/13/2021","54,066.4","54,066.4","54,066.4","54,066.4","0.10K","0.00%"
"07/14/2021","54,528.5","54,436.1","54,528.5","54,436.1","1.00K","0.85%"
"07/15/2021","53,604.3","54,251.2","54,251.2","53,604.3","1.20K","-1.69%"
"07/16/2021","53,604.3","53,604.3","53,604.3","53,604.3","0.20K","0.00%"
"07/19/2021","53,604.3","53,604.3","53,604.3","53,604.3","2.50K","0.00%"
"07/20/2021","53,327.0","53,419.4","53,419.4","53,327.0","0.20K","-0.52%"
"07/21/2021","53,142.2","52,680.1","53,142.2","52,680.1","0.90K","-0.35%"
"07/22/2021","53,604.3","53,604.3","53,604.3","53,604.3","0.10K","0.87%"
"07/26/2021","53,604.3","53,604.3","53,604.3","53,604.3","0.20K","0.00%"
"07/27/2021","53,604.3","52,864.9","53,604.3","52,680.1","1.90K","0.00%"
"07/28/2021","53,604.3","53,604.3","53,604.3","53,604.3","0.10K","0.00%"
"07/29/2021","53,234.6","53,142.2","53,234.6","53,142.2","1.60K","-0.69%"
"07/30/2021","53,604.3","53,604.3","53,604.3","53,327.0","1.20K","0.69%"
"08/02/2021","53,881.5","53,789.1","53,881.5","53,696.7","2.60K","0.52%"
"08/03/2021","53,974.0","53,974.0","53,974.0","53,974.0","0.40K","0.17%"
"08/04/2021","52,957.3","53,696.7","53,696.7","52,957.3","2.40K","-1.88%"
"08/05/2021","53,419.4","53,789.1","53,789.1","53,419.4","1.70K","0.87%"
"08/06/2021","53,789.1","53,789.1","53,881.5","53,789.1","0.60K","0.69%"
"08/09/2021","53,511.8","54,066.4","54,066.4","53,511.8","4.30K","-0.52%"
"08/10/2021","54,528.5","53,974.0","54,528.5","53,974.0","6.40K","1.90%"
"08/11/2021","54,066.4","54,528.5","54,528.5","54,066.4","6.70K","-0.85%"
"08/12/2021","55,452.7","54,528.5","55,452.7","54,528.5","9.70K","2.56%"
"08/13/2021","54,528.5","54,528.5","54,528.5","54,436.1","1.10K","-1.67%"
"08/16/2021","54,990.6","54,620.9","54,990.6","54,620.9","1.30K","0.85%"
"08/17/2021","54,898.2","54,990.6","54,990.6","54,898.2","5.60K","-0.17%"
"08/18/2021","54,898.2","54,898.2","54,898.2","54,898.2","10.10K","0.00%"
"08/20/2021","55,360.3","55,360.3","55,360.3","55,360.3","0.20K","0.84%"
"08/23/2021","55,822.4","55,452.7","55,822.4","55,452.7","2.50K","0.83%"
"08/24/2021","56,376.9","55,822.4","56,376.9","55,452.7","2.10K","0.99%"
"08/25/2021","56,284.5","56,284.5","56,284.5","56,284.5","2.20K","-0.16%"
"08/26/2021","56,376.9","55,452.7","56,376.9","55,360.3","0.50K","0.16%"
"08/30/2021","57,703.4","57,798.2","57,798.2","57,703.4","0.20K","2.35%"
"08/31/2021","56,471.6","56,755.9","56,850.6","56,471.6","2.70K","-2.13%"
"09/01/2021","56,376.9","56,471.6","56,850.6","56,376.9","6.40K","-0.17%"
"09/06/2021","56,850.6","56,376.9","56,850.6","56,376.9","7.60K","0.84%"
"09/07/2021","56,376.9","56,376.9","56,376.9","56,376.9","5.70K","-0.83%"
"09/09/2021","56,376.9","56,376.9","56,376.9","56,376.9","1.20K","0.00%"
"09/10/2021","56,376.9","56,376.9","56,376.9","56,376.9","0.20K","0.00%"
"09/13/2021","57,798.2","55,903.1","57,798.2","55,903.1","1.50K","2.52%"
"09/14/2021","57,798.2","58,271.9","58,271.9","57,798.2","0.20K","0.00%"
"09/15/2021","56,850.6","56,850.6","56,850.6","56,850.6","1.00K","-1.64%"
"09/16/2021","56,850.6","56,850.6","56,850.6","56,850.6","0.10K","0.00%"
"09/17/2021","57,040.2","56,850.6","57,040.2","56,566.4","5.80K","0.33%"
"09/20/2021","57,040.2","57,040.2","57,040.2","56,945.4","1.20K","0.00%"
"09/21/2021","57,134.9","57,134.9","57,134.9","57,134.9","0.80K","0.17%"
"09/22/2021","57,134.9","57,798.2","57,798.2","57,134.9","3.00K","0.00%"
"09/23/2021","58,082.4","57,134.9","58,082.4","57,134.9","14.20K","1.66%"
"09/27/2021","57,229.7","57,324.4","57,324.4","57,229.7","0.50K","-1.47%"
"09/28/2021","57,229.7","57,324.4","57,419.2","57,229.7","7.00K","0.00%"
"09/29/2021","58,745.7","58,745.7","58,745.7","58,745.7","1.60K","2.65%"
"09/30/2021","57,419.2","58,935.2","58,935.2","57,419.2","3.50K","-2.26%"
"10/01/2021","57,134.9","57,798.2","57,798.2","57,134.9","6.50K","-0.50%"
"10/05/2021","59,693.2","57,798.2","59,693.2","57,798.2","0.70K","4.48%"
"10/08/2021","58,177.2","58,177.2","58,177.2","58,177.2","0.30K","-2.54%"
"10/11/2021","59,693.2","59,693.2","59,693.2","59,693.2","0.60K","2.61%"
"10/12/2021","63,483.2","60,640.7","63,483.2","60,640.7","6.40K","6.35%"
"10/13/2021","63,483.2","63,483.2","63,483.2","63,483.2","0.50K","0.00%"
"10/18/2021","63,483.2","63,483.2","63,483.2","63,483.2","0.20K","0.00%"
"10/19/2021","59,693.2","59,693.2","59,693.2","59,693.2","0.80K","-5.97%"
"10/20/2021","59,693.2","59,693.2","59,693.2","59,693.2","0.50K","0.00%"
"10/21/2021","60,640.7","60,640.7","60,640.7","60,640.7","0.10K","1.59%"
"10/22/2021","60,545.9","60,545.9","60,545.9","60,545.9","0.10K","-0.16%"
"10/26/2021","60,545.9","60,545.9","60,545.9","60,545.9","0.40K","0.00%"
"10/28/2021","60,640.7","63,009.5","63,009.5","60,640.7","1.50K","0.16%"
"10/29/2021","62,535.7","62,535.7","62,535.7","62,535.7","0.10K","3.12%"
"11/01/2021","62,535.7","61,872.5","62,535.7","61,872.5","2.10K","0.00%"
"11/03/2021","62,630.5","62,630.5","62,630.5","62,630.5","0.50K","0.15%"
"11/04/2021","62,725.2","63,483.2","63,483.2","62,725.2","0.50K","0.15%"
"11/05/2021","63,483.2","62,820.0","63,483.2","62,820.0","2.20K","1.21%"
"11/08/2021","64,051.7","64,241.2","64,241.2","64,051.7","0.60K","0.90%"
"11/09/2021","66,325.8","65,852.0","66,325.8","65,852.0","0.70K","3.55%"
"11/10/2021","64,430.7","64,525.5","64,525.5","64,430.7","1.00K","-2.86%"
"11/11/2021","64,809.7","64,620.2","64,809.7","64,620.2","0.30K","0.59%"
"11/12/2021","66,799.5","66,325.8","66,799.5","66,325.8","0.80K","3.07%"
"11/15/2021","67,273.3","66,799.5","67,273.3","66,799.5","1.30K","0.71%"
"11/16/2021","67,462.8","67,273.3","67,462.8","67,273.3","6.10K","0.28%"
"11/17/2021","68,694.5","67,462.8","68,694.5","67,462.8","1.70K","1.83%"
