"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","35,716.0","35,619.0","35,716.0","35,328.0","263.40K","0.27%"
"07/02/2021","36,201.0","35,716.0","36,395.0","35,716.0","294.10K","1.36%"
"07/05/2021","35,570.0","36,201.0","36,395.0","35,473.0","437.20K","-1.74%"
"07/06/2021","35,134.0","35,910.0","36,395.0","35,134.0","256.10K","-1.23%"
"07/07/2021","34,988.0","34,551.0","34,988.0","32,707.0","447.10K","-0.42%"
"07/08/2021","33,775.0","34,697.0","34,988.0","33,775.0","349.50K","-3.47%"
"07/09/2021","32,999.0","33,775.0","33,969.0","32,610.0","226.10K","-2.30%"
"07/12/2021","30,766.0","32,853.0","32,853.0","30,718.0","471.30K","-6.77%"
"07/13/2021","31,785.0","30,766.0","31,785.0","30,766.0","270.80K","3.31%"
"07/14/2021","31,882.0","32,319.0","32,368.0","31,203.0","188.40K","0.31%"
"07/15/2021","32,222.0","31,882.0","32,368.0","31,737.0","82.90K","1.07%"
"07/16/2021","32,368.0","32,222.0","32,950.0","32,222.0","115.10K","0.45%"
"07/19/2021","31,834.0","31,640.0","32,901.0","31,057.0","272.80K","-1.65%"
"07/20/2021","32,804.0","31,834.0","32,804.0","31,834.0","242.50K","3.05%"
"07/21/2021","33,290.0","33,823.0","33,823.0","32,950.0","127.80K","1.48%"
"07/22/2021","34,260.0","33,581.0","34,454.0","33,387.0","334.60K","2.91%"
"07/23/2021","34,260.0","34,260.0","35,425.0","34,260.0","319.30K","0.00%"
"07/26/2021","35,376.0","34,115.0","35,425.0","33,969.0","402.70K","3.26%"
"07/27/2021","35,668.0","35,473.0","36,104.0","35,425.0","487.70K","0.83%"
"07/28/2021","35,668.0","35,716.0","36,395.0","35,570.0","338.70K","0.00%"
"07/29/2021","35,668.0","36,007.0","36,007.0","35,231.0","325.80K","0.00%"
"07/30/2021","35,231.0","35,619.0","35,619.0","33,193.0","455.40K","-1.23%"
"08/02/2021","35,716.0","35,231.0","36,104.0","35,231.0","354.30K","1.38%"
"08/03/2021","35,910.0","35,716.0","35,910.0","35,328.0","397.30K","0.54%"
"08/04/2021","37,657.0","35,910.0","37,851.0","35,910.0","1.35M","4.86%"
"08/05/2021","37,754.0","37,220.0","38,142.0","37,220.0","297.60K","0.26%"
"08/06/2021","38,045.0","37,803.0","38,822.0","37,657.0","577.00K","0.77%"
"08/09/2021","38,239.0","37,851.0","38,822.0","37,075.0","543.90K","0.51%"
"08/10/2021","38,142.0","38,239.0","38,434.0","37,657.0","505.50K","-0.25%"
"08/11/2021","37,463.0","38,142.0","38,822.0","37,463.0","489.00K","-1.78%"
"08/12/2021","37,657.0","37,366.0","37,657.0","36,978.0","444.40K","0.52%"
"08/13/2021","40,278.0","38,045.0","40,278.0","38,045.0","1.49M","6.96%"
"08/16/2021","42,025.0","41,394.0","42,219.0","40,957.0","814.00K","4.34%"
"08/17/2021","41,636.0","41,248.0","41,733.0","40,666.0","571.30K","-0.93%"
"08/18/2021","42,461.0","41,636.0","43,675.0","40,763.0","958.90K","1.98%"
"08/19/2021","42,510.0","43,189.0","43,189.0","41,733.0","461.20K","0.12%"
"08/20/2021","40,181.0","42,510.0","42,510.0","40,181.0","903.30K","-5.48%"
"08/23/2021","38,822.0","38,919.0","40,181.0","38,822.0","807.90K","-3.38%"
"08/24/2021","39,986.0","38,822.0","39,986.0","38,239.0","677.10K","3.00%"
"08/25/2021","40,569.0","40,472.0","40,763.0","39,792.0","271.10K","1.46%"
"08/26/2021","40,617.0","40,666.0","41,928.0","40,423.0","454.20K","0.12%"
"08/27/2021","41,394.0","40,569.0","41,539.0","40,375.0","375.90K","1.91%"
"08/30/2021","44,257.0","42,607.0","44,257.0","41,539.0","918.20K","6.92%"
"08/31/2021","44,160.0","44,305.0","45,616.0","43,529.0","586.50K","-0.22%"
"09/01/2021","44,645.0","44,160.0","44,645.0","43,092.0","375.80K","1.10%"
"09/06/2021","44,014.0","43,723.0","45,324.0","43,092.0","980.50K","-1.41%"
"09/07/2021","43,189.0","43,966.0","44,402.0","40,957.0","465.50K","-1.87%"
"09/08/2021","43,189.0","43,189.0","43,772.0","42,704.0","402.80K","0.00%"
"09/09/2021","43,675.0","43,383.0","43,675.0","42,898.0","223.40K","1.13%"
"09/10/2021","45,422.0","43,675.0","46,586.0","43,675.0","721.30K","4.00%"
"09/13/2021","45,519.0","45,130.0","46,101.0","44,548.0","354.90K","0.21%"
"09/14/2021","45,761.0","44,742.0","46,392.0","44,742.0","449.40K","0.53%"
