"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,161.5","10,931.9","11,299.3","10,885.9","125.08K","0.41%"
"07/02/2021","11,620.8","11,253.4","11,620.8","11,023.7","423.34K","4.12%"
"07/05/2021","11,850.5","12,080.2","12,080.2","11,620.8","167.75K","1.98%"
"07/06/2021","11,391.2","11,896.4","11,896.4","11,391.2","87.74K","-3.88%"
"07/07/2021","10,931.9","11,115.6","11,253.4","10,702.2","105.59K","-4.03%"
"07/08/2021","10,931.9","10,977.8","11,161.5","10,794.1","74.57K","0.00%"
"07/09/2021","10,564.4","10,977.8","10,977.8","10,334.7","121.59K","-3.36%"
"07/12/2021","10,105.1","10,748.1","10,748.1","9,967.3","136.18K","-4.35%"
"07/13/2021","10,564.4","10,196.9","10,794.1","10,196.9","35.38K","4.55%"
"07/14/2021","10,610.3","10,977.8","10,977.8","10,564.4","19.81K","0.43%"
"07/15/2021","10,748.1","10,656.3","10,885.9","10,610.3","19.59K","1.30%"
"07/16/2021","10,794.1","10,885.9","10,885.9","10,610.3","21.44K","0.43%"
"07/19/2021","10,564.4","10,702.2","10,840.0","10,242.9","38.32K","-2.13%"
"07/20/2021","10,702.2","10,748.1","10,794.1","10,518.5","10.78K","1.30%"
"07/21/2021","10,564.4","10,794.1","10,794.1","10,380.7","19.16K","-1.29%"
"07/22/2021","10,702.2","10,610.3","10,702.2","10,564.4","20.90K","1.30%"
"07/23/2021","10,610.3","10,702.2","10,748.1","10,610.3","24.82K","-0.86%"
"07/26/2021","10,748.1","10,472.5","10,748.1","10,334.7","59.65K","1.30%"
"07/27/2021","10,794.1","10,610.3","10,794.1","10,518.5","21.12K","0.43%"
"07/28/2021","10,748.1","10,794.1","10,794.1","10,702.2","0.98K","-0.43%"
"07/29/2021","10,794.1","10,748.1","10,840.0","10,656.3","12.08K","0.43%"
"07/30/2021","10,748.1","10,748.1","10,794.1","10,656.3","13.39K","-0.43%"
"08/02/2021","10,748.1","10,564.4","10,748.1","10,472.5","35.70K","0.00%"
"08/03/2021","10,748.1","10,610.3","10,748.1","10,610.3","22.53K","0.00%"
"08/04/2021","10,656.3","10,426.6","10,748.1","10,426.6","29.61K","-0.85%"
"08/05/2021","11,253.4","10,794.1","11,299.3","10,748.1","131.28K","5.60%"
"08/06/2021","11,207.4","11,253.4","11,253.4","11,069.6","35.60K","-0.41%"
"08/09/2021","11,207.4","11,207.4","11,207.4","10,931.9","46.92K","0.00%"
"08/10/2021","11,161.5","11,115.6","11,207.4","11,023.7","58.67K","-0.41%"
"08/11/2021","11,850.5","11,253.4","11,942.4","11,253.4","986.02K","6.17%"
"08/12/2021","12,677.3","12,401.7","12,677.3","12,401.7","585.32K","6.98%"
"08/13/2021","12,723.2","12,769.1","13,228.5","12,126.1","156.32K","0.36%"
"08/16/2021","12,218.0","12,723.2","12,723.2","12,034.2","342.90K","-3.97%"
"08/17/2021","12,309.8","11,942.4","12,401.7","11,758.6","440.00K","0.75%"
"08/18/2021","11,988.3","11,942.4","12,309.8","11,942.4","195.94K","-2.61%"
"08/19/2021","11,896.4","12,034.2","12,263.9","11,896.4","232.63K","-0.77%"
"08/20/2021","11,950.0","12,500.0","12,500.0","11,900.0","326.40K","0.45%"
"08/23/2021","12,000.0","12,200.0","12,300.0","11,900.0","171.00K","0.42%"
"08/24/2021","12,100.0","12,300.0","12,300.0","12,000.0","83.60K","0.83%"
"08/25/2021","12,100.0","12,100.0","12,100.0","11,950.0","87.10K","0.00%"
"08/26/2021","12,550.0","12,150.0","12,700.0","12,150.0","413.60K","3.72%"
"08/27/2021","13,100.0","12,300.0","13,200.0","12,300.0","407.80K","4.38%"
"08/30/2021","13,200.0","13,100.0","13,500.0","13,100.0","479.50K","0.76%"
"08/31/2021","13,350.0","13,400.0","13,400.0","13,200.0","498.00K","1.14%"
"09/01/2021","14,100.0","13,250.0","14,100.0","13,250.0","731.00K","5.62%"
"09/06/2021","15,000.0","14,100.0","15,050.0","14,100.0","681.50K","6.38%"
"09/07/2021","14,250.0","15,100.0","15,100.0","14,200.0","529.90K","-5.00%"
"09/08/2021","14,100.0","14,000.0","14,600.0","13,550.0","662.20K","-1.05%"
"09/09/2021","14,200.0","14,250.0","14,250.0","13,850.0","413.50K","0.71%"
"09/10/2021","14,000.0","14,050.0","14,250.0","13,900.0","210.80K","-1.41%"
"09/13/2021","13,800.0","14,000.0","14,000.0","13,700.0","282.00K","-1.43%"
"09/14/2021","14,000.0","13,700.0","14,500.0","13,600.0","298.00K","1.45%"
"09/15/2021","14,450.0","14,000.0","14,600.0","13,800.0","625.50K","3.21%"
"09/16/2021","14,400.0","14,450.0","14,700.0","14,300.0","250.80K","-0.35%"
"09/17/2021","15,400.0","14,650.0","15,400.0","14,650.0","1.03M","6.94%"
"09/20/2021","16,300.0","16,450.0","16,450.0","16,000.0","1.67M","5.84%"
"09/21/2021","17,000.0","16,150.0","17,200.0","15,750.0","516.20K","4.29%"
"09/22/2021","16,700.0","17,000.0","17,000.0","16,400.0","446.90K","-1.76%"
"09/23/2021","15,550.0","16,400.0","16,700.0","15,550.0","956.50K","-6.89%"
"09/24/2021","15,100.0","15,500.0","16,000.0","14,700.0","452.30K","-2.89%"
"09/27/2021","15,000.0","14,800.0","15,700.0","14,700.0","359.60K","-0.66%"
"09/28/2021","15,700.0","14,800.0","16,050.0","14,800.0","542.00K","4.67%"
"09/29/2021","16,050.0","15,650.0","16,350.0","15,650.0","482.50K","2.23%"
"09/30/2021","15,800.0","16,050.0","16,250.0","15,750.0","309.80K","-1.56%"
"10/01/2021","16,900.0","15,800.0","16,900.0","15,500.0","1.21M","6.96%"
"10/04/2021","17,800.0","18,050.0","18,050.0","17,800.0","2.26M","5.33%"
"10/05/2021","17,200.0","17,800.0","18,000.0","16,900.0","804.10K","-3.37%"
"10/06/2021","17,200.0","17,200.0","17,400.0","16,700.0","670.80K","0.00%"
"10/07/2021","16,650.0","16,800.0","17,100.0","16,600.0","826.50K","-3.20%"
"10/08/2021","17,450.0","16,650.0","17,750.0","16,650.0","593.80K","4.80%"
"10/11/2021","16,900.0","17,650.0","17,750.0","16,850.0","436.60K","-3.15%"
"10/12/2021","16,550.0","16,750.0","16,850.0","16,350.0","595.10K","-2.07%"
"10/13/2021","16,550.0","16,500.0","16,550.0","15,950.0","992.80K","0.00%"
"10/14/2021","16,200.0","17,000.0","17,000.0","16,000.0","1.21M","-2.11%"
"10/15/2021","16,500.0","16,200.0","16,550.0","16,150.0","420.30K","1.85%"
"10/18/2021","16,200.0","16,500.0","16,600.0","16,150.0","463.70K","-1.82%"
"10/19/2021","15,650.0","16,200.0","16,200.0","15,600.0","740.10K","-3.40%"
"10/20/2021","15,750.0","15,800.0","15,950.0","15,500.0","378.20K","0.64%"
"10/21/2021","15,750.0","15,550.0","15,800.0","15,550.0","228.70K","0.00%"
"10/22/2021","15,950.0","15,800.0","16,200.0","15,800.0","259.00K","1.27%"
"10/25/2021","16,050.0","16,000.0","16,300.0","16,000.0","312.80K","0.63%"
