"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,122.1","14,074.9","14,452.8","14,074.9","18.20K","0.34%"
"07/02/2021","14,405.5","14,122.1","14,405.5","14,074.9","6.50K","2.01%"
"07/05/2021","13,980.5","13,838.8","14,358.3","13,838.8","9.80K","-2.95%"
"07/06/2021","13,933.2","13,980.5","14,122.1","13,933.2","11.60K","-0.34%"
"07/07/2021","13,933.2","13,933.2","13,933.2","13,886.0","3.50K","0.00%"
"07/08/2021","13,744.3","13,980.5","13,980.5","13,744.3","4.80K","-1.36%"
"07/09/2021","13,838.8","13,744.3","13,838.8","13,224.8","7.80K","0.69%"
"07/12/2021","13,224.8","13,460.9","13,508.1","12,894.1","10.80K","-4.44%"
"07/13/2021","13,224.8","13,224.8","13,224.8","13,224.8","0.70K","0.00%"
"07/14/2021","13,224.8","13,413.7","13,413.7","12,799.7","21.70K","0.00%"
"07/15/2021","14,122.1","13,177.5","14,122.1","13,177.5","9.10K","6.78%"
"07/16/2021","14,169.4","13,508.1","14,169.4","13,508.1","3.00K","0.33%"
"07/19/2021","13,460.9","13,460.9","13,460.9","13,460.9","0.10K","-5.00%"
"07/20/2021","14,122.1","13,697.1","14,169.4","13,649.8","18.70K","4.91%"
"07/21/2021","14,169.4","14,169.4","14,169.4","14,169.4","0.50K","0.33%"
"07/22/2021","13,460.9","13,319.2","13,697.1","13,319.2","33.90K","-5.00%"
"07/23/2021","13,697.1","13,697.1","13,697.1","13,555.4","7.60K","1.75%"
"07/26/2021","13,697.1","13,697.1","13,697.1","13,649.8","5.20K","0.00%"
"07/27/2021","13,744.3","13,649.8","13,791.5","13,555.4","1.70K","0.34%"
"07/28/2021","13,508.1","13,508.1","13,508.1","13,508.1","0.50K","-1.72%"
"07/29/2021","13,744.3","13,413.7","13,744.3","13,413.7","3.20K","1.75%"
"07/30/2021","13,508.1","13,649.8","13,649.8","13,508.1","10.70K","-1.72%"
"08/02/2021","13,649.8","13,366.4","13,649.8","13,366.4","0.20K","1.05%"
"08/03/2021","13,602.6","13,602.6","13,649.8","13,602.6","4.70K","-0.35%"
"08/04/2021","13,508.1","13,508.1","13,602.6","13,460.9","6.40K","-0.69%"
"08/05/2021","13,508.1","13,413.7","13,602.6","13,224.8","24.50K","0.00%"
"08/06/2021","13,460.9","13,744.3","13,744.3","13,224.8","11.30K","-0.35%"
"08/09/2021","13,413.7","13,272.0","13,413.7","13,130.3","10.60K","-0.35%"
"08/10/2021","13,508.1","13,413.7","13,697.1","13,413.7","31.30K","0.70%"
"08/11/2021","14,452.8","13,555.4","14,452.8","13,555.4","60.50K","6.99%"
"08/12/2021","15,444.6","15,444.6","15,444.6","15,444.6","73.80K","6.86%"
"08/13/2021","15,964.2","16,389.2","16,389.2","15,397.4","92.20K","3.36%"
"08/16/2021","15,680.8","15,586.3","15,869.7","15,491.9","34.50K","-1.78%"
"08/17/2021","15,539.1","15,680.8","15,680.8","15,302.9","42.70K","-0.90%"
"08/18/2021","15,539.1","15,302.9","15,539.1","15,208.5","26.60K","0.00%"
"08/19/2021","16,625.4","16,058.6","16,625.4","15,916.9","218.70K","6.99%"
"08/20/2021","17,428.3","17,475.6","17,759.0","17,239.4","71.90K","4.83%"
"08/23/2021","16,342.0","17,428.3","17,428.3","16,342.0","35.30K","-6.23%"
"08/24/2021","15,255.7","15,444.6","16,342.0","15,208.5","85.30K","-6.65%"
"08/25/2021","15,586.3","15,397.4","15,586.3","15,255.7","37.20K","2.17%"
"08/26/2021","15,680.8","16,058.6","16,058.6","15,397.4","22.90K","0.61%"
"08/27/2021","15,302.9","15,161.2","15,586.3","14,594.5","42.60K","-2.41%"
"08/30/2021","15,680.8","15,350.2","16,058.6","15,350.2","28.30K","2.47%"
"08/31/2021","15,775.2","15,680.8","15,775.2","15,491.9","25.90K","0.60%"
"09/01/2021","15,586.3","15,775.2","15,775.2","15,444.6","36.00K","-1.20%"
"09/06/2021","15,680.8","15,586.3","15,869.7","15,586.3","33.30K","0.61%"
"09/07/2021","15,586.3","15,680.8","15,916.9","15,539.1","27.30K","-0.60%"
"09/08/2021","15,397.4","15,586.3","15,586.3","15,302.9","16.80K","-1.21%"
"09/09/2021","15,397.4","15,397.4","15,397.4","15,114.0","20.30K","0.00%"
"09/10/2021","15,302.9","15,161.2","15,491.9","15,161.2","16.00K","-0.61%"
"09/13/2021","15,161.2","15,208.5","15,302.9","15,066.8","26.80K","-0.93%"
"09/14/2021","15,161.2","15,161.2","15,255.7","15,114.0","18.40K","0.00%"
"09/15/2021","15,255.7","15,114.0","15,255.7","14,830.6","18.60K","0.62%"
"09/16/2021","15,586.3","15,255.7","15,633.5","15,255.7","30.80K","2.17%"
"09/17/2021","16,153.1","15,397.4","16,247.6","15,397.4","47.90K","3.64%"
"09/20/2021","16,153.1","16,247.6","16,672.6","15,869.7","64.10K","0.00%"
"09/21/2021","15,964.2","16,105.9","16,105.9","15,491.9","23.50K","-1.17%"
"09/22/2021","16,153.1","15,680.8","16,200.3","15,680.8","20.40K","1.18%"
"09/23/2021","16,814.3","16,153.1","17,239.4","16,153.1","139.10K","4.09%"
"09/24/2021","16,672.6","16,908.8","17,286.6","16,625.4","40.60K","-0.84%"
"09/27/2021","15,869.7","16,200.3","16,200.3","15,775.2","11.10K","-4.82%"
"09/28/2021","16,247.6","15,822.5","16,247.6","15,680.8","26.20K","2.38%"
"09/29/2021","15,680.8","16,247.6","16,247.6","15,586.3","16.50K","-3.49%"
"09/30/2021","15,869.7","15,869.7","16,389.2","15,680.8","25.40K","1.20%"
"10/01/2021","16,058.6","15,869.7","16,719.9","15,869.7","8.80K","1.19%"
"10/04/2021","16,436.5","16,247.6","16,530.9","16,153.1","23.20K","2.35%"
"10/05/2021","17,003.3","16,956.0","17,570.0","16,436.5","35.90K","3.45%"
"10/06/2021","16,908.8","17,050.5","17,097.7","16,530.9","26.90K","-0.56%"
"10/07/2021","16,814.3","17,003.3","17,003.3","16,672.6","12.80K","-0.56%"
"10/08/2021","16,814.3","16,530.9","16,814.3","16,530.9","6.90K","0.00%"
"10/11/2021","16,719.9","17,381.1","17,381.1","16,200.3","20.50K","-0.56%"
"10/12/2021","16,436.5","16,342.0","16,578.2","16,342.0","9.20K","-1.69%"
"10/13/2021","16,200.3","16,294.8","16,342.0","16,200.3","10.30K","-1.44%"
"10/14/2021","16,625.4","16,436.5","17,333.9","16,436.5","18.60K","2.62%"
"10/15/2021","16,530.9","16,530.9","16,672.6","16,294.8","14.20K","-0.57%"
"10/18/2021","15,869.7","16,247.6","16,342.0","15,822.5","48.70K","-4.00%"
"10/19/2021","15,397.4","15,775.2","15,775.2","15,397.4","36.30K","-2.98%"
"10/20/2021","15,586.3","15,397.4","15,680.8","15,302.9","29.70K","1.23%"
"10/21/2021","15,491.9","15,586.3","15,586.3","15,491.9","5.50K","-0.61%"
"10/22/2021","15,397.4","15,586.3","15,586.3","15,208.5","15.60K","-0.61%"
"10/25/2021","15,822.5","15,066.8","15,822.5","15,066.8","23.10K","2.76%"
"10/26/2021","16,908.8","15,633.5","16,908.8","15,633.5","119.90K","6.87%"
"10/27/2021","18,089.6","18,089.6","18,089.6","18,089.6","58.00K","6.98%"
"10/28/2021","19,317.6","19,317.6","19,317.6","19,081.4","265.70K","6.79%"
"10/29/2021","20,640.1","20,640.1","20,640.1","20,640.1","90.70K","6.85%"
"11/01/2021","22,057.0","22,057.0","22,057.0","22,009.8","299.30K","6.86%"
"11/02/2021","20,876.2","21,537.5","21,726.4","20,545.6","179.40K","-5.35%"
"11/03/2021","19,931.6","20,876.2","20,876.2","19,931.6","73.20K","-4.52%"
"11/04/2021","18,656.3","18,798.0","19,837.1","18,561.9","132.40K","-6.40%"
"11/05/2021","19,931.6","18,703.6","19,931.6","18,609.1","55.10K","6.84%"
"11/08/2021","20,687.3","19,931.6","21,254.1","19,931.6","50.70K","3.79%"
"11/09/2021","20,026.1","20,687.3","20,687.3","19,837.1","28.70K","-3.20%"
"11/10/2021","19,223.1","19,364.8","20,026.1","19,223.1","27.10K","-4.01%"
"11/11/2021","19,506.5","19,270.4","19,837.1","19,270.4","36.70K","1.47%"
"11/12/2021","19,270.4","19,695.4","19,695.4","19,175.9","34.80K","-1.21%"
"11/15/2021","19,175.9","19,223.1","19,695.4","19,081.4","88.80K","-0.49%"
"11/16/2021","18,703.6","19,175.9","19,175.9","18,514.7","40.00K","-2.46%"
"11/17/2021","18,703.6","18,703.6","18,892.5","18,514.7","13.20K","0.00%"
"11/18/2021","18,325.7","18,609.1","18,703.6","18,231.3","36.00K","-2.02%"
"11/19/2021","17,947.9","18,042.3","18,231.3","17,522.8","27.60K","-2.06%"
"11/22/2021","18,184.0","17,947.9","18,892.5","17,570.0","14.70K","1.32%"
"11/23/2021","18,231.3","18,184.0","18,231.3","17,192.2","16.00K","0.26%"
"11/24/2021","19,270.4","17,947.9","19,270.4","17,947.9","18.50K","5.70%"
"11/25/2021","18,609.1","18,514.7","19,270.4","18,514.7","8.80K","-3.43%"
"11/26/2021","17,995.1","19,317.6","19,317.6","17,947.9","14.40K","-3.30%"
"11/29/2021","17,947.9","17,853.4","18,609.1","17,381.1","20.20K","-0.26%"
"11/30/2021","17,664.5","18,561.9","18,561.9","17,475.6","24.80K","-1.58%"
"12/01/2021","17,947.9","17,664.5","17,947.9","17,664.5","3.00K","1.60%"
"12/02/2021","17,617.3","18,231.3","18,231.3","17,570.0","9.50K","-1.84%"
"12/03/2021","17,097.7","17,947.9","17,947.9","17,003.3","23.60K","-2.95%"
"12/06/2021","15,964.2","17,239.4","17,664.5","15,964.2","5.70K","-6.63%"
"12/07/2021","16,342.0","15,964.2","17,003.3","15,964.2","25.20K","2.37%"
"12/08/2021","16,719.9","16,342.0","16,908.8","16,058.6","6.00K","2.31%"
"12/09/2021","16,625.4","16,719.9","16,719.9","16,153.1","7.70K","-0.57%"
"12/10/2021","16,436.5","16,625.4","16,625.4","16,247.6","12.10K","-1.14%"
"12/13/2021","17,003.3","16,814.3","17,097.7","16,436.5","22.70K","3.45%"
"12/14/2021","16,908.8","17,097.7","17,097.7","16,294.8","8.10K","-0.56%"
"12/15/2021","16,625.4","16,247.6","17,003.3","16,247.6","5.20K","-1.68%"
"12/16/2021","17,003.3","16,530.9","17,003.3","16,342.0","11.10K","2.27%"
"12/17/2021","16,908.8","16,530.9","17,003.3","16,530.9","20.70K","-0.56%"
"12/20/2021","16,861.6","16,530.9","16,908.8","16,389.2","7.70K","-0.28%"
"12/21/2021","16,814.3","16,861.6","17,192.2","16,389.2","2.10K","-0.28%"
"12/22/2021","16,294.8","16,436.5","16,719.9","16,294.8","19.60K","-3.09%"
"12/23/2021","16,719.9","16,342.0","16,767.1","16,294.8","8.90K","2.61%"
"12/24/2021","16,578.2","16,483.7","16,672.6","16,436.5","8.00K","-0.85%"
"12/27/2021","16,389.2","16,861.6","16,861.6","16,342.0","10.50K","-1.14%"
"12/28/2021","16,530.9","16,389.2","16,530.9","16,200.3","28.40K","0.86%"
"12/29/2021","16,389.2","16,247.6","16,530.9","16,200.3","11.00K","-0.86%"
"12/30/2021","16,389.2","16,436.5","16,719.9","16,294.8","22.10K","0.00%"
"12/31/2021","16,530.9","16,530.9","16,530.9","16,389.2","26.50K","0.86%"
