"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","5,800.0","5,900.0","5,910.0","5,780.0","5.29M","-1.69%"
"07/02/2021","5,750.0","5,820.0","5,840.0","5,720.0","3.78M","-0.86%"
"07/05/2021","5,550.0","5,700.0","5,750.0","5,510.0","4.24M","-3.48%"
"07/06/2021","5,330.0","5,490.0","5,670.0","5,330.0","2.64M","-3.96%"
"07/07/2021","5,200.0","5,340.0","5,400.0","5,200.0","3.97M","-2.44%"
"07/08/2021","5,340.0","5,200.0","5,420.0","5,200.0","2.93M","2.69%"
"07/09/2021","5,220.0","5,350.0","5,400.0","5,200.0","1.74M","-2.25%"
"07/12/2021","4,860.0","5,200.0","5,200.0","4,860.0","5.32M","-6.90%"
"07/13/2021","5,100.0","4,900.0","5,100.0","4,800.0","2.13M","4.94%"
"07/14/2021","5,100.0","5,180.0","5,180.0","4,980.0","1.67M","0.00%"
"07/15/2021","5,110.0","5,050.0","5,160.0","5,000.0","928.70K","0.20%"
"07/16/2021","5,090.0","5,110.0","5,150.0","5,060.0","1.75M","-0.39%"
"07/19/2021","4,910.0","4,950.0","5,000.0","4,780.0","2.62M","-3.54%"
"07/20/2021","4,960.0","4,850.0","4,960.0","4,790.0","1.23M","1.02%"
"07/21/2021","4,950.0","4,960.0","4,990.0","4,880.0","1.07M","-0.20%"
"07/22/2021","5,050.0","4,940.0","5,100.0","4,870.0","1.95M","2.02%"
"07/23/2021","4,900.0","5,050.0","5,050.0","4,900.0","1.15M","-2.97%"
"07/26/2021","4,780.0","4,560.0","4,900.0","4,560.0","9.90M","-2.45%"
"07/27/2021","5,000.0","5,000.0","5,080.0","4,850.0","3.47M","4.60%"
"07/28/2021","5,000.0","5,070.0","5,140.0","4,980.0","2.52M","0.00%"
"07/29/2021","5,040.0","4,990.0","5,070.0","4,970.0","2.71M","0.80%"
"07/30/2021","5,010.0","5,040.0","5,050.0","5,000.0","1.96M","-0.60%"
"08/02/2021","5,040.0","5,010.0","5,150.0","4,990.0","3.18M","0.60%"
"08/03/2021","5,090.0","5,050.0","5,120.0","5,040.0","2.49M","0.99%"
"08/04/2021","5,150.0","5,110.0","5,300.0","5,090.0","4.02M","1.18%"
"08/05/2021","5,460.0","5,290.0","5,480.0","5,200.0","4.54M","6.02%"
"08/06/2021","5,450.0","5,500.0","5,600.0","5,370.0","4.26M","-0.18%"
"08/09/2021","5,400.0","5,390.0","5,450.0","5,310.0","3.37M","-0.92%"
"08/10/2021","5,390.0","5,400.0","5,410.0","5,350.0","4.44M","-0.19%"
"08/11/2021","5,360.0","5,350.0","5,400.0","5,350.0","3.12M","-0.56%"
"08/12/2021","5,250.0","5,320.0","5,360.0","5,250.0","3.07M","-2.05%"
"08/13/2021","5,200.0","5,250.0","5,320.0","5,100.0","2.47M","-0.95%"
"08/16/2021","5,160.0","5,200.0","5,250.0","5,120.0","4.07M","-0.77%"
"08/17/2021","5,270.0","5,160.0","5,300.0","5,160.0","4.44M","2.13%"
"08/18/2021","5,250.0","5,250.0","5,350.0","5,230.0","2.03M","-0.38%"
"08/19/2021","5,110.0","5,230.0","5,250.0","5,110.0","3.90M","-2.67%"
"08/20/2021","5,110.0","5,110.0","5,150.0","4,950.0","5.32M","0.00%"
"08/23/2021","5,000.0","5,050.0","5,110.0","4,950.0","2.38M","-2.15%"
"08/24/2021","5,000.0","5,000.0","5,110.0","4,970.0","1.96M","0.00%"
