"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","4,280.0","4,360.0","4,370.0","4,060.0","2.66M","-1.83%"
"07/02/2021","4,160.0","4,320.0","4,320.0","4,160.0","3.07M","-2.80%"
"07/05/2021","3,980.0","4,160.0","4,160.0","3,980.0","3.91M","-4.33%"
"07/06/2021","3,710.0","3,920.0","4,050.0","3,710.0","3.46M","-6.78%"
"07/07/2021","3,600.0","3,700.0","3,780.0","3,500.0","2.99M","-2.96%"
"07/08/2021","3,690.0","3,620.0","3,790.0","3,600.0","1.68M","2.50%"
"07/09/2021","3,450.0","3,640.0","3,720.0","3,450.0","2.24M","-6.50%"
"07/12/2021","3,210.0","3,400.0","3,400.0","3,210.0","3.23M","-6.96%"
"07/13/2021","3,430.0","3,190.0","3,430.0","3,150.0","3.36M","6.85%"
"07/14/2021","3,530.0","3,550.0","3,630.0","3,400.0","4.18M","2.92%"
"07/15/2021","3,580.0","3,450.0","3,600.0","3,450.0","1.31M","1.42%"
"07/16/2021","3,400.0","3,500.0","3,560.0","3,400.0","1.81M","-5.03%"
"07/19/2021","3,170.0","3,260.0","3,280.0","3,170.0","3.21M","-6.76%"
"07/20/2021","3,390.0","3,180.0","3,390.0","3,120.0","2.03M","6.94%"
"07/21/2021","3,380.0","3,410.0","3,490.0","3,320.0","1.25M","-0.29%"
"07/22/2021","3,400.0","3,350.0","3,450.0","3,310.0","2.19M","0.59%"
"07/23/2021","3,270.0","3,350.0","3,410.0","3,270.0","1.34M","-3.82%"
"07/26/2021","3,280.0","3,250.0","3,320.0","3,190.0","1.26M","0.31%"
"07/27/2021","3,280.0","3,310.0","3,450.0","3,280.0","1.86M","0.00%"
"07/28/2021","3,300.0","3,300.0","3,350.0","3,280.0","528.50K","0.61%"
"07/29/2021","3,330.0","3,340.0","3,370.0","3,310.0","870.90K","0.91%"
"07/30/2021","3,330.0","3,330.0","3,370.0","3,300.0","1.54M","0.00%"
"08/02/2021","3,560.0","3,330.0","3,560.0","3,330.0","4.82M","6.91%"
"08/03/2021","3,800.0","3,740.0","3,800.0","3,650.0","3.86M","6.74%"
"08/04/2021","4,060.0","4,060.0","4,060.0","4,060.0","2.13M","6.84%"
"08/05/2021","4,340.0","4,340.0","4,340.0","4,160.0","7.88M","6.90%"
"08/06/2021","4,320.0","4,600.0","4,600.0","4,240.0","9.78M","-0.46%"
