"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,590.8","10,672.9","10,919.2","10,344.5","508.16K","-0.77%"
"07/02/2021","10,672.9","10,590.8","10,672.9","10,180.3","564.42K","0.78%"
"07/05/2021","10,262.4","10,672.9","10,672.9","10,098.2","257.84K","-3.85%"
"07/06/2021","10,016.1","10,262.4","10,262.4","9,769.8","365.64K","-2.40%"
"07/07/2021","9,523.5","10,016.1","10,016.1","9,277.2","435.43K","-4.92%"
"07/08/2021","9,605.6","9,359.3","9,934.0","9,113.1","164.18K","0.86%"
"07/09/2021","9,031.0","9,769.8","9,769.8","9,031.0","181.89K","-5.98%"
"07/12/2021","9,031.0","9,031.0","9,031.0","8,210.0","853.40K","0.00%"
"07/13/2021","9,934.0","9,113.1","9,934.0","9,113.1","551.25K","10.00%"
"07/14/2021","10,098.2","9,934.0","10,344.5","9,441.4","507.43K","1.65%"
"07/15/2021","10,016.1","10,098.2","10,098.2","9,769.8","411.00K","-0.81%"
"07/16/2021","9,934.0","10,016.1","10,098.2","9,769.8","409.03K","-0.82%"
"07/19/2021","9,523.5","9,769.8","9,769.8","9,113.1","149.39K","-4.13%"
"07/20/2021","9,441.4","9,523.5","9,523.5","9,113.1","73.81K","-0.86%"
"07/21/2021","9,441.4","9,441.4","9,687.7","9,113.1","60.57K","0.00%"
"07/22/2021","9,441.4","9,441.4","9,523.5","9,113.1","252.71K","0.00%"
"07/23/2021","9,195.1","9,523.5","9,605.6","9,195.1","104.45K","-2.61%"
"07/26/2021","9,195.1","9,195.1","9,359.3","8,866.8","101.12K","0.00%"
"07/27/2021","9,195.1","9,277.2","9,277.2","9,031.0","98.46K","0.00%"
"07/28/2021","9,031.0","9,195.1","9,195.1","8,948.9","134.82K","-1.78%"
"07/29/2021","9,113.1","9,031.0","9,113.1","8,784.7","266.48K","0.91%"
"07/30/2021","9,113.1","9,113.1","9,113.1","8,784.7","355.83K","0.00%"
"08/02/2021","9,113.1","9,113.1","9,113.1","8,866.8","383.01K","0.00%"
"08/03/2021","9,113.1","9,113.1","9,113.1","8,866.8","554.61K","0.00%"
"08/04/2021","9,113.1","9,031.0","9,113.1","8,866.8","370.12K","0.00%"
"08/05/2021","9,934.0","9,113.1","9,934.0","8,948.9","599.56K","9.01%"
"08/06/2021","10,262.4","9,934.0","10,262.4","9,605.6","727.16K","3.31%"
"08/09/2021","10,837.1","11,247.6","11,247.6","10,262.4","867.55K","5.60%"
"08/10/2021","10,755.0","10,672.9","10,919.2","10,344.5","920.75K","-0.76%"
"08/11/2021","10,672.9","10,755.0","10,837.1","10,180.3","803.80K","-0.76%"
"08/12/2021","10,180.3","10,262.4","10,672.9","10,180.3","278.91K","-4.62%"
"08/13/2021","10,262.4","10,180.3","10,262.4","9,851.9","591.87K","0.81%"
"08/16/2021","10,590.8","10,262.4","10,672.9","10,262.4","611.63K","3.20%"
"08/17/2021","10,837.1","10,755.0","11,083.4","10,590.8","767.49K","2.33%"
"08/18/2021","11,904.4","10,919.2","11,904.4","10,919.2","2.47M","9.85%"
"08/19/2021","13,053.8","12,807.5","13,053.8","12,725.4","2.22M","9.66%"
"08/20/2021","12,643.3","14,285.3","14,285.3","12,314.9","1.72M","-3.14%"
"08/23/2021","11,493.9","12,314.9","12,314.9","11,411.8","1.83M","-9.09%"
"08/24/2021","11,247.6","11,083.4","11,411.8","10,344.5","1.63M","-2.14%"
"08/25/2021","12,314.9","11,329.7","12,314.9","11,247.6","972.53K","9.49%"
"08/26/2021","12,314.9","13,382.2","13,464.3","11,493.9","1.45M","0.00%"
"08/27/2021","11,822.3","11,986.5","12,314.9","11,658.1","634.63K","-4.00%"
"09/06/2021","11,576.0","12,150.7","12,150.7","11,493.9","1.05M","-2.08%"
"09/07/2021","11,452.9","11,617.1","11,904.4","11,329.7","1.16M","-1.06%"
"09/08/2021","11,576.0","11,370.8","11,904.4","11,370.8","350.44K","1.07%"
"09/09/2021","11,288.7","11,576.0","11,658.1","11,206.6","618.99K","-2.48%"
"09/10/2021","11,374.5","11,417.5","11,503.3","11,159.9","459.41K","0.76%"
"09/13/2021","11,288.7","11,374.5","11,374.5","11,159.9","508.81K","-0.75%"
"09/14/2021","10,988.2","11,159.9","11,288.7","10,859.5","460.18K","-2.66%"
"09/15/2021","11,717.9","10,988.2","11,717.9","10,687.8","1.02M","6.64%"
"09/16/2021","11,932.5","12,018.4","12,147.1","11,589.1","787.86K","1.83%"
"09/17/2021","11,932.5","11,717.9","12,018.4","11,675.0","684.75K","0.00%"
"09/20/2021","12,275.9","11,932.5","12,447.6","11,760.8","1.37M","2.88%"
"09/21/2021","11,932.5","12,104.2","12,104.2","11,675.0","498.75K","-2.80%"
"09/22/2021","12,748.1","11,846.7","12,748.1","11,803.8","1.73M","6.84%"
"09/23/2021","12,748.1","13,220.2","13,220.2","12,447.6","954.29K","0.00%"
"09/24/2021","12,490.5","12,705.1","12,833.9","12,147.1","618.11K","-2.02%"
"09/27/2021","11,760.8","12,104.2","12,190.1","11,632.1","1.31M","-5.84%"
"09/28/2021","11,760.8","11,374.5","11,760.8","11,245.8","387.02K","0.00%"
"09/29/2021","11,675.0","11,760.8","11,803.8","11,460.4","306.24K","-0.73%"
"09/30/2021","11,589.1","11,846.7","11,846.7","11,417.5","235.51K","-0.74%"
"10/01/2021","11,503.3","11,503.3","11,675.0","11,288.7","467.81K","-0.74%"
"10/04/2021","12,275.9","11,503.3","12,275.9","11,503.3","1.17M","6.72%"
"10/05/2021","13,134.4","12,962.7","13,134.4","12,876.8","2.32M","6.99%"
"10/06/2021","12,833.9","13,306.1","13,735.3","12,619.3","1.31M","-2.29%"
"10/07/2021","13,306.1","12,876.8","13,563.6","12,361.8","1.16M","3.68%"
"10/08/2021","12,533.4","13,306.1","13,306.1","12,447.6","1.37M","-5.81%"
"10/11/2021","12,791.0","12,576.4","13,134.4","12,233.0","1.35M","2.06%"
"10/12/2021","12,447.6","12,748.1","12,791.0","12,275.9","564.18K","-2.68%"
"10/13/2021","12,705.1","12,318.8","12,748.1","12,233.0","724.53K","2.07%"
"10/14/2021","12,533.4","12,791.0","12,791.0","12,275.9","916.61K","-1.35%"
"10/15/2021","12,447.6","12,533.4","12,705.1","12,104.2","718.57K","-0.68%"
"10/18/2021","12,361.8","12,447.6","12,576.4","12,233.0","756.91K","-0.69%"
"10/19/2021","12,533.4","12,361.8","12,662.2","12,190.1","671.82K","1.39%"
"10/20/2021","12,705.1","12,533.4","12,791.0","12,275.9","1.37M","1.37%"
"10/21/2021","12,962.7","12,705.1","13,220.2","12,705.1","912.52K","2.03%"
"10/22/2021","12,791.0","12,919.7","12,919.7","12,619.3","838.59K","-1.32%"
"10/25/2021","13,649.4","12,791.0","13,649.4","12,791.0","2.23M","6.71%"
"10/26/2021","13,563.6","13,649.4","13,649.4","13,220.2","1.12M","-0.63%"
"10/27/2021","13,735.3","13,649.4","14,164.5","13,391.9","1.51M","1.27%"
"10/28/2021","13,649.4","13,649.4","13,735.3","13,477.7","974.96K","-0.63%"
"10/29/2021","13,735.3","14,164.5","14,164.5","13,520.7","1.05M","0.63%"
"11/01/2021","13,306.1","13,735.3","13,735.3","13,091.4","1.53M","-3.12%"
"11/02/2021","13,735.3","13,391.9","13,907.0","12,962.7","1.49M","3.23%"
"11/03/2021","12,791.0","13,907.0","13,907.0","12,791.0","1.38M","-6.87%"
"11/04/2021","12,705.1","12,791.0","12,791.0","12,447.6","793.38K","-0.67%"
"11/05/2021","12,490.5","12,705.1","12,791.0","12,104.2","1.93M","-1.69%"
"11/08/2021","12,876.8","12,447.6","13,048.5","12,361.8","834.72K","3.09%"
"11/09/2021","12,791.0","13,134.4","13,134.4","12,662.2","642.42K","-0.67%"
"11/10/2021","12,876.8","12,705.1","12,876.8","12,533.4","875.61K","0.67%"
"11/11/2021","12,919.7","12,876.8","13,177.3","12,705.1","819.25K","0.33%"
"11/12/2021","13,778.2","12,919.7","13,821.1","12,876.8","2.23M","6.64%"
"11/15/2021","13,949.9","14,164.5","14,207.4","13,778.2","1.76M","1.25%"
"11/16/2021","13,649.4","13,949.9","13,992.8","13,048.5","1.13M","-2.15%"
"11/17/2021","14,593.7","13,306.1","14,593.7","13,306.1","4.34M","6.92%"
"11/18/2021","15,581.0","14,765.4","15,581.0","14,593.7","2.62M","6.77%"
"11/19/2021","15,967.3","16,310.6","16,654.0","14,765.4","2.07M","2.48%"
"11/22/2021","14,851.3","15,452.2","16,482.3","14,851.3","2.05M","-6.99%"
"11/23/2021","13,821.1","13,821.1","14,164.5","13,821.1","2.24M","-6.94%"
"11/24/2021","13,992.8","13,864.0","14,465.0","13,692.4","1.38M","1.24%"
"11/25/2021","14,937.1","13,821.1","14,937.1","13,349.0","1.86M","6.75%"
"11/26/2021","15,366.3","15,366.3","15,623.9","14,422.0","1.78M","2.87%"
"11/29/2021","15,623.9","14,422.0","15,623.9","14,422.0","1.02M","1.68%"
"11/30/2021","15,538.0","15,709.7","16,053.1","15,065.9","1.21M","-0.55%"
"12/01/2021","15,108.8","15,452.2","15,452.2","14,894.2","873.73K","-2.76%"
"12/02/2021","14,851.3","15,280.5","15,280.5","14,636.7","831.18K","-1.70%"
"12/03/2021","14,507.9","14,765.4","15,666.8","14,507.9","2.17M","-2.31%"
"12/06/2021","13,520.7","15,452.2","15,452.2","13,520.7","690.72K","-6.80%"
"12/07/2021","13,735.3","13,692.4","13,778.2","13,220.2","573.79K","1.59%"
"12/08/2021","13,520.7","13,821.1","13,821.1","13,349.0","763.77K","-1.56%"
"12/09/2021","13,520.7","13,134.4","13,649.4","13,134.4","524.17K","0.00%"
"12/10/2021","13,563.6","13,520.7","13,735.3","13,391.9","458.97K","0.32%"
"12/13/2021","13,992.8","13,606.5","14,164.5","13,391.9","667.07K","3.16%"
"12/14/2021","13,821.1","13,992.8","14,078.7","13,692.4","829.08K","-1.23%"
"12/15/2021","13,649.4","13,821.1","13,949.9","13,563.6","411.56K","-1.24%"
"12/16/2021","13,563.6","13,563.6","13,649.4","13,306.1","731.61K","-0.63%"
"12/17/2021","13,306.1","13,692.4","13,692.4","13,220.2","991.87K","-1.90%"
"12/20/2021","12,748.1","13,306.1","13,306.1","12,576.4","1.08M","-4.19%"
"12/21/2021","12,962.7","12,490.5","13,091.4","12,490.5","833.61K","1.68%"
"12/22/2021","12,962.7","13,005.6","13,220.2","12,791.0","564.95K","0.00%"
"12/23/2021","12,919.7","12,876.8","13,134.4","12,447.6","745.31K","-0.33%"
"12/24/2021","12,791.0","12,919.7","12,962.7","12,619.3","487.59K","-1.00%"
"12/27/2021","12,447.6","12,791.0","12,791.0","12,361.8","453.00K","-2.68%"
"12/28/2021","13,091.4","12,490.5","13,263.1","12,490.5","660.10K","5.17%"
"12/29/2021","13,134.4","13,220.2","13,220.2","12,876.8","243.91K","0.33%"
"12/30/2021","13,477.7","13,134.4","13,649.4","12,876.8","732.93K","2.61%"
"12/31/2021","13,477.7","13,692.4","13,692.4","13,349.0","593.57K","0.00%"
