"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","12,950.0","12,950.0","12,950.0","12,950.0","0.10K","3.60%"
"07/02/2021","12,500.0","12,700.0","12,700.0","12,500.0","2.00K","-3.47%"
"07/05/2021","12,700.0","12,950.0","12,950.0","12,700.0","0.30K","1.60%"
"07/06/2021","12,500.0","12,800.0","12,800.0","12,500.0","4.80K","-1.57%"
"07/07/2021","12,450.0","12,450.0","12,450.0","12,450.0","5.00K","-0.40%"
"07/08/2021","12,800.0","12,800.0","12,800.0","12,800.0","0.10K","2.81%"
"07/09/2021","12,800.0","12,800.0","12,800.0","12,800.0","0.10K","0.00%"
"07/12/2021","12,000.0","12,300.0","12,300.0","12,000.0","12.80K","-6.25%"
"07/13/2021","12,550.0","12,000.0","12,550.0","12,000.0","5.10K","4.58%"
"07/14/2021","12,550.0","12,200.0","12,550.0","12,200.0","2.80K","0.00%"
"07/15/2021","12,550.0","12,550.0","12,550.0","12,550.0","0.10K","0.00%"
"07/16/2021","12,800.0","12,000.0","12,800.0","12,000.0","0.80K","1.99%"
"07/19/2021","12,800.0","12,000.0","12,800.0","12,000.0","4.10K","0.00%"
"07/20/2021","12,700.0","12,000.0","12,700.0","12,000.0","6.10K","-0.78%"
"07/22/2021","12,850.0","12,850.0","12,850.0","12,850.0","0.10K","1.18%"
"07/26/2021","12,000.0","12,000.0","12,000.0","12,000.0","10.80K","-6.61%"
"07/27/2021","12,200.0","12,000.0","12,200.0","12,000.0","2.10K","1.67%"
"07/28/2021","12,200.0","12,000.0","12,200.0","12,000.0","4.10K","0.00%"
"07/29/2021","12,450.0","12,000.0","12,450.0","12,000.0","4.00K","2.05%"
"07/30/2021","12,400.0","12,400.0","12,400.0","12,400.0","0.10K","-0.40%"
"08/02/2021","12,400.0","12,400.0","12,400.0","12,400.0","0.10K","0.00%"
"08/03/2021","12,350.0","12,350.0","12,350.0","12,350.0","0.10K","-0.40%"
"08/04/2021","12,000.0","12,000.0","12,000.0","12,000.0","0.50K","-2.83%"
"08/05/2021","12,200.0","12,100.0","12,200.0","12,100.0","0.20K","1.67%"
"08/06/2021","12,350.0","12,350.0","12,350.0","12,350.0","0.70K","1.23%"
"08/09/2021","12,000.0","12,350.0","12,350.0","12,000.0","0.50K","-2.83%"
"08/10/2021","12,300.0","12,300.0","12,300.0","12,300.0","0.10K","2.50%"
"08/11/2021","12,250.0","12,250.0","12,250.0","12,250.0","0.10K","-0.41%"
"08/12/2021","12,300.0","12,300.0","12,300.0","12,300.0","0.10K","0.41%"
"08/13/2021","12,250.0","12,250.0","12,250.0","12,250.0","0.10K","-0.41%"
"08/16/2021","12,300.0","12,000.0","12,300.0","12,000.0","6.50K","0.41%"
"08/17/2021","12,250.0","12,200.0","12,250.0","12,200.0","1.80K","-0.41%"
"08/25/2021","12,000.0","12,000.0","12,000.0","12,000.0","0.10K","-2.04%"
"08/26/2021","12,000.0","11,300.0","12,000.0","11,300.0","1.20K","0.00%"
"08/27/2021","12,050.0","12,050.0","12,050.0","12,050.0","0.10K","0.42%"
"08/30/2021","12,000.0","12,050.0","12,050.0","12,000.0","1.20K","-0.41%"
"08/31/2021","12,000.0","12,000.0","12,000.0","12,000.0","0.10K","0.00%"
"09/01/2021","12,000.0","12,000.0","12,100.0","12,000.0","9.10K","0.00%"
"09/06/2021","12,200.0","12,000.0","12,200.0","11,200.0","3.90K","1.67%"
"09/07/2021","12,400.0","12,500.0","12,500.0","12,400.0","0.30K","1.64%"
"09/08/2021","12,400.0","12,500.0","12,500.0","12,400.0","0.20K","0.00%"
"09/09/2021","11,550.0","11,600.0","11,600.0","11,550.0","2.70K","-6.85%"
"09/10/2021","11,600.0","11,600.0","11,600.0","11,600.0","0.10K","0.43%"
"09/13/2021","12,050.0","12,050.0","12,050.0","12,050.0","0.10K","3.88%"
"09/14/2021","12,000.0","11,250.0","12,100.0","11,250.0","10.70K","-0.41%"
"09/15/2021","12,100.0","12,350.0","12,350.0","12,100.0","0.70K","0.83%"
"09/16/2021","12,050.0","12,050.0","12,050.0","11,500.0","1.70K","-0.41%"
"09/17/2021","12,000.0","12,100.0","12,100.0","11,400.0","5.30K","-0.41%"
"09/20/2021","11,900.0","11,850.0","11,900.0","11,850.0","1.10K","-0.83%"
"09/21/2021","12,100.0","11,850.0","12,200.0","11,850.0","3.20K","1.68%"
"09/22/2021","12,100.0","12,050.0","12,100.0","12,050.0","2.50K","0.00%"
"09/23/2021","12,100.0","12,100.0","12,100.0","12,100.0","1.60K","0.00%"
"09/24/2021","12,100.0","12,100.0","12,100.0","12,100.0","3.30K","0.00%"
"09/27/2021","12,100.0","12,100.0","12,100.0","12,100.0","1.40K","0.00%"
"09/28/2021","12,100.0","12,100.0","12,100.0","12,100.0","6.00K","0.00%"
"09/29/2021","11,500.0","11,500.0","11,500.0","11,500.0","0.40K","-4.96%"
"10/01/2021","12,200.0","12,200.0","12,200.0","11,200.0","16.00K","6.09%"
"10/04/2021","11,850.0","12,250.0","12,250.0","11,800.0","3.10K","-2.87%"
"10/05/2021","11,800.0","11,800.0","11,800.0","11,800.0","0.30K","-0.42%"
"10/06/2021","11,800.0","11,800.0","11,800.0","11,800.0","0.50K","0.00%"
"10/07/2021","11,850.0","11,800.0","11,850.0","11,800.0","90.60K","0.42%"
"10/08/2021","12,000.0","12,000.0","12,000.0","12,000.0","0.10K","1.27%"
"10/11/2021","12,800.0","12,400.0","12,800.0","12,400.0","5.20K","6.67%"
"10/12/2021","12,800.0","12,800.0","12,800.0","12,800.0","2.20K","0.00%"
"10/13/2021","12,500.0","12,500.0","12,500.0","12,500.0","0.20K","-2.34%"
"10/14/2021","13,000.0","13,150.0","13,150.0","13,000.0","0.30K","4.00%"
"10/18/2021","12,350.0","12,200.0","12,350.0","12,200.0","0.90K","-5.00%"
"10/21/2021","12,350.0","12,350.0","12,350.0","12,350.0","0.10K","0.00%"
"10/22/2021","12,200.0","11,600.0","12,200.0","11,600.0","0.50K","-1.21%"
"10/25/2021","12,200.0","12,200.0","12,200.0","12,200.0","0.30K","0.00%"
"10/29/2021","12,900.0","11,550.0","13,000.0","11,550.0","6.80K","5.74%"
"11/01/2021","12,900.0","13,400.0","13,400.0","12,900.0","2.80K","0.00%"
"11/02/2021","12,900.0","12,900.0","12,900.0","12,000.0","44.70K","0.00%"
"11/03/2021","13,300.0","12,400.0","13,300.0","12,000.0","2.00K","3.10%"
"11/05/2021","12,400.0","12,400.0","12,500.0","12,400.0","8.80K","-6.77%"
"11/08/2021","12,200.0","12,400.0","12,400.0","12,000.0","3.70K","-1.61%"
"11/09/2021","12,200.0","12,200.0","12,800.0","12,200.0","1.40K","0.00%"
"11/10/2021","12,250.0","12,200.0","12,400.0","12,200.0","3.90K","0.41%"
"11/11/2021","12,000.0","12,250.0","12,300.0","12,000.0","2.20K","-2.04%"
"11/12/2021","12,400.0","12,350.0","12,400.0","12,100.0","1.40K","3.33%"
"11/15/2021","12,500.0","12,350.0","12,550.0","12,350.0","4.30K","0.81%"
"11/16/2021","13,000.0","12,500.0","13,000.0","12,500.0","7.20K","4.00%"
"11/17/2021","13,000.0","13,000.0","13,300.0","12,500.0","1.40K","0.00%"
"11/18/2021","13,100.0","13,000.0","13,200.0","13,000.0","4.10K","0.77%"
"11/19/2021","13,100.0","13,000.0","13,250.0","13,000.0","5.50K","0.00%"
"11/22/2021","13,000.0","13,100.0","13,100.0","13,000.0","1.00K","-0.76%"
"11/23/2021","12,400.0","12,400.0","12,400.0","12,400.0","1.30K","-4.62%"
"11/24/2021","12,700.0","12,200.0","12,700.0","12,200.0","0.30K","2.42%"
"11/26/2021","12,100.0","12,100.0","12,600.0","12,000.0","2.80K","-4.72%"
"11/29/2021","12,050.0","12,200.0","12,200.0","12,050.0","0.70K","-0.41%"
"11/30/2021","12,400.0","12,000.0","12,500.0","11,900.0","14.60K","2.90%"
"12/01/2021","12,000.0","12,400.0","12,400.0","12,000.0","0.80K","-3.23%"
"12/02/2021","12,450.0","12,050.0","12,450.0","11,900.0","2.40K","3.75%"
"12/03/2021","12,000.0","12,450.0","12,500.0","11,900.0","1.70K","-3.61%"
"12/06/2021","11,900.0","12,000.0","12,000.0","11,900.0","1.80K","-0.83%"
"12/07/2021","11,900.0","12,000.0","12,000.0","11,900.0","0.80K","0.00%"
"12/08/2021","11,800.0","12,000.0","12,000.0","11,800.0","1.20K","-0.84%"
"12/09/2021","11,900.0","12,100.0","12,100.0","11,900.0","1.80K","0.85%"
"12/10/2021","12,000.0","12,000.0","12,000.0","11,900.0","1.20K","0.84%"
"12/13/2021","12,000.0","12,500.0","12,500.0","12,000.0","4.50K","0.00%"
"12/14/2021","12,500.0","12,000.0","12,500.0","12,000.0","8.60K","4.17%"
"12/15/2021","12,450.0","12,500.0","12,500.0","12,000.0","2.80K","-0.40%"
"12/16/2021","12,250.0","12,250.0","12,250.0","12,250.0","0.20K","-1.61%"
"12/17/2021","12,000.0","12,250.0","12,250.0","12,000.0","7.60K","-2.04%"
