"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","5,094.0","5,239.3","5,256.4","5,000.0","1.96M","3.47%"
"07/02/2021","5,179.5","4,974.4","5,299.1","4,974.4","699.66K","1.68%"
"07/05/2021","5,162.4","5,359.0","5,359.0","5,059.8","1.02M","-0.33%"
"07/06/2021","4,829.1","5,042.7","5,179.5","4,829.1","1.36M","-6.46%"
"07/07/2021","4,735.0","4,743.6","4,871.8","4,504.3","1.08M","-1.95%"
"07/08/2021","4,854.7","4,803.4","4,914.5","4,735.0","671.35K","2.53%"
"07/09/2021","4,957.3","4,846.2","5,017.1","4,786.3","648.53K","2.11%"
"07/12/2021","5,000.0","5,299.1","5,299.1","4,794.9","1.35M","0.86%"
"07/13/2021","5,341.9","5,042.7","5,341.9","4,957.3","2.07M","6.84%"
"07/14/2021","5,709.4","5,675.2","5,709.4","5,478.6","1.55M","6.88%"
"07/15/2021","5,991.5","5,735.0","6,102.6","5,735.0","1.62M","4.94%"
"07/16/2021","5,897.4","5,641.0","6,025.6","5,641.0","941.26K","-1.57%"
"07/19/2021","5,487.2","5,726.5","5,769.2","5,487.2","1.52M","-6.96%"
"07/20/2021","5,461.5","5,470.1","5,470.1","5,111.1","2.11M","-0.47%"
"07/21/2021","5,478.6","5,470.1","5,726.5","5,418.8","806.36K","0.31%"
"07/22/2021","5,598.3","5,641.0","5,769.2","5,478.6","1.18M","2.18%"
"07/23/2021","5,470.1","5,461.5","5,641.0","5,427.4","1.01M","-2.29%"
"07/26/2021","5,384.6","5,435.9","5,555.6","5,256.4","670.76K","-1.56%"
"07/27/2021","5,427.4","5,384.6","5,512.8","5,341.9","839.59K","0.79%"
"07/28/2021","5,803.4","5,470.1","5,803.4","5,384.6","1.77M","6.93%"
"07/29/2021","6,051.3","6,205.1","6,205.1","5,982.9","1.62M","4.27%"
"07/30/2021","6,111.1","6,000.0","6,179.5","5,897.4","1.03M","0.99%"
"08/02/2021","6,025.6","5,982.9","6,153.8","5,854.7","1.32M","-1.40%"
"08/03/2021","5,957.3","5,982.9","6,068.4","5,897.4","798.76K","-1.13%"
"08/04/2021","6,213.7","5,906.0","6,367.5","5,897.4","1.28M","4.30%"
"08/05/2021","6,136.8","6,196.6","6,205.1","6,034.2","858.66K","-1.24%"
"08/06/2021","5,982.9","6,068.4","6,128.2","5,982.9","1.00M","-2.51%"
"08/09/2021","5,982.9","5,760.7","6,068.4","5,726.5","937.52K","0.00%"
"08/10/2021","5,982.9","6,042.7","6,111.1","5,854.7","877.03K","0.00%"
"08/11/2021","5,906.0","5,982.9","6,153.8","5,897.4","603.72K","-1.29%"
"08/12/2021","5,854.7","5,923.1","6,068.4","5,846.2","758.98K","-0.87%"
"08/13/2021","5,752.1","5,812.0","5,974.4","5,589.7","1.47M","-1.75%"
"08/16/2021","5,982.9","5,940.2","5,982.9","5,863.2","518.19K","4.01%"
"08/17/2021","5,863.2","5,948.7","5,982.9","5,812.0","654.73K","-2.00%"
"08/18/2021","5,735.0","5,726.5","5,880.3","5,726.5","635.19K","-2.19%"
"08/19/2021","5,863.2","5,803.4","6,025.6","5,649.6","633.09K","2.24%"
"08/20/2021","6,273.5","5,965.8","6,273.5","5,957.3","3.55M","7.00%"
"08/23/2021","6,504.3","6,649.6","6,658.1","6,333.3","1.76M","3.68%"
"08/24/2021","6,128.2","6,461.5","6,461.5","6,068.4","721.89K","-5.78%"
"08/25/2021","6,128.2","5,982.9","6,128.2","5,982.9","1.14M","0.00%"
"08/26/2021","6,111.1","6,136.8","6,410.3","6,111.1","777.58K","-0.28%"
"08/27/2021","6,196.6","5,982.9","6,205.1","5,982.9","881.48K","1.40%"
"08/30/2021","6,290.6","6,239.3","6,401.7","6,111.1","870.60K","1.52%"
"08/31/2021","6,726.5","6,299.1","6,726.5","6,299.1","2.60M","6.93%"
"09/01/2021","7,017.1","6,837.6","7,196.6","6,837.6","1.62M","4.32%"
"09/06/2021","7,282.1","7,136.8","7,504.3","7,136.8","1.26M","3.78%"
"09/07/2021","6,957.3","7,282.1","7,290.6","6,786.3","1.72M","-4.46%"
"09/08/2021","7,025.6","6,940.2","7,179.5","6,854.7","839.47K","0.98%"
"09/09/2021","7,265.0","7,076.9","7,350.4","7,076.9","1.16M","3.41%"
"09/10/2021","7,256.4","7,273.5","7,478.6","7,094.0","738.04K","-0.12%"
"09/13/2021","7,145.3","7,136.8","7,188.0","7,102.6","955.42K","-1.53%"
"09/14/2021","7,282.1","7,059.8","7,350.4","7,059.8","1.08M","1.91%"
"09/15/2021","7,786.3","7,435.9","7,786.3","7,350.4","1.03M","6.92%"
"09/16/2021","8,119.7","8,307.7","8,324.8","7,957.3","2.00M","4.28%"
"09/17/2021","8,273.5","7,820.5","8,504.3","7,820.5","1.42M","1.89%"
"09/20/2021","8,213.7","8,273.5","8,538.5","8,205.1","1.25M","-0.72%"
"09/21/2021","8,205.1","7,777.8","8,205.1","7,777.8","970.16K","-0.10%"
"09/22/2021","8,760.7","8,461.5","8,760.7","8,376.1","1.38M","6.77%"
"09/23/2021","8,675.2","9,316.2","9,316.2","8,461.5","1.71M","-0.98%"
"09/24/2021","8,529.9","8,675.2","8,675.2","8,290.6","945.94K","-1.67%"
"09/27/2021","7,940.2","8,529.9","8,529.9","7,940.2","1.55M","-6.91%"
"09/28/2021","7,948.7","7,418.8","8,111.1","7,418.8","815.61K","0.11%"
"09/29/2021","7,940.2","7,794.9","7,948.7","7,692.3","488.24K","-0.11%"
"09/30/2021","8,307.7","8,205.1","8,461.5","8,162.4","556.69K","4.63%"
"10/01/2021","8,273.5","8,367.5","8,376.1","8,111.1","562.42K","-0.41%"
"10/04/2021","8,059.8","8,273.5","8,273.5","8,034.2","620.45K","-2.58%"
"10/05/2021","8,102.6","7,948.7","8,273.5","7,948.7","434.65K","0.53%"
"10/06/2021","8,632.5","8,153.8","8,632.5","8,034.2","1.13M","6.54%"
"10/07/2021","8,547.0","8,846.2","8,846.2","8,547.0","493.97K","-0.99%"
"10/08/2021","8,547.0","8,589.7","8,974.4","8,461.5","484.73K","0.00%"
"10/11/2021","8,547.0","8,376.1","8,632.5","8,376.1","415.58K","0.00%"
"10/12/2021","8,547.0","8,547.0","8,803.4","8,504.3","698.84K","0.00%"
"10/13/2021","8,589.7","8,547.0","8,718.0","8,487.2","511.17K","0.50%"
"10/14/2021","8,846.2","8,504.3","8,931.6","8,504.3","747.28K","2.99%"
"10/15/2021","8,974.4","9,017.1","9,273.5","8,803.4","757.93K","1.45%"
"10/18/2021","9,572.7","9,572.7","9,572.7","9,572.7","360.71K","6.67%"
"10/19/2021","10,213.7","10,213.7","10,213.7","9,829.1","2.79M","6.70%"
"10/20/2021","10,683.8","10,897.4","10,897.4","10,256.4","4.62M","4.60%"
"10/21/2021","10,854.7","10,683.8","10,940.2","10,384.6","1.46M","1.60%"
"10/22/2021","11,581.2","10,683.8","11,581.2","10,683.8","2.93M","6.69%"
"10/25/2021","11,111.1","11,880.3","11,880.3","10,982.9","1.72M","-4.06%"
"10/26/2021","11,410.3","10,982.9","11,495.7","10,512.8","2.12M","2.69%"
"10/27/2021","11,410.3","11,495.7","11,623.9","11,153.8","1.72M","0.00%"
"10/28/2021","11,196.6","11,410.3","11,495.7","11,068.4","2.15M","-1.87%"
"10/29/2021","11,581.2","11,196.6","11,965.8","11,153.8","2.22M","3.43%"
"11/01/2021","11,752.1","11,709.4","11,965.8","11,623.9","1.60M","1.48%"
"11/02/2021","12,435.9","11,709.4","12,435.9","11,538.5","1.93M","5.82%"
"11/03/2021","11,581.2","12,820.5","12,820.5","11,581.2","2.81M","-6.87%"
"11/04/2021","11,709.4","11,111.1","11,965.8","11,111.1","1.33M","1.11%"
"11/05/2021","11,752.1","11,666.7","11,880.3","11,538.5","760.03K","0.36%"
"11/08/2021","11,623.9","11,752.1","11,923.1","11,453.0","1.21M","-1.09%"
