"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","40,711.9","39,430.2","40,862.7","38,977.9","8.08M","5.68%"
"07/02/2021","41,088.8","41,088.8","42,596.7","40,334.9","8.25M","0.93%"
"07/05/2021","40,033.3","40,485.7","41,088.8","39,128.6","9.02M","-2.57%"
"07/06/2021","37,243.8","39,958.0","41,315.0","37,243.8","10.19M","-6.97%"
"07/07/2021","38,450.1","37,545.4","38,600.9","35,434.4","12.10M","3.24%"
"07/08/2021","38,148.5","38,450.1","39,581.0","37,771.6","6.56M","-0.78%"
"07/09/2021","36,263.7","37,319.2","38,525.5","36,037.6","9.58M","-4.94%"
"07/12/2021","33,738.1","35,057.4","35,736.0","33,738.1","11.69M","-6.96%"
"07/13/2021","35,811.4","34,605.1","35,811.4","33,851.2","7.08M","6.15%"
"07/14/2021","34,755.9","35,811.4","36,376.8","33,926.6","5.73M","-2.95%"
"07/15/2021","36,339.1","34,303.5","36,339.1","34,303.5","5.78M","4.56%"
"07/16/2021","36,037.6","36,339.1","36,716.1","35,962.2","5.74M","-0.83%"
"07/19/2021","33,549.6","34,680.5","35,283.6","33,549.6","9.22M","-6.90%"
"07/20/2021","35,811.4","33,775.8","35,886.8","33,097.2","7.59M","6.74%"
"07/21/2021","34,755.9","35,811.4","36,226.0","34,680.5","5.41M","-2.95%"
"07/22/2021","35,170.5","34,680.5","35,660.6","34,492.0","4.61M","1.19%"
"07/23/2021","34,115.0","34,982.1","35,208.2","34,115.0","5.41M","-3.00%"
"07/26/2021","33,700.4","33,964.3","34,378.9","33,172.6","5.46M","-1.22%"
"07/27/2021","34,642.8","34,077.3","35,283.6","33,662.7","8.75M","2.80%"
"07/28/2021","34,605.1","34,454.3","35,057.4","34,303.5","2.90M","-0.11%"
"07/29/2021","35,396.7","35,057.4","35,396.7","34,831.3","4.27M","2.29%"
"07/30/2021","36,075.2","35,585.2","36,565.3","35,434.4","10.16M","1.92%"
"08/02/2021","36,263.7","36,037.6","36,716.1","35,622.9","8.33M","0.52%"
"08/03/2021","37,319.2","36,263.7","37,319.2","35,811.4","9.58M","2.91%"
"08/04/2021","37,545.4","37,696.2","38,148.5","37,206.1","9.18M","0.61%"
"08/05/2021","38,073.1","37,319.2","38,148.5","37,017.7","7.88M","1.41%"
"08/06/2021","37,168.4","37,997.8","38,148.5","37,168.4","8.72M","-2.38%"
"08/09/2021","39,053.2","36,942.3","39,279.4","36,866.9","11.98M","5.07%"
"08/10/2021","38,977.9","39,581.0","39,581.0","38,600.9","7.21M","-0.19%"
"08/11/2021","38,450.1","38,977.9","39,882.6","38,450.1","7.72M","-1.35%"
"08/12/2021","38,299.3","38,223.9","39,204.0","37,997.8","7.45M","-0.39%"
"08/13/2021","39,882.6","38,450.1","39,882.6","38,374.7","12.58M","4.13%"
"08/16/2021","41,993.5","40,787.3","42,295.1","40,711.9","9.84M","5.29%"
"08/17/2021","41,465.8","41,767.4","42,068.9","41,088.8","7.22M","-1.26%"
"08/18/2021","42,144.3","41,239.6","42,898.3","40,938.1","8.92M","1.64%"
"08/19/2021","42,521.3","42,144.3","42,822.9","41,465.8","5.54M","0.89%"
"08/20/2021","42,973.6","42,445.9","43,727.6","41,541.2","17.57M","1.06%"
"08/23/2021","43,049.0","42,973.6","43,878.4","42,370.5","9.80M","0.18%"
"08/24/2021","40,108.7","43,124.4","43,350.6","40,108.7","13.89M","-6.83%"
"08/25/2021","40,862.7","40,108.7","40,938.1","39,430.2","6.15M","1.88%"
"08/26/2021","39,430.2","40,862.7","41,088.8","39,053.2","8.02M","-3.51%"
"08/27/2021","40,334.9","38,977.9","40,334.9","38,374.7","8.62M","2.29%"
"08/30/2021","41,842.8","40,636.5","41,842.8","39,958.0","6.79M","3.74%"
"08/31/2021","41,164.2","41,842.8","42,068.9","41,164.2","6.82M","-1.62%"
"09/01/2021","41,390.4","41,013.4","41,842.8","40,636.5","7.17M","0.55%"
"09/06/2021","41,918.2","41,918.2","42,068.9","41,164.2","6.22M","1.28%"
"09/07/2021","42,445.9","42,219.7","43,275.2","42,144.3","8.17M","1.26%"
"09/08/2021","41,616.6","42,898.3","43,199.8","41,088.8","7.73M","-1.95%"
"09/09/2021","41,842.8","41,465.8","42,068.9","41,390.4","4.68M","0.54%"
"09/10/2021","41,616.6","41,993.5","42,445.9","41,465.8","3.58M","-0.54%"
"09/13/2021","40,184.1","41,465.8","41,541.2","39,807.2","11.74M","-3.44%"
"09/14/2021","38,827.1","40,108.7","40,485.7","38,827.1","7.13M","-3.38%"
"09/15/2021","40,033.3","38,676.3","40,334.9","38,600.9","3.82M","3.11%"
"09/16/2021","39,354.8","39,958.0","40,184.1","39,354.8","3.26M","-1.69%"
"09/17/2021","40,485.7","39,807.2","40,787.3","39,505.6","5.52M","2.87%"
"09/20/2021","40,787.3","41,013.4","41,390.4","40,184.1","6.91M","0.74%"
"09/21/2021","39,882.6","40,184.1","40,711.9","39,505.6","4.84M","-2.22%"
"09/22/2021","40,033.3","40,259.5","40,410.3","39,731.8","3.50M","0.38%"
"09/23/2021","41,541.2","41,088.8","41,993.5","40,334.9","11.90M","3.77%"
"09/24/2021","41,088.8","41,541.2","42,068.9","41,088.8","5.94M","-1.09%"
"09/27/2021","38,977.9","41,239.6","41,390.4","38,827.1","5.27M","-5.14%"
"09/28/2021","40,561.1","38,902.5","40,561.1","38,450.1","5.03M","4.06%"
"09/29/2021","39,656.4","40,636.5","40,711.9","39,581.0","3.83M","-2.23%"
"09/30/2021","39,204.0","39,731.8","40,108.7","39,204.0","3.57M","-1.14%"
"10/01/2021","38,073.1","38,977.9","39,656.4","38,073.1","6.94M","-2.88%"
"10/04/2021","36,414.5","37,847.0","37,997.8","36,414.5","7.47M","-4.36%"
"10/05/2021","37,847.0","36,866.9","38,299.3","36,791.5","5.21M","3.93%"
"10/06/2021","37,319.2","38,073.1","38,148.5","37,319.2","4.46M","-1.39%"
"10/07/2021","36,942.3","37,319.2","37,696.2","36,942.3","7.03M","-1.01%"
"10/08/2021","36,716.1","37,017.7","37,545.4","36,603.0","13.22M","-0.61%"
"10/11/2021","38,561.8","37,573.0","38,710.1","37,573.0","4.70M","5.03%"
"10/12/2021","38,067.4","38,858.4","38,907.9","38,067.4","2.91M","-1.28%"
"10/13/2021","37,474.2","38,067.4","38,364.0","37,474.2","3.26M","-1.56%"
"10/14/2021","37,721.3","37,573.0","38,067.4","37,523.6","2.92M","0.66%"
"10/15/2021","37,622.5","37,968.5","38,067.4","37,573.0","2.05M","-0.26%"
"10/18/2021","38,215.7","37,968.5","38,611.2","37,622.5","3.85M","1.58%"
"10/19/2021","38,512.4","38,462.9","38,957.3","38,116.9","3.02M","0.78%"
"10/20/2021","38,215.7","38,561.8","38,611.2","37,770.8","2.49M","-0.77%"
"10/21/2021","37,622.5","38,364.0","38,512.4","37,523.6","2.78M","-1.55%"
"10/22/2021","37,078.7","37,721.3","37,721.3","37,078.7","3.24M","-1.45%"
"10/25/2021","36,089.9","37,078.7","37,128.1","36,089.9","3.49M","-2.67%"
"10/26/2021","36,485.4","36,089.9","37,078.7","35,249.4","2.07M","1.10%"
"10/27/2021","37,721.3","36,534.8","37,770.8","36,534.8","2.85M","3.39%"
"10/28/2021","38,265.2","37,869.7","38,660.7","37,869.7","3.47M","1.44%"
"10/29/2021","37,770.8","38,561.8","38,561.8","37,573.0","3.25M","-1.29%"
"11/01/2021","39,056.2","38,067.4","39,253.9","37,869.7","5.86M","3.40%"
"11/02/2021","39,847.2","39,056.2","39,946.1","39,056.2","4.35M","2.03%"
"11/03/2021","39,303.4","40,143.8","40,440.4","39,056.2","4.94M","-1.36%"
"11/04/2021","41,379.8","39,451.7","41,824.7","39,402.2","7.66M","5.28%"
"11/05/2021","41,627.0","41,923.6","41,923.6","41,379.8","4.66M","0.60%"
"11/08/2021","43,505.6","41,923.6","43,901.1","41,824.7","7.39M","4.51%"
"11/09/2021","42,961.8","43,703.4","43,752.8","42,516.9","4.48M","-1.25%"
"11/10/2021","43,505.6","43,307.9","44,197.8","42,961.8","4.64M","1.27%"
"11/11/2021","43,357.3","43,703.4","44,247.2","42,022.5","6.08M","-0.34%"
"11/12/2021","43,752.8","43,011.2","43,802.2","42,714.6","4.01M","0.91%"
"11/15/2021","45,087.6","44,791.0","45,730.3","44,642.7","5.57M","3.05%"
"11/16/2021","44,494.4","44,494.4","45,532.6","44,197.8","4.91M","-1.32%"
"11/17/2021","44,791.0","44,494.4","45,977.5","44,494.4","5.29M","0.67%"
"11/18/2021","47,559.5","45,680.9","47,905.6","45,384.3","8.31M","6.18%"
"11/19/2021","46,076.4","47,955.1","47,955.1","44,296.6","6.53M","-3.12%"
"11/22/2021","44,494.4","45,631.5","46,471.9","44,494.4","6.10M","-3.43%"
"11/23/2021","45,977.5","44,494.4","45,977.5","43,703.4","6.41M","3.33%"
"11/24/2021","46,768.5","46,966.3","47,806.7","46,373.0","6.46M","1.72%"
"11/25/2021","47,164.0","47,065.2","48,202.2","46,323.6","6.96M","0.85%"
"11/26/2021","48,152.8","47,065.2","49,734.8","47,065.2","10.69M","2.10%"
"11/29/2021","48,647.2","47,460.7","49,042.7","47,460.7","8.83M","1.03%"
"11/30/2021","48,449.4","49,438.2","50,130.3","48,251.7","6.86M","-0.41%"
"12/01/2021","47,707.9","48,251.7","48,548.3","46,966.3","6.35M","-1.53%"
"12/02/2021","47,164.0","47,707.9","48,053.9","47,164.0","4.52M","-1.14%"
"12/03/2021","44,000.0","47,164.0","47,361.8","44,000.0","10.04M","-6.71%"
"12/06/2021","42,200.0","44,000.0","44,800.0","41,050.0","5.99M","-4.09%"
"12/07/2021","43,950.0","43,400.0","44,150.0","42,150.0","4.26M","4.15%"
"12/08/2021","44,000.0","44,800.0","44,800.0","43,500.0","2.80M","0.11%"
"12/09/2021","44,500.0","43,600.0","44,500.0","43,400.0","3.15M","1.14%"
"12/10/2021","43,800.0","44,700.0","44,750.0","43,750.0","3.68M","-1.57%"
"12/13/2021","44,700.0","44,000.0","44,700.0","43,650.0","3.46M","2.05%"
"12/14/2021","45,100.0","45,000.0","45,850.0","44,600.0","4.29M","0.89%"
"12/15/2021","44,200.0","44,900.0","45,400.0","44,200.0","2.73M","-2.00%"
"12/16/2021","43,500.0","44,400.0","44,500.0","43,400.0","3.52M","-1.58%"
"12/17/2021","46,150.0","44,000.0","46,300.0","43,750.0","5.96M","6.09%"
"12/20/2021","47,000.0","46,200.0","47,800.0","45,800.0","6.54M","1.84%"
"12/21/2021","45,800.0","46,800.0","47,400.0","45,800.0","3.64M","-2.55%"
"12/22/2021","45,000.0","46,500.0","46,500.0","45,000.0","4.99M","-1.75%"
"12/23/2021","43,400.0","44,600.0","44,700.0","42,200.0","5.54M","-3.56%"
"12/24/2021","44,000.0","43,650.0","44,500.0","43,400.0","2.72M","1.38%"
"12/27/2021","43,900.0","44,800.0","44,900.0","43,900.0","1.93M","-0.23%"
"12/28/2021","43,350.0","44,100.0","44,300.0","43,350.0","3.18M","-1.25%"
"12/29/2021","44,000.0","43,450.0","44,600.0","43,250.0","2.74M","1.50%"
"12/30/2021","45,950.0","44,400.0","46,000.0","44,300.0","3.40M","4.43%"
"12/31/2021","45,500.0","46,450.0","46,600.0","45,450.0","2.74M","-0.98%"
