"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","29,854.0","29,991.0","30,128.0","29,512.0","1.65M","-0.23%"
"07/02/2021","29,683.0","29,854.0","30,128.0","29,580.0","1.62M","-0.57%"
"07/05/2021","29,717.0","29,649.0","29,717.0","28,827.0","1.72M","0.11%"
"07/06/2021","29,307.0","29,717.0","30,744.0","29,307.0","4.72M","-1.38%"
"07/07/2021","29,580.0","29,443.0","29,580.0","28,279.0","1.63M","0.93%"
"07/08/2021","30,060.0","29,649.0","30,539.0","29,649.0","2.78M","1.62%"
"07/09/2021","31,361.0","30,060.0","31,703.0","29,786.0","6.30M","4.33%"
"07/12/2021","30,368.0","31,292.0","31,292.0","29,307.0","2.76M","-3.17%"
"07/13/2021","31,840.0","30,710.0","31,840.0","30,060.0","3.04M","4.85%"
"07/14/2021","33,038.0","32,182.0","33,552.0","32,182.0","6.03M","3.76%"
"07/15/2021","33,689.0","32,867.0","34,442.0","32,422.0","3.83M","1.97%"
"07/16/2021","34,510.0","33,894.0","34,579.0","33,346.0","4.14M","2.44%"
"07/19/2021","33,894.0","33,894.0","36,017.0","33,620.0","7.08M","-1.78%"
"07/20/2021","33,689.0","34,579.0","34,579.0","32,422.0","4.93M","-0.60%"
"07/21/2021","35,332.0","33,552.0","35,332.0","33,381.0","4.43M","4.88%"
"07/22/2021","36,633.0","35,538.0","36,975.0","35,401.0","3.67M","3.68%"
"07/23/2021","36,085.0","36,291.0","37,249.0","35,606.0","3.43M","-1.50%"
"07/26/2021","37,044.0","35,811.0","37,318.0","35,743.0","3.91M","2.66%"
"07/27/2021","36,017.0","37,112.0","37,249.0","36,017.0","4.70M","-2.77%"
"07/28/2021","34,237.0","35,675.0","36,085.0","34,237.0","5.44M","-4.94%"
"07/29/2021","36,291.0","34,168.0","36,633.0","33,860.0","6.13M","6.00%"
"07/30/2021","36,496.0","35,948.0","37,592.0","35,948.0","3.34M","0.56%"
"08/02/2021","36,154.0","35,606.0","36,565.0","35,264.0","6.93M","-0.94%"
"08/03/2021","38,619.0","35,743.0","38,619.0","35,743.0","8.94M","6.82%"
"08/04/2021","38,276.0","38,619.0","39,441.0","38,003.0","2.81M","-0.89%"
"08/05/2021","38,550.0","38,003.0","38,687.0","37,318.0","3.24M","0.72%"
"08/06/2021","39,167.0","38,413.0","40,262.0","38,276.0","4.10M","1.60%"
"08/09/2021","39,235.0","39,030.0","39,851.0","38,893.0","3.03M","0.17%"
"08/10/2021","40,057.0","39,372.0","40,742.0","38,619.0","4.30M","2.10%"
"08/11/2021","38,961.0","39,714.0","40,399.0","38,961.0","3.15M","-2.74%"
"08/12/2021","39,235.0","38,961.0","40,331.0","38,482.0","4.56M","0.70%"
"08/13/2021","41,015.0","39,167.0","41,015.0","38,893.0","5.59M","4.54%"
"08/16/2021","40,673.0","41,426.0","41,426.0","40,399.0","2.19M","-0.83%"
"08/17/2021","39,714.0","40,399.0","40,673.0","39,509.0","3.61M","-2.36%"
"08/18/2021","40,057.0","39,441.0","40,536.0","39,441.0","2.56M","0.86%"
"08/19/2021","40,605.0","39,851.0","40,605.0","39,646.0","2.31M","1.37%"
"08/20/2021","37,797.0","40,194.0","40,742.0","37,797.0","7.68M","-6.92%"
"08/23/2021","35,195.0","37,523.0","37,660.0","35,195.0","6.81M","-6.88%"
