"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,200.0","11,350.0","11,350.0","11,100.0","170.20K","-1.32%"
"07/02/2021","11,100.0","11,200.0","11,200.0","11,000.0","292.40K","-0.89%"
"07/05/2021","10,750.0","11,100.0","11,100.0","10,600.0","530.80K","-3.15%"
"07/06/2021","10,500.0","10,750.0","10,750.0","10,500.0","273.80K","-2.33%"
"07/07/2021","10,200.0","10,250.0","10,400.0","9,930.0","307.80K","-2.86%"
"07/08/2021","10,350.0","10,300.0","10,500.0","10,150.0","91.00K","1.47%"
"07/09/2021","10,200.0","10,200.0","10,300.0","10,000.0","249.40K","-1.45%"
"07/12/2021","9,490.0","10,100.0","10,100.0","9,490.0","377.70K","-6.96%"
"07/13/2021","9,350.0","9,400.0","9,570.0","9,100.0","108.40K","-1.48%"
"07/14/2021","9,500.0","9,350.0","9,570.0","9,200.0","312.40K","1.60%"
"07/15/2021","9,790.0","9,500.0","9,800.0","9,380.0","185.60K","3.05%"
"07/16/2021","9,720.0","9,790.0","9,990.0","9,610.0","169.30K","-0.72%"
"07/19/2021","9,250.0","9,700.0","9,700.0","9,250.0","193.60K","-4.84%"
"07/20/2021","9,890.0","9,060.0","9,890.0","9,060.0","370.60K","6.92%"
"07/21/2021","10,200.0","10,000.0","10,550.0","10,000.0","896.90K","3.13%"
"07/22/2021","10,300.0","10,200.0","10,300.0","10,150.0","151.70K","0.98%"
"07/23/2021","10,150.0","10,300.0","10,300.0","10,000.0","138.50K","-1.46%"
"07/26/2021","9,950.0","10,000.0","10,150.0","9,910.0","187.30K","-1.97%"
"07/27/2021","9,910.0","9,970.0","10,000.0","9,900.0","170.70K","-0.40%"
"07/28/2021","9,920.0","9,910.0","9,980.0","9,850.0","152.80K","0.10%"
"07/29/2021","9,910.0","9,920.0","9,930.0","9,850.0","112.40K","-0.10%"
"07/30/2021","10,250.0","10,400.0","10,400.0","9,950.0","401.70K","3.43%"
"08/02/2021","10,450.0","10,200.0","10,800.0","10,000.0","350.40K","1.95%"
"08/03/2021","10,450.0","10,400.0","10,600.0","10,300.0","158.80K","0.00%"
"08/04/2021","10,650.0","10,400.0","10,750.0","10,150.0","486.80K","1.91%"
"08/05/2021","11,000.0","10,600.0","11,250.0","10,450.0","747.80K","3.29%"
"08/06/2021","10,600.0","11,000.0","11,000.0","10,600.0","257.00K","-3.64%"
"08/09/2021","10,700.0","10,600.0","10,850.0","10,300.0","545.10K","0.94%"
"08/10/2021","10,700.0","10,700.0","10,900.0","10,400.0","783.70K","0.00%"
"08/11/2021","11,250.0","10,900.0","11,400.0","10,700.0","1.40M","5.14%"
"08/12/2021","11,100.0","11,200.0","11,650.0","11,000.0","1.01M","-1.33%"
