"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,700.0","6,450.0","6,880.0","6,450.0","971.60K","3.88%"
"07/02/2021","6,720.0","6,700.0","6,940.0","6,500.0","976.10K","0.30%"
"07/05/2021","6,560.0","6,600.0","6,800.0","6,540.0","1.16M","-2.38%"
"07/06/2021","6,110.0","6,560.0","6,600.0","6,110.0","1.77M","-6.86%"
"07/07/2021","6,010.0","6,000.0","6,100.0","5,690.0","823.90K","-1.64%"
"07/08/2021","6,100.0","5,770.0","6,400.0","5,770.0","480.20K","1.50%"
"07/09/2021","6,520.0","6,100.0","6,520.0","6,000.0","2.31M","6.89%"
"07/12/2021","6,700.0","6,970.0","6,970.0","6,400.0","1.91M","2.76%"
"07/13/2021","7,160.0","6,970.0","7,160.0","6,720.0","2.80M","6.87%"
"07/14/2021","6,660.0","7,500.0","7,600.0","6,660.0","2.49M","-6.98%"
"07/15/2021","6,600.0","6,500.0","6,800.0","6,300.0","895.20K","-0.90%"
"07/16/2021","6,700.0","6,520.0","6,800.0","6,250.0","1.63M","1.52%"
"07/19/2021","6,240.0","6,270.0","6,460.0","6,240.0","1.51M","-6.87%"
"07/20/2021","5,850.0","6,180.0","6,190.0","5,810.0","2.01M","-6.25%"
"07/21/2021","5,500.0","5,450.0","5,850.0","5,450.0","2.03M","-5.98%"
"07/22/2021","5,600.0","5,340.0","5,800.0","5,340.0","1.04M","1.82%"
"07/23/2021","5,660.0","5,520.0","5,750.0","5,500.0","507.70K","1.07%"
"07/26/2021","5,380.0","5,500.0","5,640.0","5,360.0","809.00K","-4.95%"
"07/27/2021","5,130.0","5,410.0","5,500.0","5,100.0","1.17M","-4.65%"
"07/28/2021","5,340.0","5,150.0","5,400.0","5,000.0","639.10K","4.09%"
"07/29/2021","5,400.0","5,490.0","5,490.0","5,350.0","220.40K","1.12%"
"07/30/2021","5,370.0","5,390.0","5,480.0","5,300.0","456.90K","-0.56%"
"08/02/2021","5,220.0","5,360.0","5,360.0","5,100.0","642.70K","-2.79%"
"08/03/2021","5,220.0","5,150.0","5,380.0","5,140.0","378.90K","0.00%"
"08/04/2021","5,350.0","5,220.0","5,380.0","5,200.0","601.80K","2.49%"
"08/05/2021","5,720.0","5,440.0","5,720.0","5,270.0","1.57M","6.92%"
"08/06/2021","5,620.0","5,760.0","5,760.0","5,510.0","720.70K","-1.75%"
"08/09/2021","5,690.0","5,620.0","5,870.0","5,510.0","538.00K","1.25%"
"08/10/2021","5,550.0","5,700.0","5,750.0","5,520.0","1.23M","-2.46%"
"08/11/2021","5,620.0","5,410.0","5,720.0","5,410.0","1.36M","1.26%"
"08/12/2021","5,770.0","5,620.0","5,980.0","5,530.0","1.47M","2.67%"
"08/13/2021","5,700.0","5,780.0","5,890.0","5,660.0","1.12M","-1.21%"
"08/16/2021","5,720.0","5,710.0","5,800.0","5,690.0","1.18M","0.35%"
"08/17/2021","5,700.0","5,720.0","5,740.0","5,650.0","1.18M","-0.35%"
"08/18/2021","6,090.0","5,700.0","6,090.0","5,700.0","1.55M","6.84%"
"08/19/2021","6,190.0","6,510.0","6,510.0","6,050.0","2.20M","1.64%"
"08/20/2021","5,780.0","6,200.0","6,300.0","5,760.0","1.99M","-6.62%"
"08/23/2021","5,600.0","5,630.0","5,780.0","5,560.0","995.20K","-3.11%"
"08/24/2021","5,550.0","5,520.0","5,700.0","5,520.0","874.90K","-0.89%"
"08/25/2021","5,500.0","5,450.0","5,600.0","5,450.0","662.00K","-0.90%"
"08/26/2021","5,510.0","5,500.0","5,650.0","5,500.0","876.40K","0.18%"
"08/27/2021","5,660.0","5,570.0","5,880.0","5,470.0","1.02M","2.72%"
"08/30/2021","5,850.0","5,750.0","5,970.0","5,750.0","1.26M","3.36%"
"08/31/2021","5,850.0","5,930.0","6,000.0","5,850.0","937.90K","0.00%"
"09/01/2021","5,990.0","5,890.0","6,000.0","5,800.0","1.43M","2.39%"
"09/06/2021","6,390.0","6,110.0","6,400.0","6,100.0","2.52M","6.68%"
"09/07/2021","6,200.0","6,390.0","6,650.0","6,150.0","2.81M","-2.97%"
"09/08/2021","6,160.0","6,100.0","6,200.0","6,020.0","1.89M","-0.65%"
"09/09/2021","6,290.0","6,150.0","6,320.0","6,050.0","1.03M","2.11%"
"09/10/2021","6,230.0","6,300.0","6,400.0","6,230.0","814.70K","-0.95%"
"09/13/2021","6,660.0","6,230.0","6,660.0","6,160.0","2.52M","6.90%"
"09/14/2021","7,120.0","7,120.0","7,120.0","6,900.0","4.36M","6.91%"
"09/15/2021","7,080.0","7,400.0","7,400.0","6,800.0","2.03M","-0.56%"
"09/16/2021","6,720.0","6,820.0","7,000.0","6,720.0","2.46M","-5.08%"
"09/17/2021","6,730.0","6,500.0","7,110.0","6,450.0","2.90M","0.15%"
"09/20/2021","6,800.0","6,600.0","7,000.0","6,600.0","1.31M","1.04%"
"09/21/2021","6,900.0","6,610.0","6,900.0","6,610.0","1.75M","1.47%"
"09/22/2021","7,380.0","6,900.0","7,380.0","6,900.0","1.96M","6.96%"
"09/23/2021","7,100.0","7,890.0","7,890.0","7,090.0","4.20M","-3.79%"
"09/24/2021","6,880.0","7,010.0","7,020.0","6,850.0","1.18M","-3.10%"
"09/27/2021","6,550.0","6,720.0","6,880.0","6,530.0","1.82M","-4.80%"
"09/28/2021","6,800.0","6,310.0","6,800.0","6,300.0","1.10M","3.82%"
"09/29/2021","6,700.0","6,800.0","6,810.0","6,670.0","560.70K","-1.47%"
"09/30/2021","6,780.0","6,690.0","6,880.0","6,690.0","576.70K","1.19%"
"10/01/2021","6,660.0","6,770.0","6,780.0","6,630.0","692.80K","-1.77%"
"10/04/2021","7,020.0","6,700.0","7,120.0","6,610.0","1.43M","5.41%"
"10/05/2021","6,970.0","7,020.0","7,150.0","6,890.0","607.00K","-0.71%"
"10/06/2021","6,970.0","6,970.0","7,100.0","6,880.0","742.80K","0.00%"
"10/07/2021","7,090.0","6,970.0","7,200.0","6,960.0","1.08M","1.72%"
"10/08/2021","7,100.0","7,120.0","7,300.0","7,060.0","682.30K","0.14%"
"10/11/2021","7,050.0","7,250.0","7,250.0","7,020.0","586.00K","-0.70%"
"10/12/2021","6,910.0","7,000.0","7,030.0","6,900.0","1.19M","-1.99%"
"10/13/2021","6,910.0","6,910.0","7,000.0","6,870.0","634.90K","0.00%"
"10/14/2021","6,960.0","6,920.0","7,030.0","6,920.0","654.80K","0.72%"
"10/15/2021","7,120.0","6,950.0","7,250.0","6,950.0","1.17M","2.30%"
"10/18/2021","7,500.0","7,130.0","7,580.0","7,130.0","2.54M","5.34%"
"10/19/2021","7,550.0","7,550.0","7,610.0","7,380.0","1.56M","0.67%"
"10/20/2021","8,070.0","7,500.0","8,070.0","7,460.0","3.77M","6.89%"
"10/21/2021","8,050.0","8,450.0","8,450.0","8,000.0","1.25M","-0.25%"
"10/22/2021","8,610.0","8,030.0","8,610.0","7,850.0","2.27M","6.96%"
"10/25/2021","9,200.0","8,630.0","9,210.0","8,630.0","3.82M","6.85%"
"10/26/2021","9,290.0","9,000.0","9,450.0","8,880.0","1.34M","0.98%"
"10/27/2021","9,150.0","9,350.0","9,350.0","9,100.0","1.28M","-1.51%"
"10/28/2021","9,100.0","9,000.0","9,200.0","8,800.0","1.80M","-0.55%"
"10/29/2021","9,730.0","9,100.0","9,730.0","9,080.0","2.53M","6.92%"
"11/01/2021","10,200.0","10,000.0","10,400.0","9,990.0","2.29M","4.83%"
"11/02/2021","10,350.0","10,200.0","10,500.0","10,050.0","1.15M","1.47%"
"11/03/2021","9,630.0","10,200.0","10,500.0","9,630.0","3.17M","-6.96%"
"11/04/2021","9,790.0","9,500.0","9,900.0","9,200.0","1.35M","1.66%"
"11/05/2021","9,800.0","9,800.0","10,150.0","9,800.0","804.50K","0.10%"
"11/08/2021","9,790.0","10,000.0","10,000.0","9,660.0","1.04M","-0.10%"
"11/09/2021","9,630.0","9,660.0","9,770.0","9,600.0","933.20K","-1.63%"
"11/10/2021","9,990.0","9,630.0","10,100.0","9,400.0","1.30M","3.74%"
"11/11/2021","9,960.0","10,150.0","10,150.0","9,800.0","918.90K","-0.30%"
"11/12/2021","10,650.0","9,990.0","10,650.0","9,800.0","1.73M","6.93%"
"11/15/2021","11,200.0","11,200.0","11,350.0","10,700.0","2.48M","5.16%"
"11/16/2021","10,850.0","11,200.0","11,400.0","10,550.0","1.49M","-3.13%"
"11/17/2021","11,450.0","10,550.0","11,500.0","10,550.0","1.53M","5.53%"
"11/18/2021","11,900.0","11,500.0","12,000.0","11,450.0","1.67M","3.93%"
"11/19/2021","12,250.0","12,000.0","12,700.0","11,500.0","2.42M","2.94%"
"11/22/2021","11,700.0","12,250.0","13,000.0","11,700.0","2.43M","-4.49%"
"11/23/2021","12,200.0","11,550.0","12,300.0","11,350.0","1.32M","4.27%"
"11/24/2021","12,000.0","12,500.0","12,800.0","12,000.0","976.10K","-1.64%"
"11/25/2021","11,900.0","12,100.0","12,100.0","11,700.0","1.33M","-0.83%"
"11/26/2021","11,600.0","11,900.0","12,150.0","11,600.0","1.06M","-2.52%"
"11/29/2021","11,100.0","11,100.0","11,500.0","11,100.0","1.13M","-4.31%"
"11/30/2021","11,850.0","11,300.0","11,850.0","11,300.0","1.75M","6.76%"
"12/01/2021","11,900.0","12,250.0","12,250.0","11,500.0","1.18M","0.42%"
"12/02/2021","11,850.0","12,000.0","12,000.0","11,750.0","712.30K","-0.42%"
"12/03/2021","11,300.0","11,850.0","11,850.0","11,200.0","1.07M","-4.64%"
"12/06/2021","10,650.0","11,250.0","11,400.0","10,550.0","1.42M","-5.75%"
"12/07/2021","11,000.0","10,900.0","11,000.0","10,300.0","955.90K","3.29%"
"12/08/2021","10,750.0","11,100.0","11,150.0","10,650.0","712.20K","-2.27%"
"12/09/2021","10,900.0","10,600.0","11,150.0","10,600.0","450.70K","1.40%"
