"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","17,356.2","16,512.7","17,518.4","16,512.7","437.19K","5.73%"
"07/02/2021","17,583.3","17,583.3","17,842.8","17,356.2","248.30K","1.31%"
"07/05/2021","17,291.3","17,518.4","17,583.3","17,129.1","143.39K","-1.66%"
"07/06/2021","16,091.0","17,129.1","17,258.9","16,091.0","233.09K","-6.94%"
"07/07/2021","15,636.8","16,058.5","16,091.0","15,117.7","317.85K","-2.82%"
"07/08/2021","15,571.9","15,604.3","15,831.4","15,312.4","222.30K","-0.42%"
"07/09/2021","15,409.7","15,312.4","15,636.8","15,247.5","103.48K","-1.04%"
"07/12/2021","14,598.7","15,247.5","15,409.7","14,339.1","406.51K","-5.26%"
"07/13/2021","15,117.7","14,598.7","15,182.6","14,598.7","56.55K","3.56%"
"07/14/2021","15,409.7","15,312.4","15,831.4","15,085.3","187.46K","1.93%"
"07/15/2021","15,928.8","15,312.4","16,026.1","15,312.4","40.04K","3.37%"
"07/16/2021","15,928.8","15,831.4","16,155.9","15,669.2","55.90K","0.00%"
"07/19/2021","15,993.6","15,799.0","16,837.1","15,636.8","127.79K","0.41%"
"07/20/2021","16,026.1","16,026.1","16,350.5","15,571.9","168.87K","0.20%"
"07/21/2021","15,896.3","16,220.7","16,220.7","15,669.2","108.03K","-0.81%"
"07/22/2021","15,896.3","15,896.3","15,961.2","15,571.9","201.89K","0.00%"
"07/23/2021","15,896.3","16,026.1","16,091.0","15,701.7","264.03K","0.00%"
"07/26/2021","16,220.7","16,155.9","16,318.1","15,766.6","231.92K","2.04%"
"07/27/2021","16,220.7","16,350.5","16,610.0","16,155.9","106.99K","0.00%"
"07/28/2021","15,993.6","16,188.3","16,220.7","15,734.1","131.30K","-1.40%"
"07/29/2021","16,026.1","15,961.2","16,091.0","15,863.9","145.99K","0.20%"
"07/30/2021","16,026.1","15,961.2","16,285.6","15,863.9","216.06K","0.00%"
"08/02/2021","16,350.5","16,026.1","16,512.7","16,026.1","237.77K","2.02%"
"08/03/2021","17,064.2","16,350.5","17,258.9","16,318.1","326.56K","4.36%"
"08/04/2021","16,869.6","17,064.2","17,226.4","16,837.1","133.77K","-1.14%"
"08/05/2021","16,999.3","16,869.6","17,129.1","16,674.9","191.10K","0.77%"
"08/06/2021","16,804.7","16,934.4","17,129.1","16,739.8","220.09K","-1.14%"
"08/09/2021","16,837.1","16,545.2","16,837.1","16,512.7","194.22K","0.19%"
"08/10/2021","16,739.8","16,999.3","16,999.3","16,512.7","209.56K","-0.58%"
"08/11/2021","16,707.4","16,739.8","16,902.0","16,610.0","209.56K","-0.19%"
"08/12/2021","17,258.9","16,545.2","17,842.8","16,545.2","338.13K","3.30%"
"08/13/2021","16,934.4","17,323.7","17,388.6","16,610.0","145.21K","-1.88%"
"08/16/2021","17,194.0","16,902.0","17,323.7","16,869.6","230.36K","1.53%"
"08/17/2021","18,394.3","17,388.6","18,394.3","17,258.9","1.16M","6.98%"
"08/18/2021","18,556.5","18,751.2","19,270.2","18,491.6","437.19K","0.88%"
"08/19/2021","19,010.7","18,361.9","19,335.1","18,167.2","227.89K","2.45%"
"08/20/2021","17,777.9","18,880.9","18,880.9","17,713.0","624.65K","-6.48%"
"08/23/2021","16,545.2","17,777.9","17,777.9","16,545.2","638.82K","-6.93%"
"08/24/2021","16,545.2","16,804.7","16,837.1","16,382.9","258.44K","0.00%"
"08/25/2021","17,421.1","16,674.9","17,421.1","16,545.2","304.98K","5.29%"
"08/26/2021","17,388.6","17,421.1","17,453.5","17,194.0","187.46K","-0.19%"
"08/27/2021","17,421.1","17,194.0","17,486.0","16,934.4","151.45K","0.19%"
"08/30/2021","17,713.0","17,615.7","18,037.5","17,388.6","276.90K","1.68%"
"08/31/2021","17,972.6","18,361.9","18,491.6","17,875.3","383.11K","1.47%"
"09/01/2021","18,005.0","17,648.2","18,232.1","17,648.2","200.98K","0.18%"
"09/06/2021","18,816.1","18,167.2","18,880.9","18,167.2","600.21K","4.50%"
"09/07/2021","18,426.8","18,945.8","19,108.0","18,394.3","487.37K","-2.07%"
"09/08/2021","18,232.1","18,524.1","18,653.8","18,232.1","393.77K","-1.06%"
"09/09/2021","18,426.8","18,621.4","18,621.4","18,264.5","310.18K","1.07%"
"09/10/2021","19,464.9","18,491.6","19,464.9","18,426.8","636.74K","5.63%"
"09/13/2021","19,075.6","19,335.1","19,335.1","18,816.1","712.01K","-2.00%"
