"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,800.0","10,800.0","10,900.0","10,750.0","7.44M","0.00%"
"07/02/2021","10,650.0","10,800.0","10,900.0","10,600.0","10.91M","-1.39%"
"07/05/2021","10,400.0","10,650.0","10,650.0","10,350.0","13.89M","-2.35%"
"07/06/2021","10,300.0","10,400.0","10,750.0","10,300.0","11.86M","-0.96%"
"07/07/2021","9,990.0","10,300.0","10,350.0","9,800.0","11.64M","-3.01%"
"07/08/2021","9,990.0","9,990.0","10,200.0","9,970.0","5.82M","0.00%"
"07/09/2021","9,300.0","9,950.0","10,050.0","9,300.0","9.73M","-6.91%"
"07/12/2021","8,650.0","9,000.0","9,200.0","8,650.0","14.66M","-6.99%"
"07/13/2021","8,700.0","8,650.0","8,850.0","8,490.0","6.36M","0.58%"
"07/14/2021","8,710.0","8,790.0","9,090.0","8,580.0","5.51M","0.11%"
"07/15/2021","8,960.0","8,720.0","8,990.0","8,700.0","4.74M","2.87%"
"07/16/2021","8,860.0","9,000.0","9,000.0","8,850.0","3.13M","-1.12%"
"07/19/2021","8,240.0","8,600.0","8,600.0","8,240.0","11.68M","-7.00%"
"07/20/2021","8,100.0","8,050.0","8,240.0","7,790.0","8.37M","-1.70%"
"07/21/2021","8,120.0","8,150.0","8,190.0","8,070.0","3.49M","0.25%"
"07/22/2021","8,440.0","8,110.0","8,620.0","8,090.0","4.66M","3.94%"
"07/23/2021","8,250.0","8,350.0","8,450.0","8,250.0","3.69M","-2.25%"
"07/26/2021","8,080.0","7,680.0","8,500.0","7,680.0","41.61M","-2.06%"
"07/27/2021","8,130.0","8,470.0","8,480.0","8,100.0","5.88M","0.62%"
"07/28/2021","7,900.0","8,100.0","8,160.0","7,900.0","3.59M","-2.83%"
"07/29/2021","7,740.0","7,800.0","7,880.0","7,710.0","11.64M","-2.03%"
"07/30/2021","7,750.0","7,760.0","7,880.0","7,720.0","6.17M","0.13%"
"08/02/2021","7,450.0","7,780.0","7,780.0","7,420.0","11.72M","-3.87%"
"08/03/2021","7,120.0","7,450.0","7,450.0","7,010.0","14.97M","-4.43%"
"08/04/2021","7,570.0","7,060.0","7,570.0","7,050.0","9.96M","6.32%"
"08/05/2021","7,770.0","7,600.0","7,930.0","7,480.0","10.29M","2.64%"
"08/06/2021","7,640.0","7,770.0","7,790.0","7,630.0","6.98M","-1.67%"
"08/09/2021","7,600.0","7,550.0","7,600.0","7,410.0","5.30M","-0.52%"
"08/10/2021","7,800.0","7,520.0","7,900.0","7,520.0","8.74M","2.63%"
"08/11/2021","7,670.0","7,750.0","7,890.0","7,630.0","8.46M","-1.67%"
"08/12/2021","7,620.0","7,610.0","7,730.0","7,610.0","5.33M","-0.65%"
"08/13/2021","7,440.0","7,620.0","7,650.0","7,320.0","7.89M","-2.36%"
"08/16/2021","7,410.0","7,410.0","7,500.0","7,400.0","7.06M","-0.40%"
"08/17/2021","7,400.0","7,410.0","7,490.0","7,400.0","5.68M","-0.13%"
"08/18/2021","7,480.0","7,380.0","7,590.0","7,380.0","6.10M","1.08%"
"08/19/2021","7,500.0","7,490.0","7,530.0","7,410.0","5.05M","0.27%"
"08/20/2021","7,200.0","7,500.0","7,500.0","7,110.0","10.14M","-4.00%"
"08/23/2021","6,900.0","7,200.0","7,200.0","6,900.0","8.68M","-4.17%"
"08/24/2021","6,820.0","6,900.0","7,000.0","6,800.0","6.16M","-1.16%"
"08/25/2021","6,710.0","6,820.0","6,820.0","6,700.0","4.62M","-1.61%"
"08/26/2021","6,980.0","6,700.0","7,150.0","6,700.0","5.26M","4.02%"
"08/27/2021","7,300.0","7,100.0","7,350.0","6,910.0","5.57M","4.58%"
"08/30/2021","7,210.0","7,290.0","7,420.0","7,200.0","6.00M","-1.23%"
"08/31/2021","7,110.0","7,210.0","7,270.0","7,110.0","5.06M","-1.39%"
"09/01/2021","7,080.0","7,050.0","7,170.0","7,050.0","4.26M","-0.42%"
"09/06/2021","7,150.0","7,090.0","7,210.0","7,080.0","4.99M","0.99%"
"09/07/2021","6,980.0","7,150.0","7,200.0","6,980.0","6.19M","-2.38%"
"09/08/2021","6,830.0","6,940.0","6,990.0","6,820.0","5.94M","-2.15%"
"09/09/2021","6,890.0","6,800.0","6,930.0","6,760.0","3.53M","0.88%"
"09/10/2021","7,000.0","6,940.0","7,200.0","6,830.0","4.65M","1.60%"
"09/13/2021","7,100.0","6,950.0","7,150.0","6,950.0","4.86M","1.43%"
"09/14/2021","7,030.0","7,100.0","7,180.0","7,030.0","5.13M","-0.99%"
"09/15/2021","7,050.0","7,010.0","7,120.0","7,000.0","4.09M","0.28%"
"09/16/2021","7,070.0","7,050.0","7,120.0","7,040.0","3.94M","0.28%"
"09/17/2021","7,560.0","7,120.0","7,560.0","7,110.0","21.65M","6.93%"
"09/20/2021","8,080.0","8,070.0","8,080.0","7,860.0","8.91M","6.88%"
"09/21/2021","8,140.0","8,100.0","8,400.0","7,860.0","21.54M","0.74%"
"09/22/2021","8,250.0","8,050.0","8,370.0","7,920.0","14.67M","1.35%"
"09/23/2021","7,800.0","8,240.0","8,320.0","7,800.0","12.55M","-5.45%"
"09/24/2021","7,700.0","7,700.0","7,950.0","7,610.0","6.95M","-1.28%"
"09/27/2021","7,200.0","7,680.0","7,750.0","7,200.0","8.58M","-6.49%"
"09/28/2021","7,200.0","7,190.0","7,370.0","7,100.0","4.65M","0.00%"
"09/29/2021","7,200.0","7,210.0","7,340.0","7,150.0","4.41M","0.00%"
"09/30/2021","7,220.0","7,210.0","7,300.0","7,210.0","2.59M","0.28%"
"10/01/2021","7,100.0","7,220.0","7,230.0","7,100.0","3.90M","-1.66%"
"10/04/2021","7,220.0","7,100.0","7,350.0","7,100.0","3.91M","1.69%"
"10/05/2021","7,210.0","7,200.0","7,260.0","7,180.0","3.36M","-0.14%"
"10/06/2021","7,450.0","7,220.0","7,620.0","7,220.0","5.56M","3.33%"
"10/07/2021","7,360.0","7,460.0","7,490.0","7,300.0","3.31M","-1.21%"
"10/08/2021","7,450.0","7,380.0","7,680.0","7,360.0","4.11M","1.22%"
"10/11/2021","7,600.0","7,700.0","7,740.0","7,550.0","5.08M","2.01%"
"10/12/2021","7,490.0","7,600.0","7,650.0","7,470.0","4.63M","-1.45%"
"10/13/2021","7,590.0","7,490.0","7,640.0","7,490.0","3.39M","1.34%"
"10/14/2021","7,740.0","7,540.0","7,920.0","7,540.0","7.40M","1.98%"
"10/15/2021","7,610.0","7,790.0","7,840.0","7,600.0","4.65M","-1.68%"
"10/18/2021","7,540.0","7,620.0","7,740.0","7,540.0","3.50M","-0.92%"
"10/19/2021","7,400.0","7,540.0","7,560.0","7,400.0","4.39M","-1.86%"
"10/20/2021","7,450.0","7,460.0","7,540.0","7,350.0","3.89M","0.68%"
"10/21/2021","7,490.0","7,500.0","7,680.0","7,480.0","3.81M","0.54%"
"10/22/2021","7,490.0","7,580.0","7,650.0","7,480.0","2.92M","0.00%"
"10/25/2021","7,460.0","7,490.0","7,590.0","7,450.0","4.41M","-0.40%"
"10/26/2021","7,400.0","7,460.0","7,480.0","7,360.0","4.40M","-0.80%"
"10/27/2021","7,490.0","7,450.0","7,560.0","7,410.0","4.33M","1.22%"
"10/28/2021","7,630.0","7,500.0","7,680.0","7,500.0","6.62M","1.87%"
"10/29/2021","7,500.0","7,640.0","7,650.0","7,480.0","8.12M","-1.70%"
"11/01/2021","7,860.0","7,550.0","7,990.0","7,540.0","12.05M","4.80%"
"11/02/2021","7,770.0","7,880.0","8,040.0","7,770.0","10.11M","-1.15%"
"11/03/2021","7,570.0","7,780.0","7,850.0","7,570.0","9.39M","-2.57%"
"11/04/2021","7,510.0","7,510.0","7,730.0","7,470.0","5.54M","-0.79%"
"11/05/2021","7,880.0","7,590.0","7,970.0","7,550.0","13.19M","4.93%"
"11/08/2021","8,430.0","8,100.0","8,430.0","8,070.0","20.37M","6.98%"
"11/09/2021","8,570.0","8,700.0","8,790.0","8,450.0","16.59M","1.66%"
"11/10/2021","8,620.0","8,560.0","8,750.0","8,350.0","11.13M","0.58%"
"11/11/2021","8,880.0","8,570.0","8,990.0","8,380.0","20.32M","3.02%"
"11/12/2021","9,180.0","8,880.0","9,180.0","8,700.0","12.52M","3.38%"
"11/15/2021","9,600.0","9,330.0","9,800.0","9,150.0","20.41M","4.58%"
"11/16/2021","9,160.0","9,400.0","9,700.0","9,100.0","15.34M","-4.58%"
"11/17/2021","9,050.0","9,110.0","9,200.0","8,940.0","10.05M","-1.20%"
"11/18/2021","9,250.0","9,060.0","9,400.0","9,060.0","9.64M","2.21%"
"11/19/2021","8,990.0","9,390.0","9,530.0","8,620.0","15.38M","-2.81%"
"11/22/2021","8,370.0","8,990.0","8,990.0","8,370.0","12.87M","-6.90%"
"11/23/2021","8,270.0","8,010.0","8,370.0","8,010.0","6.91M","-1.19%"
"11/24/2021","8,270.0","8,390.0","8,500.0","8,250.0","4.90M","0.00%"
"11/25/2021","8,350.0","8,280.0","8,460.0","8,130.0","7.31M","0.97%"
"11/26/2021","8,250.0","8,490.0","8,490.0","8,180.0","6.42M","-1.20%"
"11/29/2021","8,700.0","7,910.0","8,790.0","7,910.0","8.76M","5.45%"
"11/30/2021","8,820.0","8,950.0","9,100.0","8,700.0","10.27M","1.38%"
"12/01/2021","8,890.0","8,710.0","9,050.0","8,700.0","5.89M","0.79%"
"12/02/2021","9,000.0","8,950.0","9,290.0","8,890.0","9.75M","1.24%"
"12/03/2021","8,600.0","9,000.0","9,150.0","8,600.0","7.79M","-4.44%"
"12/06/2021","8,400.0","8,650.0","8,790.0","8,150.0","7.19M","-2.33%"
"12/07/2021","8,770.0","8,600.0","8,860.0","8,400.0","6.94M","4.40%"
"12/08/2021","9,170.0","8,880.0","9,300.0","8,780.0","15.61M","4.56%"
"12/09/2021","9,810.0","9,180.0","9,810.0","9,000.0","19.47M","6.98%"
"12/10/2021","10,200.0","10,450.0","10,450.0","10,050.0","29.79M","3.98%"
"12/13/2021","10,900.0","10,200.0","10,900.0","10,000.0","21.64M","6.86%"
"12/14/2021","11,200.0","11,100.0","11,500.0","10,700.0","26.08M","2.75%"
"12/15/2021","10,600.0","11,000.0","11,450.0","10,500.0","24.05M","-5.36%"
"12/16/2021","11,150.0","10,500.0","11,250.0","10,450.0","19.28M","5.19%"
"12/17/2021","10,400.0","11,400.0","11,600.0","10,400.0","22.79M","-6.73%"
"12/20/2021","10,700.0","10,100.0","10,750.0","10,100.0","15.18M","2.88%"
"12/21/2021","11,100.0","10,700.0","11,150.0","10,550.0","13.90M","3.74%"
"12/22/2021","11,000.0","11,100.0","11,500.0","11,000.0","22.85M","-0.90%"
"12/23/2021","11,750.0","11,300.0","11,750.0","11,200.0","28.19M","6.82%"
"12/24/2021","12,550.0","12,550.0","12,550.0","12,550.0","7.08M","6.81%"
"12/27/2021","13,400.0","13,400.0","13,400.0","12,800.0","37.62M","6.77%"
"12/28/2021","12,950.0","13,100.0","13,900.0","12,950.0","28.42M","-3.36%"
"12/29/2021","13,650.0","13,000.0","13,850.0","12,700.0","27.94M","5.41%"
"12/30/2021","13,000.0","13,600.0","14,050.0","12,900.0","16.55M","-4.76%"
"12/31/2021","12,250.0","12,900.0","13,050.0","12,200.0","21.48M","-5.77%"
