"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","38,000.0","38,000.0","38,000.0","38,000.0","0.30K","1.47%"
"07/05/2021","38,000.0","38,000.0","38,000.0","38,000.0","0.10K","0.00%"
"07/07/2021","35,350.0","35,350.0","35,350.0","35,350.0","0.20K","-6.97%"
"07/08/2021","37,000.0","32,900.0","37,000.0","32,900.0","1.10K","4.67%"
"07/09/2021","35,000.0","35,000.0","35,000.0","35,000.0","0.10K","-5.41%"
"07/12/2021","32,550.0","32,550.0","34,450.0","32,550.0","0.40K","-7.00%"
"07/13/2021","30,300.0","32,350.0","32,350.0","30,300.0","4.90K","-6.91%"
"07/14/2021","31,000.0","31,000.0","31,000.0","31,000.0","0.20K","2.31%"
"07/15/2021","33,150.0","33,150.0","33,150.0","33,150.0","0.10K","6.94%"
"07/19/2021","30,850.0","30,850.0","30,850.0","30,850.0","0.30K","-6.94%"
"07/22/2021","28,750.0","28,750.0","28,750.0","28,750.0","0.10K","-6.81%"
"07/23/2021","30,750.0","30,750.0","30,750.0","30,750.0","0.10K","6.96%"
"07/27/2021","30,750.0","30,750.0","32,000.0","30,750.0","0.70K","0.00%"
"07/29/2021","32,900.0","32,900.0","32,900.0","32,900.0","0.10K","6.99%"
"07/30/2021","32,900.0","32,900.0","32,900.0","32,900.0","0.50K","0.00%"
"08/04/2021","34,900.0","35,200.0","35,200.0","34,850.0","0.40K","6.08%"
"08/06/2021","37,300.0","32,500.0","37,300.0","32,500.0","0.50K","6.88%"
"08/09/2021","37,300.0","37,300.0","37,300.0","37,300.0","0.60K","0.00%"
"08/10/2021","39,500.0","38,500.0","39,500.0","38,000.0","1.30K","5.90%"
"08/11/2021","37,800.0","37,800.0","37,800.0","37,800.0","0.10K","-4.30%"
"08/12/2021","37,500.0","35,200.0","37,500.0","35,200.0","1.20K","-0.79%"
"08/16/2021","38,000.0","38,000.0","38,000.0","38,000.0","0.60K","1.33%"
"08/17/2021","37,000.0","38,000.0","38,000.0","37,000.0","0.60K","-2.63%"
"08/18/2021","37,000.0","37,000.0","37,000.0","37,000.0","0.50K","0.00%"
"08/23/2021","37,000.0","37,000.0","37,000.0","37,000.0","0.10K","0.00%"
"08/30/2021","37,400.0","37,000.0","37,400.0","37,000.0","0.90K","1.08%"
"09/06/2021","37,400.0","37,400.0","37,400.0","37,400.0","0.80K","0.00%"
"09/08/2021","37,000.0","37,000.0","37,000.0","37,000.0","0.10K","-1.07%"
"09/13/2021","36,950.0","37,000.0","37,000.0","36,950.0","0.80K","-0.14%"
"09/14/2021","35,000.0","34,500.0","35,000.0","34,500.0","3.00K","-5.28%"
"09/15/2021","35,000.0","35,000.0","35,000.0","35,000.0","0.60K","0.00%"
"09/17/2021","35,000.0","34,500.0","35,000.0","34,500.0","0.50K","0.00%"
"09/20/2021","34,000.0","34,000.0","34,000.0","34,000.0","0.20K","-2.86%"
"09/22/2021","34,000.0","34,000.0","34,000.0","34,000.0","0.50K","0.00%"
"09/23/2021","31,800.0","33,000.0","33,000.0","31,800.0","1.50K","-6.47%"
"09/27/2021","32,000.0","31,700.0","32,000.0","31,700.0","0.60K","0.63%"
"10/04/2021","32,000.0","32,000.0","32,000.0","32,000.0","0.70K","0.00%"
"10/05/2021","32,000.0","32,000.0","32,000.0","32,000.0","0.10K","0.00%"
"10/06/2021","34,100.0","33,500.0","34,100.0","33,000.0","0.70K","6.56%"
"10/07/2021","36,400.0","35,500.0","36,400.0","35,500.0","0.30K","6.74%"
"10/08/2021","37,000.0","36,500.0","37,000.0","36,500.0","0.70K","1.65%"
"10/12/2021","36,500.0","36,500.0","36,500.0","36,500.0","0.40K","-1.35%"
"10/13/2021","36,400.0","36,500.0","36,500.0","36,400.0","0.30K","-0.27%"
"10/15/2021","36,400.0","36,400.0","36,400.0","36,400.0","0.20K","0.00%"
"10/18/2021","36,400.0","36,400.0","36,400.0","36,400.0","0.10K","0.00%"
"10/19/2021","36,400.0","36,400.0","36,400.0","36,400.0","0.30K","0.00%"
"10/25/2021","36,400.0","36,400.0","36,400.0","36,400.0","0.50K","0.00%"
"10/26/2021","38,400.0","36,500.0","38,400.0","36,500.0","1.00K","5.49%"
"10/27/2021","38,400.0","38,400.0","38,400.0","38,400.0","0.20K","0.00%"
"10/29/2021","38,000.0","38,000.0","38,000.0","38,000.0","1.20K","-1.04%"
"11/08/2021","37,000.0","37,000.0","37,000.0","37,000.0","0.10K","-2.63%"
"11/09/2021","36,000.0","36,000.0","36,000.0","36,000.0","1.30K","-2.70%"
"11/11/2021","36,000.0","36,000.0","36,000.0","36,000.0","0.30K","0.00%"
"11/15/2021","37,950.0","37,950.0","37,950.0","37,950.0","0.10K","5.42%"
"11/16/2021","36,000.0","36,000.0","36,000.0","36,000.0","0.50K","-5.14%"
"11/17/2021","38,500.0","36,000.0","38,500.0","36,000.0","1.30K","6.94%"
"11/18/2021","38,500.0","38,500.0","38,500.0","38,500.0","0.10K","0.00%"
"11/23/2021","35,900.0","35,900.0","35,900.0","35,900.0","0.10K","-6.75%"
"11/26/2021","38,400.0","38,400.0","38,400.0","38,350.0","0.90K","6.96%"
"11/30/2021","38,500.0","38,450.0","38,500.0","38,450.0","0.50K","0.26%"
"12/01/2021","38,500.0","38,500.0","38,550.0","38,500.0","1.20K","0.00%"
"12/06/2021","35,850.0","35,850.0","35,850.0","35,850.0","0.10K","-6.88%"
"12/09/2021","33,350.0","33,350.0","33,350.0","33,350.0","0.20K","-6.97%"
"12/13/2021","35,650.0","35,650.0","35,650.0","35,650.0","0.10K","6.90%"
"12/14/2021","38,100.0","38,100.0","38,100.0","38,100.0","0.20K","6.87%"
"12/20/2021","38,100.0","38,100.0","38,100.0","38,100.0","0.10K","0.00%"
"12/31/2021","36,000.0","36,000.0","36,000.0","36,000.0","0.30K","-5.51%"
