"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","39,960.3","39,127.8","40,036.0","39,052.1","51.57M","2.52%"
"07/02/2021","39,581.9","40,111.7","40,414.4","39,506.2","39.08M","-0.95%"
"07/05/2021","38,749.4","39,581.9","39,581.9","38,446.7","48.19M","-2.10%"
"07/06/2021","36,327.6","38,673.7","39,506.2","36,327.6","62.68M","-6.25%"
"07/07/2021","37,765.5","37,084.4","37,765.5","36,214.0","52.72M","3.96%"
"07/08/2021","37,084.4","37,765.5","37,916.9","36,781.6","39.82M","-1.80%"
"07/09/2021","35,797.8","36,706.0","37,160.1","34,813.9","60.96M","-3.47%"
"07/12/2021","34,019.2","35,343.7","35,495.0","33,300.3","98.15M","-4.97%"
"07/13/2021","34,435.5","34,435.5","34,813.9","33,716.5","33.15M","1.22%"
"07/14/2021","34,057.1","34,738.2","34,813.9","33,565.1","35.66M","-1.10%"
"07/15/2021","35,192.3","33,754.4","35,457.2","33,754.4","37.11M","3.33%"
"07/16/2021","35,381.5","35,343.7","35,911.3","35,192.3","28.93M","0.54%"
"07/19/2021","33,527.3","34,549.0","34,738.2","33,300.3","51.25M","-5.24%"
"07/20/2021","35,797.8","34,057.1","35,797.8","33,640.8","53.26M","6.77%"
"07/21/2021","35,381.5","35,949.1","36,176.2","35,268.0","27.74M","-1.16%"
"07/22/2021","35,722.1","35,343.7","36,100.5","35,041.0","27.94M","0.96%"
"07/23/2021","34,662.5","35,419.4","35,570.7","34,662.5","37.58M","-2.97%"
"07/26/2021","34,511.2","34,435.5","34,889.6","33,792.2","30.53M","-0.44%"
"07/27/2021","34,965.3","34,813.9","35,419.4","34,586.9","23.67M","1.32%"
"07/28/2021","35,343.7","35,041.0","35,646.4","34,965.3","27.58M","1.08%"
"07/29/2021","35,646.4","35,532.9","36,100.5","35,419.4","42.62M","0.86%"
"07/30/2021","35,797.8","35,646.4","36,024.8","35,646.4","29.92M","0.42%"
"08/02/2021","35,759.9","35,646.4","36,251.9","35,495.0","31.47M","-0.11%"
"08/03/2021","35,759.9","35,797.8","36,062.7","35,381.5","36.79M","0.00%"
"08/04/2021","35,949.1","35,987.0","36,327.6","35,759.9","31.63M","0.53%"
"08/05/2021","36,933.0","35,911.3","37,084.4","35,835.6","38.62M","2.74%"
"08/06/2021","36,630.3","36,781.6","37,160.1","36,554.6","26.13M","-0.82%"
"08/09/2021","37,614.2","36,403.2","37,614.2","36,289.7","39.55M","2.69%"
"08/10/2021","37,387.1","37,916.9","38,219.6","37,160.1","30.31M","-0.60%"
"08/11/2021","37,046.5","37,689.8","37,689.8","37,046.5","28.46M","-0.91%"
"08/12/2021","36,630.3","37,008.7","37,084.4","36,630.3","28.01M","-1.12%"
"08/13/2021","36,819.5","36,630.3","36,857.3","36,100.5","33.55M","0.52%"
"08/16/2021","37,425.0","37,084.4","37,462.8","37,046.5","28.89M","1.64%"
"08/17/2021","38,143.9","37,576.3","38,522.3","37,538.5","59.13M","1.92%"
"08/18/2021","38,143.9","38,219.6","38,522.3","37,765.5","26.21M","0.00%"
"08/19/2021","38,522.3","38,295.3","38,825.1","38,143.9","35.76M","0.99%"
"08/20/2021","37,084.4","38,446.7","38,598.0","36,478.9","64.13M","-3.73%"
"08/23/2021","35,949.1","37,084.4","37,084.4","35,949.1","42.67M","-3.06%"
"08/24/2021","36,138.3","36,024.8","36,516.8","35,949.1","28.51M","0.53%"
"08/25/2021","36,630.3","36,289.7","36,706.0","35,873.5","21.32M","1.36%"
"08/26/2021","36,100.5","36,781.6","36,781.6","35,987.0","18.02M","-1.45%"
"08/27/2021","36,024.8","35,949.1","36,214.0","35,381.5","31.84M","-0.21%"
"08/30/2021","36,857.3","36,327.6","36,895.2","36,062.7","22.11M","2.31%"
"08/31/2021","37,311.4","37,084.4","37,614.2","36,933.0","33.63M","1.23%"
"09/01/2021","37,235.7","37,084.4","37,500.6","37,008.7","19.59M","-0.20%"
"09/06/2021","38,749.4","37,462.8","38,900.8","37,387.1","62.53M","4.07%"
"09/07/2021","38,371.0","39,052.1","39,354.9","38,295.3","40.62M","-0.98%"
"09/08/2021","38,825.1","38,371.0","39,279.2","38,143.9","42.95M","1.18%"
"09/09/2021","39,279.2","39,052.1","39,657.6","38,976.4","47.73M","1.17%"
"09/10/2021","38,976.4","39,354.9","39,506.2","38,900.8","22.38M","-0.77%"
"09/13/2021","38,446.7","38,976.4","38,976.4","38,371.0","35.40M","-1.36%"
"09/14/2021","38,068.3","38,446.7","38,598.0","37,992.6","29.16M","-0.98%"
"09/15/2021","39,052.1","37,916.9","39,354.9","37,765.5","33.68M","2.58%"
"09/16/2021","38,825.1","39,354.9","39,581.9","38,825.1","23.38M","-0.58%"
"09/17/2021","39,203.5","38,900.8","39,354.9","38,825.1","31.91M","0.97%"
"09/20/2021","38,825.1","39,657.6","39,657.6","38,522.3","42.03M","-0.97%"
"09/21/2021","38,446.7","38,295.3","38,749.4","37,992.6","37.50M","-0.97%"
"09/22/2021","38,522.3","38,446.7","38,673.7","38,295.3","17.09M","0.20%"
"09/23/2021","38,598.0","38,825.1","39,279.2","38,522.3","23.11M","0.20%"
"09/24/2021","38,446.7","38,598.0","39,127.8","38,371.0","20.65M","-0.39%"
"09/27/2021","38,446.7","38,900.8","39,354.9","38,446.7","37.01M","0.00%"
"09/28/2021","39,808.9","38,295.3","39,884.6","38,295.3","46.29M","3.54%"
"09/29/2021","40,338.7","39,884.6","40,565.8","39,808.9","45.37M","1.33%"
"09/30/2021","40,036.0","40,641.5","40,641.5","39,960.3","30.09M","-0.75%"
"10/01/2021","40,414.4","40,036.0","40,641.5","39,884.6","39.62M","0.95%"
"10/04/2021","42,003.7","40,792.8","42,306.5","40,792.8","58.96M","3.93%"
"10/05/2021","41,852.4","42,003.7","42,306.5","41,701.0","34.54M","-0.36%"
"10/06/2021","42,457.8","42,230.8","42,609.2","41,928.1","34.80M","1.45%"
"10/07/2021","42,079.4","42,684.9","42,911.9","42,003.7","34.80M","-0.89%"
"10/08/2021","42,155.1","42,230.8","42,533.5","41,776.7","28.20M","0.18%"
