"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","30,173.9","30,173.9","30,173.9","29,565.2","613.30K","0.00%"
"07/02/2021","29,652.2","30,173.9","30,173.9","29,565.2","1.51M","-1.73%"
"07/05/2021","29,652.2","29,782.6","30,000.0","29,478.3","631.47K","0.00%"
"07/06/2021","29,739.1","29,695.6","29,826.1","29,304.3","591.56K","0.29%"
"07/07/2021","27,826.1","29,695.6","29,695.6","27,826.1","323.50K","-6.43%"
"07/08/2021","28,260.9","27,826.1","28,869.6","26,956.5","665.74K","1.56%"
"07/09/2021","28,782.6","28,260.9","28,782.6","27,826.1","501.29K","1.85%"
"07/12/2021","27,652.2","28,782.6","28,782.6","26,782.6","342.70K","-3.93%"
"07/13/2021","27,000.0","27,652.2","27,739.1","26,956.5","573.62K","-2.36%"
"07/14/2021","27,869.6","26,869.6","27,869.6","26,087.0","514.17K","3.22%"
"07/15/2021","27,913.0","27,826.1","28,434.8","27,391.3","460.35K","0.16%"
"07/16/2021","28,260.9","27,913.0","28,260.9","27,347.8","455.75K","1.25%"
"07/19/2021","26,782.6","28,260.9","28,260.9","26,782.6","236.21K","-5.23%"
"07/20/2021","28,173.9","26,956.5","28,173.9","25,652.2","382.38K","5.19%"
"07/21/2021","27,826.1","27,478.3","28,086.9","27,391.3","421.13K","-1.23%"
"07/22/2021","27,391.3","27,782.6","27,782.6","26,260.9","409.52K","-1.56%"
"07/23/2021","26,521.7","27,304.3","27,304.3","26,521.7","414.46K","-3.17%"
"07/26/2021","26,869.6","24,869.6","26,956.5","24,869.6","415.50K","1.31%"
"07/27/2021","27,000.0","26,869.6","27,173.9","26,695.6","318.44K","0.49%"
"07/28/2021","26,739.1","27,000.0","27,000.0","26,608.7","133.86K","-0.97%"
"07/29/2021","26,173.9","26,782.6","26,782.6","26,130.4","47.73K","-2.11%"
"07/30/2021","26,087.0","26,608.7","26,608.7","26,043.5","64.63K","-0.33%"
"08/02/2021","27,130.4","26,087.0","27,130.4","25,304.3","383.07K","4.00%"
"08/03/2021","27,130.4","27,130.4","27,391.3","26,434.8","361.91K","0.00%"
"08/04/2021","26,739.1","27,130.4","27,130.4","26,087.0","361.56K","-1.44%"
"08/05/2021","26,956.5","26,739.1","26,956.5","25,652.2","387.32K","0.81%"
"08/06/2021","26,260.9","26,956.5","27,391.3","26,217.4","261.74K","-2.58%"
"08/09/2021","27,565.2","26,521.7","27,565.2","26,087.0","400.43K","4.97%"
"08/10/2021","29,304.3","27,565.2","29,304.3","27,565.2","462.65K","6.31%"
"08/11/2021","28,347.8","29,304.3","29,478.3","28,260.9","433.32K","-3.26%"
"08/12/2021","28,565.2","28,347.8","29,043.5","27,739.1","415.38K","0.77%"
"08/13/2021","28,347.8","28,478.3","28,521.7","28,173.9","379.50K","-0.76%"
"08/16/2021","29,739.1","28,347.8","29,739.1","28,173.9","1.17M","4.91%"
"08/17/2021","28,913.0","29,826.1","29,826.1","28,782.6","412.74K","-2.78%"
"08/18/2021","29,304.3","28,913.0","29,565.2","28,695.6","414.12K","1.35%"
"08/19/2021","30,434.8","29,304.3","30,434.8","29,304.3","549.70K","3.86%"
"08/20/2021","29,826.1","30,434.8","30,434.8","29,478.3","407.22K","-2.00%"
"08/23/2021","31,304.3","29,739.1","31,304.3","28,608.7","467.94K","4.96%"
"08/24/2021","31,478.3","29,565.2","31,478.3","29,565.2","399.63K","0.56%"
"08/25/2021","32,608.7","31,391.3","32,608.7","30,000.0","307.40K","3.59%"
"08/26/2021","34,347.8","32,173.9","34,347.8","32,173.9","379.04K","5.33%"
"08/27/2021","35,652.2","33,913.0","35,652.2","33,478.3","286.01K","3.80%"
"08/30/2021","36,086.9","35,652.2","36,086.9","34,347.8","176.76K","1.22%"
"08/31/2021","37,434.8","35,652.2","37,434.8","35,217.4","167.21K","3.74%"
"09/01/2021","37,434.8","37,434.8","37,478.3","36,565.2","285.89K","0.00%"
"09/06/2021","37,450.0","37,600.0","38,900.0","37,300.0","257.20K","0.04%"
"09/07/2021","35,050.0","37,350.0","37,350.0","34,850.0","154.00K","-6.41%"
"09/08/2021","32,750.0","33,500.0","34,000.0","32,700.0","314.70K","-6.56%"
"09/09/2021","32,750.0","32,000.0","32,750.0","31,500.0","434.70K","0.00%"
"09/10/2021","34,900.0","32,750.0","35,000.0","32,750.0","690.30K","6.56%"
"09/13/2021","34,150.0","34,900.0","35,000.0","34,150.0","313.20K","-2.15%"
"09/14/2021","34,150.0","34,150.0","34,500.0","32,600.0","434.20K","0.00%"
"09/15/2021","33,150.0","33,000.0","34,150.0","32,200.0","348.20K","-2.93%"
"09/16/2021","34,000.0","32,700.0","34,000.0","32,500.0","342.70K","2.56%"
"09/17/2021","33,650.0","34,000.0","34,250.0","32,600.0","282.70K","-1.03%"
"09/20/2021","32,000.0","33,650.0","33,650.0","32,000.0","221.10K","-4.90%"
"09/21/2021","30,550.0","30,500.0","32,000.0","30,500.0","410.10K","-4.53%"
"09/22/2021","31,700.0","30,950.0","32,500.0","30,600.0","535.80K","3.76%"
"09/23/2021","32,500.0","31,700.0","32,700.0","31,700.0","325.80K","2.52%"
"09/24/2021","32,500.0","32,500.0","32,500.0","31,500.0","429.00K","0.00%"
"09/27/2021","30,800.0","32,200.0","32,200.0","30,500.0","692.60K","-5.23%"
"09/28/2021","31,000.0","30,800.0","31,000.0","30,600.0","673.40K","0.65%"
"09/29/2021","32,700.0","31,000.0","32,700.0","31,000.0","789.50K","5.48%"
"09/30/2021","32,000.0","32,650.0","32,950.0","31,650.0","377.40K","-2.14%"
"10/01/2021","30,300.0","32,000.0","32,000.0","30,000.0","334.80K","-5.31%"
"10/04/2021","30,300.0","30,500.0","31,500.0","30,300.0","460.80K","0.00%"
"10/05/2021","30,450.0","30,500.0","31,000.0","30,400.0","447.40K","0.50%"
"10/06/2021","30,500.0","30,500.0","30,600.0","30,000.0","421.20K","0.16%"
"10/07/2021","31,550.0","30,500.0","32,150.0","30,500.0","560.00K","3.44%"
"10/08/2021","32,500.0","31,550.0","32,500.0","31,550.0","709.50K","3.01%"
"10/11/2021","32,800.0","32,600.0","33,750.0","32,500.0","926.80K","0.92%"
"10/12/2021","32,100.0","32,800.0","32,800.0","31,300.0","535.30K","-2.13%"
"10/13/2021","31,100.0","32,100.0","33,500.0","31,000.0","446.50K","-3.12%"
"10/14/2021","31,700.0","31,100.0","32,200.0","31,000.0","515.30K","1.93%"
"10/15/2021","30,700.0","31,700.0","31,750.0","30,700.0","454.90K","-3.15%"
"10/18/2021","30,700.0","30,500.0","31,000.0","30,300.0","482.20K","0.00%"
"10/19/2021","31,000.0","30,700.0","31,100.0","30,500.0","495.60K","0.98%"
"10/20/2021","31,450.0","31,000.0","31,900.0","30,500.0","621.40K","1.45%"
"10/21/2021","31,500.0","31,450.0","31,950.0","30,900.0","532.40K","0.16%"
"10/22/2021","31,000.0","31,450.0","31,900.0","31,000.0","557.40K","-1.59%"
"10/25/2021","31,800.0","31,300.0","31,800.0","30,800.0","714.00K","2.58%"
"10/26/2021","33,050.0","31,600.0","33,100.0","31,500.0","791.60K","3.93%"
"10/27/2021","34,600.0","33,050.0","34,600.0","33,000.0","977.50K","4.69%"
"10/28/2021","33,100.0","34,600.0","35,000.0","33,100.0","614.60K","-4.34%"
"10/29/2021","33,150.0","33,100.0","34,100.0","32,700.0","801.40K","0.15%"
"11/01/2021","34,000.0","33,150.0","34,500.0","33,150.0","876.60K","2.56%"
"11/02/2021","36,150.0","34,000.0","36,300.0","33,800.0","936.00K","6.32%"
"11/03/2021","33,900.0","35,450.0","36,150.0","33,900.0","603.30K","-6.22%"
"11/04/2021","33,300.0","33,800.0","33,900.0","33,000.0","458.40K","-1.77%"
"11/05/2021","33,300.0","33,400.0","34,000.0","33,300.0","577.00K","0.00%"
"11/08/2021","33,700.0","33,400.0","34,150.0","33,200.0","682.10K","1.20%"
"11/09/2021","34,000.0","33,800.0","34,500.0","33,600.0","792.90K","0.89%"
"11/10/2021","35,500.0","33,900.0","35,700.0","33,900.0","1.07M","4.41%"
"11/11/2021","36,800.0","35,500.0","36,900.0","35,500.0","1.19M","3.66%"
"11/12/2021","36,000.0","36,800.0","36,850.0","35,450.0","697.40K","-2.17%"
"11/15/2021","36,550.0","36,050.0","37,300.0","36,000.0","1.46M","1.53%"
"11/16/2021","34,950.0","36,000.0","36,600.0","34,500.0","809.40K","-4.38%"
"11/17/2021","34,500.0","34,500.0","35,500.0","34,000.0","890.20K","-1.29%"
"11/18/2021","36,900.0","34,500.0","36,900.0","34,350.0","1.74M","6.96%"
"11/19/2021","37,000.0","37,200.0","38,900.0","34,350.0","1.34M","0.27%"
"11/22/2021","35,800.0","36,900.0","38,500.0","35,800.0","1.21M","-3.24%"
"11/23/2021","36,000.0","35,700.0","36,000.0","34,750.0","785.90K","0.56%"
"11/24/2021","35,800.0","36,050.0","36,550.0","35,500.0","759.10K","-0.56%"
"11/25/2021","38,300.0","35,800.0","38,300.0","35,800.0","1.83M","6.98%"
"11/26/2021","40,000.0","39,000.0","40,500.0","39,000.0","1.28M","4.44%"
"11/29/2021","39,950.0","39,900.0","40,500.0","38,600.0","1.14M","-0.13%"
"11/30/2021","38,350.0","39,950.0","40,200.0","38,350.0","1.16M","-4.01%"
"12/01/2021","39,350.0","38,400.0","39,900.0","38,350.0","1.44M","2.61%"
"12/02/2021","39,250.0","39,350.0","39,600.0","39,100.0","1.02M","-0.25%"
"12/03/2021","36,900.0","39,300.0","40,000.0","36,900.0","1.29M","-5.99%"
"12/06/2021","34,350.0","36,800.0","37,300.0","34,350.0","1.80M","-6.91%"
"12/07/2021","35,000.0","34,350.0","35,650.0","33,900.0","1.27M","1.89%"
"12/08/2021","35,100.0","35,050.0","36,000.0","34,300.0","1.34M","0.29%"
"12/09/2021","35,650.0","35,100.0","35,800.0","35,000.0","1.10M","1.57%"
"12/10/2021","34,400.0","35,650.0","36,500.0","34,000.0","1.07M","-3.51%"
"12/13/2021","35,400.0","34,500.0","35,600.0","34,400.0","1.37M","2.91%"
"12/14/2021","35,800.0","35,450.0","36,700.0","35,450.0","1.12M","1.13%"
"12/15/2021","34,500.0","35,800.0","36,000.0","33,300.0","642.50K","-3.63%"
"12/16/2021","35,050.0","34,600.0","35,500.0","34,600.0","1.20M","1.59%"
"12/17/2021","35,800.0","34,850.0","36,100.0","34,700.0","1.25M","2.14%"
"12/20/2021","34,500.0","35,850.0","36,300.0","34,500.0","1.03M","-3.63%"
"12/21/2021","34,450.0","34,500.0","34,500.0","33,900.0","1.39M","-0.14%"
"12/22/2021","34,900.0","34,600.0","35,400.0","34,300.0","1.84M","1.31%"
"12/23/2021","32,700.0","34,950.0","35,200.0","32,650.0","1.09M","-6.30%"
"12/24/2021","34,400.0","32,000.0","34,750.0","32,000.0","1.93M","5.20%"
"12/27/2021","33,900.0","34,400.0","35,000.0","33,500.0","563.20K","-1.45%"
"12/28/2021","33,800.0","34,000.0","34,450.0","33,500.0","534.20K","-0.29%"
"12/29/2021","33,400.0","33,900.0","33,950.0","32,750.0","418.70K","-1.18%"
"12/30/2021","33,100.0","33,400.0","33,750.0","32,700.0","409.80K","-0.90%"
"12/31/2021","33,300.0","33,000.0","33,850.0","33,000.0","384.70K","0.60%"
