"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","3,750.00","3,840.00","3,850.00","3,750.00","12.79M","-2.34%"
"07/02/2021","3,830.00","3,790.00","3,840.00","3,750.00","7.89M","2.13%"
"07/05/2021","3,690.00","3,830.00","3,830.00","3,670.00","11.17M","-3.66%"
"07/06/2021","3,440.00","3,720.00","3,750.00","3,440.00","11.35M","-6.78%"
"07/07/2021","3,420.00","3,440.00","3,540.00","3,300.00","10.65M","-0.58%"
"07/08/2021","3,470.00","3,420.00","3,550.00","3,400.00","7.22M","1.46%"
"07/09/2021","3,240.00","3,470.00","3,520.00","3,240.00","10.16M","-6.63%"
"07/12/2021","3,020.00","3,200.00","3,240.00","3,020.00","11.25M","-6.79%"
"07/13/2021","3,230.00","3,000.00","3,230.00","2,970.00","11.13M","6.95%"
"07/14/2021","3,120.00","3,250.00","3,390.00","3,100.00","7.45M","-3.41%"
"07/15/2021","3,200.00","3,120.00","3,280.00","3,110.00","4.03M","2.56%"
"07/16/2021","3,220.00","3,200.00","3,260.00","3,190.00","5.65M","0.63%"
"07/19/2021","3,000.00","3,100.00","3,190.00","3,000.00","11.24M","-6.83%"
"07/20/2021","3,100.00","3,000.00","3,150.00","2,930.00","8.64M","3.33%"
"07/21/2021","3,040.00","3,150.00","3,150.00","3,040.00","4.09M","-1.94%"
"07/22/2021","3,150.00","3,050.00","3,190.00","3,040.00","6.38M","3.62%"
"07/23/2021","3,080.00","3,100.00","3,150.00","3,060.00","4.73M","-2.22%"
"07/26/2021","3,100.00","3,040.00","3,140.00","3,020.00","6.01M","0.65%"
"07/27/2021","3,130.00","3,120.00","3,200.00","3,120.00","7.33M","0.97%"
"07/28/2021","3,120.00","3,140.00","3,150.00","3,080.00","4.77M","-0.32%"
"07/29/2021","3,170.00","3,130.00","3,190.00","3,120.00","3.83M","1.60%"
"07/30/2021","3,170.00","3,170.00","3,190.00","3,160.00","7.08M","0.00%"
"08/02/2021","3,230.00","3,120.00","3,280.00","3,120.00","9.45M","1.89%"
"08/03/2021","3,210.00","3,260.00","3,280.00","3,200.00","4.99M","-0.62%"
"08/04/2021","3,250.00","3,220.00","3,280.00","3,210.00","8.37M","1.25%"
"08/05/2021","3,470.00","3,250.00","3,470.00","3,210.00","9.54M","6.77%"
"08/06/2021","3,510.00","3,620.00","3,640.00","3,470.00","13.59M","1.15%"
"08/09/2021","3,470.00","3,430.00","3,510.00","3,400.00","6.93M","-1.14%"
"08/10/2021","3,440.00","3,470.00","3,530.00","3,430.00","7.14M","-0.86%"
"08/11/2021","3,420.00","3,420.00","3,520.00","3,420.00","7.23M","-0.58%"
"08/12/2021","3,480.00","3,420.00","3,520.00","3,370.00","9.29M","1.75%"
"08/13/2021","3,400.00","3,480.00","3,540.00","3,350.00","7.04M","-2.30%"
"08/16/2021","3,400.00","3,390.00","3,480.00","3,390.00","6.75M","0.00%"
"08/17/2021","3,500.00","3,420.00","3,600.00","3,420.00","12.48M","2.94%"
"08/18/2021","3,430.00","3,490.00","3,530.00","3,430.00","4.73M","-2.00%"
"08/19/2021","3,470.00","3,440.00","3,530.00","3,430.00","5.75M","1.17%"
"08/20/2021","3,410.00","3,490.00","3,640.00","3,380.00","18.67M","-1.73%"
"08/23/2021","3,290.00","3,400.00","3,450.00","3,290.00","8.25M","-3.52%"
"08/24/2021","3,180.00","3,330.00","3,390.00","3,170.00","8.15M","-3.34%"
"08/25/2021","3,150.00","3,170.00","3,220.00","3,060.00","9.06M","-0.94%"
"08/26/2021","3,140.00","3,180.00","3,220.00","3,140.00","5.34M","-0.32%"
"08/27/2021","3,170.00","3,140.00","3,190.00","3,110.00","4.52M","0.96%"
"08/30/2021","3,260.00","3,210.00","3,300.00","3,180.00","6.20M","2.84%"
"08/31/2021","3,370.00","3,260.00","3,480.00","3,220.00","10.91M","3.37%"
"09/01/2021","3,370.00","3,390.00","3,460.00","3,350.00","5.03M","0.00%"
"09/06/2021","3,550.00","3,400.00","3,600.00","3,380.00","16.43M","5.34%"
"09/07/2021","3,390.00","3,570.00","3,570.00","3,380.00","10.70M","-4.51%"
"09/08/2021","3,370.00","3,370.00","3,420.00","3,330.00","4.46M","-0.59%"
"09/09/2021","3,360.00","3,350.00","3,380.00","3,300.00","8.08M","-0.30%"
"09/10/2021","3,360.00","3,380.00","3,420.00","3,350.00","5.28M","0.00%"
"09/13/2021","3,360.00","3,400.00","3,440.00","3,360.00","6.03M","0.00%"
"09/14/2021","3,590.00","3,400.00","3,590.00","3,380.00","31.96M","6.85%"
"09/15/2021","3,650.00","3,820.00","3,840.00","3,600.00","22.06M","1.67%"
"09/16/2021","3,600.00","3,700.00","3,740.00","3,600.00","7.96M","-1.37%"
"09/17/2021","3,610.00","3,560.00","3,670.00","3,480.00","13.41M","0.28%"
"09/20/2021","3,840.00","3,640.00","3,860.00","3,560.00","32.82M","6.37%"
"09/21/2021","3,910.00","3,700.00","4,000.00","3,700.00","19.13M","1.82%"
"09/22/2021","4,180.00","4,030.00","4,180.00","4,030.00","21.90M","6.91%"
"09/23/2021","3,890.00","4,430.00","4,440.00","3,890.00","39.39M","-6.94%"
"09/24/2021","3,740.00","3,880.00","3,880.00","3,690.00","15.68M","-3.86%"
"09/27/2021","3,510.00","3,710.00","3,880.00","3,510.00","15.50M","-6.15%"
"09/28/2021","3,630.00","3,510.00","3,670.00","3,420.00","11.18M","3.42%"
"09/29/2021","3,520.00","3,590.00","3,600.00","3,500.00","8.68M","-3.03%"
"09/30/2021","3,530.00","3,550.00","3,600.00","3,520.00","5.79M","0.28%"
"10/01/2021","3,490.00","3,530.00","3,600.00","3,480.00","9.00M","-1.13%"
"10/04/2021","3,530.00","3,490.00","3,590.00","3,470.00","8.68M","1.15%"
"10/05/2021","3,570.00","3,550.00","3,620.00","3,540.00","5.88M","1.13%"
"10/06/2021","3,810.00","3,580.00","3,810.00","3,580.00","16.17M","6.72%"
"10/07/2021","3,900.00","3,890.00","4,040.00","3,850.00","16.66M","2.36%"
"10/08/2021","3,800.00","3,990.00","4,040.00","3,800.00","11.60M","-2.56%"
"10/11/2021","3,820.00","3,820.00","3,900.00","3,810.00","9.76M","0.53%"
"10/12/2021","3,870.00","3,860.00","4,000.00","3,820.00","9.14M","1.31%"
"10/13/2021","3,920.00","3,870.00","3,990.00","3,860.00","11.74M","1.29%"
"10/14/2021","4,070.00","3,960.00","4,130.00","3,940.00","17.26M","3.83%"
"10/15/2021","4,110.00","4,150.00","4,250.00","4,070.00","17.45M","0.98%"
"10/18/2021","4,120.00","4,160.00","4,250.00","4,040.00","18.53M","0.24%"
"10/19/2021","4,150.00","4,130.00","4,240.00","4,070.00","11.93M","0.73%"
"10/20/2021","4,440.00","4,200.00","4,440.00","4,150.00","39.45M","6.99%"
"10/21/2021","4,750.00","4,750.00","4,750.00","4,680.00","20.31M","6.98%"
"10/22/2021","4,570.00","4,800.00","4,960.00","4,450.00","38.20M","-3.79%"
"10/25/2021","4,750.00","4,500.00","4,750.00","4,400.00","32.26M","3.94%"
"10/26/2021","5,080.00","4,740.00","5,080.00","4,650.00","32.86M","6.95%"
"10/27/2021","5,190.00","5,200.00","5,400.00","5,080.00","25.11M","2.17%"
"10/28/2021","5,000.00","5,100.00","5,200.00","5,000.00","23.52M","-3.66%"
"10/29/2021","5,350.00","5,100.00","5,350.00","5,070.00","30.09M","7.00%"
"11/01/2021","5,690.00","5,500.00","5,720.00","5,500.00","34.06M","6.36%"
"11/02/2021","5,800.00","5,610.00","5,980.00","5,530.00","26.66M","1.93%"
"11/03/2021","5,400.00","5,890.00","5,890.00","5,400.00","42.85M","-6.90%"
"11/04/2021","5,260.00","5,050.00","5,390.00","5,030.00","34.93M","-2.59%"
"11/05/2021","5,450.00","5,260.00","5,450.00","5,010.00","26.14M","3.61%"
"11/08/2021","5,480.00","5,450.00","5,650.00","5,400.00","19.25M","0.55%"
"11/09/2021","5,260.00","5,460.00","5,480.00","5,220.00","21.39M","-4.01%"
"11/10/2021","5,330.00","5,250.00","5,430.00","5,210.00","19.14M","1.33%"
"11/11/2021","5,450.00","5,400.00","5,650.00","5,320.00","25.57M","2.25%"
"11/12/2021","5,830.00","5,600.00","5,830.00","5,540.00","34.53M","6.97%"
"11/15/2021","6,230.00","6,230.00","6,230.00","6,080.00","22.11M","6.86%"
"11/16/2021","6,000.00","5,950.00","6,250.00","5,800.00","42.17M","-3.69%"
"11/17/2021","6,410.00","5,810.00","6,420.00","5,810.00","29.52M","6.83%"
"11/18/2021","6,850.00","6,500.00","6,850.00","6,420.00","31.19M","6.86%"
"11/19/2021","6,900.00","7,140.00","7,300.00","6,400.00","39.66M","0.73%"
"11/22/2021","6,420.00","6,800.00","6,900.00","6,420.00","29.06M","-6.96%"
"11/23/2021","6,100.00","6,000.00","6,300.00","5,980.00","26.56M","-4.98%"
"11/24/2021","6,140.00","6,290.00","6,350.00","6,110.00","14.29M","0.66%"
"11/25/2021","6,290.00","6,050.00","6,400.00","5,950.00","16.53M","2.44%"
"11/26/2021","6,110.00","6,400.00","6,400.00","6,000.00","17.92M","-2.86%"
"11/29/2021","6,400.00","5,820.00","6,500.00","5,820.00","23.05M","4.75%"
"11/30/2021","6,480.00","6,700.00","6,800.00","6,320.00","26.64M","1.25%"
"12/01/2021","6,650.00","6,400.00","6,690.00","6,400.00","17.69M","2.62%"
"12/02/2021","6,870.00","6,700.00","7,000.00","6,560.00","25.49M","3.31%"
"12/03/2021","6,700.00","6,980.00","7,190.00","6,700.00","28.32M","-2.47%"
"12/06/2021","6,310.00","6,690.00","6,840.00","6,240.00","21.56M","-5.82%"
"12/07/2021","6,660.00","6,410.00","6,660.00","6,260.00","18.21M","5.55%"
"12/08/2021","6,660.00","6,660.00","6,880.00","6,640.00","20.95M","0.00%"
"12/09/2021","6,730.00","6,690.00","6,750.00","6,570.00","16.36M","1.05%"
"12/10/2021","6,810.00","6,730.00","6,900.00","6,670.00","19.17M","1.19%"
"12/13/2021","7,280.00","6,900.00","7,280.00","6,860.00","24.00M","6.90%"
"12/14/2021","7,700.00","7,700.00","7,780.00","7,510.00","50.18M","5.77%"
"12/15/2021","8,050.00","7,680.00","8,190.00","7,560.00","27.29M","4.55%"
"12/16/2021","8,600.00","8,000.00","8,600.00","7,900.00","26.61M","6.83%"
"12/17/2021","8,000.00","8,750.00","8,800.00","8,000.00","42.99M","-6.98%"
"12/20/2021","8,260.00","8,100.00","8,300.00","7,800.00","28.48M","3.25%"
"12/21/2021","8,600.00","8,260.00","8,780.00","8,010.00","19.60M","4.12%"
"12/22/2021","9,100.00","8,560.00","9,170.00","8,560.00","29.42M","5.81%"
"12/23/2021","9,070.00","9,200.00","9,240.00","8,500.00","38.49M","-0.33%"
"12/24/2021","8,800.00","9,070.00","9,250.00","8,650.00","19.11M","-2.98%"
"12/27/2021","9,180.00","8,900.00","9,240.00","8,390.00","25.91M","4.32%"
"12/28/2021","9,560.00","9,350.00","9,700.00","9,200.00","24.39M","4.14%"
"12/29/2021","9,380.00","9,700.00","9,700.00","9,300.00","14.88M","-1.88%"
"12/30/2021","9,060.00","9,300.00","9,300.00","9,040.00","20.90M","-3.41%"
"12/31/2021","8,800.00","9,060.00","9,230.00","8,600.00","19.86M","-2.87%"
