"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","66,300.0","60,000.0","66,300.0","60,000.0","54.50K","6.94%"
"07/02/2021","62,000.0","62,000.0","62,000.0","62,000.0","0.30K","-6.49%"
"07/06/2021","62,000.0","62,000.0","62,000.0","62,000.0","0.30K","0.00%"
"07/08/2021","60,000.0","60,000.0","60,000.0","60,000.0","0.10K","-3.23%"
"07/20/2021","64,200.0","59,000.0","64,200.0","59,000.0","0.40K","7.00%"
"07/28/2021","60,000.0","60,000.0","60,000.0","60,000.0","1.50K","-6.54%"
"08/16/2021","60,000.0","60,000.0","60,000.0","60,000.0","0.50K","0.00%"
"08/18/2021","59,900.0","59,900.0","59,900.0","59,900.0","0.20K","-0.17%"
"08/19/2021","59,000.0","59,900.0","59,900.0","59,000.0","0.30K","-1.50%"
"08/25/2021","58,900.0","58,900.0","58,900.0","58,900.0","0.10K","-0.17%"
"08/26/2021","63,000.0","63,000.0","63,000.0","63,000.0","0.10K","6.96%"
"08/27/2021","63,000.0","63,000.0","63,000.0","63,000.0","0.30K","0.00%"
"08/31/2021","67,200.0","58,600.0","67,200.0","58,600.0","0.30K","6.67%"
"09/21/2021","62,500.0","62,500.0","62,500.0","62,500.0","0.20K","-6.99%"
"09/22/2021","66,600.0","59,100.0","66,600.0","59,100.0","0.30K","6.56%"
"09/23/2021","62,000.0","62,000.0","62,000.0","62,000.0","0.20K","-6.91%"
"09/24/2021","66,300.0","57,700.0","66,300.0","57,700.0","0.60K","6.94%"
"09/27/2021","66,200.0","66,200.0","66,200.0","66,200.0","0.20K","-0.15%"
"09/29/2021","61,600.0","61,600.0","61,600.0","61,600.0","0.10K","-6.95%"
"09/30/2021","65,800.0","65,800.0","65,800.0","65,800.0","0.10K","6.82%"
"10/01/2021","61,200.0","70,400.0","70,400.0","61,200.0","8.40K","-6.99%"
"10/04/2021","57,000.0","57,000.0","57,000.0","57,000.0","1.70K","-6.86%"
"10/05/2021","53,400.0","53,400.0","53,400.0","53,400.0","0.10K","-6.32%"
"10/06/2021","53,500.0","53,500.0","53,500.0","53,500.0","0.20K","0.19%"
"10/07/2021","57,200.0","57,100.0","57,200.0","50,200.0","0.30K","6.92%"
"10/08/2021","61,200.0","61,200.0","61,200.0","61,200.0","0.10K","6.99%"
