"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","35,500.0","35,041.7","35,666.7","34,875.0","15.75M","1.67%"
"07/02/2021","35,333.3","35,833.3","35,833.3","35,250.0","13.12M","-0.47%"
"07/05/2021","34,666.7","35,416.7","35,416.7","34,166.7","11.86M","-1.89%"
"07/06/2021","32,250.0","34,750.0","35,375.0","32,250.0","17.63M","-6.97%"
"07/07/2021","32,416.7","32,500.0","33,041.7","31,625.0","15.66M","0.52%"
"07/08/2021","30,916.7","32,541.7","32,666.7","30,750.0","18.97M","-4.63%"
"07/09/2021","29,541.7","30,583.3","31,333.3","28,833.3","18.78M","-4.45%"
"07/12/2021","27,500.0","28,916.7","29,041.7","27,500.0","23.43M","-6.91%"
"07/13/2021","28,291.7","28,000.0","28,416.7","27,500.0","12.84M","2.88%"
"07/14/2021","28,666.7","28,791.7","29,208.3","27,833.3","12.70M","1.33%"
"07/15/2021","30,000.0","28,416.7","30,000.0","28,375.0","11.79M","4.65%"
"07/16/2021","29,583.3","30,000.0","30,333.3","29,333.3","11.57M","-1.39%"
"07/19/2021","27,583.3","28,333.3","28,833.3","27,583.3","14.27M","-6.76%"
"07/20/2021","29,500.0","27,916.7","29,500.0","27,083.3","19.09M","6.95%"
"07/21/2021","29,833.3","30,583.3","30,583.3","29,583.3","18.25M","1.13%"
"07/22/2021","30,250.0","29,708.3","30,541.7","29,583.3","15.68M","1.40%"
"07/23/2021","29,125.0","29,958.3","30,208.3","29,083.3","16.21M","-3.72%"
"07/26/2021","28,666.7","28,833.3","29,166.7","27,833.3","14.56M","-1.57%"
"07/27/2021","29,750.0","29,416.7","30,083.3","29,083.3","16.75M","3.78%"
"07/28/2021","29,916.7","29,500.0","30,250.0","29,500.0","15.09M","0.56%"
"07/29/2021","30,750.0","29,958.3","30,958.3","29,916.7","13.24M","2.79%"
"07/30/2021","31,083.3","30,750.0","31,333.3","30,666.7","11.55M","1.08%"
"08/02/2021","31,166.7","30,750.0","31,791.7","30,666.7","19.81M","0.27%"
"08/03/2021","30,833.3","31,250.0","31,500.0","30,333.3","21.16M","-1.07%"
"08/04/2021","31,250.0","30,916.7","31,416.7","30,791.7","12.25M","1.35%"
"08/05/2021","32,166.7","31,125.0","32,166.7","30,916.7","12.64M","2.93%"
"08/06/2021","31,666.7","32,166.7","32,166.7","31,666.7","11.79M","-1.55%"
"08/09/2021","32,333.3","31,333.3","32,458.3","31,208.3","13.03M","2.11%"
"08/10/2021","32,291.7","32,666.7","33,000.0","32,083.3","10.86M","-0.13%"
"08/11/2021","31,875.0","32,500.0","32,583.3","31,833.3","10.74M","-1.29%"
"08/12/2021","31,291.7","31,666.7","32,083.3","31,250.0","12.32M","-1.83%"
"08/13/2021","31,250.0","31,250.0","31,416.7","30,291.7","15.82M","-0.13%"
"08/16/2021","31,750.0","31,666.7","31,958.3","31,291.7","10.09M","1.60%"
"08/17/2021","33,166.7","31,958.3","33,250.0","31,958.3","26.28M","4.46%"
"08/18/2021","33,250.0","33,125.0","33,875.0","33,000.0","14.13M","0.25%"
"08/19/2021","33,708.3","33,375.0","33,833.3","33,291.7","9.71M","1.38%"
"08/20/2021","32,291.7","33,500.0","33,625.0","31,416.7","27.03M","-4.20%"
"08/23/2021","31,250.0","31,750.0","32,166.7","31,250.0","13.04M","-3.23%"
"08/24/2021","31,333.3","31,250.0","31,708.3","30,833.3","8.12M","0.27%"
"08/25/2021","32,250.0","31,416.7","32,458.3","31,208.3","12.07M","2.93%"
"08/26/2021","31,750.0","32,458.3","32,500.0","31,583.3","10.46M","-1.55%"
"08/27/2021","31,875.0","31,416.7","32,041.7","31,083.3","8.97M","0.39%"
"08/30/2021","33,083.3","32,083.3","33,166.7","32,000.0","12.95M","3.79%"
"08/31/2021","33,250.0","33,583.3","33,750.0","32,583.3","13.13M","0.50%"
"09/01/2021","33,375.0","32,625.0","33,666.7","32,625.0","12.53M","0.38%"
"09/06/2021","35,708.3","33,750.0","35,708.3","33,708.3","26.75M","6.99%"
"09/07/2021","35,083.3","36,250.0","36,416.7","35,083.3","20.65M","-1.75%"
"09/08/2021","36,208.3","35,083.3","36,500.0","34,791.7","21.51M","3.21%"
"09/09/2021","37,416.7","36,583.3","37,708.3","36,291.7","21.93M","3.34%"
"09/10/2021","37,416.7","37,500.0","37,875.0","36,833.3","14.63M","0.00%"
"09/13/2021","36,500.0","37,500.0","37,666.7","36,375.0","16.46M","-2.45%"
"09/14/2021","36,458.3","36,375.0","37,041.7","36,375.0","12.05M","-0.11%"
"09/15/2021","38,958.3","36,333.3","39,000.0","36,125.0","24.58M","6.86%"
"09/16/2021","39,166.7","39,250.0","39,916.7","38,458.3","15.46M","0.53%"
"09/17/2021","39,166.7","39,166.7","40,250.0","38,875.0","18.94M","0.00%"
"09/20/2021","37,500.0","39,583.3","39,666.7","37,500.0","25.64M","-4.26%"
"09/21/2021","38,916.7","36,666.7","39,000.0","36,666.7","21.05M","3.78%"
"09/22/2021","38,833.3","39,000.0","39,250.0","38,416.7","8.21M","-0.21%"
"09/23/2021","38,750.0","39,000.0","39,625.0","38,333.3","11.60M","-0.21%"
"09/24/2021","37,833.3","38,583.3","39,000.0","37,500.0","14.70M","-2.37%"
"09/27/2021","36,666.7","38,250.0","38,583.3","36,666.7","15.55M","-3.08%"
"09/28/2021","38,333.3","36,666.7","38,500.0","36,291.7","12.42M","4.55%"
"09/29/2021","38,250.0","37,916.7","38,750.0","37,916.7","8.98M","-0.22%"
"09/30/2021","38,750.0","38,375.0","39,333.3","38,375.0","11.60M","1.31%"
"10/01/2021","38,958.3","38,416.7","39,416.7","38,375.0","11.34M","0.54%"
"10/04/2021","40,541.7","39,500.0","40,708.3","39,291.7","17.53M","4.06%"
"10/05/2021","39,875.0","40,541.7","40,583.3","39,875.0","12.20M","-1.64%"
"10/06/2021","40,291.7","40,000.0","40,625.0","39,875.0","8.99M","1.05%"
"10/07/2021","39,666.7","40,375.0","40,416.7","39,583.3","13.82M","-1.55%"
"10/08/2021","39,708.3","39,791.7","40,250.0","39,500.0","8.76M","0.10%"
"10/11/2021","39,875.0","40,000.0","40,583.3","39,583.3","10.76M","0.42%"
"10/12/2021","40,291.7","40,083.3","40,291.7","39,750.0","12.57M","1.05%"
"10/13/2021","40,083.3","40,416.7","40,666.7","39,875.0","8.43M","-0.52%"
"10/14/2021","40,375.0","40,083.3","40,666.7","40,000.0","12.12M","0.73%"
"10/15/2021","41,458.3","40,541.7","41,916.6","40,541.7","18.02M","2.68%"
"10/18/2021","41,541.7","41,750.0","42,750.0","41,333.3","12.92M","0.20%"
"10/19/2021","41,083.3","41,416.7","41,583.3","40,833.3","11.62M","-1.10%"
"10/20/2021","41,000.0","41,250.0","41,291.7","40,250.0","12.18M","-0.20%"
"10/21/2021","41,166.7","41,250.0","41,583.3","40,750.0","9.63M","0.41%"
"10/22/2021","40,833.3","41,375.0","41,375.0","40,666.7","8.40M","-0.81%"
"10/25/2021","39,166.7","40,750.0","40,833.3","39,166.7","18.65M","-4.08%"
"10/26/2021","39,708.3","38,750.0","39,833.3","38,333.3","11.02M","1.38%"
"10/27/2021","40,041.7","39,958.3","40,166.7","39,541.7","8.51M","0.84%"
"10/28/2021","40,000.0","40,500.0","40,500.0","39,791.7","8.24M","-0.10%"
"10/29/2021","39,500.0","40,250.0","40,333.3","39,041.7","13.77M","-1.25%"
"11/01/2021","38,333.3","39,583.3","39,666.7","38,208.3","20.88M","-2.95%"
"11/02/2021","38,166.7","38,333.3","39,125.0","38,041.7","13.38M","-0.43%"
"11/03/2021","37,458.3","38,333.3","38,500.0","37,083.3","18.19M","-1.86%"
"11/04/2021","38,166.7","37,500.0","38,500.0","37,083.3","8.92M","1.89%"
"11/05/2021","38,708.3","38,416.7","39,166.7","37,750.0","9.63M","1.42%"
"11/08/2021","38,375.0","38,750.0","39,000.0","38,125.0","8.97M","-0.86%"
"11/09/2021","38,041.7","38,500.0","38,750.0","38,041.7","7.75M","-0.87%"
"11/10/2021","37,083.3","37,833.3","38,041.7","37,000.0","15.61M","-2.52%"
"11/11/2021","36,250.0","36,750.0","37,000.0","35,833.3","17.53M","-2.25%"
"11/12/2021","37,250.0","36,250.0","37,541.7","36,250.0","7.66M","2.76%"
"11/15/2021","36,416.7","37,250.0","37,291.7","36,291.7","8.80M","-2.24%"
"11/16/2021","35,916.7","36,166.7","37,000.0","35,875.0","6.11M","-1.37%"
"11/17/2021","35,416.7","35,916.7","36,416.7","35,416.7","8.09M","-1.39%"
"11/18/2021","33,250.0","35,250.0","35,333.3","33,250.0","22.08M","-6.12%"
"11/19/2021","31,250.0","33,166.7","33,250.0","30,958.3","17.73M","-6.02%"
"11/22/2021","32,000.0","31,250.0","32,583.3","31,250.0","8.81M","2.40%"
"11/23/2021","32,583.3","32,166.7","32,791.7","32,083.3","6.14M","1.82%"
"11/24/2021","31,625.0","32,625.0","32,625.0","31,500.0","11.42M","-2.94%"
"11/25/2021","32,500.0","31,666.7","32,791.7","31,666.7","9.63M","2.77%"
"11/26/2021","33,125.0","32,750.0","33,750.0","32,750.0","9.69M","1.92%"
"11/29/2021","32,416.7","32,375.0","32,916.7","32,375.0","5.52M","-2.14%"
"11/30/2021","32,958.3","32,666.7","33,625.0","32,333.3","11.01M","1.67%"
"12/01/2021","32,750.0","32,958.3","33,416.7","32,666.7","5.44M","-0.63%"
