"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,409.5","6,495.2","6,495.2","6,190.5","64.58K","-0.30%"
"07/02/2021","6,304.8","6,381.0","6,409.5","6,238.1","67.94K","-1.63%"
"07/05/2021","6,123.8","6,304.8","6,304.8","6,095.2","89.67K","-2.87%"
"07/06/2021","6,123.8","6,123.8","6,247.6","6,123.8","86.21K","0.00%"
"07/07/2021","6,285.7","6,123.8","6,457.1","6,095.2","126.21K","2.64%"
"07/08/2021","6,419.0","6,457.1","6,457.1","6,285.7","100.49K","2.12%"
"07/09/2021","6,866.7","6,361.9","6,866.7","6,361.9","707.49K","6.97%"
"07/12/2021","6,952.4","7,333.3","7,333.3","6,571.4","321.30K","1.25%"
"07/13/2021","6,885.7","6,952.4","7,047.6","6,761.9","123.48K","-0.96%"
"07/14/2021","6,409.5","6,828.6","6,828.6","6,409.5","268.59K","-6.92%"
"07/15/2021","6,438.1","6,190.5","6,666.7","6,190.5","149.84K","0.45%"
"07/16/2021","6,428.6","6,381.0","6,647.6","6,381.0","83.90K","-0.15%"
"07/19/2021","5,981.0","6,009.5","6,200.0","5,981.0","286.65K","-6.96%"
"07/20/2021","5,981.0","5,742.9","6,190.5","5,571.4","131.57K","0.00%"
"07/21/2021","6,152.4","6,047.6","6,190.5","6,000.0","35.60K","2.87%"
"07/22/2021","6,361.9","6,009.5","6,381.0","6,009.5","43.47K","3.41%"
"07/23/2021","6,276.2","6,352.4","6,352.4","6,047.6","37.91K","-1.35%"
"07/26/2021","6,152.4","6,190.5","6,190.5","6,038.1","57.86K","-1.97%"
"07/27/2021","6,104.8","6,190.5","6,266.7","6,095.2","84.74K","-0.77%"
"07/28/2021","6,161.9","6,171.4","6,190.5","5,809.5","20.58K","0.94%"
"07/29/2021","6,190.5","6,352.4","6,352.4","6,142.9","25.10K","0.46%"
"07/30/2021","6,142.9","6,095.2","6,190.5","6,000.0","41.90K","-0.77%"
"08/02/2021","6,095.2","6,181.0","6,181.0","5,895.2","96.29K","-0.78%"
"08/03/2021","6,085.7","5,904.8","6,209.5","5,904.8","50.61K","-0.16%"
"08/04/2021","6,028.6","6,095.2","6,190.5","5,923.8","39.80K","-0.94%"
