"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","15,105.1","15,105.1","15,190.7","14,934.0","91.90K","0.00%"
"07/02/2021","14,787.6","14,923.7","15,377.3","14,742.0","118.60K","-2.10%"
"07/05/2021","14,787.6","14,833.0","14,878.3","14,606.0","45.00K","0.00%"
"07/06/2021","14,334.0","14,515.5","14,787.6","14,334.0","75.50K","-3.07%"
"07/07/2021","14,334.0","14,424.7","14,424.7","14,062.0","27.40K","0.00%"
"07/08/2021","14,424.7","14,424.7","14,606.2","14,425.0","22.70K","0.63%"
"07/09/2021","14,243.3","14,424.7","14,515.5","14,243.0","35.40K","-1.26%"
"07/12/2021","13,699.0","14,243.3","14,243.3","13,608.0","106.40K","-3.82%"
"07/13/2021","13,744.3","13,699.0","13,925.8","13,608.0","44.80K","0.33%"
"07/14/2021","13,699.0","13,835.0","13,835.0","13,608.0","81.50K","-0.33%"
"07/15/2021","13,880.4","13,744.3","13,880.4","13,699.0","57.20K","1.32%"
"07/16/2021","14,016.5","13,789.7","14,016.5","13,790.0","62.50K","0.98%"
"07/19/2021","13,608.2","13,971.1","13,971.1","13,608.0","165.00K","-2.91%"
"07/20/2021","13,699.0","13,608.2","13,789.7","13,608.0","84.00K","0.67%"
"07/21/2021","13,699.0","13,699.0","13,925.8","13,699.0","69.40K","0.00%"
"07/22/2021","13,971.1","13,835.0","14,016.5","13,608.0","278.40K","1.99%"
"07/23/2021","13,880.4","13,971.1","13,971.1","13,744.0","23.10K","-0.65%"
"07/26/2021","13,835.0","13,880.4","13,880.4","13,699.0","21.00K","-0.33%"
"07/27/2021","13,789.7","13,835.0","13,880.4","13,608.0","105.30K","-0.33%"
"07/28/2021","13,789.7","13,789.7","13,880.4","13,744.0","16.30K","0.00%"
"07/29/2021","13,789.7","13,835.0","13,880.4","13,744.0","12.10K","0.00%"
"07/30/2021","13,835.0","13,789.7","13,880.4","13,744.0","10.20K","0.33%"
"08/02/2021","13,835.0","13,835.0","13,880.4","13,744.0","21.20K","0.00%"
"08/03/2021","13,789.7","13,789.7","13,880.4","13,790.0","56.90K","-0.33%"
"08/04/2021","13,789.7","13,789.7","13,880.4","13,608.0","99.80K","0.00%"
"08/05/2021","13,835.0","13,789.7","13,835.0","13,790.0","32.50K","0.33%"
"08/06/2021","14,016.5","13,744.3","14,288.7","13,744.0","57.70K","1.31%"
"08/09/2021","14,061.8","14,107.2","14,107.2","13,926.0","39.20K","0.32%"
"08/10/2021","14,061.8","14,061.8","14,243.3","14,062.0","35.60K","0.00%"
"08/11/2021","14,243.3","14,379.4","14,379.4","14,107.0","56.60K","1.29%"
"08/12/2021","14,742.3","14,288.7","14,878.3","14,107.0","85.90K","3.50%"
"08/13/2021","14,833.0","14,878.3","14,878.3","14,243.0","43.30K","0.62%"
"08/16/2021","14,696.9","14,787.6","14,833.0","14,515.0","50.20K","-0.92%"
"08/17/2021","14,515.5","14,515.5","14,606.2","14,243.0","70.20K","-1.23%"
"08/18/2021","14,424.7","14,288.7","14,560.8","14,289.0","49.80K","-0.63%"
"08/19/2021","14,197.9","14,334.0","14,334.0","13,971.0","81.30K","-1.57%"
"08/20/2021","14,107.2","14,061.8","14,379.4","13,880.0","71.40K","-0.64%"
"08/23/2021","13,880.4","13,880.4","13,971.1","13,744.0","39.70K","-1.61%"
"08/24/2021","13,789.7","13,699.0","13,925.8","13,608.0","53.50K","-0.65%"
"08/25/2021","13,789.7","13,789.7","13,835.0","13,608.0","15.20K","0.00%"
"08/26/2021","13,789.7","13,699.0","13,835.0","13,608.0","86.50K","0.00%"
"08/27/2021","13,971.1","13,699.0","13,971.1","13,699.0","26.50K","1.32%"
"08/30/2021","14,197.9","14,016.5","14,243.3","13,971.0","68.30K","1.62%"
"08/31/2021","14,243.3","14,243.3","14,334.0","14,198.0","52.70K","0.32%"
"09/01/2021","14,379.4","14,424.7","14,470.1","14,243.0","63.20K","0.96%"
"09/06/2021","15,332.0","14,515.5","15,332.0","14,515.0","235.90K","6.62%"
