"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","17,159.0","17,159.0","17,159.0","16,682.0","4.00K","0.56%"
"07/02/2021","17,159.0","17,159.0","17,159.0","17,159.0","0.80K","0.00%"
"07/05/2021","16,444.0","15,967.0","17,111.0","15,967.0","6.50K","-4.17%"
"07/06/2021","16,492.0","16,492.0","16,492.0","16,492.0","0.10K","0.29%"
"07/08/2021","17,207.0","16,396.0","17,207.0","16,396.0","0.80K","4.34%"
"07/12/2021","16,253.0","17,111.0","17,111.0","16,253.0","1.50K","-5.54%"
"07/13/2021","16,158.0","16,158.0","16,158.0","16,158.0","0.10K","-0.58%"
"07/14/2021","16,206.0","16,206.0","16,206.0","16,206.0","0.20K","0.30%"
"07/16/2021","16,206.0","16,110.0","16,206.0","16,110.0","2.00K","0.00%"
"07/19/2021","15,920.0","15,920.0","15,920.0","15,920.0","3.00K","-1.76%"
"07/20/2021","16,015.0","16,015.0","16,015.0","16,015.0","4.20K","0.60%"
"07/21/2021","16,396.0","16,015.0","16,396.0","15,252.0","0.60K","2.38%"
"07/26/2021","15,729.0","15,348.0","16,206.0","15,348.0","0.80K","-4.07%"
"07/27/2021","15,538.0","15,634.0","16,110.0","15,538.0","1.30K","-1.21%"
"07/28/2021","15,491.0","15,443.0","15,491.0","15,443.0","3.50K","-0.30%"
"07/29/2021","15,538.0","15,538.0","15,538.0","15,538.0","1.00K","0.30%"
"07/30/2021","16,063.0","15,538.0","16,158.0","15,538.0","5.40K","3.38%"
"08/02/2021","16,206.0","16,396.0","16,682.0","16,206.0","2.80K","0.89%"
"08/04/2021","17,254.0","17,064.0","17,254.0","16,682.0","14.30K","6.47%"
"08/05/2021","16,587.0","17,159.0","17,159.0","16,587.0","0.20K","-3.87%"
"08/06/2021","17,159.0","17,159.0","17,350.0","17,111.0","33.60K","3.45%"
"08/09/2021","17,159.0","17,159.0","17,159.0","17,159.0","3.80K","0.00%"
"08/10/2021","17,159.0","17,159.0","17,159.0","17,159.0","1.10K","0.00%"
"08/11/2021","17,159.0","17,159.0","17,159.0","17,159.0","9.80K","0.00%"
"08/12/2021","17,159.0","17,159.0","17,159.0","17,159.0","11.40K","0.00%"
"08/13/2021","17,064.0","17,064.0","17,064.0","16,778.0","0.40K","-0.55%"
"08/16/2021","17,064.0","16,873.0","17,159.0","16,873.0","4.30K","0.00%"
"08/17/2021","16,682.0","16,587.0","16,682.0","16,492.0","1.40K","-2.24%"
"08/18/2021","17,159.0","16,730.0","17,159.0","16,730.0","5.20K","2.86%"
"08/19/2021","17,159.0","17,159.0","17,159.0","17,159.0","6.90K","0.00%"
