"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","20,944.5","21,111.1","21,194.5","20,888.9","216.90K","-0.79%"
"07/02/2021","20,861.1","20,888.9","21,055.6","20,833.4","244.62K","-0.40%"
"07/05/2021","20,361.1","20,888.9","20,888.9","20,333.3","244.26K","-2.40%"
"07/06/2021","20,000.0","20,555.6","20,777.8","20,000.0","192.96K","-1.77%"
"07/07/2021","19,694.5","19,888.9","19,944.5","19,055.6","413.46K","-1.53%"
"07/08/2021","19,722.2","19,694.5","20,388.9","19,611.1","133.38K","0.14%"
"07/09/2021","19,500.0","20,055.6","20,055.6","19,277.8","145.98K","-1.13%"
"07/12/2021","18,611.1","19,472.2","19,472.2","18,138.9","313.92K","-4.56%"
"07/13/2021","18,583.3","18,888.9","18,888.9","18,333.3","142.20K","-0.15%"
"07/14/2021","18,444.5","18,416.7","18,611.1","18,000.0","174.96K","-0.75%"
"07/15/2021","18,611.1","18,444.5","18,611.1","18,277.8","147.06K","0.90%"
"07/16/2021","18,750.0","18,444.5","19,055.6","18,444.5","60.66K","0.75%"
"07/19/2021","18,111.1","18,083.3","18,555.6","17,777.8","170.28K","-3.41%"
"07/20/2021","18,333.3","18,111.1","18,333.3","17,888.9","71.10K","1.23%"
"07/21/2021","18,333.3","18,333.3","18,805.6","17,777.8","158.40K","0.00%"
"07/22/2021","18,666.7","17,888.9","18,750.0","17,888.9","127.26K","1.82%"
"07/23/2021","18,555.6","18,666.7","18,888.9","18,416.7","47.70K","-0.60%"
"07/26/2021","18,611.1","18,555.6","18,666.7","18,333.3","114.30K","0.30%"
"07/27/2021","18,472.2","18,833.3","18,833.3","18,388.9","110.34K","-0.75%"
"07/28/2021","18,500.0","18,777.8","18,777.8","18,416.7","50.22K","0.15%"
"07/29/2021","18,611.1","18,500.0","18,750.0","18,500.0","131.04K","0.60%"
"07/30/2021","19,222.2","18,611.1","19,555.6","18,611.1","167.94K","3.28%"
"08/02/2021","20,388.9","20,000.0","20,500.0","20,000.0","532.08K","6.07%"
"08/03/2021","20,166.7","20,333.3","20,472.2","20,083.3","181.08K","-1.09%"
"08/04/2021","19,777.8","20,000.0","20,166.7","19,444.5","219.96K","-1.93%"
"08/05/2021","20,083.3","19,500.0","20,416.7","19,500.0","198.18K","1.54%"
"08/06/2021","19,888.9","20,083.3","20,083.3","19,861.1","180.00K","-0.97%"
"08/09/2021","20,277.8","19,611.1","20,333.3","19,611.1","235.26K","1.96%"
"08/10/2021","20,277.8","20,361.1","20,388.9","20,111.1","224.82K","0.00%"
"08/11/2021","20,916.7","20,333.3","21,000.0","20,305.6","460.08K","3.15%"
"08/12/2021","22,361.1","20,583.3","22,361.1","20,583.3","1.29M","6.91%"
"08/13/2021","22,111.1","22,777.8","23,333.4","21,555.6","785.88K","-1.12%"
"08/16/2021","22,500.0","22,111.1","23,000.0","21,666.7","350.28K","1.76%"
"08/17/2021","22,166.7","22,500.0","22,500.0","21,833.4","378.72K","-1.48%"
"08/18/2021","22,250.0","22,222.2","22,611.1","22,000.0","432.90K","0.38%"
"08/19/2021","23,000.0","22,722.2","23,138.9","22,722.2","660.96K","3.37%"
"08/20/2021","23,055.6","22,972.2","23,388.9","22,055.6","920.52K","0.24%"
"08/23/2021","24,666.7","23,055.6","24,666.7","22,972.2","1.48M","6.99%"
"08/24/2021","23,888.9","25,416.7","25,416.7","23,444.5","617.58K","-3.15%"
"08/25/2021","23,333.4","23,611.1","23,666.7","22,777.8","508.14K","-2.33%"
"08/26/2021","22,833.4","23,333.4","24,111.1","22,500.0","637.92K","-2.14%"
"08/27/2021","24,222.2","22,333.4","24,416.7","21,944.5","1.02M","6.08%"
"08/30/2021","24,222.2","24,500.0","24,750.0","24,138.9","530.64K","0.00%"
"08/31/2021","24,055.6","24,444.5","24,444.5","23,888.9","644.04K","-0.69%"
"09/01/2021","24,250.0","23,611.1","24,388.9","23,388.9","575.64K","0.81%"
"09/06/2021","24,555.6","24,250.0","25,222.2","23,944.5","667.44K","1.26%"
"09/07/2021","23,888.9","24,611.1","24,777.8","23,777.8","575.10K","-2.72%"
"09/08/2021","23,277.8","24,000.0","24,000.0","23,111.1","371.88K","-2.56%"
"09/09/2021","23,833.4","23,277.8","23,972.2","23,277.8","293.04K","2.39%"
"09/10/2021","24,638.9","23,861.1","24,722.2","23,861.1","956.16K","3.38%"
"09/13/2021","24,944.5","25,500.0","25,555.6","24,777.8","602.64K","1.24%"
"09/14/2021","25,277.8","25,555.6","25,555.6","24,555.6","792.00K","1.34%"
"09/15/2021","25,333.4","25,000.0","25,333.4","24,722.2","587.70K","0.22%"
"09/16/2021","26,055.6","26,666.7","26,666.7","25,666.7","939.24K","2.85%"
"09/17/2021","26,111.1","26,555.6","26,555.6","25,000.0","790.38K","0.21%"
"09/20/2021","26,222.2","26,611.1","26,611.1","26,111.1","869.94K","0.43%"
"09/21/2021","25,833.4","26,111.1","26,111.1","25,444.5","621.00K","-1.48%"
"09/22/2021","25,888.9","26,111.1","26,111.1","25,555.6","417.24K","0.21%"
"09/23/2021","25,055.6","25,944.5","25,944.5","25,055.6","424.80K","-3.22%"
"09/24/2021","24,333.4","25,111.1","25,111.1","23,722.2","909.54K","-2.88%"
"09/27/2021","23,055.6","23,944.5","24,333.4","23,055.6","488.52K","-5.25%"
"09/28/2021","23,666.7","22,500.0","23,777.8","22,388.9","293.04K","2.65%"
"09/29/2021","23,555.6","22,944.5","23,777.8","22,944.5","217.62K","-0.47%"
"09/30/2021","23,666.7","23,555.6","23,833.4","23,555.6","234.00K","0.47%"
"10/01/2021","23,611.1","23,972.2","24,222.2","23,611.1","400.86K","-0.23%"
"10/04/2021","23,500.0","23,555.6","23,666.7","23,111.1","265.14K","-0.47%"
"10/05/2021","23,666.7","23,333.4","23,972.2","23,333.4","181.62K","0.71%"
"10/06/2021","24,222.2","23,722.2","24,222.2","23,666.7","352.44K","2.35%"
"10/07/2021","24,333.4","24,444.5","24,500.0","24,000.0","245.16K","0.46%"
"10/08/2021","25,611.1","24,388.9","26,027.8","24,388.9","772.20K","5.25%"
"10/11/2021","25,805.6","26,055.6","26,055.6","25,555.6","476.46K","0.76%"
"10/12/2021","25,722.2","25,805.6","25,805.6","25,000.0","369.90K","-0.32%"
"10/13/2021","25,277.8","25,694.5","25,694.5","25,000.0","346.86K","-1.73%"
"10/14/2021","26,888.9","25,166.7","26,888.9","25,166.7","1.30M","6.37%"
"10/15/2021","28,722.2","27,222.2","28,722.2","27,000.0","1.76M","6.82%"
"10/18/2021","30,277.8","30,277.8","30,555.6","29,222.2","750.60K","5.42%"
"10/19/2021","31,333.4","29,888.9","31,333.4","29,444.5","874.62K","3.49%"
"10/20/2021","32,500.0","31,333.4","32,944.5","31,111.1","1.08M","3.72%"
"10/21/2021","32,777.8","32,722.2","33,388.9","32,555.6","467.82K","0.85%"
"10/22/2021","32,722.2","32,555.6","33,222.2","31,777.8","682.92K","-0.17%"
"10/25/2021","35,000.0","33,333.4","35,000.0","32,888.9","865.62K","6.96%"
"10/26/2021","35,000.0","35,000.0","35,166.7","32,777.8","567.00K","0.00%"
"10/27/2021","34,555.6","35,000.0","35,000.0","34,444.5","428.58K","-1.27%"
"10/28/2021","36,666.7","35,000.0","36,666.7","33,333.4","1.00M","6.11%"
"10/29/2021","39,222.3","39,166.7","39,222.3","38,333.4","1.04M","6.97%"
"11/01/2021","41,111.1","39,500.0","41,111.1","39,444.5","684.72K","4.82%"
"11/02/2021","40,055.6","41,666.7","41,666.7","39,555.6","788.40K","-2.57%"
"11/03/2021","37,277.8","39,166.7","41,611.1","37,277.8","1.73M","-6.93%"
"11/04/2021","38,055.6","37,166.7","38,833.4","35,277.8","711.90K","2.09%"
"11/05/2021","37,111.1","37,777.8","38,888.9","36,555.6","697.32K","-2.48%"
"11/08/2021","35,277.8","36,666.7","36,666.7","34,888.9","997.74K","-4.94%"
"11/09/2021","34,222.2","35,055.6","35,388.9","33,777.8","1.41M","-2.99%"
"11/10/2021","35,833.4","34,055.6","36,444.5","34,055.6","594.54K","4.71%"
"11/11/2021","35,000.0","36,166.7","36,166.7","34,722.3","734.58K","-2.33%"
"11/12/2021","34,388.9","35,000.0","35,000.0","33,888.9","729.90K","-1.75%"
"11/15/2021","32,777.8","34,444.5","34,444.5","32,222.2","1.28M","-4.68%"
"11/16/2021","35,055.6","33,166.7","35,055.6","33,111.1","1.08M","6.95%"
"11/17/2021","35,333.4","36,111.1","36,111.1","34,944.5","425.34K","0.79%"
"11/18/2021","34,555.6","34,444.5","35,000.0","34,333.4","575.82K","-2.20%"
"11/19/2021","32,611.1","34,555.6","34,555.6","32,222.2","851.94K","-5.63%"
"11/22/2021","31,888.9","33,277.8","33,333.4","31,111.1","465.30K","-2.21%"
"11/23/2021","33,333.4","31,944.5","33,333.4","31,666.7","364.68K","4.53%"
"11/24/2021","35,666.7","35,666.7","35,666.7","35,666.7","445.50K","7.00%"
"11/25/2021","37,111.1","38,111.1","38,111.1","36,111.1","1.28M","4.05%"
"11/26/2021","35,722.3","37,055.6","37,055.6","35,722.3","585.18K","-3.74%"
"11/29/2021","35,500.0","35,444.5","35,500.0","33,333.4","401.58K","-0.62%"
