"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","13,339.0","13,339.0","13,339.0","13,339.0","0.40K","0.35%"
"07/02/2021","13,527.0","13,339.0","13,527.0","13,245.0","1.60K","1.41%"
"07/05/2021","13,527.0","13,527.0","13,527.0","13,527.0","2.20K","0.00%"
"07/06/2021","13,245.0","13,245.0","13,245.0","13,152.0","1.00K","-2.08%"
"07/07/2021","13,574.0","13,856.0","13,856.0","13,574.0","1.70K","2.48%"
"07/08/2021","13,152.0","13,152.0","13,152.0","13,152.0","12.70K","-3.11%"
"07/09/2021","13,152.0","13,574.0","13,574.0","13,152.0","2.50K","0.00%"
"07/12/2021","13,339.0","12,306.0","13,527.0","12,306.0","1.80K","1.42%"
"07/15/2021","13,152.0","13,198.0","13,198.0","13,152.0","0.40K","-1.40%"
"07/16/2021","12,588.0","13,152.0","13,152.0","12,588.0","5.20K","-4.29%"
"07/19/2021","12,588.0","12,588.0","12,776.0","12,588.0","3.20K","0.00%"
"07/20/2021","12,635.0","12,776.0","12,776.0","12,212.0","3.60K","0.37%"
"07/21/2021","13,058.0","13,105.0","13,105.0","12,776.0","0.50K","3.35%"
"07/22/2021","13,011.0","13,011.0","13,011.0","13,011.0","0.40K","-0.36%"
"07/23/2021","12,964.0","13,011.0","13,011.0","12,964.0","0.40K","-0.36%"
"07/26/2021","12,541.0","12,306.0","13,058.0","12,306.0","0.60K","-3.26%"
"07/27/2021","13,058.0","12,588.0","13,105.0","12,588.0","5.60K","4.12%"
"07/28/2021","12,870.0","13,058.0","13,058.0","12,870.0","1.10K","-1.44%"
"07/30/2021","12,682.0","12,588.0","12,776.0","12,588.0","4.70K","-1.46%"
"08/02/2021","13,058.0","13,058.0","13,058.0","13,058.0","0.10K","2.96%"
"08/03/2021","13,152.0","12,964.0","13,152.0","12,964.0","10.00K","0.72%"
"08/04/2021","13,152.0","13,152.0","13,245.0","13,152.0","0.80K","0.00%"
"08/05/2021","13,339.0","13,574.0","13,574.0","13,152.0","4.40K","1.42%"
"08/06/2021","13,433.0","13,245.0","13,480.0","13,245.0","1.10K","0.70%"
"08/09/2021","13,433.0","13,339.0","13,527.0","13,339.0","1.10K","0.00%"
"08/10/2021","13,527.0","13,574.0","13,574.0","13,433.0","2.10K","0.70%"
"08/11/2021","14,467.0","13,527.0","14,467.0","13,527.0","175.00K","6.95%"
"08/12/2021","15,124.0","15,030.0","15,218.0","14,936.0","19.20K","4.54%"
"08/13/2021","16,017.0","15,782.0","16,017.0","15,500.0","20.10K","5.90%"
"08/16/2021","14,983.0","14,936.0","15,688.0","14,936.0","103.60K","-6.46%"
"08/17/2021","14,795.0","14,185.0","14,842.0","14,185.0","18.10K","-1.25%"
"08/18/2021","14,748.0","13,997.0","15,265.0","13,997.0","6.30K","-0.32%"
"08/19/2021","14,185.0","14,091.0","14,608.0","14,091.0","8.80K","-3.82%"
"08/20/2021","14,185.0","14,185.0","14,748.0","14,185.0","13.80K","0.00%"
"08/23/2021","14,044.0","14,185.0","14,232.0","14,044.0","11.80K","-0.99%"
"08/24/2021","13,715.0","13,715.0","13,715.0","13,715.0","8.70K","-2.34%"
"08/25/2021","13,856.0","13,715.0","14,044.0","13,574.0","4.10K","1.03%"
"08/26/2021","13,809.0","14,608.0","14,608.0","13,809.0","4.20K","-0.34%"
"08/27/2021","14,279.0","14,420.0","14,420.0","13,903.0","85.30K","3.40%"
"08/30/2021","14,561.0","15,171.0","15,171.0","14,279.0","10.50K","1.97%"
"08/31/2021","14,702.0","14,279.0","14,702.0","14,279.0","0.50K","0.97%"
"09/01/2021","14,561.0","14,655.0","14,655.0","14,279.0","5.30K","-0.96%"
"09/06/2021","14,889.0","14,467.0","14,889.0","14,467.0","28.50K","2.25%"
"09/07/2021","14,842.0","14,889.0","14,889.0","14,748.0","5.80K","-0.32%"
"09/08/2021","14,936.0","14,748.0","14,936.0","14,702.0","4.30K","0.63%"
"09/09/2021","14,936.0","15,218.0","15,218.0","14,561.0","9.10K","0.00%"
"09/10/2021","15,312.0","15,124.0","15,359.0","15,077.0","13.00K","2.52%"
"09/13/2021","15,218.0","15,406.0","15,406.0","15,218.0","1.70K","-0.61%"
"09/14/2021","15,077.0","15,030.0","15,312.0","15,030.0","3.80K","-0.93%"
"09/15/2021","15,265.0","15,030.0","15,265.0","15,030.0","5.70K","1.25%"
"09/16/2021","15,312.0","15,312.0","15,312.0","15,030.0","1.80K","0.31%"
"09/17/2021","15,077.0","15,124.0","15,124.0","15,030.0","3.70K","-1.53%"
"09/20/2021","14,842.0","15,735.0","15,735.0","14,842.0","5.10K","-1.56%"
"09/21/2021","14,561.0","14,561.0","14,655.0","14,420.0","31.40K","-1.89%"
"09/22/2021","14,983.0","15,030.0","15,077.0","14,655.0","14.60K","2.90%"
"09/23/2021","15,171.0","15,030.0","15,171.0","14,842.0","10.20K","1.25%"
"09/24/2021","14,842.0","14,842.0","14,842.0","14,795.0","0.50K","-2.17%"
"09/27/2021","14,373.0","14,561.0","14,561.0","14,373.0","4.00K","-3.16%"
"09/28/2021","14,748.0","14,091.0","14,748.0","13,715.0","14.60K","2.61%"
"09/29/2021","14,702.0","14,702.0","14,748.0","14,702.0","4.60K","-0.31%"
"09/30/2021","14,702.0","14,702.0","14,795.0","14,702.0","12.50K","0.00%"
"10/01/2021","14,795.0","14,748.0","14,795.0","14,702.0","2.50K","0.63%"
"10/04/2021","14,608.0","14,702.0","14,702.0","14,091.0","14.20K","-1.26%"
"10/06/2021","14,655.0","14,185.0","14,702.0","14,138.0","8.90K","0.32%"
"10/07/2021","14,608.0","14,279.0","14,608.0","14,138.0","5.10K","-0.32%"
"10/08/2021","14,561.0","14,185.0","14,655.0","14,185.0","2.50K","-0.32%"
"10/11/2021","14,655.0","14,655.0","14,655.0","14,655.0","0.10K","0.65%"
"10/12/2021","14,420.0","14,373.0","14,655.0","14,373.0","0.90K","-1.60%"
