"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2021","8,241.9","8,241.9","8,241.9","8,241.9","0.10K","2.41%"
"07/08/2021","7,669.8","7,669.8","7,669.8","7,669.8","0.10K","-6.94%"
"07/12/2021","8,096.5","7,136.5","8,096.5","7,136.5","3.10K","5.56%"
"07/13/2021","8,048.0","8,241.9","8,241.9","7,534.1","0.50K","-0.60%"
"07/15/2021","7,757.1","7,485.6","7,757.1","7,485.6","15.40K","-3.61%"
"07/16/2021","7,563.2","7,902.5","7,902.5","7,563.2","0.60K","-2.50%"
"07/21/2021","7,854.1","7,863.7","7,863.7","7,854.1","0.20K","3.85%"
"07/26/2021","7,369.2","7,369.2","7,369.2","7,369.2","7.00K","-6.17%"
"07/27/2021","6,981.4","6,981.4","6,981.4","6,981.4","3.00K","-5.26%"
"07/30/2021","7,078.3","7,107.4","7,107.4","7,078.3","9.80K","1.39%"
"08/04/2021","7,534.1","6,593.5","7,553.5","6,593.5","3.70K","6.44%"
"08/05/2021","7,534.1","7,534.1","7,534.1","7,534.1","0.10K","0.00%"
"08/06/2021","7,660.1","7,660.1","7,660.1","7,660.1","0.10K","1.67%"
"08/09/2021","7,126.8","7,650.4","7,650.4","7,126.8","2.60K","-6.96%"
"08/10/2021","7,611.6","7,611.6","7,611.6","7,611.6","0.20K","6.80%"
"08/11/2021","7,175.3","7,601.9","7,601.9","7,175.3","1.40K","-5.73%"
"08/12/2021","7,272.3","7,272.3","7,272.3","7,272.3","0.10K","1.35%"
"08/13/2021","7,078.3","6,884.4","7,078.3","6,884.4","1.30K","-2.67%"
"08/16/2021","7,078.3","6,894.1","7,078.3","6,894.1","14.60K","0.00%"
"08/19/2021","7,262.6","7,175.3","7,262.6","7,175.3","0.80K","2.60%"
"08/20/2021","6,894.1","7,262.6","7,262.6","6,894.1","0.40K","-5.07%"
"08/23/2021","7,078.3","7,252.9","7,252.9","7,078.3","0.80K","2.67%"
"08/24/2021","6,981.4","6,884.4","7,029.9","6,884.4","2.80K","-1.37%"
"08/26/2021","6,884.4","7,252.9","7,252.9","6,884.4","1.80K","-1.39%"
"08/27/2021","6,797.1","6,797.1","6,797.1","6,797.1","0.10K","-1.27%"
"08/30/2021","7,078.3","6,884.4","7,155.9","6,884.4","2.50K","4.14%"
"08/31/2021","7,136.5","7,155.9","7,155.9","7,136.5","2.00K","0.82%"
"09/01/2021","7,165.6","6,991.1","7,175.3","6,991.1","12.40K","0.41%"
"09/06/2021","7,165.6","7,272.3","7,272.3","7,155.9","8.30K","0.00%"
"09/07/2021","7,563.2","7,563.2","7,572.9","6,981.4","1.50K","5.55%"
"09/08/2021","7,049.3","7,059.0","7,059.0","7,049.3","0.90K","-6.79%"
"09/09/2021","7,049.3","7,223.8","7,223.8","7,049.3","11.10K","0.00%"
"09/10/2021","7,097.7","7,049.3","7,223.8","7,049.3","5.60K","0.69%"
"09/13/2021","7,252.9","7,107.4","7,252.9","7,107.4","14.60K","2.19%"
"09/14/2021","7,078.3","7,369.2","7,369.2","7,078.3","5.20K","-2.41%"
"09/15/2021","7,126.8","7,223.8","7,320.8","7,126.8","9.40K","0.69%"
"09/16/2021","7,233.5","7,272.3","7,417.7","7,175.3","24.90K","1.50%"
"09/17/2021","7,340.1","7,078.3","7,417.7","7,078.3","25.80K","1.47%"
"09/20/2021","7,185.0","7,340.1","7,349.8","7,078.3","12.00K","-2.11%"
"09/21/2021","7,456.5","7,185.0","7,456.5","7,175.3","5.70K","3.78%"
"09/22/2021","7,563.2","7,456.5","7,640.7","7,456.5","23.10K","1.43%"
"09/23/2021","7,563.2","7,660.1","8,086.8","7,563.2","15.20K","0.00%"
"09/24/2021","7,708.6","7,572.9","7,708.6","7,359.5","3.80K","1.92%"
"09/28/2021","7,272.3","7,194.7","7,388.6","7,185.0","8.00K","-5.66%"
"09/29/2021","7,611.6","7,485.6","7,611.6","7,126.8","7.60K","4.67%"
"09/30/2021","7,611.6","7,611.6","7,611.6","7,611.6","3.50K","0.00%"
"10/01/2021","7,757.1","7,611.6","7,757.1","7,611.6","3.00K","1.91%"
"10/04/2021","7,747.4","7,563.2","7,747.4","7,563.2","3.00K","-0.13%"
"10/05/2021","7,747.4","7,747.4","7,747.4","7,223.8","3.80K","0.00%"
"10/06/2021","7,737.7","7,737.7","7,737.7","7,737.7","0.20K","-0.13%"
"10/07/2021","7,660.1","7,660.1","7,660.1","7,660.1","0.20K","-1.00%"
"10/08/2021","7,660.1","7,660.1","8,125.5","7,369.2","24.50K","0.00%"
"10/11/2021","7,854.1","7,854.1","7,854.1","7,854.1","0.10K","2.53%"
"10/13/2021","7,660.1","7,757.1","7,757.1","7,660.1","4.30K","-2.47%"
"10/14/2021","7,737.7","7,757.1","7,757.1","7,737.7","0.30K","1.01%"
"10/15/2021","7,737.7","7,660.1","8,232.2","7,660.1","6.40K","0.00%"
"10/18/2021","8,164.3","8,164.3","8,164.3","8,164.3","0.10K","5.51%"
"10/19/2021","7,660.1","7,660.1","7,660.1","7,660.1","7.20K","-6.18%"
"10/20/2021","7,660.1","7,660.1","7,660.1","7,272.3","0.70K","0.00%"
"10/21/2021","7,660.1","7,660.1","7,660.1","7,660.1","0.10K","0.00%"
"10/22/2021","7,660.1","7,660.1","7,660.1","7,660.1","1.60K","0.00%"
"10/25/2021","7,902.5","7,650.4","7,951.0","7,650.4","21.60K","3.16%"
"10/26/2021","7,902.5","7,902.5","7,902.5","7,854.1","38.40K","0.00%"
"10/27/2021","7,873.4","7,902.5","7,951.0","7,854.1","22.60K","-0.37%"
"10/28/2021","7,873.4","7,873.4","7,873.4","7,466.2","11.40K","0.00%"
"10/29/2021","8,416.4","7,951.0","8,416.4","7,951.0","18.30K","6.90%"
"11/01/2021","8,998.2","8,998.2","8,998.2","8,998.2","25.90K","6.91%"
"11/02/2021","9,618.8","9,618.8","9,618.8","9,618.8","33.50K","6.90%"
"11/03/2021","10,278.1","10,278.1","10,278.1","10,181.2","189.30K","6.85%"
"11/04/2021","10,229.7","10,956.9","10,956.9","9,628.5","53.50K","-0.47%"
"11/05/2021","9,890.3","10,229.7","10,229.7","9,696.4","27.20K","-3.32%"
"11/08/2021","9,221.2","9,841.8","9,841.8","9,211.5","25.50K","-6.77%"
"11/09/2021","9,308.5","9,841.8","9,841.8","9,308.5","16.60K","0.95%"
"11/10/2021","9,696.4","8,678.2","9,793.3","8,678.2","33.00K","4.17%"
"11/11/2021","10,375.1","9,696.4","10,375.1","9,696.4","456.80K","7.00%"
"11/12/2021","11,053.9","11,053.9","11,053.9","10,859.9","159.40K","6.54%"
"11/15/2021","11,684.1","11,781.1","11,781.1","11,296.3","189.10K","5.70%"
"11/16/2021","10,908.4","10,908.4","11,247.8","10,908.4","218.50K","-6.64%"
"11/17/2021","11,441.7","10,181.2","11,635.6","10,181.2","286.10K","4.89%"
"11/18/2021","10,666.0","10,763.0","11,344.7","10,666.0","144.20K","-6.78%"
"11/19/2021","10,181.2","10,181.2","11,247.8","10,181.2","110.90K","-4.55%"
"11/22/2021","9,987.3","10,181.2","10,569.0","9,667.3","73.00K","-1.90%"
"11/23/2021","9,696.4","9,890.3","10,569.0","9,308.5","36.10K","-2.91%"
"11/24/2021","10,132.7","9,696.4","10,132.7","9,696.4","44.40K","4.50%"
"11/25/2021","9,890.3","9,987.3","9,987.3","9,599.4","28.60K","-2.39%"
"11/26/2021","9,696.4","9,696.4","10,181.2","9,628.5","42.90K","-1.96%"
"11/29/2021","9,308.5","9,696.4","9,841.8","9,211.5","49.30K","-4.00%"
"11/30/2021","9,696.4","9,841.8","9,938.8","9,337.6","69.50K","4.17%"
"12/01/2021","9,415.2","9,696.4","9,696.4","9,308.5","33.30K","-2.90%"
"12/02/2021","9,599.4","9,357.0","9,793.3","9,357.0","13.80K","1.96%"
"12/03/2021","9,580.0","9,938.8","9,938.8","9,512.1","10.80K","-0.20%"
"12/06/2021","9,230.9","10,035.7","10,035.7","9,211.5","17.20K","-3.64%"
"12/07/2021","9,211.5","9,230.9","9,696.4","9,163.1","52.50K","-0.21%"
"12/08/2021","9,230.9","9,686.7","9,686.7","9,211.5","37.30K","0.21%"
"12/09/2021","9,308.5","9,308.5","9,405.5","9,114.6","22.00K","0.84%"
"12/10/2021","9,114.6","9,308.5","9,308.5","9,114.6","58.10K","-2.08%"
"12/13/2021","9,260.0","9,114.6","9,308.5","9,114.6","50.00K","1.60%"
"12/14/2021","9,260.0","9,260.0","9,260.0","9,114.6","14.10K","0.00%"
"12/15/2021","9,201.8","9,114.6","9,260.0","9,075.8","48.80K","-0.63%"
