"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","19,916.7","19,666.7","20,000.0","19,666.7","4.20K","-1.24%"
"07/02/2021","20,416.7","20,000.0","20,416.7","19,916.7","127.56K","2.51%"
"07/05/2021","20,416.7","21,083.3","21,083.3","20,416.7","0.36K","0.00%"
"07/06/2021","19,916.7","20,750.0","20,750.0","19,166.7","2.04K","-2.45%"
"07/07/2021","20,000.0","18,625.0","20,000.0","18,625.0","0.24K","0.42%"
"07/08/2021","20,000.0","20,000.0","20,416.7","19,750.0","7.44K","0.00%"
"07/09/2021","19,916.7","19,958.3","19,958.3","19,166.7","0.36K","-0.42%"
"07/12/2021","19,750.0","19,916.7","19,916.7","18,541.7","5.88K","-0.84%"
"07/13/2021","19,916.7","19,750.0","19,916.7","19,666.7","8.40K","0.84%"
"07/14/2021","19,916.7","19,916.7","20,250.0","18,625.0","7.80K","0.00%"
"07/15/2021","19,833.3","19,833.3","20,833.3","19,083.3","16.08K","-0.42%"
"07/16/2021","19,833.3","19,916.7","19,916.7","19,833.3","12.24K","0.00%"
"07/20/2021","19,833.3","19,458.3","19,833.3","19,458.3","36.00K","0.00%"
"07/21/2021","19,875.0","19,833.3","20,833.3","19,833.3","1.32K","0.21%"
"07/22/2021","19,875.0","18,583.3","20,000.0","18,583.3","19.08K","0.00%"
"07/23/2021","19,833.3","20,708.3","20,708.3","19,416.7","14.40K","-0.21%"
"07/26/2021","19,750.0","18,875.0","19,750.0","18,875.0","15.48K","-0.42%"
"07/27/2021","19,750.0","19,333.3","19,750.0","19,250.0","16.08K","0.00%"
"07/28/2021","19,750.0","19,208.3","19,750.0","19,208.3","3.36K","0.00%"
"07/29/2021","20,583.3","19,750.0","20,833.3","19,750.0","32.88K","4.22%"
"07/30/2021","20,500.0","20,041.7","20,583.3","20,000.0","5.88K","-0.40%"
"08/02/2021","20,416.7","19,750.0","20,416.7","19,750.0","0.48K","-0.41%"
"08/03/2021","20,416.7","20,666.7","21,833.3","20,000.0","3.96K","0.00%"
"08/04/2021","20,375.0","20,083.3","20,375.0","20,000.0","0.72K","-0.20%"
"08/05/2021","20,250.0","20,083.3","20,291.7","19,916.7","8.88K","-0.61%"
"08/06/2021","20,333.3","21,250.0","21,250.0","20,083.3","5.16K","0.41%"
"08/09/2021","20,500.0","20,833.3","20,833.3","20,500.0","0.24K","0.82%"
"08/10/2021","20,416.7","20,000.0","20,416.7","19,916.7","12.12K","-0.41%"
"08/11/2021","20,166.7","20,000.0","20,166.7","20,000.0","13.08K","-1.22%"
"08/12/2021","20,250.0","20,416.7","20,416.7","19,916.7","1.68K","0.41%"
"08/13/2021","20,250.0","20,833.3","20,833.3","20,166.7","2.04K","0.00%"
"08/16/2021","20,250.0","20,250.0","20,250.0","20,000.0","4.08K","0.00%"
"08/17/2021","20,250.0","20,250.0","20,250.0","20,250.0","0.60K","0.00%"
"08/18/2021","20,250.0","20,250.0","20,250.0","20,250.0","0.84K","0.00%"
"08/19/2021","20,125.0","20,250.0","20,250.0","20,000.0","14.28K","-0.62%"
"08/20/2021","20,125.0","19,250.0","20,250.0","19,250.0","3.12K","0.00%"
"08/23/2021","20,125.0","20,125.0","20,125.0","20,125.0","1.56K","0.00%"
"08/24/2021","20,000.0","20,000.0","20,000.0","19,375.0","13.08K","-0.62%"
"08/25/2021","20,000.0","19,958.3","20,000.0","19,958.3","31.92K","0.00%"
"08/26/2021","20,000.0","20,000.0","20,000.0","19,583.3","15.72K","0.00%"
"08/27/2021","20,000.0","19,666.7","20,000.0","19,583.3","15.96K","0.00%"
"08/30/2021","20,000.0","20,000.0","20,000.0","20,000.0","6.36K","0.00%"
"08/31/2021","21,291.7","20,000.0","21,333.3","20,000.0","15.84K","6.46%"
"09/01/2021","20,750.0","20,833.3","20,833.3","20,166.7","17.40K","-2.54%"
"09/06/2021","20,333.3","20,333.3","20,750.0","20,000.0","12.96K","-2.01%"
"09/07/2021","20,166.7","20,250.0","20,250.0","20,083.3","5.88K","-0.82%"
"09/08/2021","20,000.0","20,083.3","20,083.3","20,000.0","11.88K","-0.83%"
"09/09/2021","20,000.0","20,000.0","20,250.0","19,666.7","17.16K","0.00%"
"09/10/2021","20,833.3","20,000.0","20,833.3","20,000.0","14.40K","4.17%"
"09/13/2021","20,833.3","20,833.3","20,833.3","20,416.7","1.80K","0.00%"
"09/14/2021","20,041.7","20,750.0","20,833.3","20,041.7","6.36K","-3.80%"
"09/15/2021","20,208.3","20,000.0","20,375.0","20,000.0","4.32K","0.83%"
"09/16/2021","20,333.3","20,208.3","20,333.3","20,000.0","9.48K","0.62%"
"09/17/2021","20,833.3","20,000.0","20,833.3","20,000.0","29.16K","2.46%"
"09/20/2021","20,083.3","20,833.3","20,833.3","20,083.3","5.40K","-3.60%"
"09/21/2021","20,541.7","20,083.3","20,666.7","20,083.3","33.72K","2.28%"
"09/22/2021","20,416.7","20,750.0","20,750.0","20,041.7","14.76K","-0.61%"
"09/23/2021","20,333.3","20,583.3","20,833.3","20,166.7","41.04K","-0.41%"
"09/24/2021","20,291.7","20,583.3","20,833.3","20,125.0","50.76K","-0.20%"
"09/27/2021","20,000.0","20,791.7","20,791.7","20,000.0","18.48K","-1.44%"
"09/28/2021","21,375.0","19,916.7","21,375.0","19,916.7","303.96K","6.88%"
"09/29/2021","22,833.3","22,750.0","22,833.3","21,666.7","389.28K","6.82%"
"09/30/2021","23,250.0","24,250.0","24,250.0","22,833.3","111.12K","1.82%"
"10/01/2021","22,750.0","23,250.0","23,250.0","22,250.0","78.24K","-2.15%"
"10/04/2021","22,500.0","22,833.3","22,833.3","21,666.7","112.92K","-1.10%"
"10/05/2021","22,000.0","21,875.0","22,500.0","21,875.0","91.68K","-2.22%"
"10/06/2021","22,666.7","21,708.3","22,833.3","21,708.3","84.60K","3.03%"
"10/07/2021","22,666.7","22,333.3","22,916.7","22,083.3","93.12K","0.00%"
"10/08/2021","22,500.0","22,875.0","22,875.0","22,333.3","38.40K","-0.74%"
"10/11/2021","22,500.0","22,541.7","22,541.7","21,833.3","104.16K","0.00%"
"10/12/2021","22,416.7","22,833.3","22,833.3","22,166.7","93.24K","-0.37%"
"10/13/2021","23,958.3","22,250.0","23,958.3","22,166.7","344.76K","6.88%"
"10/14/2021","25,000.0","24,916.7","25,583.3","24,166.7","226.44K","4.35%"
"10/15/2021","24,833.3","25,000.0","25,083.3","24,625.0","73.80K","-0.67%"
"10/18/2021","24,250.0","24,416.7","24,583.3","23,750.0","76.56K","-2.35%"
"10/19/2021","24,291.7","23,750.0","25,000.0","23,750.0","48.48K","0.17%"
"10/20/2021","24,291.7","24,916.7","24,916.7","23,750.0","61.32K","0.00%"
"10/21/2021","24,166.7","24,166.7","24,291.7","23,333.3","146.28K","-0.51%"
"10/22/2021","24,166.7","24,166.7","24,333.3","23,541.7","66.84K","0.00%"
"10/25/2021","24,041.7","23,791.7","24,166.7","23,416.7","47.04K","-0.52%"
"10/26/2021","23,750.0","23,750.0","24,000.0","23,500.0","93.36K","-1.21%"
"10/27/2021","24,041.7","24,125.0","24,166.7","23,625.0","130.32K","1.23%"
"10/28/2021","24,750.0","23,833.3","25,708.3","23,833.3","141.48K","2.95%"
"10/29/2021","24,416.7","24,916.7","24,916.7","24,166.7","86.88K","-1.35%"
"11/01/2021","26,041.7","24,458.3","26,125.0","24,166.7","288.96K","6.66%"
"11/02/2021","26,666.7","26,041.7","27,083.3","26,041.7","159.60K","2.40%"
"11/03/2021","25,000.0","26,666.7","27,500.0","24,833.3","163.44K","-6.25%"
"11/04/2021","25,000.0","25,000.0","25,666.7","24,916.7","59.16K","0.00%"
"11/05/2021","24,666.7","25,750.0","25,750.0","24,500.0","49.92K","-1.33%"
"11/08/2021","24,666.7","24,333.3","25,416.7","24,333.3","84.36K","0.00%"
"11/09/2021","24,708.3","24,750.0","24,916.7","24,625.0","52.20K","0.17%"
"11/10/2021","24,708.3","24,750.0","25,000.0","24,583.3","80.88K","0.00%"
"11/11/2021","25,666.7","24,708.3","26,250.0","24,708.3","124.08K","3.88%"
"11/12/2021","26,416.7","25,666.7","26,500.0","25,416.7","121.92K","2.92%"
"11/15/2021","28,250.0","26,708.3","28,250.0","26,708.3","372.36K","6.94%"
"11/16/2021","28,750.0","27,083.3","29,916.6","27,083.3","158.16K","1.77%"
"11/17/2021","28,666.6","28,750.0","28,750.0","27,916.6","42.48K","-0.29%"
