"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,750.0","10,700.0","10,900.0","10,500.0","222.70K","0.00%"
"07/02/2021","10,750.0","10,550.0","10,900.0","10,500.0","220.90K","0.00%"
"07/05/2021","11,100.0","10,750.0","11,500.0","10,400.0","1.02M","3.26%"
"07/06/2021","11,000.0","11,350.0","11,500.0","10,350.0","3.79M","-0.90%"
"07/07/2021","10,800.0","10,900.0","10,900.0","10,250.0","672.40K","-1.82%"
"07/08/2021","10,200.0","10,050.0","10,500.0","10,050.0","954.20K","-5.56%"
"07/09/2021","9,490.0","9,850.0","10,050.0","9,490.0","570.80K","-6.96%"
"07/12/2021","8,830.0","9,000.0","9,000.0","8,830.0","880.70K","-6.95%"
"07/13/2021","8,750.0","8,220.0","8,750.0","8,220.0","2.39M","-0.91%"
"07/14/2021","8,450.0","8,800.0","8,890.0","8,140.0","1.69M","-3.43%"
"07/15/2021","8,450.0","8,250.0","8,500.0","7,890.0","273.30K","0.00%"
"07/16/2021","8,600.0","8,340.0","8,600.0","7,940.0","2.68M","1.78%"
"07/19/2021","8,000.0","8,200.0","8,200.0","8,000.0","360.10K","-6.98%"
"07/20/2021","8,000.0","7,790.0","8,100.0","7,700.0","516.60K","0.00%"
"07/21/2021","7,900.0","8,000.0","8,070.0","7,840.0","472.40K","-1.25%"
"07/22/2021","8,450.0","7,900.0","8,450.0","7,900.0","1.18M","6.96%"
"07/23/2021","8,880.0","8,450.0","8,900.0","8,360.0","2.05M","5.09%"
"07/26/2021","8,800.0","8,300.0","8,800.0","8,290.0","542.20K","-0.90%"
"07/27/2021","8,630.0","8,700.0","8,800.0","8,300.0","320.90K","-1.93%"
"07/28/2021","8,350.0","8,500.0","8,500.0","8,300.0","356.40K","-3.24%"
"07/29/2021","8,300.0","8,350.0","8,450.0","8,200.0","373.60K","-0.60%"
"07/30/2021","8,190.0","8,300.0","8,350.0","8,190.0","491.50K","-1.33%"
"08/02/2021","8,190.0","8,200.0","8,300.0","8,180.0","232.80K","0.00%"
"08/03/2021","8,100.0","8,290.0","8,290.0","8,060.0","225.70K","-1.10%"
"08/04/2021","8,140.0","8,070.0","8,200.0","8,070.0","278.00K","0.49%"
"08/05/2021","8,230.0","8,140.0","8,300.0","8,030.0","180.40K","1.11%"
"08/06/2021","8,290.0","8,230.0","8,300.0","8,200.0","254.50K","0.73%"
"08/09/2021","8,550.0","8,300.0","8,580.0","8,300.0","539.80K","3.14%"
"08/10/2021","8,490.0","8,550.0","8,600.0","8,400.0","296.20K","-0.70%"
"08/11/2021","8,540.0","8,500.0","8,600.0","8,490.0","452.80K","0.59%"
"08/12/2021","8,520.0","8,540.0","8,600.0","8,360.0","327.80K","-0.23%"
"08/13/2021","8,560.0","8,520.0","8,560.0","8,370.0","322.00K","0.47%"
"08/16/2021","8,560.0","8,800.0","8,800.0","8,560.0","197.30K","0.00%"
"08/17/2021","8,450.0","8,400.0","8,500.0","8,390.0","424.40K","-1.29%"
"08/18/2021","8,410.0","8,500.0","8,500.0","8,390.0","317.60K","-0.47%"
"08/19/2021","8,990.0","8,580.0","8,990.0","8,510.0","2.42M","6.90%"
"08/20/2021","9,320.0","9,610.0","9,610.0","9,100.0","2.55M","3.67%"
"08/23/2021","9,720.0","9,500.0","9,970.0","9,320.0","1.13M","4.29%"
"08/24/2021","9,100.0","9,610.0","9,610.0","9,040.0","1.69M","-6.38%"
"08/25/2021","8,790.0","8,800.0","9,100.0","8,500.0","822.40K","-3.41%"
"08/26/2021","8,950.0","8,580.0","9,200.0","8,580.0","843.80K","1.82%"
"08/27/2021","8,810.0","8,950.0","8,950.0","8,700.0","934.70K","-1.56%"
"08/30/2021","9,290.0","9,100.0","9,400.0","8,900.0","1.29M","5.45%"
"08/31/2021","9,290.0","9,500.0","9,500.0","9,210.0","1.13M","0.00%"
"09/01/2021","9,160.0","9,250.0","9,250.0","8,860.0","967.30K","-1.40%"
"09/06/2021","9,800.0","9,160.0","9,800.0","9,160.0","1.62M","6.99%"
"09/07/2021","10,000.0","10,450.0","10,450.0","9,900.0","2.50M","2.04%"
"09/08/2021","9,750.0","9,630.0","10,000.0","9,630.0","1.29M","-2.50%"
"09/09/2021","9,850.0","9,620.0","9,850.0","9,500.0","914.10K","1.03%"
"09/10/2021","9,820.0","9,750.0","10,100.0","9,750.0","980.80K","-0.30%"
"09/13/2021","10,000.0","9,770.0","10,300.0","9,770.0","969.60K","1.83%"
"09/14/2021","9,950.0","10,100.0","10,200.0","9,920.0","1.10M","-0.50%"
"09/15/2021","9,850.0","9,940.0","10,000.0","9,840.0","976.80K","-1.01%"
"09/16/2021","10,500.0","10,000.0","10,500.0","9,900.0","1.72M","6.60%"
"09/17/2021","10,700.0","10,800.0","11,000.0","10,650.0","1.66M","1.90%"
"09/20/2021","11,050.0","10,900.0","11,200.0","10,800.0","1.56M","3.27%"
"09/21/2021","10,700.0","10,550.0","10,950.0","10,350.0","2.03M","-3.17%"
"09/22/2021","10,850.0","10,700.0","11,200.0","10,700.0","2.24M","1.40%"
"09/23/2021","10,550.0","11,050.0","11,050.0","10,350.0","1.60M","-2.76%"
"09/24/2021","10,000.0","10,450.0","10,550.0","10,000.0","1.10M","-5.21%"
"09/27/2021","9,500.0","9,600.0","9,900.0","9,500.0","1.27M","-5.00%"
"09/28/2021","9,750.0","9,060.0","9,800.0","9,060.0","893.60K","2.63%"
"09/29/2021","9,680.0","9,900.0","9,900.0","9,600.0","715.10K","-0.72%"
"09/30/2021","9,720.0","9,700.0","9,800.0","9,650.0","713.30K","0.41%"
"10/01/2021","9,600.0","9,700.0","9,800.0","9,460.0","759.70K","-1.23%"
"10/04/2021","9,700.0","9,610.0","9,900.0","9,600.0","734.30K","1.04%"
"10/05/2021","9,770.0","9,700.0","9,890.0","9,650.0","776.40K","0.72%"
