"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","21,829.0","21,829.0","21,868.0","21,552.0","638.02K","0.00%"
"07/02/2021","21,670.0","21,829.0","21,829.0","21,512.0","672.79K","-0.73%"
"07/05/2021","21,354.0","21,591.0","21,670.0","21,275.0","906.83K","-1.46%"
"07/06/2021","20,959.0","21,354.0","21,394.0","20,959.0","887.73K","-1.85%"
"07/07/2021","20,603.0","20,880.0","20,959.0","20,168.0","917.45K","-1.70%"
"07/08/2021","20,800.0","20,603.0","21,117.0","20,603.0","578.71K","0.96%"
"07/09/2021","20,642.0","20,800.0","20,800.0","20,484.0","682.40K","-0.76%"
"07/12/2021","19,693.0","20,563.0","20,642.0","19,377.0","1.10M","-4.60%"
"07/13/2021","20,207.0","19,851.0","20,405.0","19,851.0","490.84K","2.61%"
"07/14/2021","20,326.0","20,800.0","20,959.0","20,207.0","504.37K","0.59%"
"07/15/2021","20,524.0","20,365.0","20,563.0","20,365.0","305.23K","0.97%"
"07/16/2021","20,168.0","20,603.0","20,603.0","20,168.0","578.59K","-1.73%"
"07/19/2021","18,981.0","19,772.0","19,851.0","18,902.0","1.02M","-5.89%"
"07/20/2021","19,377.0","19,377.0","19,416.0","19,021.0","453.03K","2.09%"
"07/21/2021","19,772.0","19,614.0","19,891.0","19,456.0","339.11K","2.04%"
"07/22/2021","19,930.0","19,772.0","20,010.0","19,772.0","334.56K","0.80%"
"07/23/2021","19,377.0","19,772.0","19,772.0","19,377.0","845.25K","-2.77%"
"07/26/2021","19,021.0","18,981.0","19,377.0","18,981.0","825.53K","-1.84%"
"07/27/2021","19,100.0","19,219.0","19,219.0","19,021.0","991.29K","0.42%"
"07/28/2021","18,823.0","18,823.0","19,060.0","18,665.0","1.60M","-1.45%"
"07/29/2021","20,100.0","19,800.0","20,100.0","19,800.0","505.60K","6.78%"
"07/30/2021","21,500.0","21,500.0","21,500.0","21,500.0","412.30K","6.97%"
"08/02/2021","22,750.0","23,000.0","23,000.0","22,000.0","2.56M","5.81%"
"08/03/2021","22,250.0","22,750.0","22,800.0","22,100.0","787.60K","-2.20%"
"08/04/2021","21,800.0","22,100.0","22,250.0","21,800.0","946.80K","-2.02%"
"08/05/2021","21,650.0","21,500.0","21,750.0","21,200.0","1.01M","-0.69%"
"08/06/2021","21,700.0","21,700.0","21,950.0","21,600.0","805.60K","0.23%"
"08/09/2021","21,350.0","21,600.0","21,600.0","21,250.0","788.20K","-1.61%"
"08/10/2021","21,500.0","21,350.0","21,500.0","21,300.0","597.00K","0.70%"
"08/11/2021","21,800.0","21,500.0","22,100.0","21,400.0","897.60K","1.40%"
"08/12/2021","21,700.0","21,600.0","21,950.0","21,600.0","473.50K","-0.46%"
"08/13/2021","21,550.0","21,800.0","21,950.0","21,500.0","573.60K","-0.69%"
"08/16/2021","21,500.0","21,500.0","21,550.0","21,300.0","590.00K","-0.23%"
"08/17/2021","21,400.0","21,500.0","21,550.0","21,400.0","440.20K","-0.47%"
"08/18/2021","21,300.0","21,400.0","21,400.0","21,200.0","564.10K","-0.47%"
"08/19/2021","21,250.0","21,200.0","21,250.0","21,100.0","467.30K","-0.23%"
"08/20/2021","20,850.0","21,150.0","21,200.0","20,800.0","774.30K","-1.88%"
"08/23/2021","20,550.0","20,850.0","20,850.0","20,500.0","538.10K","-1.44%"
"08/24/2021","20,400.0","20,400.0","20,600.0","20,250.0","489.10K","-0.73%"
"08/25/2021","21,150.0","20,500.0","21,150.0","20,450.0","432.70K","3.68%"
"08/26/2021","21,200.0","21,300.0","21,300.0","21,100.0","352.80K","0.24%"
"08/27/2021","21,150.0","21,200.0","21,200.0","20,900.0","346.20K","-0.24%"
"08/30/2021","21,500.0","21,200.0","21,700.0","21,150.0","680.00K","1.65%"
"08/31/2021","21,100.0","21,450.0","21,450.0","21,000.0","586.80K","-1.86%"
"09/01/2021","20,950.0","20,700.0","21,100.0","20,600.0","692.20K","-0.71%"
"09/06/2021","21,550.0","20,950.0","21,800.0","20,950.0","1.08M","2.86%"
"09/07/2021","22,100.0","21,600.0","22,200.0","21,600.0","1.48M","2.55%"
"09/08/2021","22,400.0","22,500.0","22,800.0","22,000.0","1.44M","1.36%"
"09/09/2021","23,950.0","22,450.0","23,950.0","22,450.0","2.37M","6.92%"
"09/10/2021","25,050.0","25,400.0","25,450.0","24,600.0","3.49M","4.59%"
"09/13/2021","26,800.0","25,100.0","26,800.0","25,100.0","3.73M","6.99%"
"09/14/2021","28,650.0","28,600.0","28,650.0","28,550.0","3.34M","6.90%"
"09/15/2021","26,800.0","30,650.0","30,650.0","26,800.0","5.46M","-6.46%"
"09/16/2021","25,500.0","26,100.0","26,500.0","25,300.0","2.74M","-4.85%"
"09/17/2021","26,750.0","25,500.0","27,250.0","25,300.0","1.24M","4.90%"
"09/20/2021","26,150.0","26,750.0","26,800.0","26,050.0","1.54M","-2.24%"
"09/21/2021","25,400.0","25,500.0","25,800.0","25,000.0","1.56M","-2.87%"
"09/22/2021","25,900.0","25,700.0","26,000.0","25,500.0","1.01M","1.97%"
"09/23/2021","25,600.0","26,000.0","26,000.0","25,400.0","909.20K","-1.16%"
"09/24/2021","25,900.0","25,600.0","26,200.0","25,400.0","910.00K","1.17%"
"09/27/2021","25,550.0","26,200.0","26,300.0","25,400.0","1.13M","-1.35%"
"09/28/2021","25,000.0","25,700.0","25,700.0","24,500.0","860.10K","-2.15%"
"09/29/2021","24,500.0","25,000.0","25,000.0","24,300.0","941.20K","-2.00%"
"09/30/2021","25,000.0","24,500.0","25,200.0","24,500.0","611.20K","2.04%"
"10/01/2021","24,900.0","25,000.0","25,000.0","24,500.0","552.20K","-0.40%"
"10/04/2021","25,900.0","24,950.0","26,000.0","24,900.0","1.02M","4.02%"
