"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","5,864.5","6,335.6","6,345.2","5,576.1","125.50K","-1.13%"
"07/02/2021","5,864.5","6,249.0","6,249.0","5,854.9","34.30K","0.00%"
"07/05/2021","5,499.2","5,768.3","5,768.3","5,499.2","24.00K","-6.23%"
"07/06/2021","5,114.6","5,287.6","5,287.6","5,114.6","23.80K","-6.99%"
"07/07/2021","4,787.7","4,768.5","4,787.7","4,768.5","16.60K","-6.39%"
"07/08/2021","5,114.6","4,787.7","5,114.6","4,710.8","7.70K","6.83%"
"07/09/2021","5,114.6","5,114.6","5,191.5","5,114.6","0.90K","0.00%"
"07/12/2021","4,758.9","4,758.9","4,758.9","4,758.9","11.10K","-6.95%"
"07/13/2021","4,758.9","4,758.9","4,758.9","4,499.3","0.90K","0.00%"
"07/14/2021","4,739.7","4,989.6","4,989.6","4,739.7","3.70K","-0.40%"
"07/15/2021","4,576.2","4,739.7","4,739.7","4,557.0","10.90K","-3.45%"
"07/16/2021","4,893.5","4,807.0","4,893.5","4,807.0","12.20K","6.93%"
"07/19/2021","4,893.5","4,807.0","4,893.5","4,807.0","4.70K","0.00%"
"07/20/2021","4,807.0","4,893.5","4,893.5","4,807.0","1.40K","-1.77%"
"07/21/2021","4,855.0","4,807.0","4,903.1","4,807.0","1.20K","1.00%"
"07/22/2021","4,768.5","4,787.7","4,807.0","4,768.5","5.90K","-1.78%"
"07/23/2021","4,710.8","4,768.5","4,768.5","4,701.2","3.20K","-1.21%"
"07/26/2021","4,710.8","4,710.8","4,710.8","4,710.8","0.10K","0.00%"
"07/27/2021","4,701.2","4,451.2","4,701.2","4,451.2","1.10K","-0.20%"
"07/28/2021","4,701.2","4,701.2","4,807.0","4,701.2","0.70K","0.00%"
"07/29/2021","4,701.2","4,701.2","4,710.8","4,701.2","6.00K","0.00%"
"07/30/2021","4,701.2","4,691.6","4,701.2","4,691.6","1.70K","0.00%"
"08/02/2021","4,807.0","4,807.0","4,903.1","4,499.3","24.50K","2.25%"
"08/03/2021","4,807.0","4,855.0","4,855.0","4,807.0","8.20K","0.00%"
"08/04/2021","4,980.0","4,807.0","4,999.2","4,807.0","7.00K","3.60%"
"08/05/2021","5,180.0","5,000.0","5,180.0","5,000.0","9.30K","4.02%"
"08/06/2021","5,100.0","5,000.0","5,280.0","5,000.0","5.00K","-1.54%"
"08/09/2021","5,040.0","5,000.0","5,100.0","5,000.0","1.20K","-1.18%"
"08/10/2021","5,100.0","4,710.0","5,300.0","4,700.0","157.60K","1.19%"
"08/11/2021","5,370.0","5,200.0","5,370.0","5,200.0","95.90K","5.29%"
"08/12/2021","5,740.0","5,400.0","5,740.0","5,400.0","97.60K","6.89%"
"08/13/2021","5,600.0","5,340.0","5,740.0","5,340.0","98.30K","-2.44%"
"08/16/2021","5,410.0","5,400.0","5,590.0","5,260.0","34.10K","-3.39%"
"08/17/2021","5,400.0","5,410.0","5,590.0","5,100.0","55.00K","-0.18%"
"08/18/2021","5,350.0","5,100.0","5,400.0","5,100.0","40.10K","-0.93%"
"08/19/2021","5,310.0","5,420.0","5,420.0","5,120.0","17.60K","-0.75%"
"08/20/2021","5,040.0","5,110.0","5,340.0","5,040.0","84.60K","-5.08%"
"08/23/2021","5,000.0","4,950.0","5,140.0","4,950.0","20.20K","-0.79%"
"08/24/2021","4,900.0","5,000.0","5,000.0","4,800.0","20.40K","-2.00%"
"08/25/2021","5,000.0","4,830.0","5,060.0","4,830.0","7.40K","2.04%"
"08/26/2021","5,050.0","5,000.0","5,100.0","5,000.0","18.60K","1.00%"
"08/27/2021","5,250.0","4,950.0","5,250.0","4,730.0","65.20K","3.96%"
"08/30/2021","5,310.0","5,260.0","5,350.0","5,200.0","50.80K","1.14%"
"08/31/2021","5,300.0","5,310.0","5,320.0","5,200.0","21.70K","-0.19%"
"09/01/2021","5,290.0","5,010.0","5,290.0","5,010.0","47.60K","-0.19%"
