"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,680.0","6,680.0","6,790.0","6,630.0","1.12M","0.00%"
"07/02/2021","6,610.0","6,650.0","6,740.0","6,610.0","1.30M","-1.05%"
"07/05/2021","6,330.0","6,610.0","6,620.0","6,150.0","1.93M","-4.24%"
"07/06/2021","6,200.0","6,240.0","6,390.0","6,200.0","1.33M","-2.05%"
"07/07/2021","6,090.0","6,200.0","6,200.0","6,010.0","1.68M","-1.77%"
"07/08/2021","6,080.0","6,110.0","6,190.0","6,050.0","805.40K","-0.16%"
"07/09/2021","5,810.0","6,080.0","6,090.0","5,810.0","1.60M","-4.44%"
"07/12/2021","5,410.0","5,860.0","5,860.0","5,410.0","2.35M","-6.88%"
"07/13/2021","5,600.0","5,500.0","5,600.0","5,420.0","897.90K","3.51%"
"07/14/2021","5,600.0","5,600.0","5,740.0","5,540.0","514.20K","0.00%"
"07/15/2021","5,700.0","5,600.0","5,700.0","5,570.0","543.10K","1.79%"
"07/16/2021","5,750.0","5,710.0","5,820.0","5,680.0","794.60K","0.88%"
"07/19/2021","5,430.0","5,580.0","5,620.0","5,400.0","806.30K","-5.57%"
"07/20/2021","5,600.0","5,310.0","5,630.0","5,310.0","658.60K","3.13%"
"07/21/2021","5,620.0","5,690.0","5,690.0","5,550.0","432.30K","0.36%"
"07/22/2021","5,820.0","5,500.0","6,000.0","5,500.0","1.36M","3.56%"
"07/23/2021","5,750.0","5,820.0","5,890.0","5,750.0","503.40K","-1.20%"
"07/26/2021","5,730.0","5,650.0","5,820.0","5,600.0","476.70K","-0.35%"
"07/27/2021","5,750.0","5,760.0","5,850.0","5,700.0","461.60K","0.35%"
"07/28/2021","5,740.0","5,740.0","5,830.0","5,700.0","359.80K","-0.17%"
"07/29/2021","5,740.0","5,800.0","5,820.0","5,720.0","675.30K","0.00%"
"07/30/2021","5,800.0","5,740.0","5,830.0","5,700.0","1.03M","1.05%"
"08/02/2021","5,850.0","5,810.0","5,970.0","5,740.0","842.50K","0.86%"
"08/03/2021","5,810.0","5,850.0","5,880.0","5,810.0","629.00K","-0.68%"
"08/04/2021","5,820.0","5,830.0","5,870.0","5,800.0","1.01M","0.17%"
"08/05/2021","6,000.0","5,820.0","6,100.0","5,810.0","1.14M","3.09%"
"08/06/2021","5,970.0","6,060.0","6,060.0","5,960.0","816.40K","-0.50%"
"08/09/2021","6,100.0","5,950.0","6,240.0","5,930.0","1.17M","2.18%"
"08/10/2021","6,110.0","6,190.0","6,190.0","6,070.0","983.30K","0.16%"
"08/11/2021","6,130.0","6,130.0","6,180.0","6,110.0","1.57M","0.33%"
"08/12/2021","6,420.0","6,200.0","6,490.0","6,200.0","2.69M","4.73%"
"08/13/2021","6,480.0","6,450.0","6,580.0","6,310.0","2.99M","0.93%"
"08/16/2021","6,520.0","6,800.0","6,800.0","6,520.0","2.37M","0.62%"
"08/17/2021","6,510.0","6,500.0","6,650.0","6,430.0","1.86M","-0.15%"
"08/18/2021","6,560.0","6,490.0","6,720.0","6,420.0","1.89M","0.77%"
"08/19/2021","6,600.0","6,560.0","6,690.0","6,510.0","1.77M","0.61%"
"08/20/2021","6,330.0","6,600.0","6,690.0","6,190.0","1.94M","-4.09%"
"08/23/2021","6,000.0","6,200.0","6,300.0","6,000.0","2.01M","-5.21%"
"08/24/2021","6,000.0","6,000.0","6,100.0","5,890.0","1.48M","0.00%"
"08/25/2021","6,200.0","6,000.0","6,220.0","5,950.0","703.10K","3.33%"
"08/26/2021","6,210.0","6,200.0","6,380.0","6,200.0","678.40K","0.16%"
"08/27/2021","6,300.0","6,210.0","6,390.0","6,140.0","816.70K","1.45%"
"08/30/2021","6,740.0","6,320.0","6,740.0","6,320.0","4.97M","6.98%"
"08/31/2021","6,870.0","6,840.0","7,150.0","6,800.0","6.25M","1.93%"
"09/01/2021","7,020.0","6,870.0","7,120.0","6,800.0","3.72M","2.18%"
"09/06/2021","7,060.0","7,020.0","7,220.0","6,950.0","5.44M","0.57%"
"09/07/2021","6,700.0","7,060.0","7,070.0","6,700.0","4.60M","-5.10%"
"09/08/2021","6,700.0","6,690.0","6,850.0","6,600.0","2.28M","0.00%"
"09/09/2021","7,050.0","6,700.0","7,050.0","6,690.0","2.96M","5.22%"
"09/10/2021","7,510.0","7,050.0","7,520.0","7,050.0","9.81M","6.52%"
"09/13/2021","7,520.0","7,610.0","7,770.0","7,500.0","5.57M","0.13%"
"09/14/2021","7,150.0","7,500.0","7,520.0","7,150.0","3.38M","-4.92%"
"09/15/2021","7,300.0","7,140.0","7,390.0","7,120.0","3.63M","2.10%"
"09/16/2021","7,200.0","7,350.0","7,420.0","7,200.0","2.75M","-1.37%"
"09/17/2021","7,210.0","7,180.0","7,340.0","7,180.0","2.47M","0.14%"
"09/20/2021","7,300.0","7,300.0","7,580.0","7,230.0","4.67M","1.25%"
"09/21/2021","7,270.0","7,200.0","7,480.0","7,200.0","3.75M","-0.41%"
"09/22/2021","7,770.0","7,380.0","7,770.0","7,370.0","9.33M","6.88%"
"09/23/2021","7,480.0","8,200.0","8,200.0","7,410.0","6.35M","-3.73%"
"09/24/2021","7,380.0","7,480.0","7,650.0","7,380.0","2.74M","-1.34%"
"09/27/2021","6,870.0","7,300.0","7,310.0","6,870.0","7.02M","-6.91%"
"09/28/2021","7,010.0","6,700.0","7,040.0","6,660.0","2.64M","2.04%"
"09/29/2021","7,040.0","7,010.0","7,190.0","6,870.0","1.89M","0.43%"
"09/30/2021","7,030.0","7,050.0","7,250.0","7,020.0","1.71M","-0.14%"
"10/01/2021","7,010.0","7,030.0","7,110.0","7,010.0","2.88M","-0.28%"
"10/04/2021","7,120.0","7,100.0","7,300.0","7,000.0","2.55M","1.57%"
"10/05/2021","7,170.0","7,190.0","7,270.0","7,140.0","1.03M","0.70%"
"10/06/2021","7,350.0","7,210.0","7,350.0","7,150.0","3.00M","2.51%"
"10/07/2021","7,330.0","7,350.0","7,450.0","7,220.0","2.19M","-0.27%"
